#{"t_start": 1593456456.9918518, "env_id": "HumanoidPyBulletEnv-v0"}
r,l,t
-102.670853,17,1.552413
-123.169331,17,1.652504
-92.167729,20,1.774615
-113.955846,19,1.888719
-122.207662,26,2.045862
-90.862829,20,2.165972
-120.142005,15,2.257054
-114.775488,19,2.371159
-136.531349,19,2.486263
-88.610713,20,2.609375
-119.673484,19,2.722478
-123.390662,19,2.835581
-130.681041,20,2.953689
-102.998948,18,3.062788
-144.076031,18,3.171887
-97.180428,17,3.27398
-102.487904,17,3.376073
-129.606176,26,3.536219
-134.738496,26,3.696364
-154.315077,18,3.800459
-115.789133,19,3.913563
-135.202678,19,4.027666
-166.448696,20,4.153781
-127.219012,22,4.287903
-102.528711,18,4.396002
-152.387451,23,4.536129
-92.353317,18,4.651234
-95.225697,19,4.765337
-109.400507,24,4.909469
-117.301452,17,5.015565
-137.635886,21,5.14168
-89.876611,17,5.244774
-123.404279,20,5.37189
-108.303261,18,5.48199
-121.361376,19,5.594092
-128.64548,24,5.740225
-148.199425,16,5.839316
-121.680908,16,5.938405
-78.010698,19,6.051508
-99.6653,17,6.154602
-118.718433,19,6.271709
-116.284573,18,6.378807
-122.967279,20,6.499917
-123.796095,21,6.626032
-105.408174,18,6.739134
-96.311573,18,6.847233
-80.267716,18,6.959335
-116.122375,20,7.081446
-125.109805,19,7.196551
-149.989011,19,7.310655
-120.505694,19,7.428762
-93.309015,21,7.554877
-99.347792,18,7.663976
-90.182545,19,16.974452
-85.423882,17,17.087554
-102.262817,17,17.19265
-123.937051,18,17.30275
-97.695404,18,17.413852
-127.831092,17,17.515944
-128.688324,18,17.627046
-157.40804,20,17.75216
-133.09846,19,17.880276
-119.403181,19,17.99438
-109.407636,19,18.113489
-115.960015,19,18.232597
-96.771576,18,18.348705
-108.530229,18,18.465809
-89.154718,20,18.590923
-145.613278,20,18.713034
-111.452617,18,18.820132
-122.224878,20,18.941242
-101.347281,18,19.050341
-139.411568,19,19.167448
-100.520187,21,19.294564
-142.848584,19,19.412671
-100.737451,18,19.521771
-109.919749,19,19.636875
-135.299504,19,19.753982
-127.158,19,19.868085
-92.135732,17,19.977185
-81.646509,20,20.100297
-109.68029,15,20.189378
-121.056549,25,20.343518
-128.944421,24,20.492654
-110.896354,20,20.612763
-104.398826,17,20.716858
-138.838766,22,20.850981
-108.144733,19,20.967086
-102.452069,17,21.070179
-116.619807,18,21.177278
-120.467687,19,21.29038
-106.746649,18,21.401481
-111.797,17,21.503575
-87.864595,19,21.61968
-115.842448,19,21.736787
-96.643346,12,21.808852
-132.640408,19,21.923957
-166.058101,26,22.085104
-106.112192,20,22.204212
-124.50992,23,22.345341
-121.982295,19,22.459444
-91.098204,18,22.566542
-107.205066,21,22.694659
-104.262471,18,22.800756
-170.415909,27,22.964905
-129.548551,27,23.128053
-144.972373,29,26.117774
-126.46673,18,26.225873
-82.404328,18,26.334972
-117.950867,18,26.445073
-109.165359,17,26.545164
-111.92246,19,26.660269
-77.667903,19,26.77237
-92.560295,18,26.882471
-112.460246,21,27.011588
-67.943221,19,27.126693
-107.987224,19,27.243799
-105.094086,18,27.356903
-92.334388,20,27.483017
-119.417634,20,27.604128
-113.993277,20,27.726239
-148.532119,25,27.875375
-123.006333,18,27.982472
-99.060379,19,28.096576
-91.652552,18,28.208678
-104.74857,20,28.325785
-134.677822,20,28.4529
-107.74716,19,28.572009
-76.155857,22,28.702127
-103.664528,19,28.817232
-119.18342,20,28.939343
-97.53377,18,29.048442
-100.295438,18,29.15654
-106.234644,20,29.278652
-131.865507,19,29.392756
-142.929609,21,29.519871
-112.867293,21,29.647989
-99.263244,17,29.754086
