#{"t_start": 1595257203.094844, "env_id": "AntPyBulletEnv-v0"}
r,l,t
347.473021,1000,6.935301
318.832962,1000,37.983509
359.427481,1000,45.331185
303.086814,1000,52.669852
350.414075,1000,60.037546
323.083401,1000,67.455285
398.957342,1000,74.753917
5.767796,45,74.960104
8.411727,50,75.180304
85.617801,223,79.040811
323.235822,1000,86.373473
370.648816,1000,93.75618
-1.937742,22,93.849265
-2.237014,21,93.947354
50.887236,157,94.651994
-1.308501,23,94.753086
272.412264,784,101.127878
334.150578,1000,108.503579
146.326807,385,110.240157
376.844454,1000,117.577823
368.614556,1000,124.88246
371.317151,1000,132.231136
65.594651,186,133.041873
134.794702,353,134.619306
22.573078,88,135.014665
128.393961,358,139.495736
291.731686,1000,146.866433
127.55654,306,148.22767
68.196395,214,149.157515
369.163341,1000,156.576255
90.076014,207,157.478074
100.708793,275,161.560783
130.819054,378,163.367427
225.913518,741,169.720196
23.516634,85,170.115556
294.56026,1000,177.537298
407.776816,1000,184.851944
86.637996,192,185.687704
71.974601,171,186.417366
390.965778,1000,193.728009
295.117447,738,200.006713
99.96417,218,200.974592
87.502739,208,201.902435
97.049762,210,205.753934
103.683067,241,206.830912
26.248761,75,207.163215
49.812151,133,207.753751
413.742626,1000,215.035367
95.365762,220,216.015257
61.990925,157,216.714892
61.145766,162,220.317168
119.247553,305,221.656383
98.49106,219,222.638274
201.56338,468,224.727172
90.515328,197,228.497597
119.721066,274,229.692683
71.868637,144,230.326259
445.659281,1000,237.675936
104.217532,242,238.739903
392.706791,875,245.605141
148.803281,348,247.170562
461.512442,1000,254.488211
147.549648,332,258.89021
203.860214,491,261.052174
482.290156,1000,268.408858
378.154117,1000,275.698481
466.934248,1000,283.180279
508.582364,1000,290.509938
246.129173,703,296.568442
492.233573,1000,303.917119
194.09711,386,305.656699
485.448957,1000,313.037405
466.286655,1000,320.352051
455.596644,1000,327.717742
146.147469,283,328.989898
174.13143,311,333.291806
466.817532,1000,340.675515
537.655028,1000,348.084246
181.782993,364,349.75076
513.765977,1000,357.071411
539.84208,1000,364.439105
538.834993,1000,371.772768
406.397969,1000,379.170489
518.560487,1000,386.759384
196.124726,369,388.487954
508.348194,1000,396.097868
532.13427,1000,403.739811
529.041661,1000,437.673641
546.874707,996,445.247522
502.625966,882,452.183824
560.091108,1000,459.520489
570.682491,1000,466.871168
572.431597,1000,474.223848
563.643256,1000,481.599549
570.588133,1000,488.949227
569.45293,1000,496.317921
582.214459,1000,503.644578
606.859932,1000,511.001261
573.188252,1000,518.330921
600.279398,1000,525.727641
541.75449,1000,533.105344
574.285653,1000,540.493056
575.950154,1000,547.964844
587.964705,1000,555.385586
600.477124,1000,562.737266
606.145832,1000,570.123976
593.150346,1000,577.486666
622.828212,1000,584.850356
571.855983,1000,592.187021
527.304364,1000,599.481649
551.103836,1000,606.814311
652.953693,1000,614.068902
595.112505,1000,618.50293
494.65101,1000,625.842599
594.321756,1000,633.175261
598.30586,1000,640.503919
629.025002,1000,647.910649
638.284416,1000,655.232301
582.083347,1000,662.553952
600.733401,1000,669.897624
615.439694,1000,677.181242
622.928443,1000,684.466861
611.770035,1000,691.75248
604.904504,1000,699.114168
639.851136,1000,706.474856
116.920473,215,707.421716
618.847354,1000,714.786407
617.324582,1000,722.12007
611.639803,1000,729.481759
614.764306,1000,736.810417
639.037649,1000,744.124062
626.190407,1000,751.484749
633.471581,1000,758.754354
239.759316,397,763.371548
127.933794,228,764.381469
124.761677,228,765.393385
238.077039,370,767.033876
