#{"t_start": 1595339076.6886046, "env_id": "AntPyBulletEnv-v0"}
r,l,t
330.070066,1000,5.760237
324.801042,1000,62.368807
311.5642,1000,96.017394
364.92985,1000,129.84114
351.893568,1000,163.548781
351.868122,1000,197.149258
171.906386,707,229.628782
338.460268,1000,263.361445
299.595507,1000,296.83932
374.795317,1000,330.074669
408.570848,1000,363.442781
339.470705,1000,373.173626
341.736781,1000,382.736319
343.609099,1000,392.332042
361.132042,1000,402.006836
341.952424,1000,411.567527
334.975347,1000,421.078172
328.019442,1000,430.631857
355.651395,1000,440.177534
325.687183,1000,449.735222
288.579685,1000,459.263884
325.272578,1000,468.826463
328.072713,1000,478.434057
370.807028,1000,487.943243
355.297168,1000,497.520949
321.918644,1000,507.009575
381.999384,1000,516.473782
301.347364,1000,526.020334
293.59456,1000,535.556408
238.673526,1000,545.153132
325.408685,1000,549.304906
340.219422,1000,558.859591
397.789532,1000,568.391256
205.002929,1000,577.96696
287.667875,1000,587.651764
280.310634,1000,597.161408
340.84504,1000,606.69007
396.535082,1000,616.266775
245.903539,1000,625.847484
243.902907,1000,635.339112
235.445122,1000,644.890795
281.453761,1000,654.431467
307.113884,1000,663.921093
301.831198,1000,673.423732
297.157042,1000,682.979418
256.454852,1000,692.493066
171.255886,660,700.522364
340.842151,1000,710.080466
414.476471,1000,719.790293
317.593803,1000,729.316647
349.970793,1000,738.896755
308.448546,1000,748.334334
232.115526,1000,780.955988
258.112322,1000,790.480647
222.495718,1000,800.181465
261.328038,1000,809.722138
286.785845,1000,819.300845
388.855972,1000,828.834511
298.69711,1000,832.923228
399.366675,1000,842.434874
388.280049,1000,851.936511
335.647536,1000,861.418085
291.488231,1000,871.001059
322.616754,1000,880.630818
339.674389,1000,890.230545
402.625877,1000,899.787432
345.040516,1000,909.257461
277.14828,1000,918.879207
390.151503,1000,928.513965
392.42362,1000,938.038567
390.39273,1000,947.703225
223.106985,1000,957.210868
359.58705,1000,966.77356
316.176801,1000,976.373287
461.598424,1000,985.880929
242.087001,1000,995.372557
297.537885,1000,1004.903221
260.586045,1000,1014.412865
379.345755,1000,1023.859452
289.859736,1000,1033.417017
345.966023,1000,1042.960692
278.148815,1000,1052.572429
320.419992,1000,1062.215195
462.467943,1000,1071.737851
491.323817,1000,1081.255178
379.756429,1000,1090.804859
299.304476,1000,1100.39858
489.619415,1000,1109.937251
475.662824,1000,1119.539333
359.286395,1000,1129.047976
320.511881,1000,1138.605664
321.329664,1000,1148.136328
307.102541,1000,1157.647974
335.874811,1000,1167.177637
206.620621,1000,1176.922495
252.893804,1000,1186.4982
350.072317,1000,1196.138963
348.576857,1000,1205.753191
380.222548,1000,1215.324892
383.77886,1000,1224.88258
437.959443,1000,1234.493316
376.840709,1000,1238.614062
300.808331,1000,1248.243816
299.480967,1000,1257.81852
305.482042,1000,1290.690871
389.441269,1000,1300.270579
344.266439,1000,1309.836246
232.841355,1000,1319.386928
266.308475,1000,1329.006672
339.85456,1000,1338.63042
272.708617,1000,1348.134059
279.945316,1000,1357.758808
276.778165,1000,1367.2981
275.932968,1000,1376.82476
226.477686,1000,1386.530019
206.930851,1000,1396.167779
290.315777,1000,1405.677424
320.497084,1000,1415.213092
236.741082,1000,1424.756767
398.256369,1000,1434.317458
204.593172,1000,1443.922188
401.348324,1000,1453.447848
328.045152,1000,1462.975201
273.907999,1000,1472.503863
313.319749,1000,1482.12411
367.465297,1000,1491.734847
359.479423,1000,1501.362598
459.441016,1000,1510.878248
458.214994,1000,1520.385855
385.863014,1000,1529.961223
291.008351,1000,1539.528716
323.566009,1000,1549.108424
534.261684,1000,1558.76875
416.73544,1000,1568.239134
347.598601,1000,1577.759788
453.125882,1000,1587.383536
388.248568,1000,1596.863153
444.045765,1000,1606.370796
413.082566,1000,1615.976528
454.369063,1000,1625.554656
353.414688,1000,1635.134813
404.261865,1000,1644.597793
502.74159,1000,1654.094426
423.764746,1000,1663.652114
358.378098,1000,1667.826909
327.969187,1000,1677.430638
512.572588,1000,1686.995333
367.774059,1000,1696.647106
445.670784,1000,1706.195786
443.924083,1000,1715.673402
505.371066,1000,1725.281136
565.128717,1000,1734.890843
444.487938,1000,1744.420814
437.919441,1000,1753.993516
575.656697,1000,1763.455116
481.28793,1000,1796.086379
467.804367,1000,1805.599026
414.291277,1000,1815.249799
569.217476,1000,1824.790471
524.344531,1000,1834.299307
516.621385,1000,1843.913223
650.723758,1000,1853.50766
563.306816,1000,1863.188461
622.949711,1000,1872.746148
451.085345,1000,1882.32287
614.759412,1000,1891.902006
582.743877,1000,1901.462697
417.923429,1000,1911.001367
391.517289,1000,1920.678438
474.406636,1000,1930.182077
544.790247,1000,1939.725752
479.742203,1000,1949.272431
607.659266,1000,1958.856142
658.943429,1000,1968.442857
594.32903,1000,1978.022565
615.345586,1000,1987.547223
615.593561,1000,1997.100907
676.940954,1000,2006.700634
636.69859,1000,2016.191261
598.795455,1000,2025.76096
588.402573,1000,2035.265599
490.788435,1000,2044.763233
656.660386,1000,2054.329704
675.335409,1000,2063.946445
561.761085,1000,2073.774379
458.405776,1000,2083.545246
319.727933,1000,2087.667994
417.294712,1000,2097.268721
581.647273,1000,2106.821426
744.717443,1000,2116.376111
469.566203,1000,2125.852725
591.618449,1000,2135.469568
666.202539,1000,2145.050103
526.887472,1000,2154.578764
460.836747,1000,2164.062385
539.736286,1000,2173.544004
469.226777,1000,2182.995595
533.803926,1000,2192.54928
578.084143,1000,2202.126986
490.123095,1000,2211.758741
430.207561,1000,2221.248368
614.233506,1000,2230.77803
605.146784,1000,2240.321706
548.450101,1000,2249.770295
612.011699,1000,2259.326982
558.449635,1000,2268.923705
498.857244,1000,2301.43626
510.027166,1000,2311.090035
495.704511,1000,2320.626704
553.408642,1000,2330.145356
