#{"t_start": 1595428746.988331, "env_id": "AntPyBulletEnv-v0"}
r,l,t
60.799083,204,2.211002
145.050377,457,3.83648
255.496062,791,16.372875
35.773075,139,16.865324
-2.74019,20,16.935387
18.927893,78,17.210637
-4.909561,21,17.284704
295.084977,808,24.366141
-6.308443,20,24.434203
130.874998,384,25.759408
-3.404853,27,25.851491
-7.888825,41,25.99262
276.037138,1000,33.752674
0.434038,22,33.829744
-2.850099,21,33.901811
339.794429,1000,41.725922
-1.181829,20,41.795985
-2.660956,20,41.865048
0.164991,20,41.935112
0.970959,20,42.004174
211.230401,652,48.586158
-5.356366,21,48.660225
0.097132,20,48.730289
194.544055,672,55.381335
322.261408,1000,63.178422
0.30359,20,63.248486
101.668956,382,64.615729
14.719655,75,64.88097
-2.22925,20,64.951034
325.154036,1000,72.74712
274.021708,779,79.719458
-0.957685,20,79.78752
-0.852163,22,79.862588
-4.286749,21,79.933653
-3.37924,20,80.001715
74.820461,270,80.936564
-1.458065,20,81.005627
399.154776,1000,88.769685
-0.634513,20,88.839749
43.301865,151,93.641113
129.163875,368,94.943296
-2.665996,21,95.017364
109.221768,349,96.256491
65.112142,266,101.456217
161.294858,485,103.144752
387.508512,1000,110.937836
81.522936,266,111.883696
5.707985,58,112.088883
91.231575,275,117.321639
18.122828,101,117.677963
219.444399,666,120.036107
9.230029,44,120.192249
1.357049,30,120.297344
7.533172,50,120.474505
367.543049,1000,128.33465
60.751966,186,133.26313
270.48142,673,135.654304
46.290368,193,136.340928
117.835214,343,141.82191
403.108862,1000,149.630008
60.684721,187,150.287606
109.021796,308,151.37059
50.410981,212,152.120271
440.896112,1000,159.944384
403.522739,1000,167.770498
408.920186,1000,175.524546
113.3238,393,181.180688
421.877836,1000,188.967767
416.589652,1000,196.735828
25.893435,67,196.969039
390.057872,1000,204.721087
69.560402,254,205.597883
409.728259,1000,213.300885
437.996778,1000,221.058938
18.106988,73,221.315171
439.659279,1000,229.055207
448.745959,1000,236.834278
409.892219,1000,244.749473
434.468708,1000,252.528544
427.220934,1000,260.282593
456.610833,1000,268.045649
54.917114,156,268.59615
420.76779,1000,276.366213
422.042981,1000,284.144283
514.543513,1000,291.90734
249.577484,662,298.498331
15.189873,100,298.847649
0.286678,25,298.934728
517.935939,1000,306.688776
260.192726,615,308.797693
450.860646,1000,316.477674
458.527049,1000,324.248739
468.764927,1000,332.002788
513.773307,1000,339.75083
494.635001,1000,347.430811
514.942007,1000,355.084769
490.556537,1000,362.835815
525.430154,1000,370.589863
529.258103,1000,378.371938
418.90413,1000,386.123984
403.459464,1000,393.857014
1.780467,32,393.970116
447.297214,1000,401.749187
437.044068,1000,431.002779
471.384913,1000,438.757829
518.829915,1000,446.518884
450.439755,1000,454.296954
317.460997,1000,462.082031
432.599856,1000,469.838081
443.557019,1000,477.618153
325.411425,1000,485.406233
494.442555,1000,493.160281
436.232439,1000,500.902319
142.377453,1000,508.6914
312.636861,1000,516.454456
260.311893,1000,524.244537
169.998237,1000,532.054637
258.213874,1000,539.828704
368.849723,1000,547.618785
334.630695,1000,555.385845
372.203862,1000,563.21296
423.364499,1000,570.97902
375.684226,1000,578.664006
418.833699,1000,586.407044
399.104858,1000,594.174104
396.355076,1000,601.920145
440.486572,1000,605.429336
333.183492,1000,613.176378
421.372777,1000,620.996486
530.245378,1000,628.826604
358.060905,1000,636.681744
213.05108,544,642.919414
500.369571,1000,650.788568
435.769838,1000,658.863909
457.290341,1000,667.330605
296.274675,1000,675.214771
397.678818,1000,682.915771
363.34427,1000,690.68083
431.024657,1000,698.442886
439.213179,1000,706.207944
477.607631,1000,713.979008
430.109999,1000,721.763084
498.047018,1000,729.499116
576.271696,1000,737.238152
525.165149,1000,744.85007
466.274947,1000,752.569088
441.699045,1000,760.323136
459.69503,1000,768.01713
504.309317,1000,775.7952
426.798717,1000,779.316401
306.11773,1000,787.094471
345.100448,1000,794.866536
353.499018,1000,802.643606
445.501052,1000,810.412668
336.097072,1000,818.183732
295.601361,1000,844.098289
108.360876,161,848.836596
328.422059,1000,852.351791
361.201811,1000,860.106841
145.207495,218,865.105384
327.808765,1000,872.858432
358.230893,1000,880.64551
329.20074,1000,888.340506
460.818965,1000,896.116574
448.061478,1000,903.882633
446.958517,1000,911.663707
364.519611,1000,919.473806
349.115415,1000,923.041049
345.052681,1000,930.77608
377.487864,1000,938.564159
365.427027,1000,946.369254
375.465371,1000,954.160336
371.962907,1000,961.958425
394.713855,1000,969.756514
368.458281,1000,977.547596
