#{"t_start": 1597860228.797074, "env_id": "AntPyBulletEnv-v0"}
r,l,t
343.65855,1000,20.254424
-4.182938,20,20.3385
373.418059,1000,36.053795
-3.256513,20,36.142877
389.382736,1000,51.730056
398.908554,1000,67.472376
213.667135,527,75.394582
8.945567,52,78.484393
121.448059,360,82.842357
115.183058,305,86.9571
416.523275,1000,102.531267
248.323503,616,110.835822
471.705351,1000,126.528095
457.18445,1000,142.301444
438.940657,1000,157.925656
237.591644,835,170.084717
215.951657,636,181.235861
364.287572,1000,196.792011
468.724056,1000,232.73771
477.614276,1000,248.387946
521.310894,1000,264.049192
456.557898,1000,276.73373
433.605983,1000,292.494067
331.950163,711,303.994528
470.012138,1000,319.765875
549.598982,1000,335.407103
242.214429,444,343.202193
77.1052,169,343.919847
160.564779,297,348.044598
414.449503,792,362.824043
74.390145,206,363.709849
1.218695,38,366.725592
359.906457,1000,379.604307
149.628214,386,386.833884
62.994753,215,390.57829
420.950654,918,403.107687
411.197093,1000,418.733901
88.866128,219,422.515341
542.54653,953,455.360219
487.834913,1000,471.026469
120.41203,242,474.976062
285.353089,539,482.934301
390.89281,1000,498.49946
479.152193,1000,514.100652
117.277781,232,517.872082
75.898826,138,518.46262
90.031295,164,521.961802
426.082164,1000,537.500938
479.976917,1000,553.131156
425.402231,1000,565.911782
320.80213,698,577.43026
193.15442,464,584.979127
460.137366,1000,600.542284
442.587213,1000,616.234558
484.817661,1000,631.745668
223.199749,451,636.453951
67.540618,137,651.614742
230.461196,413,659.028486
36.172052,88,659.396821
56.81844,112,659.87926
240.662824,447,667.398099
577.608103,1000,682.933231
325.916431,712,694.425685
350.260831,1000,709.88775
77.282189,155,710.566368
118.479146,235,714.362821
336.185688,1000,730.090127
357.295805,733,741.681672
149.847261,346,745.931537
257.202425,593,756.898514
542.22688,1000,772.364582
604.511742,1000,787.90572
560.895611,1000,800.5272
353.088559,659,811.856506
551.189715,1000,827.348598
498.822808,1000,842.764622
521.547568,1000,877.645351
245.370484,478,885.327339
548.989,1000,898.150003
565.162899,1000,913.610066
550.142964,1000,929.208255
582.68685,1000,944.707355
396.475109,1000,960.113369
551.638191,1000,975.673523
549.351412,1000,991.351784
632.962631,1000,1006.788827
565.404188,1000,1022.305942
610.393458,1000,1037.770009
578.707848,1000,1053.289126
563.767452,1000,1085.99888
469.871124,1000,1101.530008
627.578536,1000,1117.067142
606.296085,1000,1132.646313
631.0689,1000,1148.167432
649.74754,1000,1163.739597
674.789546,1000,1179.261717
578.651026,1000,1194.704765
612.182114,1000,1210.303955
531.225939,1000,1225.937175
641.866343,1000,1241.430269
609.168008,1000,1254.290968
529.804763,1000,1269.857127
555.112254,1000,1305.618658
526.007513,1000,1321.090732
644.554958,1000,1336.634872
335.792567,673,1348.126326
591.80695,1000,1363.645442
530.284209,1000,1376.28494
571.090176,1000,1391.834084
647.923575,1000,1407.349197
646.518263,1000,1423.02846
638.26824,1000,1438.579607
531.662833,1000,1454.120744
592.159807,1000,1469.560788
534.957109,1000,1485.020852
753.696451,1000,1520.640253
759.318207,1000,1536.108323
744.985917,1000,1551.556376
749.362601,1000,1564.199877
746.700468,1000,1579.599885
688.79609,1000,1595.091978
796.381685,1000,1610.531023
768.579724,1000,1626.04013
757.473724,1000,1641.477172
741.419313,1000,1656.944242
726.585696,1000,1672.412313
726.479482,1000,1688.022512
729.369513,1000,1703.522612
758.099879,1000,1739.008892
758.035238,1000,1751.80253
711.812008,1000,1767.260592
810.461665,1000,1782.774704
675.716293,1000,1798.42494
753.844298,1000,1814.130227
791.423241,1000,1829.662355
791.555643,1000,1845.213501
795.331725,1000,1860.696586
752.991253,1000,1876.228715
786.597057,1000,1891.646739
809.551147,1000,1904.337284
786.815707,1000,1919.767319
812.02831,1000,1955.533854
572.951908,1000,1971.011934
661.127562,1000,1986.524045
748.858257,1000,2002.048167
780.903149,1000,2017.709413
785.45398,1000,2033.307602
700.93986,1000,2048.75165
731.900401,1000,2064.18569
812.739091,1000,2079.643752
748.027548,1000,2092.346307
607.243266,1000,2107.791356
781.550515,1000,2123.206378
673.136614,1000,2158.941885
805.800262,1000,2174.543077
803.594469,1000,2190.16729
685.730697,1000,2205.676397
773.623545,1000,2221.230546
757.158301,1000,2236.805715
760.713302,1000,2252.211729
773.692613,1000,2267.665786
787.067059,1000,2280.403373
789.518768,1000,2295.864437
717.432481,1000,2311.343518
696.439274,1000,2326.878649
831.940707,1000,2342.402771
769.417311,1000,2378.168305
751.098993,1000,2393.782509
787.203623,1000,2409.345666
781.251009,1000,2424.826748
740.476471,1000,2440.302826
763.668118,1000,2453.067437
780.437333,1000,2468.661623
823.691833,1000,2484.228783
807.179081,1000,2499.665826
722.011379,1000,2515.299046
769.132394,1000,2530.697053
773.694642,1000,2546.179136
802.609093,1000,2561.702257
822.773611,1000,2597.179529
798.102247,1000,2612.663615
820.543175,1000,2628.119674
829.361245,1000,2640.861264
827.241681,1000,2656.435431
840.541731,1000,2671.9015
837.272055,1000,2687.378579
828.307896,1000,2702.840644
809.844356,1000,2718.450844
790.222373,1000,2734.030015
798.095223,1000,2749.518104
831.279329,1000,2765.290451
818.810256,1000,2780.817576
838.298909,1000,2815.498123
770.627125,1000,2827.343899
840.140797,1000,2841.682942
817.495381,1000,2856.09205
831.389564,1000,2870.455115
838.641212,1000,2884.860219
828.067943,1000,2899.233293
706.838129,1000,2913.660417
777.187483,1000,2928.03249
827.106653,1000,2942.419578
774.02313,1000,2956.807666
770.377491,1000,2968.618409
839.143852,1000,2983.071557
832.917791,1000,3017.466845
830.271603,1000,3031.887963
843.34682,1000,3046.474231
760.985651,1000,3061.015459
773.30367,1000,3075.422564
830.213599,1000,3089.845684
826.521173,1000,3104.369896
806.12701,1000,3118.719949
818.207811,1000,3133.124052
852.0323,1000,3144.99385
752.37361,1000,3159.443995
751.936378,1000,3173.782037
816.044597,1000,3208.190337
850.565873,1000,3222.523374
830.51985,1000,3236.863419
827.501967,1000,3251.326576
857.673407,1000,3265.631588
833.890503,1000,3280.099749
852.816068,1000,3294.714043
660.602504,1000,3309.159183
858.201448,1000,3321.052001
859.559137,1000,3335.453101
820.910273,1000,3349.810161
857.424253,1000,3364.313354
833.526398,1000,3378.656401
864.137666,1000,3413.186812
797.44451,1000,3427.582907
850.682911,1000,3441.926955
816.466311,1000,3456.308038
846.65879,1000,3470.804224
857.840553,1000,3482.785122
840.538532,1000,3497.130171
807.383992,1000,3511.558296
827.894227,1000,3526.31572
860.839547,1000,3540.658767
836.257201,1000,3555.086892
868.365631,1000,3569.391904
856.662097,1000,3583.803014
897.112331,1000,3618.207309
893.107626,1000,3632.757546
897.499533,1000,3647.228709
875.191547,1000,3659.101509
888.057289,1000,3673.502609
919.290049,1000,3687.925729
899.191592,1000,3702.204718
894.986613,1000,3716.587801
867.482674,1000,3730.85578
889.751547,1000,3745.177808
869.099314,1000,3759.457798
826.71373,1000,3773.786833
897.65783,1000,3788.192937
924.147718,1000,3822.551192
770.293927,1000,3834.420989
900.901683,1000,3848.794063
888.512755,1000,3863.171141
870.305259,1000,3877.682342
827.287107,1000,3892.064424
766.282543,1000,3906.561611
916.735938,1000,3921.022766
910.966391,1000,3935.396842
862.872922,1000,3949.914047
883.865575,1000,3964.489305
859.598543,1000,3976.271023
880.49881,1000,3990.734179
897.11236,1000,4025.312634
893.000584,1000,4039.812824
893.1819,1000,4054.268974
886.260479,1000,4068.774169
786.215785,1000,4083.318399
861.263897,1000,4097.806578
838.975162,1000,4112.16564
859.734176,1000,4126.582754
887.696358,1000,4140.97885
889.367369,1000,4152.897692
879.232228,1000,4167.366853
884.546461,1000,4181.687881
887.270023,1000,4216.209283
859.678874,1000,4230.510292
906.943275,1000,4244.890373
813.656526,1000,4259.374549
915.484567,1000,4273.900763
890.695722,1000,4288.352909
912.968322,1000,4302.816065
958.904499,1000,4317.424354
911.396413,1000,4329.355207
835.302812,1000,4343.878418
875.571599,1000,4358.284522
865.159578,1000,4372.835759
753.680607,1000,4387.327942
847.702911,1000,4421.896387
872.021705,1000,4436.169371
887.521246,1000,4450.609506
950.881014,1000,4464.967567
932.110452,1000,4479.219531
945.610339,1000,4491.034278
894.195724,1000,4505.487426
877.64063,1000,4519.902539
892.994538,1000,4534.308643
873.070537,1000,4548.73977
923.388664,1000,4563.147877
931.640174,1000,4577.481916
945.115766,1000,4591.765909
917.27941,1000,4626.275301
898.628169,1000,4640.769486
915.925927,1000,4655.162578
933.622285,1000,4667.023367
901.288487,1000,4681.375422
949.10324,1000,4695.672428
900.384385,1000,4709.916385
947.308647,1000,4724.216393
904.277499,1000,4738.525409
952.865266,1000,4752.93852
816.540831,1000,4767.351631
947.814386,1000,4781.686671
861.750449,1000,4796.112794
836.574962,1000,4830.534105
913.042906,1000,4842.42292
798.392731,1000,4856.861055
911.758843,1000,4871.361243
884.335386,1000,4885.781361
902.448045,1000,4900.122406
852.704106,1000,4914.512496
845.42796,1000,4928.729429
835.524313,1000,4943.234623
931.531306,1000,4957.867935
871.099778,1000,4972.27404
880.132707,1000,4984.140834
881.149037,1000,4998.469869
940.373595,1000,5032.773072
931.629472,1000,5047.10611
917.353722,1000,5061.471178
843.699711,1000,5075.895298
938.887194,1000,5090.469556
924.222778,1000,5104.913695
919.586243,1000,5119.289773
887.842324,1000,5133.816987
903.607542,1000,5148.637469
944.039465,1000,5160.517275
910.069102,1000,5175.070513
913.509949,1000,5189.436581
930.124577,1000,5223.857893
873.121866,1000,5238.237974
946.658689,1000,5252.704133
898.508173,1000,5267.079209
892.598901,1000,5281.395232
887.718452,1000,5295.840372
924.870023,1000,5310.227459
885.05511,1000,5324.791708
958.644529,1000,5336.696537
912.622856,1000,5351.185717
872.198671,1000,5365.645871
