#{"t_start": 1603334913.7270138, "env_id": "CartPole-v1"}
r,l,t
54.0,54,1.425297
35.0,35,1.525388
21.0,21,1.584443
15.0,15,1.626479
17.0,17,1.673522
48.0,48,1.808645
20.0,20,1.865698
21.0,21,1.924751
13.0,13,1.960783
12.0,12,1.993814
25.0,25,2.062878
17.0,17,2.11092
26.0,26,2.183986
36.0,36,2.28608
51.0,51,2.428208
12.0,12,2.461239
23.0,23,2.525298
23.0,23,2.60537
19.0,19,2.65942
32.0,32,4.996545
49.0,49,5.147682
68.0,68,5.344862
11.0,11,5.380894
14.0,14,5.422933
18.0,18,5.480986
97.0,97,5.795272
99.0,99,6.093543
25.0,25,6.163607
14.0,14,6.204644
51.0,51,6.351778
19.0,19,6.405827
21.0,21,6.466882
26.0,26,8.797003
49.0,49,8.936129
23.0,23,9.009195
53.0,53,9.228394
33.0,33,9.321479
30.0,30,9.406557
97.0,97,9.688813
26.0,26,9.761879
71.0,71,9.961061
66.0,66,10.150233
28.0,28,10.229305
127.0,127,12.832673
124.0,124,13.179989
113.0,113,13.508288
46.0,46,13.638406
234.0,234,16.549053
184.0,184,17.063522
231.0,231,19.960157
201.0,201,20.531677
186.0,186,21.07417
210.0,210,23.950787
262.0,262,24.755519
249.0,249,27.761253
376.0,376,28.827222
259.0,259,31.769899
235.0,235,32.494558
228.0,228,35.350158
461.0,461,39.030504
500.0,500,42.748887
500.0,500,46.409217
500.0,500,50.046525
500.0,500,53.676827
500.0,500,57.466274
500.0,500,61.189661
500.0,500,64.877016
500.0,500,68.516326
500.0,500,72.252725
500.0,500,73.686028
500.0,500,77.345357
500.0,500,81.011692
500.0,500,84.666017
500.0,500,88.290313
500.0,500,92.069751
500.0,500,95.690044
500.0,500,99.321348
500.0,500,102.954653
500.0,500,106.680042
500.0,500,110.310344
333.0,333,113.466215
211.0,211,114.062757
267.0,267,117.036463
500.0,500,120.739831
500.0,500,124.419178
500.0,500,128.111537
265.0,265,128.860218
259.0,259,131.806899
278.0,278,132.589611
343.0,343,135.771505
256.0,256,138.773235
464.0,464,140.088432
339.0,339,143.265321
337.0,337,146.492257
500.0,500,150.188619
500.0,500,153.900996
481.0,481,157.548314
500.0,500,161.283712
500.0,500,165.010102
350.0,350,166.017017
500.0,500,169.706373
427.0,427,173.296639
500.0,500,177.203193
500.0,500,180.862522
336.0,336,184.161523
420.0,420,185.354608
235.0,235,188.381362
236.0,236,189.073991
397.0,397,192.478088
325.0,325,195.631957
406.0,406,199.040057
500.0,500,202.746428
362.0,362,203.839422
284.0,284,206.880189
412.0,412,210.293294
385.0,385,211.41031
187.0,187,214.159811
356.0,356,215.173733
366.0,366,218.461724
393.0,393,221.855812
201.0,201,222.421326
500.0,500,226.070646
500.0,500,229.754997
500.0,500,233.374289
500.0,500,237.063645
500.0,500,240.735986
500.0,500,244.394314
500.0,500,248.108693
500.0,500,251.916156
500.0,500,255.598506
500.0,500,259.24182
500.0,500,262.975215
500.0,500,266.716619
500.0,500,270.588141
500.0,500,274.232456
60.0,60,274.399608
500.0,500,278.033914
500.0,500,281.721268
500.0,500,285.366584
500.0,500,289.03392
500.0,500,292.696252
500.0,500,296.368593
500.0,500,300.019914
500.0,500,303.650216
500.0,500,307.309545
500.0,500,311.080975
169.0,169,311.563414
142.0,142,314.175791
500.0,500,315.58207
236.0,236,318.447678
102.0,102,318.742945
500.0,500,322.417288
500.0,500,326.074614
500.0,500,329.74195
500.0,500,333.40228
500.0,500,337.140681
500.0,500,340.881083
500.0,500,344.529402
500.0,500,348.202743
500.0,500,351.872081
500.0,500,355.548425
420.0,420,358.948518
298.0,298,359.78628
412.0,412,363.274453
500.0,500,367.001844
500.0,500,370.661173
135.0,135,371.044523
500.0,500,374.731875
269.0,269,377.718592
500.0,500,381.340887
185.0,185,381.864364
500.0,500,385.56473
500.0,500,389.187025
248.0,248,392.100675
500.0,500,395.718966
500.0,500,399.380297
283.0,283,400.180024
500.0,500,403.866378
500.0,500,407.50769
500.0,500,411.17903
500.0,500,414.855374
500.0,500,418.52271
307.0,307,421.705605
500.0,500,425.379948
500.0,500,429.159385
417.0,417,430.343462
500.0,500,434.033819
500.0,500,437.827271
500.0,500,441.461576
500.0,500,445.231005
500.0,500,448.920361
500.0,500,452.613721
500.0,500,456.238018
500.0,500,459.908357
500.0,500,463.603718
500.0,500,467.22301
500.0,500,470.882339
500.0,500,474.638756
500.0,500,478.316101
500.0,500,481.996449
500.0,500,485.653776
249.0,249,488.57043
500.0,500,489.993723
500.0,500,493.68308
500.0,500,497.326394
500.0,500,501.051783
500.0,500,504.704106
500.0,500,508.565618
200.0,200,511.337139
333.0,333,512.30602
112.0,112,514.839325
231.0,231,515.492919
500.0,500,519.22031
500.0,500,522.964716
500.0,500,526.677093
500.0,500,530.319406
500.0,500,533.964722
500.0,500,537.580011
500.0,500,541.25135
500.0,500,544.899669
217.0,217,545.526239
500.0,500,549.19858
500.0,500,552.974014
500.0,500,556.588301
500.0,500,560.221607
479.0,479,564.011054
