#{"t_start": 1603297255.4628644, "env_id": "CartPole-v1"}
r,l,t
26.0,26,1.306599
10.0,10,1.333226
28.0,28,1.40861
13.0,13,1.444921
48.0,48,1.575222
13.0,13,1.610555
19.0,19,1.661547
26.0,26,1.732223
21.0,21,1.787959
14.0,14,1.82521
15.0,15,1.865556
13.0,13,1.900886
21.0,21,1.956612
24.0,24,2.022247
17.0,17,2.068576
17.0,17,2.114563
52.0,52,2.255538
10.0,10,2.28321
27.0,27,2.355559
21.0,21,2.412064
17.0,17,2.458549
11.0,11,2.487896
19.0,19,2.53993
19.0,19,2.590875
74.0,74,4.933209
17.0,17,4.980202
58.0,58,5.138854
24.0,24,5.202905
21.0,21,5.258548
29.0,29,5.336273
15.0,15,5.3772
28.0,28,5.45188
12.0,12,5.484241
13.0,13,5.518538
20.0,20,5.573263
13.0,13,5.608583
31.0,31,5.692215
19.0,19,5.744857
15.0,15,5.785198
9.0,9,5.810602
13.0,13,5.844923
21.0,21,5.902981
27.0,27,5.975219
54.0,54,6.121196
80.0,80,8.448846
21.0,21,8.505503
55.0,55,8.65289
34.0,34,8.746865
11.0,11,8.777179
32.0,32,8.863631
57.0,57,9.016511
26.0,26,9.086257
52.0,52,9.2262
40.0,40,9.334184
54.0,54,9.482198
17.0,17,9.527171
20.0,20,9.581271
231.0,231,12.325151
75.0,75,12.526153
217.0,217,13.11352
42.0,42,15.342936
98.0,98,15.606478
108.0,108,15.897857
75.0,75,16.099887
36.0,36,16.197866
23.0,23,16.25947
87.0,87,16.494802
160.0,160,19.028126
88.0,88,19.264479
115.0,115,19.574115
65.0,65,19.756487
72.0,72,19.948839
66.0,66,20.126177
139.0,139,22.639922
104.0,104,22.97227
151.0,151,23.458508
94.0,94,23.75763
176.0,176,26.396758
133.0,133,26.762475
204.0,204,27.330122
219.0,219,30.086201
183.0,183,30.634148
227.0,227,33.390709
197.0,197,33.922059
335.0,335,36.953329
219.0,219,37.550691
220.0,220,40.268386
500.0,500,43.740668
500.0,500,47.218723
315.0,315,48.069968
187.0,187,50.711352
184.0,184,51.219978
186.0,186,51.721924
256.0,256,54.544582
294.0,294,55.339573
187.0,187,57.98758
185.0,185,58.484895
162.0,162,58.926035
167.0,167,61.513213
197.0,197,62.048578
168.0,168,62.505216
172.0,172,65.120863
161.0,161,65.555253
148.0,148,65.958217
178.0,178,68.568186
121.0,121,68.894517
160.0,160,69.328912
146.0,146,71.84553
158.0,158,72.275838
143.0,143,72.664186
154.0,154,73.085926
150.0,150,75.629806
166.0,166,76.076796
163.0,163,76.519225
136.0,136,79.019791
154.0,154,79.4348
165.0,165,79.885902
111.0,111,80.188496
246.0,246,82.991424
150.0,150,83.396434
151.0,151,85.940506
194.0,194,86.47478
258.0,258,87.175769
500.0,500,90.654068
500.0,500,94.136415
218.0,218,96.856032
193.0,193,97.37882
500.0,500,100.861019
500.0,500,104.333761
500.0,500,107.815029
500.0,500,111.310964
500.0,500,114.781682
500.0,500,118.266948
500.0,500,121.750327
500.0,500,125.234577
500.0,500,128.710897
159.0,159,129.141222
150.0,150,131.682638
500.0,500,135.173962
500.0,500,136.529528
500.0,500,140.006939
500.0,500,143.489224
500.0,500,146.989155
135.0,135,149.482541
500.0,500,152.964801
500.0,500,156.449127
266.0,266,157.166789
305.0,305,160.120435
399.0,399,163.330442
363.0,363,164.316774
500.0,500,167.797106
30.0,30,167.879941
500.0,500,171.37441
500.0,500,174.863787
500.0,500,178.341041
500.0,500,181.837043
500.0,500,185.363653
500.0,500,188.854675
500.0,500,192.340019
500.0,500,195.836998
500.0,500,199.315648
500.0,500,202.797058
500.0,500,206.285337
500.0,500,209.778419
500.0,500,213.263616
500.0,500,216.756598
292.0,292,219.694017
150.0,150,220.099937
73.0,73,220.296953
240.0,240,220.949931
197.0,197,223.617641
500.0,500,227.137951
500.0,500,230.6243
