#{"t_start": 1604648533.8083265, "env_id": "CartPole-v1"}
r,l,t
26.0,26,1.315488
10.0,10,1.345743
28.0,28,1.433637
13.0,13,1.476607
48.0,48,1.627979
13.0,13,1.665089
19.0,19,1.746147
26.0,26,1.820368
21.0,21,1.880916
14.0,14,1.92291
15.0,15,1.979553
13.0,13,2.016663
21.0,21,2.077211
24.0,24,2.160222
17.0,17,2.209051
17.0,17,2.258858
52.0,52,2.415112
10.0,10,2.451247
27.0,27,2.543046
21.0,21,2.609454
17.0,17,2.661213
11.0,11,2.693441
19.0,19,2.750083
19.0,19,2.805749
74.0,74,5.434735
17.0,17,5.487472
58.0,58,5.662282
24.0,24,5.73162
21.0,21,5.792168
29.0,29,5.876156
15.0,15,5.919125
28.0,28,6.001159
12.0,12,6.03534
13.0,13,6.073427
20.0,20,6.132022
13.0,13,6.17011
31.0,31,6.261909
19.0,19,6.327341
15.0,15,6.371288
9.0,9,6.403515
13.0,13,6.443556
21.0,21,6.507034
27.0,27,6.601763
54.0,54,6.770714
80.0,80,9.328409
21.0,21,9.387981
55.0,55,9.581346
34.0,34,9.686818
11.0,11,9.719046
32.0,32,9.810846
57.0,57,9.997375
26.0,26,10.072572
52.0,52,10.221992
40.0,40,10.385082
54.0,54,10.645832
17.0,17,10.713217
20.0,20,10.774742
231.0,231,13.794366
75.0,75,14.037537
217.0,217,14.712362
42.0,42,17.20072
98.0,98,17.482955
108.0,108,17.80523
75.0,75,18.026917
36.0,36,18.133365
23.0,23,18.198796
87.0,87,18.454664
160.0,160,21.419598
88.0,88,21.693043
115.0,115,22.044617
65.0,65,22.231146
72.0,72,22.445997
66.0,66,22.644244
139.0,139,25.299599
104.0,104,25.615038
151.0,151,26.074037
94.0,94,26.345529
176.0,176,29.221594
133.0,133,29.607347
204.0,204,30.255807
219.0,219,33.394572
183.0,183,33.923885
227.0,227,36.883936
197.0,197,37.52751
335.0,335,40.779563
219.0,219,41.575486
220.0,220,44.523818
500.0,500,48.352059
500.0,500,52.411753
315.0,315,53.394205
187.0,187,56.274176
184.0,184,56.860131
186.0,186,57.415812
256.0,256,60.541885
294.0,294,61.56633
187.0,187,64.511731
185.0,185,65.072295
162.0,162,65.569381
167.0,167,68.456187
197.0,197,69.079254
168.0,168,69.578292
172.0,172,72.594986
161.0,161,73.101837
148.0,148,73.532515
178.0,178,76.426157
121.0,121,76.793356
160.0,160,77.263097
146.0,146,80.035642
158.0,158,80.580581
143.0,143,81.035673
154.0,154,81.559126
150.0,150,84.555311
166.0,166,85.048491
163.0,163,85.525067
136.0,136,88.207766
154.0,154,88.68825
165.0,165,89.185335
111.0,111,89.522259
246.0,246,92.723529
150.0,150,93.174714
151.0,151,95.971677
194.0,194,96.571302
258.0,258,97.331091
500.0,500,101.161286
500.0,500,105.179963
218.0,218,108.240603
193.0,193,108.819723
500.0,500,112.683122
500.0,500,116.530895
500.0,500,120.434335
500.0,500,124.363165
500.0,500,128.290043
500.0,500,132.095823
500.0,500,136.085203
500.0,500,139.917351
500.0,500,144.003413
159.0,159,144.52003
150.0,150,147.227143
500.0,500,151.057338
500.0,500,152.636488
500.0,500,156.758684
500.0,500,160.549815
500.0,500,164.59486
135.0,135,167.266817
500.0,500,171.156584
500.0,500,175.183074
266.0,266,175.998528
305.0,305,179.154875
399.0,399,182.782914
363.0,363,183.905995
500.0,500,188.032098
30.0,30,188.142453
500.0,500,192.130856
500.0,500,196.157346
500.0,500,200.073481
500.0,500,203.920277
500.0,500,207.974112
500.0,500,211.848253
500.0,500,215.858142
500.0,500,219.621928
500.0,500,223.543923
500.0,500,227.584085
500.0,500,231.335177
500.0,500,235.117517
500.0,500,239.33835
500.0,500,243.248625
292.0,292,246.582711
150.0,150,247.052451
73.0,73,247.263396
240.0,240,247.988028
197.0,197,250.883623
500.0,500,254.745069
500.0,500,258.683665
500.0,500,262.709178
500.0,500,266.775709
500.0,500,270.540472
500.0,500,274.321837
500.0,500,278.295592
500.0,500,282.094535
500.0,500,285.922777
500.0,500,289.844771
500.0,500,293.726726
312.0,312,294.704294
500.0,500,298.739574
409.0,409,302.264095
418.0,418,305.92827
388.0,388,309.549474
500.0,500,311.020221
500.0,500,314.814283
500.0,500,318.760692
395.0,395,322.277401
327.0,327,325.593908
414.0,414,329.405547
433.0,433,333.012103
394.0,394,334.263118
450.0,450,338.147025
443.0,443,341.870772
500.0,500,345.940231
500.0,500,349.913985
500.0,500,353.746133
450.0,450,357.426909
20.0,20,357.484529
500.0,500,361.39871
500.0,500,365.274804
110.0,110,365.615635
79.0,79,365.841228
308.0,308,369.397001
117.0,117,369.738808
43.0,43,369.861859
169.0,169,370.37457
294.0,294,373.643224
193.0,193,374.26043
500.0,500,378.044725
500.0,500,381.964767
303.0,303,385.172873
500.0,500,389.134907
500.0,500,392.961195
500.0,500,396.854869
446.0,446,400.707525
500.0,500,404.558228
500.0,500,408.402096
500.0,500,412.382686
500.0,500,416.197256
500.0,500,420.212026
500.0,500,424.025619
467.0,467,427.900737
500.0,500,429.523833
398.0,398,433.230001
500.0,500,437.089494
500.0,500,441.069107
189.0,189,443.981305
157.0,157,444.454953
72.0,72,444.731328
158.0,158,445.18935
393.0,393,448.653323
207.0,207,451.705173
152.0,152,452.162219
500.0,500,456.11937
74.0,74,456.331291
500.0,500,460.127305
500.0,500,464.263173
500.0,500,468.203723
500.0,500,472.192126
500.0,500,476.003766
500.0,500,479.846656
500.0,500,483.932718
500.0,500,487.749241
122.0,122,488.10765
163.0,163,488.595946
500.0,500,492.530637
500.0,500,496.355948
254.0,254,499.445886
500.0,500,503.434289
500.0,500,507.279133
500.0,500,511.206011
500.0,500,515.102614
500.0,500,519.016796
500.0,500,522.962228
500.0,500,526.824651
500.0,500,530.68512
500.0,500,534.586606
500.0,500,538.504694
500.0,500,540.026225
500.0,500,544.077129
138.0,138,546.798892
213.0,213,547.421958
488.0,488,551.171096
500.0,500,555.165358
500.0,500,558.952583
500.0,500,562.840397
500.0,500,566.625669
500.0,500,570.360157
500.0,500,574.484306
500.0,500,578.298875
158.0,158,578.794985
500.0,500,582.661314
25.0,25,582.734558
344.0,344,586.457328
500.0,500,590.32561
500.0,500,594.369678
500.0,500,598.260422
