#{"t_start": 1604652493.977857, "env_id": "CartPole-v1"}
r,l,t
26.0,26,1.337931
10.0,10,1.372112
28.0,28,1.453169
13.0,13,1.493209
48.0,48,1.642628
13.0,13,1.686574
19.0,19,1.760796
26.0,26,1.83697
21.0,21,1.904354
14.0,14,1.944395
15.0,15,1.987365
13.0,13,2.024476
21.0,21,2.085024
24.0,24,2.154362
17.0,17,2.208075
17.0,17,2.267648
52.0,52,2.488357
10.0,10,2.52742
27.0,27,2.608477
21.0,21,2.670003
17.0,17,2.71981
11.0,11,2.752037
19.0,19,2.807703
19.0,19,2.898526
74.0,74,30.09369
17.0,17,30.141543
62.0,62,30.335888
14.0,14,30.376902
23.0,23,30.442334
57.0,57,30.610307
27.0,27,30.691365
20.0,20,30.74996
49.0,49,30.892543
25.0,25,30.966764
11.0,11,30.999968
20.0,20,31.058563
11.0,11,31.091768
22.0,22,31.156223
20.0,20,31.214818
11.0,11,31.247046
20.0,20,31.304664
32.0,32,31.399395
18.0,18,58.218571
77.0,77,58.48518
59.0,59,58.657061
27.0,27,58.745931
52.0,52,58.894374
108.0,108,59.222508
32.0,32,59.315284
44.0,44,59.452984
102.0,102,59.793814
115.0,115,87.129609
74.0,74,87.344459
65.0,65,87.535871
62.0,62,87.72533
83.0,83,87.978268
85.0,85,88.227298
72.0,72,115.364844
54.0,54,115.531841
89.0,89,115.787709
20.0,20,115.846304
81.0,81,116.077756
222.0,222,116.764301
132.0,132,143.985834
106.0,106,144.331547
96.0,96,144.636244
146.0,146,145.060085
166.0,166,172.328494
111.0,111,172.723038
97.0,97,173.002343
223.0,223,200.539315
95.0,95,200.843035
145.0,145,201.265899
141.0,141,201.692671
110.0,110,229.146632
126.0,126,229.510901
122.0,122,229.873217
88.0,88,230.162289
224.0,224,257.773482
233.0,233,258.516668
190.0,190,259.09188
110.0,110,286.424745
99.0,99,286.778272
232.0,232,287.568335
139.0,139,292.23547
143.0,143,292.648568
205.0,205,293.243312
417.0,417,298.67219
265.0,265,303.524876
248.0,248,304.213374
374.0,374,309.646156
153.0,153,310.070974
247.0,247,314.968584
109.0,109,315.311368
170.0,170,315.842634
204.0,204,320.653328
122.0,122,321.002948
343.0,343,321.984423
500.0,500,327.550999
321.0,321,332.734751
426.0,426,338.054249
500.0,500,343.782939
218.0,218,344.401122
400.0,400,349.809489
500.0,500,355.316494
229.0,229,360.264886
284.0,284,361.144796
181.0,181,361.671179
468.0,468,367.097126
500.0,500,372.811169
500.0,500,378.41876
500.0,500,384.229484
386.0,386,389.556795
500.0,500,395.336268
278.0,278,400.417477
500.0,500,406.050462
500.0,500,407.57004
500.0,500,413.279198
500.0,500,418.902416
500.0,500,424.848886
500.0,500,430.561951
500.0,500,436.273062
500.0,500,442.183398
500.0,500,447.831032
500.0,500,453.63785
500.0,500,459.282553
500.0,500,465.14406
500.0,500,470.778997
500.0,500,476.580932
500.0,500,482.231495
500.0,500,487.948466
500.0,500,493.665437
400.0,400,498.982005
186.0,186,499.531826
500.0,500,505.420678
500.0,500,511.08589
438.0,438,516.615355
500.0,500,522.288379
500.0,500,528.052227
500.0,500,533.846349
500.0,500,539.381674
500.0,500,545.021494
500.0,500,550.612485
500.0,500,556.287462
500.0,500,561.929236
122.0,122,562.278856
123.0,123,562.630429
500.0,500,568.26732
500.0,500,573.997964
500.0,500,579.851657
500.0,500,585.63699
263.0,263,590.5346
500.0,500,596.285753
445.0,445,601.836703
500.0,500,607.623988
500.0,500,613.272598
500.0,500,619.013984
500.0,500,624.786621
500.0,500,630.324875
500.0,500,636.066262
500.0,500,637.497946
