#{"t_start": 1604672422.9635262, "env_id": "CartPole-v1"}
r,l,t
19.0,19,1.468795
16.0,16,1.516648
25.0,25,1.590868
16.0,16,1.640675
33.0,33,1.734428
8.0,8,1.757867
8.0,8,1.781304
22.0,22,1.844782
12.0,12,1.878963
14.0,14,1.920957
14.0,14,1.961973
12.0,12,1.997131
17.0,17,2.04596
20.0,20,2.105533
28.0,28,2.186589
14.0,14,2.230537
11.0,11,2.261787
15.0,15,2.306711
13.0,13,2.346751
14.0,14,2.39558
13.0,13,2.433668
13.0,13,2.471755
27.0,27,2.550859
11.0,11,2.583086
16.0,16,2.630939
42.0,42,2.752037
18.0,18,2.805749
16.0,16,2.851649
29.0,29,12.852931
43.0,43,12.975981
15.0,15,13.018951
68.0,68,13.215246
55.0,55,13.38615
31.0,31,13.481856
41.0,41,13.60393
45.0,45,13.739676
13.0,13,13.777763
19.0,19,13.855891
87.0,87,14.1225
44.0,44,14.26313
15.0,15,14.30903
19.0,19,14.366648
25.0,25,18.366771
63.0,63,18.555253
14.0,14,18.595293
110.0,110,18.916592
26.0,26,19.026947
54.0,54,19.205663
49.0,49,19.360941
40.0,40,19.509384
71.0,71,19.748648
29.0,29,19.837518
39.0,39,19.956662
35.0,35,23.863031
99.0,99,24.165776
53.0,53,24.3191
122.0,122,24.676534
140.0,140,25.087678
130.0,130,29.444257
323.0,323,30.420849
206.0,206,34.791099
158.0,158,35.255957
85.0,85,35.552841
422.0,422,40.831322
223.0,223,41.501265
191.0,191,45.826592
192.0,192,46.400828
230.0,230,51.035735
173.0,173,51.558212
207.0,207,52.183231
160.0,160,56.418711
137.0,137,56.851341
304.0,304,61.793875
210.0,210,62.417917
196.0,196,62.997037
500.0,500,68.199344
500.0,500,73.560835
500.0,500,78.818808
500.0,500,84.233035
500.0,500,89.637497
500.0,500,94.961878
500.0,500,100.334113
152.0,152,100.789204
500.0,500,105.997371
500.0,500,111.417458
465.0,465,116.60121
105.0,105,116.923485
500.0,500,122.392401
500.0,500,127.613264
500.0,500,133.138824
500.0,500,138.408515
500.0,500,143.925285
459.0,459,149.111966
173.0,173,153.540812
90.0,90,153.804492
64.0,64,153.995904
72.0,72,154.205872
123.0,123,154.574048
27.0,27,154.652174
404.0,404,159.662095
306.0,306,164.444464
34.0,34,164.544077
500.0,500,169.896779
500.0,500,175.405736
164.0,164,175.914541
384.0,384,180.86977
25.0,25,180.941062
500.0,500,186.280091
113.0,113,186.620922
500.0,500,192.073237
348.0,348,196.870258
259.0,259,197.682782
500.0,500,203.106776
500.0,500,208.297364
500.0,500,213.808274
343.0,343,218.640452
500.0,500,224.166012
500.0,500,229.461096
500.0,500,235.024741
89.0,89,235.282562
500.0,500,240.759291
500.0,500,246.174495
500.0,500,251.377778
214.0,214,252.038932
66.0,66,252.242063
255.0,255,257.160182
72.0,72,257.382844
232.0,232,262.056815
500.0,500,263.766829
500.0,500,269.052145
353.0,353,274.012257
500.0,500,279.223354
96.0,96,279.543677
500.0,500,295.750224
500.0,500,301.178125
500.0,500,306.625556
500.0,500,311.941148
500.0,500,317.353422
500.0,500,322.654365
500.0,500,328.064686
500.0,500,333.406646
500.0,500,338.852124
244.0,244,343.408904
500.0,500,348.706917
500.0,500,354.187553
117.0,117,354.530337
500.0,500,359.936751
229.0,229,360.674079
500.0,500,366.203544
500.0,500,371.630467
500.0,500,377.089618
500.0,500,382.434507
500.0,500,387.898541
205.0,205,388.509888
500.0,500,393.915326
164.0,164,398.357844
500.0,500,403.6207
462.0,462,408.891368
500.0,500,414.223562
500.0,500,419.739356
500.0,500,425.029556
447.0,447,426.388972
14.0,14,426.434874
500.0,500,431.914531
281.0,281,436.551392
66.0,66,436.807259
162.0,162,437.341455
500.0,500,442.598451
500.0,500,448.101548
500.0,500,453.424953
500.0,500,458.905589
396.0,396,463.821754
338.0,338,468.698856
500.0,500,473.991009
500.0,500,479.416955
500.0,500,484.672975
500.0,500,490.07353
263.0,263,490.908517
147.0,147,491.380211
500.0,500,496.792485
500.0,500,502.154953
450.0,450,507.386558
500.0,500,512.820318
500.0,500,518.171066
500.0,500,523.716157
500.0,500,529.126478
500.0,500,534.415703
416.0,416,539.60922
500.0,500,544.887701
474.0,474,550.222825
407.0,407,555.261064
67.0,67,555.483727
157.0,157,555.971046
500.0,500,561.349141
500.0,500,577.466819
33.0,33,577.577174
500.0,500,583.05488
500.0,500,588.451529
126.0,126,588.8324
500.0,500,594.392139
500.0,500,599.698942
500.0,500,605.159069
457.0,457,610.512749
81.0,81,610.775452
390.0,390,615.746306
80.0,80,615.977758
500.0,500,621.415424
500.0,500,626.744688
15.0,15,626.788635
500.0,500,632.134501
500.0,500,637.405169
500.0,500,642.807678
267.0,267,647.429889
41.0,41,647.55001
42.0,42,647.676967
200.0,200,648.274642
500.0,500,653.624414
281.0,281,658.250531
178.0,178,658.805236
500.0,500,664.239971
500.0,500,669.533102
500.0,500,675.041082
500.0,500,680.372299
500.0,500,685.809965
44.0,44,685.935945
500.0,500,691.229077
116.0,116,691.579673
500.0,500,697.012455
266.0,266,701.613181
500.0,500,707.080144
231.0,231,707.77255
500.0,500,713.169198
142.0,142,713.605734
62.0,62,717.64785
500.0,500,723.118719
500.0,500,728.517321
79.0,79,728.748774
146.0,146,729.190193
277.0,277,733.851468
122.0,122,734.218667
500.0,500,739.478593
462.0,462,744.877195
500.0,500,750.266031
500.0,500,755.739831
500.0,500,760.956787
500.0,500,766.336833
500.0,500,771.72567
500.0,500,777.165288
225.0,225,777.838161
453.0,453,782.932066
97.0,97,783.218207
500.0,500,788.649037
500.0,500,794.066195
53.0,53,794.263466
74.0,74,794.477339
500.0,500,799.762657
500.0,500,805.164189
500.0,500,810.509078
500.0,500,816.030731
500.0,500,821.281868
500.0,500,826.724416
500.0,500,832.141573
136.0,136,832.570297
500.0,500,838.065582
500.0,500,843.363595
138.0,138,858.539839
500.0,500,863.851524
500.0,500,865.428722
500.0,500,870.717945
500.0,500,876.170259
160.0,160,880.447734
453.0,453,885.599258
500.0,500,891.117004
500.0,500,896.557599
500.0,500,902.021634
500.0,500,907.393867
500.0,500,912.739733
194.0,194,913.349127
473.0,473,918.64128
185.0,185,919.237001
203.0,203,923.617994
500.0,500,929.026363
500.0,500,934.316564
500.0,500,939.867513
203.0,203,940.498391
132.0,132,940.889029
329.0,329,945.783709
199.0,199,946.427284
283.0,283,951.171569
500.0,500,956.469581
500.0,500,961.875997
500.0,500,967.133969
289.0,289,968.113492
246.0,246,972.659528
196.0,196,973.264039
207.0,207,977.904805
210.0,210,978.606975
217.0,217,979.254456
500.0,500,984.590556
500.0,500,990.049707
186.0,186,994.471717
500.0,500,999.887897
495.0,495,1005.148799
256.0,256,1005.951559
331.0,331,1010.855028
334.0,334,1011.897052
200.0,200,1016.278045
282.0,282,1017.245848
352.0,352,1022.269439
500.0,500,1027.549873
500.0,500,1033.070549
500.0,500,1038.451573
479.0,479,1043.854081
197.0,197,1044.452732
500.0,500,1049.921649
500.0,500,1055.238217
500.0,500,1060.764753
237.0,237,1065.17895
298.0,298,1066.068625
500.0,500,1071.503361
10.0,10,1071.532659
500.0,500,1076.769147
240.0,240,1081.424562
380.0,380,1082.569128
215.0,215,1086.991138
172.0,172,1087.513615
193.0,193,1092.09188
188.0,188,1092.670998
24.0,24,1092.740337
195.0,195,1093.357543
183.0,183,1097.683847
403.0,403,1102.870528
287.0,287,1103.734812
392.0,392,1108.738871
500.0,500,1114.219507
224.0,224,1114.942185
500.0,500,1120.217737
500.0,500,1125.633918
303.0,303,1141.336635
500.0,500,1146.706916
458.0,458,1151.883831
500.0,500,1156.681829
500.0,500,1161.689794
500.0,500,1166.362788
500.0,500,1171.069963
500.0,500,1175.824991
242.0,242,1176.547669
223.0,223,1177.260581
262.0,262,1181.237265
159.0,159,1181.736304
500.0,500,1186.502074
500.0,500,1191.213155
500.0,500,1196.159595
500.0,500,1200.913646
365.0,365,1205.377649
440.0,440,1209.865091
380.0,380,1214.328117
500.0,500,1215.820351
500.0,500,1220.450374
500.0,500,1225.347984
202.0,202,1229.144
500.0,500,1233.991803
500.0,500,1238.739994
500.0,500,1243.643464
500.0,500,1248.388726
500.0,500,1253.49435
500.0,500,1258.600951
500.0,500,1263.447778
14.0,14,1263.495631
500.0,500,1268.202806
45.0,45,1268.341482
18.0,18,1268.394218
500.0,500,1273.159988
500.0,500,1278.007792
500.0,500,1282.818486
500.0,500,1287.714143
500.0,500,1292.459405
500.0,500,1297.435142
500.0,500,1302.235094
500.0,500,1307.108289
38.0,38,1307.224504
27.0,27,1307.309467
21.0,21,1307.374898
138.0,138,1307.802646
108.0,108,1308.121992
130.0,130,1311.704132
42.0,42,1311.830113
500.0,500,1316.790225
94.0,94,1317.074414
500.0,500,1321.813815
500.0,500,1326.647946
500.0,500,1331.437155
19.0,19,1331.494774
142.0,142,1331.961586
214.0,214,1332.660825
142.0,142,1336.485161
500.0,500,1341.246049
500.0,500,1346.154401
500.0,500,1350.991462
381.0,381,1352.216109
500.0,500,1357.14204
301.0,301,1361.30037
213.0,213,1361.933203
500.0,500,1366.832765
500.0,500,1371.571191
500.0,500,1376.442434
500.0,500,1381.199414
500.0,500,1397.222363
500.0,500,1402.008642
500.0,500,1406.936527
500.0,500,1411.665186
500.0,500,1416.494436
500.0,500,1421.33345
12.0,12,1421.380327
14.0,14,1421.421343
500.0,500,1426.183208
500.0,500,1431.006596
500.0,500,1435.923738
500.0,500,1440.787168
500.0,500,1445.551962
202.0,202,1446.193583
500.0,500,1451.059942
500.0,500,1455.851103
500.0,500,1460.815122
500.0,500,1465.617027
500.0,500,1470.615226
500.0,500,1475.36537
500.0,500,1480.284466
500.0,500,1484.992618
500.0,500,1489.886321
27.0,27,1489.982027
233.0,233,1493.877653
500.0,500,1498.674674
452.0,452,1503.207039
25.0,25,1503.279307
500.0,500,1508.242349
500.0,500,1512.893858
500.0,500,1517.647909
500.0,500,1522.588489
500.0,500,1527.32008
500.0,500,1532.185462
500.0,500,1533.726525
500.0,500,1538.520616
500.0,500,1543.427015
500.0,500,1548.158604
500.0,500,1553.04059
500.0,500,1557.778039
500.0,500,1562.644398
500.0,500,1567.449233
500.0,500,1572.599779
500.0,500,1577.35676
17.0,17,1577.409496
500.0,500,1582.307106
500.0,500,1587.067017
500.0,500,1591.915798
500.0,500,1596.69524
500.0,500,1601.590898
500.0,500,1606.385965
500.0,500,1611.400767
500.0,500,1616.2515
500.0,500,1621.081725
500.0,500,1625.890466
500.0,500,1630.887689
500.0,500,1635.668108
73.0,73,1635.885888
90.0,90,1636.179842
500.0,500,1652.100249
85.0,85,1652.353186
500.0,500,1657.198061
500.0,500,1662.005824
500.0,500,1666.771595
500.0,500,1671.669205
500.0,500,1676.398841
500.0,500,1681.145079
500.0,500,1685.934289
436.0,436,1690.598493
500.0,500,1695.434578
483.0,483,1700.21695
500.0,500,1705.040339
500.0,500,1709.826618
500.0,500,1714.638289
500.0,500,1719.42066
500.0,500,1724.211823
500.0,500,1728.904348
500.0,500,1733.760941
500.0,500,1738.457373
19.0,19,1738.512063
245.0,245,1739.234741
500.0,500,1744.051294
500.0,500,1748.856128
335.0,335,1753.370914
500.0,500,1758.241179
500.0,500,1763.197385
500.0,500,1768.051049
438.0,438,1772.645915
500.0,500,1777.549385
500.0,500,1782.356172
500.0,500,1787.284057
70.0,70,1787.50965
306.0,306,1788.459874
144.0,144,1792.173854
500.0,500,1797.020682
500.0,500,1801.835282
500.0,500,1806.720197
500.0,500,1811.490849
122.0,122,1811.887346
500.0,500,1816.77519
500.0,500,1821.569355
500.0,500,1826.518725
500.0,500,1831.410476
500.0,500,1836.325665
500.0,500,1841.111943
500.0,500,1845.916777
500.0,500,1850.65043
500.0,500,1855.479465
261.0,261,1856.270503
176.0,176,1860.059757
500.0,500,1864.767909
500.0,500,1866.352918
500.0,500,1871.058722
500.0,500,1875.974887
500.0,500,1880.847106
500.0,500,1885.760342
160.0,160,1889.512409
500.0,500,1905.331251
500.0,500,1910.233744
183.0,183,1910.780636
154.0,154,1911.256237
500.0,500,1916.089391
500.0,500,1920.794613
241.0,241,1924.765437
274.0,274,1925.622885
500.0,500,1930.518542
500.0,500,1935.207162
500.0,500,1940.138953
500.0,500,1944.875425
500.0,500,1949.739831
500.0,500,1954.460678
500.0,500,1959.245983
500.0,500,1964.009365
500.0,500,1968.921624
500.0,500,1973.682511
500.0,500,1978.563519
500.0,500,1983.309757
500.0,500,1988.206391
500.0,500,1993.156738
500.0,500,1998.049464
500.0,500,2002.828907
500.0,500,2007.723588
500.0,500,2012.528422
500.0,500,2017.332279
500.0,500,2022.228913
500.0,500,2026.999566
500.0,500,2031.913778
495.0,495,2036.70201
500.0,500,2041.628919
500.0,500,2046.307771
500.0,500,2051.267884
500.0,500,2055.967246
500.0,500,2060.798448
500.0,500,2065.867938
500.0,500,2070.757735
500.0,500,2075.534248
38.0,38,2075.646557
115.0,115,2075.99813
500.0,500,2080.970937
92.0,92,2081.259032
40.0,40,2081.380129
32.0,32,2081.475836
93.0,93,2081.77565
63.0,63,2081.969014
500.0,500,2086.713299
294.0,294,2091.186092
500.0,500,2096.152064
71.0,71,2096.384493
500.0,500,2101.281127
500.0,500,2106.176785
500.0,500,2111.098809
500.0,500,2115.871415
500.0,500,2120.656718
500.0,500,2125.422488
500.0,500,2130.286894
500.0,500,2135.042898
500.0,500,2139.73933
272.0,272,2140.722759
500.0,500,2145.505131
500.0,500,2161.507571
396.0,396,2165.934464
500.0,500,2170.907272
387.0,387,2175.541203
500.0,500,2180.306973
500.0,500,2185.264155
500.0,500,2190.074849
500.0,500,2194.946093
500.0,500,2199.710885
500.0,500,2204.692482
500.0,500,2209.480713
500.0,500,2214.370511
235.0,235,2215.088306
500.0,500,2219.888259
500.0,500,2224.740945
489.0,489,2229.53113
500.0,500,2234.472687
335.0,335,2238.812662
500.0,500,2243.735664
500.0,500,2248.440885
500.0,500,2253.310174
500.0,500,2258.16731
300.0,300,2259.082377
15.0,15,2259.127301
500.0,500,2264.005379
500.0,500,2268.839511
208.0,208,2272.78299
293.0,293,2273.714659
341.0,341,2278.027291
500.0,500,2282.868259
500.0,500,2287.652584
500.0,500,2292.381244
402.0,402,2296.934881
500.0,500,2301.686977
500.0,500,2303.339371
500.0,500,2308.126845
500.0,500,2312.858433
156.0,156,2316.70523
500.0,500,2321.48858
500.0,500,2326.361775
500.0,500,2331.121685
500.0,500,2335.910894
500.0,500,2340.692291
500.0,500,2345.524468
500.0,500,2350.341998
500.0,500,2355.254257
500.0,500,2360.142102
500.0,500,2365.074869
500.0,500,2366.743865
500.0,500,2371.509635
