#{"t_start": 1600275589.1283312, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1405.990872,1000,6.992362
-892.932944,1000,11.271256
-1567.269752,1000,42.505676
-1254.64487,1000,46.789573
-1429.370372,1000,54.462555
-1236.958642,1000,58.713423
-1571.635861,1000,66.483492
-1449.277821,1000,70.757382
-1204.054546,1000,78.508434
-1277.785302,1000,82.771313
-1307.873448,1000,90.501346
-1493.614481,1000,94.788247
-1180.886491,1000,102.492257
-940.592723,1000,106.717101
-1151.936589,1000,114.55223
-1403.823204,1000,118.793089
-1190.134344,1000,126.471075
-1214.78489,1000,130.725946
-1138.17176,1000,138.480002
-1197.690559,1000,142.810943
-1006.327453,1000,150.601031
-963.387574,1000,155.083109
-916.115851,1000,162.817146
-936.962291,1000,167.081026
-679.478651,1000,174.813061
-988.403649,1000,179.077942
-942.09987,1000,186.859021
-610.377495,1000,191.154931
-798.230443,1000,198.894973
-852.369512,1000,203.167861
-993.347464,1000,211.134109
-798.558975,1000,215.389982
-811.609555,1000,223.116012
-739.852222,1000,227.35687
-813.282032,1000,235.076895
-862.146776,1000,239.356789
-645.931865,1000,247.054793
-536.0103,1000,251.374724
-791.05884,1000,259.108761
-689.025698,1000,263.429693
-638.652492,1000,271.123693
-587.657067,1000,275.391577
-564.750495,1000,279.732527
-622.051877,1000,287.757828
-532.753446,1000,292.113792
-438.942963,1000,299.750741
-737.304861,1000,304.036641
-441.607258,1000,311.717629
-540.096151,1000,315.933465
-484.473009,1000,323.622461
-358.779766,1000,327.880336
-437.952129,1000,335.557321
-435.849944,1000,339.795177
-482.629628,1000,347.499187
-383.948966,1000,351.761064
-410.762762,1000,359.487095
-212.176991,1000,363.72495
-371.136661,1000,371.444975
-285.464551,1000,375.696844
-305.606741,1000,383.44089
-336.406453,1000,387.676744
-99.615171,1000,395.401773
-171.171985,1000,399.645634
-151.65769,1000,407.395686
183.311994,1000,411.665571
-162.481852,1000,419.377589
27.623099,1000,423.620449
88.494033,1000,431.317452
82.412421,1000,435.595345
-26.340665,1000,443.29435
54.76781,1000,447.49317
-42.080532,1000,455.255233
138.465381,1000,459.588176
-68.305233,1000,467.360247
268.630166,1000,471.598104
193.371453,1000,479.410211
245.685185,1000,483.690106
248.220056,1000,491.424143
233.175247,1000,495.749078
213.248665,1000,503.416054
261.889879,1000,507.662919
293.643723,1000,515.366928
407.086798,1000,519.619798
413.409996,1000,527.352834
358.074095,1000,531.567669
73.220443,1000,535.840557
421.106921,1000,543.548571
247.188548,1000,547.752396
219.815453,1000,555.496442
397.349386,1000,559.781341
112.321791,1000,567.508372
395.204414,1000,571.752233
399.032661,1000,579.48627
379.431568,1000,583.793189
399.136856,1000,591.593286
342.25942,1000,595.863171
316.401176,1000,603.525143
-365.512677,1000,607.82005
-396.465782,1000,615.475015
147.719086,1000,619.79895
337.847219,1000,627.554006
389.650304,1000,631.808878
397.414047,1000,639.587956
297.651887,1000,643.9229
442.076354,1000,674.654863
442.428906,1000,678.929752
441.970292,1000,686.646775
462.51849,1000,690.947687
386.585175,1000,698.729769
436.023874,1000,703.135778
290.294144,1000,710.855824
407.885795,1000,715.136719
441.667498,1000,722.905788
471.986287,1000,727.223716
442.708461,1000,735.017808
418.111623,1000,739.446838
494.10817,1000,747.157854
473.337842,1000,751.368685
76.090637,1000,759.067691
416.294797,1000,763.35359
408.154365,1000,771.092632
421.293218,1000,775.348504
450.574239,1000,783.040503
479.095732,1000,787.336412
433.447374,1000,795.087465
480.044408,1000,799.358351
490.506648,1000,807.110404
479.907913,1000,811.422328
313.741547,1000,815.731248
509.990824,1000,823.458279
480.802686,1000,827.728164
481.811958,1000,835.48222
504.017481,1000,839.718074
520.642172,1000,847.454113
484.605824,1000,851.738011
495.317189,1000,859.444023
499.669518,1000,863.721915
424.467486,1000,871.429928
515.206519,1000,875.693808
512.935237,1000,883.44486
491.271452,1000,887.74177
482.415593,1000,895.458791
550.183433,1000,899.732681
509.660612,1000,907.418674
505.469971,1000,911.699569
534.991006,1000,919.407583
524.980053,1000,923.644438
507.665734,1000,931.473562
494.471729,1000,935.6924
540.524216,1000,943.342361
243.210338,1000,947.609243
525.337483,1000,955.330268
569.219005,1000,959.600154
541.219327,1000,967.287148
534.346686,1000,971.59707
523.42457,1000,979.234018
552.574604,1000,983.500901
540.538274,1000,991.190898
578.167091,1000,995.476798
-85.227573,1000,1003.287905
-164.095406,1000,1007.515752
270.508734,1000,1015.22877
571.984903,1000,1019.458618
560.617752,1000,1027.209671
496.171983,1000,1031.526599
340.768752,1000,1039.226605
526.761354,1000,1043.465462
557.363405,1000,1051.212511
250.633712,1000,1055.46438
546.562804,1000,1063.187407
520.246277,1000,1067.434271
564.159241,1000,1071.822264
524.606,1000,1079.541287
533.419708,1000,1083.888242
535.27847,1000,1091.600264
-740.260702,1000,1095.861136
-520.433766,1000,1103.583163
566.186522,1000,1107.867061
563.357486,1000,1115.619114
518.302274,1000,1119.881993
527.998002,1000,1127.583
545.158271,1000,1131.827862
326.181453,1000,1139.486831
568.118975,1000,1143.764724
550.766005,1000,1151.466732
546.751516,1000,1155.723605
550.857807,1000,1163.424612
529.865989,1000,1167.736535
563.760388,1000,1175.497597
541.314303,1000,1179.751467
540.655496,1000,1187.452475
-436.543823,1000,1191.944562
551.785676,1000,1199.826734
539.21408,1000,1204.065591
470.56009,1000,1211.756589
566.398634,1000,1216.019468
-308.97385,1000,1223.729483
13.823565,1000,1227.908285
545.535035,1000,1235.668346
591.517507,1000,1239.922216
572.320921,1000,1247.63023
564.164287,1000,1251.967176
574.544734,1000,1259.673188
587.908435,1000,1263.990116
-24.437357,1000,1271.700131
581.099622,1000,1275.962009
588.68241,1000,1306.68096
591.716347,1000,1310.943839
563.969679,1000,1318.667866
596.73722,1000,1323.000809
576.9127,1000,1330.734846
586.592177,1000,1334.983712
595.58056,1000,1342.688723
595.534861,1000,1346.973621
582.906635,1000,1351.795009
533.841223,1000,1359.640147
591.5064,1000,1363.976092
-812.938862,1000,1371.965362
547.536175,1000,1376.621598
584.928161,1000,1384.729976
569.723544,1000,1389.137987
563.723642,1000,1397.201323
565.323299,1000,1401.518251
581.132159,1000,1409.236274
621.139697,1000,1413.458115
601.8967,1000,1421.217175
611.879404,1000,1425.493066
593.35242,1000,1433.221098
589.838534,1000,1437.51
569.314666,1000,1445.232026
609.709149,1000,1449.487898
602.909272,1000,1457.208924
573.679095,1000,1461.481812
611.588915,1000,1469.276905
592.636316,1000,1473.571812
575.022801,1000,1481.211764
612.56128,1000,1485.539702
629.973714,1000,1493.209681
606.126658,1000,1497.456545
604.559224,1000,1505.181574
625.164337,1000,1509.455462
622.402557,1000,1517.146461
599.111434,1000,1521.461387
619.368669,1000,1529.143376
596.398411,1000,1533.403252
613.004113,1000,1541.085242
660.175637,1000,1545.297075
628.055808,1000,1552.992076
653.588731,1000,1557.266966
624.090794,1000,1565.048046
660.917717,1000,1569.262881
638.620881,1000,1577.09801
665.462099,1000,1581.366894
650.591037,1000,1589.037874
656.505115,1000,1593.398843
655.137253,1000,1597.662722
674.266537,1000,1605.296668
678.593036,1000,1609.588573
660.768802,1000,1617.266559
662.027539,1000,1621.684579
690.712274,1000,1629.417615
706.466426,1000,1633.711522
658.956566,1000,1641.381501
686.054481,1000,1645.726454
681.190725,1000,1653.424459
678.740624,1000,1657.660313
682.967509,1000,1665.321284
654.866154,1000,1669.598175
666.937914,1000,1677.255142
664.301644,1000,1681.479986
707.476525,1000,1689.116935
687.253724,1000,1693.390824
689.976571,1000,1701.095834
688.09082,1000,1705.348704
640.38733,1000,1713.16882
693.156455,1000,1717.442708
697.321609,1000,1725.107683
685.443256,1000,1729.371562
673.500875,1000,1737.03954
673.81748,1000,1741.27139
708.396253,1000,1748.846282
710.488572,1000,1753.122173
716.611456,1000,1760.80116
749.780038,1000,1765.047023
705.142012,1000,1772.668958
740.298086,1000,1776.926836
724.480388,1000,1784.570788
714.49679,1000,1788.792629
693.67291,1000,1796.502645
744.864026,1000,1800.708471
701.186198,1000,1808.385457
735.604157,1000,1812.615305
711.318451,1000,1820.289288
732.549777,1000,1824.530147
746.829325,1000,1832.19412
754.722113,1000,1836.487026
752.784285,1000,1844.157005
765.310463,1000,1848.400867
719.146972,1000,1852.614701
760.250832,1000,1860.347737
741.875145,1000,1864.620625
747.048039,1000,1872.358665
765.574162,1000,1876.612536
746.652777,1000,1884.330559
788.383505,1000,1888.61846
759.964283,1000,1896.301451
749.936012,1000,1900.567333
761.969417,1000,1908.331396
767.481419,1000,1912.603284
806.174274,1000,1943.161088
747.269735,1000,1947.432975
741.722238,1000,1955.047904
763.66092,1000,1959.287761
739.40352,1000,1966.952736
759.42065,1000,1971.187589
758.598357,1000,1978.873582
765.707647,1000,1983.099427
799.850537,1000,1990.759397
806.427349,1000,1995.007262
779.372927,1000,2002.658224
772.623725,1000,2006.919101
814.952533,1000,2014.587078
801.369978,1000,2018.878983
796.503224,1000,2026.626032
773.438946,1000,2030.867892
814.417737,1000,2038.524858
800.868216,1000,2042.7467
802.799854,1000,2050.359627
805.034713,1000,2054.637519
815.648274,1000,2062.253449
808.888611,1000,2066.555363
810.089618,1000,2074.184305
851.869129,1000,2078.499231
831.538511,1000,2086.120165
807.384834,1000,2090.382043
793.611121,1000,2098.354297
839.217095,1000,2102.585146
846.564487,1000,2110.196072
838.693104,1000,2114.461953
825.596839,1000,2122.12893
846.7995,1000,2126.389807
842.304435,1000,2130.588627
864.744068,1000,2138.28563
750.025493,1000,2142.566525
758.292778,1000,2150.284548
339.070455,1000,2154.481367
859.838208,1000,2162.201391
760.748972,1000,2166.426235
-19.377084,1000,2174.101219
-1000.00086,1000,2178.366099
868.606182,1000,2185.997042
830.061505,1000,2190.281941
836.768981,1000,2197.996961
799.321407,1000,2202.209794
764.772584,1000,2209.817717
795.362876,1000,2214.037556
845.710461,1000,2221.60244
901.086916,1000,2225.846301
861.167801,1000,2233.514278
843.729045,1000,2237.80218
853.009279,1000,2245.544224
830.730746,1000,2249.799096
879.926884,1000,2257.701286
893.065131,1000,2261.961162
926.792461,1000,2269.694198
