#{"t_start": 1600351297.3341453, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1405.990872,1000,5.882006
-892.932944,1000,10.247366
-1352.710919,1000,75.212133
-1535.012033,1000,79.587259
-1506.538823,1000,120.767159
-1546.945069,1000,125.101269
-1344.053668,1000,166.450122
-1486.284382,1000,170.795948
-1434.884198,1000,211.996356
-1057.08601,1000,216.534574
-1269.611763,1000,258.505512
-1420.144356,1000,262.966578
-1299.594191,1000,304.599617
-1161.62546,1000,308.892709
-994.988932,1000,350.270857
-1206.310609,1000,354.659656
-1261.605226,1000,395.885456
-1211.452726,1000,400.197104
-1130.487312,1000,441.580135
-744.873079,1000,445.949402
-969.823988,1000,487.164459
-973.966586,1000,491.643104
-834.439467,1000,503.214728
-1196.603721,1000,507.432624
-988.170598,1000,518.923189
-737.314347,1000,523.164522
-815.236064,1000,534.647276
-794.385672,1000,538.823178
-739.459234,1000,550.281517
-798.796076,1000,554.470114
-772.414854,1000,565.945055
-710.984875,1000,570.157091
-700.8138,1000,581.592968
-748.237488,1000,585.833324
-523.519205,1000,597.354165
-510.07338,1000,601.510535
-728.056054,1000,612.970827
-574.507186,1000,617.160401
-691.267965,1000,628.736907
-581.847805,1000,632.971404
-405.696882,1000,644.581115
-645.426742,1000,648.833191
-653.628158,1000,653.075501
-500.812894,1000,664.606107
-489.457149,1000,668.836698
-293.551466,1000,680.370234
-429.281239,1000,684.679929
-465.994858,1000,696.185144
-549.6595,1000,700.410852
-451.009368,1000,711.854542
-531.803691,1000,716.053882
-323.678462,1000,727.603044
-459.158596,1000,731.787735
-343.372071,1000,743.273418
-324.384829,1000,747.540143
-466.382302,1000,758.946723
-338.469944,1000,763.17829
-168.000244,1000,774.627839
-145.246305,1000,778.885775
-385.270592,1000,790.330441
-147.686516,1000,794.499507
-231.144182,1000,806.204923
-117.50388,1000,810.623996
-156.986746,1000,822.790363
-2.771445,1000,827.246547
-41.296924,1000,839.280097
-14.347254,1000,843.695264
96.863428,1000,855.775691
-54.570536,1000,860.234804
33.346986,1000,872.265425
12.06999,1000,876.69524
-27.860178,1000,888.747346
-9.84273,1000,893.137121
-16.197293,1000,905.553495
37.634395,1000,910.202067
-112.647215,1000,922.457304
34.050586,1000,926.886143
8.890588,1000,939.125754
14.116873,1000,943.562405
-163.552682,1000,955.652598
48.186641,1000,960.075578
-43.886294,1000,972.153075
113.65927,1000,976.600469
117.430884,1000,988.686756
70.122338,1000,993.09118
88.78151,1000,997.531738
18.10147,1000,1009.595562
64.634874,1000,1014.046863
61.986565,1000,1026.157564
21.187742,1000,1030.614724
85.120793,1000,1042.739098
168.986765,1000,1047.253876
143.223967,1000,1059.340163
121.804766,1000,1063.7983
259.723422,1000,1076.04533
189.047648,1000,1080.446825
295.409441,1000,1092.537995
261.536848,1000,1096.96781
298.763641,1000,1109.081441
182.201025,1000,1113.496608
171.997991,1000,1125.619028
212.306736,1000,1130.060562
246.497747,1000,1142.498421
277.326705,1000,1146.940933
360.05932,1000,1183.594335
464.465774,1000,1188.034893
304.603783,1000,1199.788162
534.772019,1000,1204.011917
329.139487,1000,1215.666551
461.390456,1000,1219.892259
362.052856,1000,1231.376965
391.868738,1000,1235.565562
574.974182,1000,1247.068825
362.246321,1000,1251.250586
548.713106,1000,1262.815373
264.386642,1000,1267.002994
569.284995,1000,1278.497466
553.409624,1000,1282.718292
483.481937,1000,1294.336791
660.844749,1000,1298.574218
448.046893,1000,1310.182952
466.783013,1000,1314.369596
673.140594,1000,1325.807427
597.595105,1000,1329.928639
553.217296,1000,1341.421159
578.319222,1000,1345.531629
640.344274,1000,1356.952857
635.327644,1000,1361.156104
671.638319,1000,1365.321263
654.905162,1000,1376.781555
613.395147,1000,1380.950621
598.659746,1000,1392.338645
674.070045,1000,1396.684474
591.046225,1000,1407.982651
388.320761,1000,1412.098005
717.182245,1000,1423.415714
621.59068,1000,1427.582826
754.091134,1000,1439.107574
725.028252,1000,1443.254178
700.567759,1000,1454.730095
762.050513,1000,1458.881582
662.623535,1000,1470.200268
837.680548,1000,1474.366404
823.398733,1000,1485.740756
705.952163,1000,1489.873688
713.258634,1000,1501.169913
752.232603,1000,1505.282336
692.375733,1000,1516.640086
913.517029,1000,1520.74079
804.962881,1000,1532.060453
728.113407,1000,1536.192409
991.513004,1000,1547.558948
959.393339,1000,1551.679184
873.17052,1000,1563.012519
890.573394,1000,1567.156193
858.594192,1000,1578.47488
843.905273,1000,1582.569724
930.250624,1000,1593.895247
841.462974,1000,1598.073102
774.950114,1000,1609.354677
948.28125,1000,1613.501282
864.938117,1000,1624.846336
951.533558,1000,1628.946064
889.400116,1000,1640.230569
897.59253,1000,1644.355689
853.930687,1000,1655.676328
906.587193,1000,1659.770196
760.311994,1000,1671.093765
787.593695,1000,1675.203259
786.664963,1000,1686.616675
842.010958,1000,1690.766208
815.084966,1000,1694.838592
932.675793,1000,1706.30865
1016.657989,1000,1710.448417
939.146015,1000,1721.823746
1001.742365,1000,1726.01039
977.595086,1000,1737.261692
1049.545792,1000,1741.412202
857.475167,1000,1752.7221
1058.725731,1000,1756.862844
920.04822,1000,1768.209851
1107.644731,1000,1772.32911
1053.487264,1000,1783.61264
1015.952395,1000,1787.68307
1098.650888,1000,1798.945115
975.884844,1000,1803.045818
984.007655,1000,1814.357668
1078.727894,1000,1818.478881
1040.188594,1000,1829.846397
1143.459408,1000,1833.877763
1023.190227,1000,1845.174973
967.105806,1000,1849.316685
1064.616668,1000,1860.656857
1124.428897,1000,1864.754631
1039.255295,1000,1876.034254
1212.645337,1000,1880.129099
1208.581648,1000,1891.531772
1180.128812,1000,1895.669587
1123.47188,1000,1906.962882
1046.177994,1000,1911.026476
1102.532742,1000,1922.418406
1142.343292,1000,1926.554268
1105.89245,1000,1937.929596
1183.883355,1000,1942.029324
