#{"t_start": 1600836495.541146, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1500.948392,1000,5.293812
-1680.810801,1000,9.172338
-1591.404405,1000,41.267513
-1651.112268,1000,45.133026
-1465.562606,1000,54.805819
-1287.789939,1000,58.710368
-1544.081394,1000,68.447219
-1379.683183,1000,72.339758
-1447.115107,1000,82.076609
-1418.999879,1000,85.958137
-1326.855104,1000,95.667963
-1451.333443,1000,99.524469
-1349.371425,1000,109.236297
-1353.951429,1000,113.135842
-1323.325568,1000,122.777606
-1254.636968,1000,126.607088
-1289.323425,1000,136.259862
-1191.921674,1000,140.102355
-1196.062286,1000,149.743119
-1192.285725,1000,153.610634
-1233.512949,1000,163.231379
-1136.2318,1000,167.091889
-1192.416537,1000,176.701624
-1140.715001,1000,180.560132
-1181.369509,1000,190.207901
-1115.528766,1000,194.12246
-1015.318815,1000,203.795253
-1062.996464,1000,207.668773
-1046.082545,1000,217.365588
-1015.211116,1000,221.285151
-946.667518,1000,230.862857
-981.973363,1000,234.651301
-1071.749956,1000,244.192975
-884.735995,1000,248.017451
-946.066527,1000,257.586149
-842.87587,1000,261.389606
-867.447071,1000,270.974319
-891.089474,1000,274.812809
-850.395946,1000,284.433554
-826.837713,1000,288.210988
-852.535318,1000,297.749658
-828.623081,1000,301.596155
-799.491537,1000,305.459667
-706.366041,1000,315.065399
-802.211565,1000,318.897882
-692.059722,1000,328.395516
-726.931792,1000,332.201976
-690.466901,1000,341.729637
-697.074499,1000,345.55011
-686.10358,1000,355.038735
-630.619553,1000,358.854203
-674.237613,1000,368.435913
-632.943814,1000,372.254384
-665.607818,1000,381.842099
-659.984433,1000,385.664574
-679.447009,1000,395.227266
-541.446482,1000,399.011707
-596.366632,1000,408.551378
-538.598517,1000,412.361842
-569.510769,1000,421.889503
-564.788369,1000,425.70397
-545.817053,1000,435.236636
-582.317909,1000,439.006062
-543.18049,1000,448.675852
-555.571715,1000,452.484314
-470.643546,1000,462.127079
-551.327884,1000,466.113703
-510.274185,1000,475.895596
-510.293919,1000,479.678034
-382.446811,1000,489.187678
-563.014902,1000,492.978124
-573.498893,1000,502.614883
-421.667526,1000,506.426348
-346.456217,1000,515.986038
-425.49144,1000,519.807512
-383.84535,1000,529.415245
-395.87585,1000,533.249731
-406.402571,1000,542.740358
-412.590795,1000,546.528802
-490.21475,1000,556.107509
-366.676558,1000,559.886945
-450.848741,1000,569.418609
-388.653805,1000,573.230074
-414.913987,1000,582.802775
-388.982557,1000,586.621246
-323.91936,1000,590.428707
-357.667114,1000,599.993402
-375.756536,1000,603.853911
-1058.963149,1000,613.454638
-411.745821,1000,617.303137
-209.992489,1000,626.816785
-321.059423,1000,630.586211
-1086.108233,1000,640.195946
-277.286786,1000,644.025428
-444.902142,1000,653.593125
-253.826811,1000,657.395581
-1188.163426,1000,667.017328
-313.518607,1000,670.84881
-208.419262,1000,680.346443
-271.215253,1000,684.131885
-246.158512,1000,693.659545
-209.251045,1000,697.464004
-229.471026,1000,707.031701
-1164.443287,1000,710.901219
-277.616146,1000,741.915411
-193.36891,1000,745.737885
-211.007065,1000,755.295573
-228.307934,1000,759.10904
-304.965361,1000,768.649713
-297.533246,1000,772.47519
-259.997731,1000,782.010858
-1156.589826,1000,785.878374
-214.73738,1000,795.512131
-289.953173,1000,799.366635
-285.933698,1000,808.917316
-218.343375,1000,812.72778
-912.054234,1000,822.302484
-240.857157,1000,826.145977
-879.275137,1000,835.734694
-1094.228046,1000,839.571182
-212.177268,1000,849.123865
-1055.39434,1000,852.966357
-1013.108574,1000,862.543063
-1055.431242,1000,866.41258
-975.831945,1000,876.041333
-812.422668,1000,879.875818
-918.482646,1000,889.456528
-139.972508,1000,893.274999
-236.518685,1000,897.142514
-800.549479,1000,906.809302
-292.080581,1000,910.641785
-247.498341,1000,920.30557
-217.654495,1000,924.301202
-229.180904,1000,933.881911
-768.091028,1000,937.725405
-856.249412,1000,947.309116
-246.440279,1000,951.139598
-161.936461,1000,960.727314
-779.343925,1000,964.603837
-794.019764,1000,974.196557
-748.041078,1000,978.005019
-811.600135,1000,987.625765
-126.092245,1000,991.450241
-759.175861,1000,1001.034954
-814.097186,1000,1004.898466
-816.173651,1000,1014.464161
-805.165427,1000,1018.372714
-789.992659,1000,1027.965434
-156.690257,1000,1031.798919
-237.484479,1000,1041.362612
-162.230674,1000,1045.171075
-722.620903,1000,1054.727761
-711.143609,1000,1058.600281
-774.464916,1000,1068.218024
-215.051061,1000,1072.05251
-773.940362,1000,1081.647231
-546.293802,1000,1085.477714
-658.739718,1000,1095.046411
-646.240677,1000,1098.926939
-738.808762,1000,1108.492634
-493.208852,1000,1112.302097
-612.291392,1000,1121.889812
-272.642691,1000,1125.69327
-459.443964,1000,1135.298001
-442.33299,1000,1139.123478
-115.665935,1000,1148.715197
-560.576318,1000,1152.577708
-548.141223,1000,1162.126388
-342.927065,1000,1165.915832
-132.177243,1000,1175.457506
-397.86223,1000,1179.256961
-414.429961,1000,1183.082437
-369.091528,1000,1192.608097
-380.695901,1000,1196.415557
-428.636157,1000,1205.96724
-138.303472,1000,1209.779706
-146.055913,1000,1219.32238
-102.382395,1000,1223.114827
-257.321254,1000,1232.653498
-370.435865,1000,1236.576064
-230.694653,1000,1246.169785
-271.880853,1000,1249.955225
-238.235169,1000,1259.536936
-128.912141,1000,1263.388437
-321.981483,1000,1272.998172
-203.452174,1000,1276.836661
-90.922007,1000,1286.386342
-231.402256,1000,1290.22383
-129.904007,1000,1299.79453
-229.922867,1000,1303.65504
-212.584615,1000,1313.232746
-26.606351,1000,1317.070234
-156.939049,1000,1326.637932
-173.56998,1000,1330.46541
-128.29702,1000,1340.104172
-82.490577,1000,1343.913635
-194.705616,1000,1353.492342
-138.401773,1000,1357.272779
-124.185277,1000,1366.77942
-112.194734,1000,1370.729011
-173.331955,1000,1380.435834
-134.768391,1000,1384.235288
-177.913846,1000,1393.776961
-141.965822,1000,1397.640473
44.665587,1000,1407.209172
-111.822112,1000,1411.080691
-53.882305,1000,1441.929733
17.83175,1000,1445.763217
15.474071,1000,1455.266856
85.811288,1000,1459.06631
-85.60018,1000,1468.613989
90.357907,1000,1472.442469
113.011796,1000,1482.008165
115.454422,1000,1485.815625
-1.308993,1000,1489.613078
72.052999,1000,1499.099701
-9.850236,1000,1503.000247
108.438381,1000,1512.539919
