#{"t_start": 1603145174.1550117, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
371.817597,40,1.745589
296.893948,32,1.843679
325.132478,35,1.952778
324.710227,35,2.060876
325.020194,35,2.170976
418.375772,45,2.311104
315.437812,34,2.4172
259.09701,28,2.503278
305.792173,33,2.602369
362.336075,39,2.724481
250.331503,27,2.813561
306.274134,33,2.921659
296.852564,32,3.020749
259.316641,28,3.109831
259.679887,28,3.195909
278.378261,30,3.288994
268.95374,29,3.378075
268.888637,29,3.469158
212.772991,23,3.540222
268.813215,29,3.630304
334.059674,36,3.744409
278.253147,30,3.840496
221.968129,24,3.914563
258.852658,28,4.006647
250.002603,27,4.089723
306.068295,33,4.191816
222.052257,24,4.266884
259.792897,28,4.355965
240.560734,26,4.437039
221.766625,24,4.513108
221.830978,24,4.59218
315.611642,34,4.697276
250.172054,27,4.781353
240.744382,26,4.872436
231.17152,25,4.952511
287.726537,31,5.047595
268.808906,29,5.14068
231.626269,25,5.214747
287.502877,31,5.307832
240.30299,26,5.389907
297.091325,32,5.489998
296.918456,32,5.589088
240.737104,26,5.673164
250.431507,27,5.76625
250.158984,27,5.848324
250.121381,27,5.933401
259.708589,28,6.020481
231.097972,25,6.100554
231.500405,25,6.183629
231.806499,25,6.259698
278.135257,30,6.353784
222.02516,24,6.431855
278.336964,30,6.526942
222.354744,24,6.60201
324.752036,35,6.710108
325.10962,35,6.825213
268.775755,29,6.916296
250.15994,27,7.001373
268.910929,29,7.099463
212.939659,23,7.170527
259.519888,28,7.266615
194.326246,21,7.330673
231.165524,25,7.411747
231.641273,25,7.493822
222.011894,24,7.570892
250.355001,27,7.655969
203.648414,22,7.724031
250.627331,27,7.806107
278.345725,30,7.897189
250.520543,27,7.981265
259.563283,28,8.075352
306.138951,33,20.786923
343.076751,37,20.909035
352.803864,38,21.031146
314.725403,34,21.141246
334.311468,36,21.257352
362.071689,39,21.383468
353.034776,38,21.50758
333.972174,36,21.623685
324.960997,35,21.740792
511.201542,55,21.916952
