#{"t_start": 1593529572.553342, "env_id": "HumanoidPyBulletEnv-v0"}
r,l,t
-106.280355,20,1.479346
-112.189351,25,1.592449
-128.540106,19,1.68153
-142.596289,18,1.766607
-105.532064,20,1.862694
-133.416064,19,1.949774
-127.411814,21,2.059874
-116.622156,25,2.17698
-90.026895,19,2.26506
-105.589256,18,2.346134
-148.307023,21,2.444223
-102.559902,22,2.555325
-142.730461,25,2.669428
-114.943712,20,2.763514
-99.66935,22,2.862604
-109.497782,18,2.950684
-122.021571,17,3.027754
-99.17077,18,3.113832
-118.743995,19,3.200912
-96.274671,16,3.27598
-114.988751,18,3.358054
-77.505756,18,3.441131
-124.494981,20,3.533214
-134.014675,18,3.61729
-89.783921,18,3.702368
-84.75317,18,3.785443
-84.772729,18,3.86952
-103.920449,20,3.963605
-70.001259,18,4.046681
-114.688977,20,4.135762
-128.042,20,4.227845
-118.404448,16,4.303915
-109.182375,13,4.363969
-110.575071,18,4.450047
-161.054718,27,4.576162
-122.461781,19,4.662241
-106.739318,19,4.75032
-157.095786,26,4.872432
-155.94277,17,4.951504
-125.364219,15,5.02457
-111.849629,21,5.119657
-80.048433,16,5.196727
-120.99655,18,5.277801
-117.760911,16,5.352869
-149.899968,18,5.445953
-117.144829,19,5.536036
-129.193058,21,5.635125
-118.170071,20,5.72821
-122.717185,23,5.84932
-103.006722,20,5.938401
-146.787605,20,6.027483
-118.388616,19,6.113561
-116.322213,17,6.192632
-100.160982,17,6.267701
-104.284305,16,6.341768
-95.904013,18,6.423843
-92.482851,18,6.505918
-134.146165,18,6.58599
-137.327675,24,6.700094
-117.224911,19,6.789175
-109.578784,18,6.875253
-114.464542,19,6.95933
-165.663661,21,7.053415
-115.17655,18,7.13549
-114.393247,21,7.23458
-124.948809,18,7.318657
-158.145793,22,7.418748
-110.393754,20,7.509831
-143.678688,21,7.604917
-88.058027,19,7.696
-104.212387,20,7.786082
-127.3502,17,7.865154
-145.153578,18,7.964244
-126.258502,17,8.040313
-115.285214,18,8.12539
-137.038465,23,8.23549
-170.050742,28,8.36661
-117.230403,18,8.451687
-101.857569,18,8.532761
-100.075036,17,8.60883
-105.125292,19,8.701915
-91.26745,22,8.80601
-128.89561,20,8.897092
-214.299235,33,9.044226
-82.343552,20,9.134308
-105.656271,18,9.219385
-110.719368,19,9.309467
-124.987826,19,9.396546
-105.14929,17,9.473617
-153.750971,24,9.583717
-118.595408,21,9.68581
-98.850318,18,9.768885
-136.394554,19,9.856965
-141.44357,18,9.943043
-175.422041,22,10.04914
-132.063342,22,10.14823
-94.652613,17,10.226301
-206.604425,33,10.377439
-120.948059,19,10.465519
-136.678856,17,10.545592
-133.628893,24,10.660696
-113.754775,18,10.747775
-99.89533,19,10.838858
-116.909966,18,10.923936
-122.775314,18,23.72658
-84.189129,16,23.802648
-134.177174,21,23.904742
-177.592655,29,24.052876
-115.130883,18,24.138955
-112.475271,20,24.231038
-112.825447,23,24.335133
-118.46279,19,24.422212
-160.961461,20,24.5183
-152.73723,17,24.598372
-95.558186,19,24.686452
-101.772246,24,24.803559
-85.430604,18,24.883632
-88.484129,23,24.989728
-113.586617,18,25.069802
