#{"t_start": 1602178182.7076855, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-503.252339,1000,4.672001
-766.308008,1000,8.014866
-653.472798,1000,37.596722
-632.473898,1000,41.072403
-646.696092,1000,51.684019
-152.681327,1000,55.173371
-244.759709,1000,65.734205
-276.453821,1000,69.172788
24.418195,1000,79.887909
-136.025945,1000,83.320619
-79.114956,1000,94.015245
-39.441645,1000,97.439166
-233.535126,1000,108.144534
-14.965282,1000,111.574315
38.728115,1000,122.241596
48.926034,1000,125.686026
-10.72423,1000,136.277134
102.593221,1000,139.681522
80.371346,1000,150.376148
153.018812,1000,153.841086
227.281106,1000,164.462468
-22.602395,1000,168.014322
32.164345,1000,178.676721
109.495454,1000,182.15826
134.32007,1000,192.836284
61.060236,1000,196.211375
32.512397,1000,206.83764
103.314457,1000,210.387541
90.086116,1000,221.130022
189.682837,1000,224.628162
178.162277,1000,235.352085
91.921921,1000,238.94398
144.393831,1000,249.701107
184.055603,1000,253.166046
149.427287,1000,263.850905
68.37788,1000,267.324632
470.055526,1000,277.989961
368.572476,1000,281.61799
482.654538,1000,292.319452
436.867182,1000,295.840054
562.641544,1000,306.553235
827.580597,1000,310.0504
407.197505,1000,313.582723
660.395622,1000,324.18555
743.997797,1000,327.756935
691.013342,1000,338.294331
881.622417,1000,341.81884
885.490221,1000,352.567178
888.459628,1000,356.02235
888.041508,1000,366.766782
835.130969,1000,370.222931
888.62485,1000,380.914627
891.685913,1000,384.317063
887.962483,1000,395.013642
889.509052,1000,398.448305
889.362898,1000,409.078477
839.032519,1000,412.574665
831.436005,1000,423.156983
888.412069,1000,426.595553
414.425268,1000,437.228654
892.860907,1000,440.63695
795.886024,1000,451.260285
833.470366,1000,454.718386
888.458492,1000,465.326096
632.381418,1000,468.756853
891.17279,1000,479.408509
892.358681,1000,482.808991
890.792498,1000,493.491898
836.973326,1000,497.023245
888.493777,1000,507.649509
890.904654,1000,511.035343
890.668301,1000,521.631334
891.433902,1000,525.061114
830.63992,1000,535.764529
888.736634,1000,539.230444
889.860978,1000,549.907491
887.600892,1000,553.339225
890.24603,1000,563.908848
887.082849,1000,567.297612
891.575993,1000,578.003957
888.80527,1000,581.454245
889.696044,1000,592.011172
828.008159,1000,595.462437
889.700993,1000,606.115071
891.608456,1000,609.546804
891.308297,1000,612.9092
885.998984,1000,623.606755
711.172425,1000,627.081459
880.713529,1000,637.660847
888.899953,1000,641.129692
889.333286,1000,651.70908
890.734361,1000,655.14765
885.747372,1000,665.844229
887.58668,1000,669.246665
890.259974,1000,679.860234
891.489715,1000,683.257787
887.972415,1000,693.965109
454.462349,1000,697.393913
567.774535,1000,708.045568
882.987712,1000,711.42066
885.34712,1000,722.126029
885.273572,1000,725.560692
889.462463,1000,736.195746
724.986033,1000,739.596229
837.042292,1000,769.155625
886.992861,1000,772.662555
890.926427,1000,783.32886
699.139432,1000,786.737157
16.69832,1000,797.371234
386.247355,1000,800.814686
889.331348,1000,811.49564
608.479058,1000,814.898076
890.077967,1000,825.44426
889.963679,1000,828.88283
889.402784,1000,839.555972
892.933636,1000,843.004307
892.227469,1000,853.735067
892.400643,1000,857.13262
889.754566,1000,867.727633
486.431766,1000,871.092959
889.157283,1000,881.746569
890.061162,1000,885.328697
888.573978,1000,896.109263
889.73833,1000,899.568341
891.614626,1000,910.240505
691.425824,1000,913.733764
888.704591,1000,924.426437
891.002327,1000,927.827897
677.498373,1000,931.356313
671.323712,1000,942.040195
891.577363,1000,945.445561
889.95415,1000,956.034716
838.775813,1000,959.467427
888.602617,1000,970.099551
838.04119,1000,973.499057
890.997572,1000,984.147783
890.774525,1000,987.487718
833.069691,1000,998.159882
461.153474,1000,1001.66193
292.947974,1000,1012.336047
681.47527,1000,1015.797079
891.275392,1000,1026.488775
889.333034,1000,1029.965432
889.627988,1000,1040.619041
686.121928,1000,1044.02929
489.534913,1000,1054.67704
887.96198,1000,1058.089242
889.377574,1000,1068.780937
586.495675,1000,1072.19021
887.975716,1000,1082.831123
584.410251,1000,1086.311687
892.806352,1000,1096.967249
890.540271,1000,1100.467344
837.310499,1000,1111.103374
829.375633,1000,1114.487256
890.460353,1000,1125.094965
889.380668,1000,1128.487635
889.225518,1000,1139.144174
890.439751,1000,1142.596416
893.03858,1000,1153.232447
496.463492,1000,1156.674923
892.636482,1000,1167.235756
336.114798,1000,1170.628427
891.151838,1000,1181.315239
743.373007,1000,1184.698144
888.012941,1000,1195.376168
724.001025,1000,1198.811807
289.358558,1000,1209.451744
892.222574,1000,1212.873713
726.787811,1000,1223.497049
888.406447,1000,1227.067457
890.522988,1000,1230.566575
570.592759,1000,1241.234833
892.816636,1000,1244.692935
605.988808,1000,1255.381701
776.457081,1000,1258.867147
889.06684,1000,1269.528569
889.63819,1000,1272.892918
642.366797,1000,1283.568012
828.720039,1000,1286.993886
726.579453,1000,1297.587924
892.698111,1000,1301.077276
890.255224,1000,1311.642016
889.422848,1000,1315.079609
890.827674,1000,1325.620911
772.706859,1000,1329.044832
889.637055,1000,1339.780474
890.908313,1000,1343.143847
890.551637,1000,1353.79062
889.041702,1000,1357.233096
882.585868,1000,1367.857407
893.248088,1000,1371.354573
720.961607,1000,1381.9574
891.856661,1000,1385.327608
890.845689,1000,1395.94606
888.684721,1000,1399.433459
890.808855,1000,1410.047028
616.054395,1000,1413.557866
891.260718,1000,1424.28179
888.425927,1000,1427.665671
889.108517,1000,1438.210879
892.178815,1000,1441.662144
889.900878,1000,1452.290361
889.641273,1000,1455.75237
835.498272,1000,1466.374729
890.029493,1000,1469.883612
