#{"t_start": 1602164345.930595, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
362.077196,39,1.518595
212.856779,23,1.595747
249.887762,27,1.687546
203.808918,22,1.76079
212.822295,23,1.855519
286.6114,31,1.958061
175.697257,19,2.019587
203.221196,22,2.09283
212.960666,23,2.17877
194.306174,21,2.25299
175.992963,19,2.316469
184.741181,20,2.383853
231.582222,25,2.466863
203.740611,22,2.541085
277.953321,30,2.643626
203.205271,22,2.7198
194.393422,21,2.79988
185.093135,20,2.866288
194.359361,21,2.936603
194.302132,21,3.009847
185.643733,20,3.078209
185.113837,20,3.144617
222.677022,24,3.238369
185.288055,20,3.305753
194.554153,21,3.372162
194.87283,21,3.440523
259.424168,28,3.543064
175.745722,19,3.617285
175.665563,19,3.691506
212.940887,23,3.77354
194.09378,21,3.844831
203.20415,22,3.924911
185.054779,20,4.007921
175.825898,19,4.086048
175.737193,19,4.155387
203.783555,22,4.22863
175.730061,19,4.299921
176.068857,19,4.364376
222.441699,24,4.44348
194.525566,21,4.515748
212.92874,23,4.598757
185.222452,20,4.665165
185.137397,20,4.73255
166.566115,18,4.793098
185.325056,20,4.861459
185.37446,20,4.929821
194.49876,21,5.000136
230.74417,25,5.086075
185.107028,20,5.154436
240.880713,26,5.245259
166.538027,18,5.305808
175.932828,19,5.369286
185.24288,20,5.435694
176.169177,19,5.500149
194.467903,21,5.57437
175.748067,19,5.641754
203.080875,22,5.721835
184.997579,20,5.791173
176.044657,19,5.85465
185.162106,20,5.923012
212.776392,23,6.006022
194.424295,21,6.077313
203.592497,22,6.15251
194.186771,21,6.222825
185.159616,20,6.29021
213.122103,23,6.365406
166.819696,18,6.426932
176.253678,19,6.49041
176.068383,19,6.554865
194.375131,21,6.62518
175.630088,19,6.688658
203.926938,22,6.77948
185.067866,20,6.853703
176.052063,19,6.91916
185.062369,20,6.987494
175.748372,19,7.055856
212.622369,23,7.13203
231.152574,25,7.228712
259.886337,28,7.328323
361.998071,39,7.462117
213.457667,23,7.540243
185.212383,20,7.605675
203.571638,22,7.678919
194.211149,21,7.749233
194.55259,21,7.819548
259.608254,28,7.912324
194.234935,21,7.981662
258.956677,28,8.078344
194.562366,21,8.150612
175.983886,19,8.215066
194.430124,21,8.285381
176.047446,19,8.348859
166.705482,18,8.408431
203.446554,22,8.4807
371.518226,40,22.009387
315.62112,34,22.121694
306.315483,33,22.235954
325.153421,35,22.352168
315.71347,34,22.470335
333.56709,36,22.592409
352.834964,38,22.721319
324.921962,35,22.836557
568.107294,61,23.042617
306.369754,33,23.155901
361.439602,39,23.29067
353.229714,38,23.41958
455.690183,49,23.59732
362.022458,39,23.742831
399.006811,43,23.914711
856.065629,92,24.233079
624.311107,67,24.46746
380.581875,41,24.604183
259.311651,28,24.698912
381.158234,41,24.861026
399.458345,43,25.012396
566.672778,61,25.226269
489.87417,53,25.430377
296.823855,32,25.542685
595.902579,64,25.755581
643.152466,69,25.986056
399.265687,43,26.131568
334.213786,36,26.252666
398.613596,43,26.3972
362.253235,39,26.543689
380.441863,41,26.686271
343.624434,37,26.809321
427.026544,46,26.968505
390.411668,42,27.134525
390.26476,42,27.294685
306.471636,33,27.408946
342.855365,37,27.543715
390.715592,42,27.690205
277.808381,30,27.794699
325.161372,35,27.910913
343.473684,37,28.03494
343.195787,37,28.177522
277.943991,30,28.285923
212.883999,23,28.36405
353.109835,38,28.491983
306.054396,33,28.630659
277.892276,30,28.749803
371.616933,40,28.895315
297.208041,32,29.019342
277.679198,30,36.348642
268.935987,29,36.460949
287.35327,31,36.574234
259.427497,28,36.686542
230.941064,25,36.773458
239.729716,26,36.862328
249.719781,27,36.952174
286.951649,31,37.055692
269.015241,29,37.153352
212.204576,23,37.231478
295.643199,32,37.338903
287.23577,31,37.441445
296.057943,32,37.552776
202.904066,22,37.627974
305.989266,33,37.75493
249.482919,27,37.855519
269.310539,29,37.952201
249.830018,27,38.042047
240.375241,26,38.12994
259.180088,28,38.228576
194.102918,21,38.300843
221.610463,24,38.380923
212.30713,23,38.458075
193.822455,21,38.531319
268.861776,29,38.629954
268.661611,29,38.727612
221.657091,24,38.813552
231.083287,25,38.903399
193.781165,21,38.977619
250.172332,27,39.074302
240.231614,26,39.162195
249.866515,27,39.261807
193.834219,21,39.333098
240.369643,26,39.425873
203.252708,22,39.508884
184.836988,20,39.577245
166.379328,18,39.650489
240.490322,26,39.741312
184.587677,20,39.809673
175.506262,19,39.872175
166.435777,18,39.932724
240.611858,26,40.031359
175.600867,19,40.096791
148.063734,16,40.153432
193.998043,21,40.221795
166.353609,18,40.282342
249.83124,27,40.373165
231.175498,25,40.455198
175.235958,19,40.519654
240.315291,26,40.608523
194.091632,21,40.678837
147.862369,16,40.739386
240.467605,26,40.840951
157.050451,17,40.899547
166.528379,18,40.965955
147.807725,16,41.023573
147.814051,16,41.082169
157.110605,17,41.146623
184.82804,20,41.220844
184.790344,20,41.297994
175.383615,19,41.361473
193.979616,21,41.432764
221.856235,24,41.513821
157.114556,17,41.572416
221.636171,24,41.655426
231.206331,25,41.739413
157.278881,17,41.798985
221.861838,24,41.902503
184.909407,20,41.976724
166.536264,18,42.036296
184.645519,20,42.110517
156.897486,17,42.170089
157.22062,17,42.226731
166.408993,18,42.288256
212.609743,23,42.365407
194.121729,21,42.437674
147.832507,16,42.496269
194.152344,21,42.570491
184.834174,20,42.638851
166.28088,18,42.699399
184.83987,20,42.762878
147.935654,16,42.816591
193.883741,21,42.888859
231.025191,25,42.971868
193.935618,21,43.045112
166.40504,18,43.104685
185.032148,20,43.174023
157.384024,17,43.236524
138.632311,15,43.287308
231.115691,25,43.37227
166.638826,18,43.433795
230.981064,25,50.716219
325.553235,35,50.846105
325.276235,35,50.967202
334.791359,36,51.093182
334.652504,36,51.220139
362.446939,39,51.376393
371.951081,40,51.509211
324.873604,35,51.62933
390.837261,42,51.773865
306.615134,33,51.889102
325.312996,35,52.007269
372.206442,40,52.141062
353.122377,38,52.281691
343.761959,37,52.406695
362.497249,39,52.560995
390.968711,42,52.696742
361.28758,39,52.825651
325.182274,35,52.955538
353.226587,38,53.083471
325.275833,35,53.205544
353.398154,38,53.331524
324.730327,35,53.450668
409.37199,44,53.599109
334.584499,36,53.72509
371.903343,40,53.869625
352.972223,38,54.009277
344.166753,37,54.154789
334.19733,36,54.280769
353.129071,38,54.406749
362.476761,39,54.535658
371.951594,40,54.672381
315.901213,34,54.799338
428.239752,46,54.963405
296.597554,32,55.070829
381.355456,41,55.208528
372.206606,40,55.338415
362.64087,39,55.468301
333.922879,36,55.607953
362.60564,39,55.738816
334.206906,36,55.859913
334.599364,36,55.98101
352.925809,38,56.126522
353.205579,38,56.26422
342.115332,37,56.387271
334.4989,36,56.507392
334.53953,36,56.628489
343.732218,37,56.751539
352.998544,38,56.876542
343.967432,37,57.024007
334.727987,36,57.147057
325.543564,35,57.261318
381.263718,41,57.404877
343.792383,37,57.537693
362.466191,39,57.666604
372.115206,40,57.799418
884.86761,95,65.397281
444.183989,48,65.558419
1152.802985,124,65.996907
676.481649,73,66.246913
649.542888,70,66.505709
667.835776,72,66.748881
435.011848,47,66.912947
1053.534065,113,67.288934
941.600505,101,67.643437
790.398102,85,67.941295
406.613466,44,68.090714
472.773969,51,68.283102
527.320815,57,68.486232
604.903522,65,68.707918
677.88523,73,68.984293
509.754106,55,69.183517
836.934123,90,69.491142
594.057615,64,69.731383
1070.681658,115,70.155223
593.702222,64,70.366166
454.373418,49,70.530233
463.471052,50,70.707972
987.939823,106,71.098607
464.058472,50,71.297832
