#{"t_start": 1595517835.0156078, "env_id": "ThrowerPyBulletEnv-v0"}
r,l,t
-91.791348,100,2.920653
-336.683475,100,4.346949
-329.173523,100,5.791262
-170.861302,100,7.227568
-162.577576,100,8.65987
-136.256664,100,10.056139
-367.697548,100,11.461416
-170.720029,100,12.870698
-124.437175,100,14.308005
-120.707279,100,15.738304
-201.988685,100,32.276338
-176.031875,100,33.673608
-92.543307,100,35.08389
-292.131787,100,36.491169
-155.552083,100,37.935482
-264.113904,100,39.362779
-120.197001,100,40.774062
-152.231607,100,42.174335
-150.445908,100,43.58762
-152.880552,100,45.011914
-107.320267,100,49.481977
-120.846941,100,50.879248
-125.841985,100,52.293534
-205.999024,100,53.726836
-295.388187,100,55.215189
-129.463896,100,56.609457
-264.07276,100,58.036754
-114.356955,100,59.443033
-80.016034,100,60.854316
-309.232743,100,62.260594
-1088.049856,100,66.648582
-936.648641,100,68.090894
-1071.708239,100,69.5272
-937.091617,100,70.92547
-801.932392,100,72.372786
-1124.631765,100,73.801084
-709.722622,100,75.235388
-647.48015,100,76.659683
-705.161367,100,78.113004
-543.363306,100,79.521284
-598.998603,100,83.929291
-438.731519,100,85.318554
-478.435696,100,86.716825
-495.35033,100,88.144122
-430.015611,100,89.566415
-580.636435,100,90.973694
-468.436134,100,92.390983
-493.315496,100,93.776242
-368.80131,100,95.186523
-314.482849,100,96.603812
-388.140416,100,98.008089
-498.220011,100,102.39908
-460.566557,100,103.791346
-355.515457,100,105.248671
-464.550022,100,106.65595
-404.382234,100,108.080245
-367.784976,100,109.491527
-475.701283,100,110.918825
-430.301048,100,112.330108
-571.997575,100,113.737387
-515.955916,100,115.17069
-432.323653,100,119.53866
-630.381727,100,120.973965
-514.141936,100,122.374238
-559.882219,100,123.817549
-528.616669,100,125.257859
-685.46932,100,126.668141
-586.852941,100,128.078423
-447.597876,100,129.510725
-498.82853,100,130.917003
-580.303471,100,132.344301
-539.481593,100,136.728286
-675.698318,100,138.150579
-569.283454,100,139.569869
-510.581439,100,141.095256
-620.506644,100,142.506538
-797.50606,100,143.904809
-604.258623,100,145.327102
-653.139189,100,146.722371
-628.712156,100,148.19571
-598.900293,100,149.67005
-694.418563,100,153.989977
-709.842467,100,155.398257
-619.068476,100,156.804536
-625.98592,100,158.214817
-872.706303,100,159.777237
-610.835443,100,161.192524
-872.124165,100,162.594799
-687.754268,100,164.000077
-750.998067,100,165.427374
-823.380906,100,166.86468
-878.117186,100,168.318001
-637.684203,100,172.79407
-697.228297,100,174.217364
-721.78408,100,175.641659
-660.356493,100,177.052942
-642.781142,100,178.488246
-700.791373,100,179.899529
-692.299093,100,181.359856
-777.216774,100,182.781148
-784.109966,100,184.21245
-923.167906,100,185.657763
-680.337366,100,190.05376
-719.890522,100,191.464041
-734.6031,100,192.877326
-743.964114,100,194.313632
-710.949898,100,195.749937
-741.371524,100,197.200255
-608.346192,100,198.634559
-909.03297,100,200.082876
-746.460463,100,201.483149
-898.743848,100,202.927462
-727.013385,100,207.449572
-657.182422,100,208.889882
-665.64974,100,210.30717
-825.271183,100,211.72646
-621.366537,100,213.138744
-731.800981,100,214.561037
-688.139823,100,215.980327
-725.033061,100,217.408625
-984.474074,100,218.855941
-744.025857,100,220.294249
-641.641673,100,224.792337
-727.923285,100,226.213629
-712.196617,100,227.621909
-730.146323,100,229.038197
-793.263922,100,230.466495
-696.141627,100,231.874775
-745.860558,100,233.304075
-710.268396,100,234.714356
-659.212558,100,236.152664
-723.892462,100,237.574957
-738.653086,100,239.1614
-653.005986,100,243.643473
-728.833969,100,245.072773
-749.572921,100,246.50007
-663.024028,100,247.917358
-715.406294,100,249.337649
-1136.931647,100,250.754938
-774.024114,100,252.17723
-707.540088,100,253.594519
-784.129958,100,254.995793
-671.679677,100,256.418085
-737.957634,100,260.860123
-701.924131,100,262.267403
-737.598701,100,263.685692
-796.466029,100,265.122998
-729.621853,100,266.526274
-687.125115,100,267.989604
-760.547035,100,269.435919
