#{"t_start": 1603086385.4244733, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
250.112519,27,1.453323
269.053084,29,1.541403
241.205244,26,1.62648
390.751914,42,1.753596
446.790356,48,1.896727
399.148313,43,2.026845
259.573593,28,2.112923
325.420944,35,2.222023
465.864617,50,2.379185
315.61685,34,2.480258
315.799392,34,2.580349
343.827736,37,2.69145
437.418996,47,2.831577
428.416506,46,2.970704
353.373118,38,3.107829
343.188498,37,3.223935
325.074011,35,3.331032
269.156868,29,3.421114
269.066155,29,3.510195
343.970546,37,3.622298
474.83657,51,3.773435
390.52415,42,3.89955
241.083836,26,3.981625
297.079698,32,4.076711
362.674302,39,4.194819
334.673294,36,4.304919
334.430987,36,4.427031
269.136787,29,4.516111
287.843439,31,4.610197
464.803112,50,4.765338
446.354799,48,4.909469
352.4296,38,5.022572
269.176609,29,5.10765
288.001122,31,5.201735
324.918652,35,5.30583
372.034228,40,5.424938
278.590063,30,5.51402
259.677432,28,5.597095
287.953768,31,5.689179
334.777415,36,5.797278
315.756519,34,5.906377
325.275598,35,6.016478
306.622428,33,6.115567
325.160003,35,6.220663
390.646019,42,6.34878
334.688416,36,6.459881
269.136141,29,6.54696
361.695175,39,6.66707
437.654209,47,6.812201
268.75505,29,6.899281
306.659595,33,6.998371
278.688785,30,7.087452
353.253623,38,7.202557
306.446061,33,7.303649
362.662808,39,7.421757
250.310474,27,7.503831
333.657342,36,7.611929
353.443903,38,10.956975
343.84881,37,11.07208
334.606063,36,11.180178
464.602652,50,11.330315
306.551652,33,11.430406
390.941213,42,11.557522
456.085959,49,11.716666
446.900968,48,11.860797
306.092377,33,11.960889
278.680473,30,12.051973
250.20233,27,12.133045
362.477132,39,12.252154
343.831187,37,12.364256
408.953544,44,12.493373
343.862993,37,12.602473
278.290887,30,12.691554
250.493332,27,12.770626
343.989956,37,12.880726
269.041013,29,12.968808
288.094611,31,13.062892
231.746205,25,13.138961
157.101966,17,13.19201
390.056541,42,13.321127
287.927437,31,13.416214
269.431914,29,13.507297
306.938714,33,13.60939
316.068047,34,13.711483
297.151448,32,13.80757
325.18445,35,13.918671
316.08266,34,14.02777
287.554863,31,14.119854
334.692613,36,14.226952
287.892521,31,14.316034
325.244537,35,14.419127
539.663981,58,14.597289
418.166526,45,14.732412
334.574554,36,14.842512
325.196978,35,14.948609
315.553482,34,15.076725
278.840176,30,15.167808
315.720809,34,15.277909
343.776265,37,15.391011
