#{"t_start": 1602106462.3782587, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
305.983849,33,1.500041
166.94663,18,1.558636
212.935727,23,1.645552
204.095162,22,1.71782
204.058712,22,1.792041
203.528461,22,1.864308
222.734172,24,1.948295
221.946043,24,2.034234
222.85519,24,2.112362
250.292334,27,2.201232
185.354852,20,2.265686
176.078479,19,2.328188
372.743814,40,2.456121
250.626524,27,2.543038
493.138172,53,2.7198
287.624407,31,2.826249
306.723076,33,2.943439
222.914098,24,3.032309
259.605748,28,3.125085
315.771929,34,3.247159
222.789634,24,3.328215
176.198076,19,3.38974
296.930566,32,3.495212
231.950773,25,3.577246
185.44491,20,3.642678
204.36279,22,3.716897
250.668928,27,3.809673
260.065365,28,3.911239
166.518392,18,3.970811
231.600636,25,4.05968
259.805376,28,4.171988
471.207008,51,4.339961
306.293666,33,4.447386
241.225299,26,4.532349
241.25727,26,4.617312
194.940129,21,4.686651
194.323256,21,4.755013
222.552518,24,4.835092
213.398431,23,4.916149
185.469155,20,4.98744
204.0897,22,5.05873
232.131269,25,5.139788
138.932718,15,5.188617
185.553854,20,5.253072
250.474743,27,5.339012
213.398868,23,5.414209
232.013981,25,5.495266
175.541568,19,5.566557
157.524168,17,5.626129
222.217928,24,5.705233
250.28898,27,5.795079
213.30078,23,5.883949
260.544722,28,5.980631
213.414027,23,6.055828
194.827678,21,6.12419
287.922705,31,6.237473
185.279501,20,6.316577
278.967751,30,6.418143
362.058291,39,6.550959
222.450796,24,6.629086
259.940361,28,6.719908
288.339111,31,6.83124
175.750416,19,6.889835
287.880492,31,6.998236
381.152022,41,7.149608
343.910863,37,7.267776
222.721694,24,7.34981
260.313666,28,7.442585
213.097157,23,7.520712
194.650044,21,7.588096
596.221649,64,7.823454
288.332861,31,7.926973
185.249831,20,7.997287
194.797567,21,8.069555
175.625268,19,8.133035
325.135251,35,8.249247
353.537253,38,17.805171
484.102106,52,18.012207
241.574919,26,18.097173
324.986844,35,18.213385
166.809117,18,18.27198
213.705232,23,18.348154
334.763224,36,18.474134
296.844009,32,18.595231
204.134765,22,18.672381
194.465668,21,18.741719
344.836355,37,18.86184
250.942472,27,18.964381
250.496062,27,19.055204
297.800794,32,19.161653
204.029684,22,19.23392
203.741697,22,19.304234
222.451153,24,19.382362
222.491497,24,19.459512
194.965532,21,19.526897
278.853199,30,19.624555
278.173118,30,19.745653
241.333287,26,19.832569
212.973712,23,19.919485
306.186703,33,20.037652
185.422863,20,20.108944
259.55352,28,20.207579
222.432057,24,20.287659
185.000196,20,20.35895
268.93651,29,20.449773
185.212236,20,20.515205
371.663671,40,20.668529
175.974827,19,20.731031
409.128883,44,20.873613
213.48327,23,20.961506
334.547214,36,21.097252
166.738016,18,21.155847
222.525028,24,21.229091
297.355918,32,21.334563
194.683195,21,21.403901
222.083058,24,21.494724
296.653417,32,21.607031
194.479146,21,21.674416
391.527481,42,21.812114
315.897148,34,21.921493
464.988432,50,22.08556
176.077909,19,22.147084
306.156338,33,22.262322
231.966975,25,22.348262
185.525863,20,22.412717
334.800708,36,22.528933
353.013499,38,22.676396
334.559553,36,22.813118
203.723889,22,22.894176
259.873248,28,22.987928
213.527858,23,23.081681
353.037813,38,23.205707
232.358429,25,23.287741
185.503342,20,23.353173
286.914766,31,23.453761
372.156694,40,23.583647
194.679865,21,23.651032
185.474434,20,23.718416
222.544787,24,23.79752
287.660784,31,23.923501
213.455805,23,24.00944
344.333897,37,24.131514
269.068489,29,24.226243
203.96323,22,24.298511
353.115417,38,24.422537
203.826082,22,24.495782
194.909691,21,24.563166
194.337616,21,24.63934
185.313147,20,24.703795
296.551407,32,24.809266
250.103557,27,28.354285
