#{"t_start": 1602032188.5187929, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
231.911246,25,1.458047
232.120168,25,1.542034
223.123559,24,1.625044
324.853321,35,1.741258
213.305997,23,1.819385
222.35191,24,1.904349
250.814299,27,1.997125
194.713261,21,2.081111
241.435468,26,2.170959
185.482552,20,2.240296
250.701687,27,2.335025
241.080558,26,2.43073
353.753974,38,2.575265
241.641693,26,2.67976
185.314297,20,2.754958
250.776205,27,2.85164
175.918496,19,2.920001
241.507027,26,3.019614
194.583379,21,3.101647
269.290352,29,3.223721
241.196898,26,3.328215
213.131717,23,3.421968
232.204644,25,3.515721
260.247919,28,3.621192
194.567928,21,3.709085
250.521671,27,3.81944
251.060523,27,3.920028
250.92763,27,4.018694
241.476223,26,4.108513
213.021182,23,4.19152
222.360321,24,4.275507
288.166239,31,4.382931
371.864819,40,4.540163
213.071553,23,4.619267
166.75244,18,4.679815
278.892514,30,4.782356
232.302341,25,4.869273
250.712498,27,4.976697
148.214005,16,5.032363
232.16366,25,5.126116
241.67097,26,5.214009
287.888345,31,5.320457
231.903789,25,5.404444
259.645212,28,5.501126
250.835983,27,5.595855
306.643461,33,5.715976
185.290904,20,5.785313
241.174599,26,5.873207
194.583474,21,5.946451
316.281108,34,6.061688
259.931275,28,6.16423
353.117114,38,6.303882
176.208128,19,6.37029
250.397075,27,6.472832
232.255513,25,6.562678
194.446544,21,6.632993
428.290057,46,6.785343
259.985045,28,6.882999
278.470766,30,6.989448
166.546284,18,7.049996
185.471655,20,7.122264
194.8147,21,7.195508
204.030318,22,7.276565
306.826577,33,7.414264
324.600794,35,7.533408
288.187727,31,7.651575
213.485694,23,7.728726
325.677325,35,7.861542
203.97386,22,7.938692
260.003815,28,8.031468
260.301868,28,8.124244
175.805994,19,8.190652
334.957192,36,8.325422
269.311932,29,8.430893
222.614343,24,8.509996
334.934082,36,8.642813
231.719338,25,8.738518
222.506747,24,50.6586
278.475904,30,50.759189
185.013305,20,50.83634
222.984626,24,50.928139
222.521024,24,51.010172
194.816619,21,51.083416
269.09848,29,51.184005
259.901464,28,51.280688
212.616301,23,51.37151
316.027394,34,51.501397
278.145434,30,51.603939
166.395894,18,51.66351
222.286942,24,51.743591
324.53549,35,51.862735
325.095043,35,51.984808
390.472797,42,52.158641
185.225065,20,52.234815
259.832693,28,52.329545
268.994444,29,52.430133
203.308482,22,52.504354
315.825197,34,52.620568
483.305865,52,52.813932
241.289333,26,52.903779
250.407526,27,53.010227
390.975659,42,53.163552
213.144699,23,53.246561
288.171375,31,53.377424
381.281635,41,53.528796
222.538223,24,53.610829
213.050362,23,53.707511
288.183269,31,53.815912
306.205663,33,53.927244
371.365869,40,54.064943
250.82802,27,54.156742
203.69807,22,54.23194
427.66784,46,54.389171
334.704228,36,54.509291
269.232855,29,54.613786
213.056361,23,54.690937
409.282409,44,54.838402
241.254438,26,54.925318
231.946162,25,55.011257
278.607643,30,55.121612
260.331176,28,55.221225
381.316609,41,55.391151
222.64174,24,55.473184
287.725898,31,55.582562
390.307742,42,55.745653
204.013921,22,55.826709
250.486647,27,55.918509
362.262183,39,56.063044
315.202208,34,56.178281
269.510569,29,56.273987
325.021936,35,56.392154
456.367356,49,56.57087
194.728014,21,56.646068
204.012172,22,56.725172
213.429997,23,56.804275
194.753258,21,56.882402
287.889546,31,56.986897
418.314557,45,57.141198
278.517418,30,57.247647
315.886611,34,57.361907
287.759442,31,57.475192
231.980584,25,57.567968
278.226693,30,57.667579
315.375622,34,57.78477
445.787294,48,93.660743
213.2378,23,93.758402
287.985046,31,93.860945
409.239211,44,94.007432
399.70617,43,94.162711
185.419793,20,94.230095
296.957962,32,94.348262
166.684722,18,94.408811
530.508773,57,94.602175
306.813471,33,94.71253
296.95494,32,94.836556
222.319864,24,94.917614
297.103022,32,95.040664
213.09708,23,95.116837
296.899833,32,95.226216
371.431272,40,95.366844
259.975115,28,95.464504
213.103722,23,95.541654
175.984216,19,95.605132
417.971138,45,95.756503
185.135241,20,95.821935
315.33678,34,95.938149
306.452353,33,96.05241
446.465668,48,96.226243
213.158096,23,96.303393
185.025678,20,96.372731
334.428846,36,96.492851
334.427534,36,96.647152
297.116243,32,96.761414
380.16151,41,96.912785
344.097583,37,97.055367
175.900555,19,97.117868
213.169235,23,97.195019
362.660203,39,97.326859
241.160113,26,97.412799
259.790732,28,97.523153
287.247,31,97.647179
250.508501,27,97.743862
297.126403,32,97.863006
213.301724,23,97.94211
306.62289,33,98.054417
278.54437,30,98.162819
296.950911,32,98.298565
268.85387,29,98.395247
297.08462,32,98.535875
306.120448,33,98.648183
381.943434,41,98.794672
213.069827,23,98.873776
428.065646,46,99.030029
315.630977,34,99.168705
288.13299,31,99.274177
278.641442,30,99.376719
372.34629,40,99.518324
381.090315,41,99.664812
269.162548,29,99.769307
268.700822,29,99.870873
240.917372,26,99.958766
343.936753,37,100.082792
334.142009,36,100.204866
381.304256,41,100.363074
222.435709,24,100.443154
231.75876,25,100.526164
334.664327,36,100.65312
212.82956,23,100.740036
250.595946,27,100.83086
213.001677,23,136.720505
288.275295,31,136.828906
278.556981,30,136.928519
427.998104,46,137.087702
296.908772,32,137.203916
297.118744,32,137.338686
222.958495,24,137.419743
362.929053,39,137.549629
315.60958,34,137.671702
530.535483,57,137.876786
278.544998,30,138.008626
296.928772,32,138.122886
435.807222,47,138.283047
213.128133,23,138.361175
343.98612,37,138.486178
390.550614,42,138.629736
325.029269,35,138.75181
296.933592,32,138.869977
287.983314,31,138.978379
324.516398,35,139.096546
334.164281,36,139.227408
315.712767,34,139.345576
185.104633,20,139.42468
315.79782,34,139.55066
324.574754,35,139.680546
399.535947,43,139.834848
334.204014,36,139.97157
343.473644,37,140.095597
352.754828,38,140.229389
344.049843,37,140.360252
353.144763,38,140.51553
315.311144,34,140.63565
315.810412,34,140.753817
287.273833,31,140.863196
306.536455,33,140.978433
353.421154,38,141.138593
259.748625,28,141.233322
176.107465,19,141.296801
325.213541,35,141.419851
185.142577,20,141.497002
315.691567,34,141.622005
203.734008,22,141.700132
371.36939,40,141.841737
408.874681,44,141.998968
473.845306,51,142.179637
437.632696,47,142.348587
278.185401,30,142.455035
268.706954,29,142.555624
306.178821,33,142.674768
381.325401,41,142.821257
484.231954,52,143.005832
343.426775,37,143.148414
427.875785,46,143.307597
343.878894,37,143.442367
296.69875,32,143.553698
521.251686,56,143.762688
363.167163,39,143.90527
484.493172,52,179.889644
278.450056,30,180.000976
343.651622,37,180.126955
325.517109,35,180.245123
559.403523,60,180.453136
166.542479,18,180.513685
456.028636,49,180.689471
231.58565,25,180.775411
390.464226,42,180.917016
250.970196,27,181.008816
203.860861,22,181.081083
343.779025,37,181.209993
278.468453,30,181.311558
297.390334,32,181.418006
278.106688,30,181.519571
334.180901,36,181.651411
268.807563,29,181.750046
474.928061,51,181.92388
278.179713,30,182.026421
287.707177,31,182.128963
203.523853,22,182.202207
287.633444,31,182.308656
503.159995,54,182.489324
500.484276,54,182.67097
240.86348,26,182.755933
493.242166,53,182.938555
315.756114,34,183.063559
305.930257,33,183.17489
315.502058,34,183.290127
231.911541,25,183.377044
278.149373,30,183.484469
540.113326,58,183.685647
483.562962,52,183.871199
316.449102,34,183.990341
231.619834,25,184.08507
325.414124,35,184.21398
362.756741,39,184.346796
325.297828,35,184.4718
362.565427,39,184.602663
325.076845,35,184.72083
521.634929,56,184.908335
400.112249,43,185.051894
231.62785,25,185.134904
380.369902,41,185.274556
315.738025,34,185.386864
456.43595,49,185.560696
371.38782,40,185.697419
455.321837,49,185.869298
372.113018,40,186.025553
325.614671,35,186.143721
353.330853,38,186.281419
334.155535,36,186.400563
372.084015,40,186.534356
315.687037,34,186.651546
502.808195,54,186.841982
325.102548,35,222.72772
343.630204,37,222.852725
371.702572,40,222.986516
446.792187,48,223.155466
306.618492,33,223.262891
269.060811,29,223.359574
409.601324,44,223.514851
287.338256,31,223.621299
371.150801,40,223.762904
399.70659,43,223.911346
418.58248,45,224.079319
278.7138,30,224.190653
455.724937,49,224.371319
390.412959,42,224.515855
259.947081,28,224.61156
334.273925,36,224.734611
278.307238,30,224.836176
334.182649,36,224.976805
362.261026,39,225.106691
418.505858,45,225.260015
456.714073,49,225.422129
325.015384,35,225.552015
549.576003,59,225.754169
353.238844,38,225.881126
437.612168,47,226.03738
343.677659,37,226.176056
324.575024,35,226.301059
381.165039,41,226.448524
315.682522,34,226.565715
222.701839,24,226.645795
297.563163,32,226.759079
324.92636,35,226.887013
371.662361,40,227.026665
371.930064,40,227.161434
334.320725,36,227.292297
371.306081,40,227.429996
371.840985,40,227.565742
408.760167,44,227.71809
418.890421,45,227.885087
661.81894,71,228.127281
334.052187,36,228.252284
371.969105,40,228.39096
362.586244,39,228.524752
399.640588,43,228.671241
381.450402,41,228.829448
315.670278,34,228.944686
343.297734,37,229.072618
399.494932,43,229.248405
251.000083,27,229.345087
577.707986,62,229.55896
390.667809,42,229.720097
539.203143,58,265.673221
325.174078,35,265.804084
325.29288,35,265.922251
278.168584,30,266.02284
353.197465,38,266.157609
287.551009,31,266.265033
334.25714,36,266.386131
399.317503,43,266.532619
408.806792,44,266.682037
