#{"t_start": 1594397513.2624054, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
306.765031,33,1.523384
203.700605,22,1.592447
287.583692,31,1.687536
316.026811,34,1.801637
204.35144,22,1.876705
175.871579,19,1.940763
241.522624,26,2.025841
176.02868,19,2.085895
241.237105,26,2.16797
362.294954,39,2.295086
212.886666,23,2.372155
185.28736,20,2.450226
297.412891,32,2.558324
259.753449,28,2.670426
194.756042,21,2.738488
278.513041,30,2.835576
138.918843,15,2.886623
203.721987,22,2.972701
362.03187,39,3.119834
176.08549,19,24.665411
241.350854,26,24.75249
241.083298,26,24.834565
296.576699,32,24.951671
203.758727,22,25.023737
259.866761,28,25.115821
297.828035,32,25.227922
241.089486,26,25.318004
222.558686,24,25.398077
185.041078,20,25.468141
148.116794,16,25.518186
287.965265,31,25.618277
297.253876,32,25.720369
203.594526,22,25.791434
231.932745,25,25.882517
232.066899,25,25.964591
353.065091,38,26.085701
203.590063,22,26.156766
316.520324,34,26.264865
250.61009,27,42.403529
175.917109,19,42.465585
371.199162,40,42.5927
232.069484,25,42.674774
306.711818,33,42.796885
250.835791,27,42.881963
334.912483,36,42.996067
483.496008,52,43.171226
194.6731,21,43.237286
222.351018,24,43.315356
475.438567,51,43.479506
231.817125,25,43.56158
175.891741,19,43.624639
362.611947,39,43.749752
315.956936,34,43.856849
260.257006,28,43.950934
288.226746,31,44.049023
213.291071,23,60.189689
315.713187,34,60.296787
362.66078,39,60.418897
212.93371,23,60.490963
297.097588,32,60.593055
269.108174,29,60.687141
474.771739,51,60.848287
278.591862,30,60.941372
361.78281,39,61.073492
455.841598,49,61.237641
315.827319,34,61.375766
399.690763,43,61.525903
577.397901,62,61.729088
250.697264,27,61.815166
428.339903,46,77.933812
287.592232,31,78.037906
399.799129,43,78.173029
278.718258,30,78.270117
306.430595,33,78.373211
353.210922,38,78.492319
213.319019,23,78.563384
306.689968,33,78.670481
409.330564,44,78.808606
259.537562,28,78.896686
446.631781,48,79.055831
380.451303,41,79.183948
296.691354,32,79.28604
194.409077,21,79.380126
381.151688,41,95.469745
483.820589,52,95.659918
278.326594,30,95.757006
185.603938,20,95.82707
343.924576,37,95.941173
213.338299,23,96.013239
390.11988,42,96.163377
259.67098,28,96.250454
399.579304,43,96.392583
278.460319,30,96.488671
203.938667,22,96.559735
334.010645,36,96.678844
250.226305,27,96.769926
194.462987,21,96.837988
194.762458,21,96.90505
362.292382,39,97.02716
288.189343,31,118.596759
325.009934,35,118.709861
306.188619,33,118.812955
455.363154,49,118.981107
343.605251,37,119.111226
287.782871,31,119.220325
474.348967,51,119.386476
315.797773,34,119.50158
371.496295,40,119.642709
400.094798,43,119.792845
203.853406,22,119.870916
277.866982,30,119.989024
194.588835,21,120.059087
297.107581,32,120.158177
278.179837,30,120.255265
427.741417,46,136.323867
259.353651,28,136.429962
324.704914,35,136.539061
409.539841,44,136.708215
287.999265,31,136.815312
371.480104,40,136.962445
306.127805,33,137.081554
324.85392,35,137.193656
287.736007,31,137.301754
260.148624,28,137.400844
380.940439,41,137.540971
277.92774,30,137.656077
352.913781,38,137.775185
437.856559,47,137.945338
399.816427,43,154.041965
324.778767,35,154.166077
240.839483,26,154.248152
577.664515,62,154.458342
334.047623,36,154.575449
278.116181,30,154.671537
428.265519,46,154.823675
306.363221,33,154.95079
390.024869,42,155.087915
325.114692,35,155.199016
325.046943,35,155.316122
371.79581,40,155.446242
474.977709,51,155.609389
352.458066,38,171.684995
418.633206,45,171.830127
474.689691,51,171.994276
371.774332,40,172.120391
633.600865,68,172.33959
334.012873,36,172.452693
371.957603,40,172.584813
353.220256,38,172.72494
633.052611,68,172.958152
222.746211,24,173.049235
484.191985,52,173.219389
362.546746,39,189.289991
531.084144,57,189.469155
530.711974,57,189.648317
409.065103,44,189.786443
408.552316,44,189.92657
362.439223,39,190.056688
379.850723,41,190.184805
353.157115,38,190.303912
670.798438,72,190.539126
371.703273,40,190.667243
577.593403,62,190.874431
371.517378,40,200.390076
595.949456,64,200.600267
455.463783,49,200.751407
558.872442,60,200.958594
483.321412,52,201.127747
427.923314,46,201.300905
408.491849,44,201.452042
315.67647,34,201.567147
353.020558,38,201.684253
315.670458,34,201.793352
400.013795,43,201.929475
437.476662,47,205.947127
568.249985,61,206.1383
586.758803,63,206.339483
334.335614,36,206.452585
465.147018,50,206.61173
352.859721,38,206.735843
324.859572,35,206.844942
465.254151,50,207.005088
287.559358,31,207.101175
315.674641,34,207.215278
531.12852,57,207.389437
455.95629,49,211.385067
521.353743,56,211.556222
306.284619,33,211.657315
595.899165,64,211.867505
708.102735,76,212.100717
371.412213,40,212.225832
437.454808,47,212.374967
362.429887,39,212.505085
492.074581,53,212.676241
502.845331,54,212.848396
446.852137,48,216.824009
409.246676,44,216.963135
668.27553,72,217.194346
418.412891,45,217.338476
474.558183,51,217.508631
484.283422,52,217.667775
409.177883,44,217.809905
427.493446,46,217.956038
418.258033,45,218.096165
622.783073,67,218.301351
446.427898,48,222.293979
567.6901,61,222.486154
426.970057,46,222.631286
362.193628,39,222.754397
530.912757,57,222.936563
436.25199,47,223.0877
539.913048,58,223.275871
978.861988,105,223.622186
474.783804,51,223.799347
456.060764,49,233.445111
371.098746,40,233.582236
848.209125,91,233.865493
502.417174,54,234.039652
586.833344,63,234.248842
343.537651,37,234.369951
296.93247,32,234.470043
763.526824,82,234.741289
381.053046,41,234.866403
632.244812,68,238.933098
464.74191,50,239.083234
408.501015,44,239.216355
651.733777,70,239.432551
511.863485,55,239.601705
717.954204,77,239.864945
529.630271,57,240.034098
1035.369157,111,240.394425
343.377515,37,244.358027
389.633993,42,244.485142
595.552446,64,244.679318
417.625005,45,244.817445
820.644092,88,245.088691
361.932774,39,245.231821
481.161218,52,245.387963
595.887205,64,245.58214
538.316822,58,245.77031
474.689248,51,245.927453
484.019578,52,249.956113
509.812295,55,250.123265
464.768955,50,250.273402
455.863314,49,250.421536
539.17934,58,250.597696
380.975556,41,250.729816
615.122009,66,250.930999
389.868855,42,251.059115
465.377432,50,251.208251
417.396414,45,251.342373
343.343562,37,255.31198
642.575497,69,255.517166
399.490555,43,255.65329
849.058376,91,255.933544
895.466741,96,256.255837
455.534525,49,256.411979
586.641475,63,256.600151
379.920273,41,256.725264
446.555846,48,266.471119
389.874639,42,266.610245
474.615032,51,266.765387
689.896605,74,267.034631
370.97865,40,267.153739
642.493878,69,267.36393
399.236345,43,267.495049
445.723918,48,267.63818
455.481794,49,267.794321
426.940741,46,267.934448
782.043219,84,272.048187
417.028347,45,272.185311
435.306088,47,272.335448
371.336566,40,272.464565
623.517535,67,272.667749
455.501806,49,272.824894
353.052733,38,272.943
380.81054,41,273.081125
969.697654,104,273.431443
502.584354,54,277.447092
463.726273,50,277.604235
418.328245,45,277.740358
315.567814,34,277.848457
455.292242,49,277.99559
493.483813,53,278.175754
482.708493,52,278.342906
427.635082,46,278.500049
390.406557,42,278.626163
455.496375,49,278.776299
388.867921,42,278.901414
454.84967,49,282.914059
781.664594,84,283.198318
455.466258,49,283.353459
595.614249,64,283.546634
492.667613,53,283.725797
465.008954,50,283.876934
624.260905,67,284.08012
399.27816,43,284.215242
427.481316,46,284.361374
649.165398,70,288.419061
417.604776,45,288.555185
745.23284,80,288.810417
559.192526,60,288.98958
587.236441,63,289.178751
755.005647,81,289.422973
418.19382,45,289.560098
390.40914,42,289.691217
481.560858,52,289.84836
574.317174,62,300.001585
716.66644,77,300.235798
521.583832,56,300.40295
567.164714,61,300.588118
390.079098,42,300.72124
651.074512,70,300.96346
783.036784,84,301.252722
670.347789,72,305.317415
417.640037,45,305.450538
773.75616,83,305.712774
502.330706,54,305.880929
445.806704,48,306.034068
1054.612813,113,306.373375
491.649263,53,306.53352
642.464383,69,306.741709
417.584872,45,310.796393
455.552711,49,310.941526
623.841382,67,311.152717
380.98328,41,311.275831
511.179994,55,311.440979
1192.486061,128,311.841343
510.978585,55,312.011497
427.045836,46,312.150626
491.696717,53,312.309769
548.638294,59,316.314407
539.540881,58,316.484562
725.974396,78,316.72478
426.113738,46,316.862906
642.085524,69,317.071095
793.029141,85,317.345344
539.299055,58,317.519503
613.638905,66,317.720685
818.420465,88,321.838426
524.900357,57,322.024595
697.792763,75,322.277826
502.19628,54,322.459991
755.291845,81,322.715223
445.430575,48,322.859354
651.434989,70,323.071547
810.190653,87,333.224772
445.40175,48,333.368903
548.822039,59,333.544062
901.769211,97,333.846337
610.881294,66,334.054526
446.389607,48,334.206665
894.023087,96,334.505937
576.652439,62,338.518582
566.607173,61,338.712759
519.16992,56,338.901931
772.102262,83,339.15416
604.04991,65,339.383368
724.203348,78,339.617581
800.477224,86,339.892831
632.270487,68,340.099019
304.950416,33,344.058616
390.170275,42,344.18373
483.511843,52,344.352883
445.554751,48,344.526043
904.672921,97,344.819308
904.041443,97,345.11858
874.862374,94,345.403838
913.811655,98,349.59865
699.128766,75,349.828859
1182.842949,127,350.223218
829.749272,89,350.563526
727.024598,78,350.808749
499.56752,54,350.972899
613.806995,66,355.043597
735.576668,79,355.278811
633.251859,68,355.484998
1119.760941,120,355.880357
893.2502,96,356.177627
754.779407,81,356.423851
726.675763,78,366.928396
800.821876,86,367.213655
959.194792,103,367.523937
763.327533,82,367.771161
596.727962,64,367.971343
1016.289526,109,368.299642
974.137156,105,372.477438
900.690668,97,372.77671
792.12379,85,373.034945
688.266702,74,373.262151
1005.54335,108,373.638493
826.211689,89,377.771248
783.477843,84,378.029482
820.985491,88,378.300729
661.161134,71,378.522931
1111.396273,119,378.957326
530.100227,57,379.129483
830.014638,89,383.251227
772.082047,83,383.510463
1353.307947,145,383.94686
810.932486,87,384.206095
614.555884,66,384.405276
651.849877,70,384.61947
717.398482,77,388.69117
1100.088917,118,389.09854
490.899263,53,389.258685
1025.149738,110,389.599996
1512.958329,162,390.121469
1194.34668,128,400.876241
919.891048,99,401.174513
613.795946,66,401.370691
810.021175,87,401.636933
988.858324,106,402.014276
417.673673,45,402.189435
510.621045,55,406.214092
1007.833718,108,406.561407
613.483321,66,406.782608
632.745999,68,406.987794
773.534069,83,407.237021
435.380464,47,407.382153
697.887452,75,407.647394
725.841968,78,411.740112
1387.793635,149,412.187519
1380.486735,148,412.642933
811.689377,87,412.907173
482.431287,52,413.085335
464.510739,50,417.128008
744.312985,80,417.405261
951.246224,102,417.730556
614.36462,66,417.932739
668.237469,72,418.167953
875.559334,94,418.45121
736.148649,79,418.736469
801.219329,86,422.886241
1036.111551,111,423.224547
857.581281,92,423.498796
966.736614,104,423.839106
1026.970219,110,424.201435
987.14679,106,435.151384
1174.540523,126,435.555752
1335.290095,143,435.997153
1007.345734,108,436.33546
801.846741,86,440.474221
921.916189,99,440.769489
745.930088,80,441.047742
1203.001497,129,441.443101
996.956278,107,441.793419
885.755029,95,445.93218
772.544474,83,446.20743
708.04788,76,446.433635
1539.593215,165,446.983134
1202.766986,129,447.382498
755.055031,81,451.486226
1334.78453,143,451.926627
1558.504855,167,452.439092
1146.355242,123,452.832449
641.137401,69,456.899145
829.92123,89,457.183404
1653.369274,177,457.731902
1033.952188,111,458.069208
1129.358543,121,468.722888
773.334662,83,468.977119
883.400289,95,469.265381
1417.369038,152,469.746818
1026.273142,110,470.137173
930.097626,100,474.36101
891.72416,96,474.652276
808.49399,87,474.913513
1462.973627,157,475.386942
1174.854196,126,479.624794
785.875283,85,479.881026
717.202587,77,480.112236
1344.828711,144,480.548633
631.855451,68,480.750817
1408.261707,151,485.084755
1419.318018,152,485.549176
1041.414673,112,485.890486
736.130441,79,486.1257
1106.830554,119,486.482024
830.600954,89,490.608774
521.895285,56,490.773924
1194.507294,128,491.156271
933.244709,100,491.462549
941.214769,101,491.770829
1764.263393,189,502.816866
1107.352833,119,503.188204
679.482805,73,503.431424
1194.123847,128,503.835792
1109.900643,119,508.053624
1351.081627,145,508.525054
324.298893,35,508.630148
2065.362042,221,509.335789
1275.899039,137,513.610674
1007.301662,108,513.946979
1435.394316,154,514.446433
1745.633239,187,518.885467
1334.034303,143,519.357895
1101.237737,118,519.71522
1560.193178,167,520.222684
1082.308378,116,524.438512
1237.104493,133,524.862897
1426.755881,153,525.391377
1026.302645,110,525.748702
1747.692684,187,537.020945
1137.644776,122,537.403292
1661.041115,178,537.945785
1203.05349,129,542.205655
1578.643006,169,542.747147
1643.953503,176,543.284636
624.091657,67,543.499831
1567.472544,168,547.921849
1241.486547,133,548.350238
792.297596,85,548.619483
1156.058845,124,549.008837
1222.199306,131,553.270709
324.020839,35,553.375804
1017.303866,109,553.711109
1578.006093,169,554.219571
970.501619,104,554.542865
1110.767648,119,558.793727
1545.733227,166,559.328213
1391.859204,149,559.809651
2101.684378,225,571.421201
584.761463,63,571.611374
1723.167449,185,572.174886
913.183595,98,572.471155
1857.562096,199,576.986257
781.834712,84,577.258505
670.921125,72,577.481708
1147.330381,123,577.865056
493.792221,53,578.025201
343.902199,37,581.96378
1099.72884,118,582.341123
1166.564132,125,582.746491
762.524287,82,583.000722
1250.589494,134,583.407091
2241.893978,240,587.986252
2017.180601,216,588.651857
1306.044473,140,592.929744
2280.05641,244,593.73948
884.19458,95,594.057769
1475.639487,158,605.503168
1015.702104,109,605.859492
1250.691775,134,606.281875
371.382803,40,606.400984
1268.220988,136,606.837381
642.638217,69,610.923092
1389.638459,149,611.395522
810.345266,87,611.67978
960.275179,103,611.992064
810.113232,87,612.267314
725.383652,78,612.514539
1045.224897,112,616.759396
1587.467884,170,617.296884
1052.551966,113,617.636192
1100.263328,118,617.996519
1756.05038,188,622.451568
1616.111117,173,622.973041
1259.909033,135,623.41144
998.619676,107,627.629272
1295.84842,139,628.052656
1241.701562,133,628.456023
1249.692283,134,628.883412
911.623384,98,640.432905
1279.23211,137,640.883315
1485.089367,159,641.448829
1662.193764,178,645.826807
1287.869226,138,646.264205
1606.157691,172,646.792685
1659.387143,178,651.257741
1022.979395,110,651.623073
1567.797426,168,652.14755
1947.428458,209,652.779124
559.005128,60,656.808785
2177.494521,233,657.549458
1295.329339,139,658.001869
2522.076091,270,662.70214
1531.053332,164,663.206598
1521.779979,163,663.723067
1474.023727,158,675.118422
1409.645366,151,675.60086
1297.15099,139,676.039258
1642.471853,176,680.438255
1044.807026,112,680.771558
998.195431,107,681.101858
1666.484105,179,681.679383
1428.576112,153,686.052356
2378.92809,255,686.832066
1408.234171,151,691.173011
1138.341112,122,691.57037
1962.246018,210,692.225966
2419.952518,259,696.938247
1732.078122,186,697.551805
371.12209,40,697.699939
922.946168,99,698.010221
1119.762211,120,709.595748
1707.047803,183,710.230325
1708.207067,183,710.838877
2073.161712,222,715.339967
2579.839317,276,716.171723
1475.379365,158,720.528682
1566.699562,168,721.03314
1755.09731,188,721.603659
1633.79696,175,725.989644
1602.685225,172,726.535139
2653.345628,284,731.308476
1138.687612,122,731.674809
1588.197393,170,732.207293
1784.055876,191,732.78582
1240.213914,133,744.769707
1137.564859,122,745.141045
576.998259,62,745.350235
2072.281407,222,749.967431
2140.380931,229,750.689086
1455.755089,156,751.175528
1822.049505,195,755.683624
1061.849457,114,756.025935
1101.24172,118,756.395271
978.355953,105,756.724571
1621.835701,174,761.125569
1724.166795,185,761.718107
2182.519231,234,762.483803
2289.285868,245,767.118013
1793.953097,192,767.714556
1434.713657,154,779.710455
1820.916846,195,780.313003
1876.920603,201,780.955588
2308.743927,247,785.597805
1530.332336,164,786.111271
1643.87049,176,790.553307
1269.298617,136,790.967684
1885.111912,202,791.584244
1754.301327,188,796.024279
1258.522584,135,796.434651
1494.078792,160,796.921093
1642.721644,176,797.466589
2103.083269,225,802.029735
1547.826737,166,802.548206
1447.785645,155,814.786326
1306.711467,140,815.212713
1361.057946,146,815.675133
1801.790687,193,816.250656
1973.153021,212,820.792783
1222.585702,131,821.227177
1586.006721,170,825.604154
1559.051878,167,826.125629
1288.564168,138,826.547012
1556.241256,167,827.047466
2118.500356,227,831.666663
1830.161918,196,832.265207
1666.956535,179,836.733268
2334.78089,250,837.486952
2426.5599,260,849.974298
2026.027518,217,850.677937
2287.772895,245,851.41861
1733.35895,186,855.938717
1444.310514,155,856.412148
1456.973352,156,856.893585
1930.325415,207,861.414693
2364.035376,253,862.187395
1640.614121,176,866.583389
2036.865582,218,867.269012
1521.553615,163,867.771469
1287.648286,138,872.097399
1905.528371,204,872.737981
1803.043494,193,873.321511
2064.701212,221,885.59166
1156.723896,124,885.977011
2054.172566,220,890.474097
1999.076702,214,891.127691
1325.620577,142,891.554078
1082.802029,116,895.754895
1943.471186,208,896.403484
1686.623668,181,896.955986
1633.062377,175,901.378004
2083.206388,223,902.068631
2195.695335,235,906.691832
1325.599885,142,907.14124
1400.295691,150,907.600658
2606.688199,279,920.555429
1491.587064,160,921.041871
1575.493275,169,921.55934
1997.170771,214,926.073442
1839.849015,197,926.727036
2486.361056,266,931.385269
1821.670616,195,931.959791
2026.705133,217,932.615387
2070.707825,222,937.170526
2270.502719,243,937.955238
2102.048046,225,942.525391
3368.157144,361,943.662424
1586.08229,170,956.373974
2799.989108,300,957.303819
2022.919789,217,961.856956
1372.987273,147,962.316374
2076.880947,223,966.881521
2101.673786,225,967.578155
4459.988705,477,972.932019
2107.577929,226,973.636659
1406.743486,151,977.961589
1745.945506,187,978.564136
2514.657144,269,991.669044
1485.166346,159,992.165495
2185.57499,234,992.901163
4362.246222,467,998.218995
1644.054181,176,1002.698065
1735.468443,186,1003.260576
2821.190071,302,1004.196426
2167.588225,232,1008.803612
1372.396038,147,1009.292056
1484.922966,159,1013.667032
1540.582083,165,1014.177495
1868.161985,200,1014.820079
2495.004052,267,1027.439545
2159.088262,231,1028.170209
1746.280554,187,1032.575211
1634.441752,175,1033.127713
1529.826589,164,1033.635175
1811.852842,194,1038.115245
1755.669944,188,1038.705782
1939.579904,208,1039.338356
1715.716619,184,1043.769382
1426.409942,153,1044.234806
1766.992246,190,1044.803322
1857.234268,199,1049.265377
2476.17441,265,1050.072109
1474.326285,158,1061.960912
1625.329365,174,1062.48739
1634.567109,175,1063.055906
1548.566664,166,1067.442893
3399.877371,364,1068.57292
1765.535255,189,1073.05199
1540.436876,165,1073.55845
1465.940184,157,1074.033881
2343.411426,251,1078.718138
1651.240267,177,1079.255626
2624.953457,281,1084.044978
2307.267422,247,1084.827689
1258.230122,135,1096.709485
1942.165535,208,1097.357073
1223.24477,131,1097.770449
2026.119636,217,1102.321584
856.92839,92,1102.602839
2165.955711,232,1103.31949
1446.102497,155,1107.672446
2549.842721,273,1108.541237
2324.90551,249,1113.143417
885.394708,95,1113.462707
1456.372425,156,1113.956155
1828.530483,196,1114.550696
1382.002812,148,1118.878628
1904.796268,204,1119.561248
1931.961909,207,1131.946502
1718.671959,184,1132.565063
753.998575,81,1132.815291
1756.06848,188,1133.392816
1950.38899,209,1137.864879
2196.145951,235,1138.595544
1895.88531,203,1143.068608
1979.406303,212,1143.718198
2893.842753,310,1148.547585
2940.857386,315,1149.607548
1837.727812,197,1154.073607
1478.801723,159,1154.592078
2046.092694,219,1155.345762
1297.555896,139,1167.329651
1810.357031,194,1167.960224
1827.426645,196,1168.563773
1859.566231,199,1173.070868
1634.680569,175,1173.60235
1707.424841,183,1178.067408
1330.612887,143,1178.50881
697.468908,75,1178.742021
1414.599164,152,1179.210447
1342.656999,144,1183.470316
1849.553989,198,1184.051845
1558.715514,167,1184.572318
1577.113147,169,1188.884236
2213.52216,237,1189.659942
2621.697223,281,1202.770853
1999.308894,214,1203.443465
1175.919126,126,1203.831818
1363.384483,146,1208.098694
1532.102996,164,1208.580132
2185.468368,234,1209.324808
1248.250098,134,1213.562659
1531.584316,164,1214.096143
1947.51419,209,1214.79578
1124.413865,121,1218.982584
1811.631076,194,1219.566114
2981.619784,319,1224.375484
2370.928987,254,1225.154191
2015.737463,216,1225.824801
1765.736258,189,1238.311146
1428.792908,153,1238.786578
2126.787112,228,1243.340716
1574.644064,169,1243.836166
1100.182463,118,1244.182483
1406.591935,151,1244.659914
1530.264781,164,1249.005863
1474.989967,158,1249.482296
1629.182904,175,1250.035799
1154.261972,124,1254.243622
1558.261893,167,1254.756088
1190.701037,128,1255.149445
1347.715278,145,1259.425331
2064.595183,221,1260.092937
1200.021919,129,1260.484293
1268.231463,136,1260.895667
2073.529529,222,1273.779373
1155.967171,124,1274.159718
1825.736721,196,1278.641793
1706.14892,183,1279.21231
1643.689561,176,1279.736786
3052.300136,327,1284.570178
3398.209728,364,1289.53669
2126.203997,228,1290.228319
1183.324586,127,1290.608664
2333.612508,250,1295.205842
1576.820789,169,1295.763348
1315.523165,141,1296.191737
1667.931606,179,1308.629038
1203.330801,129,1309.015389
1820.758604,195,1309.628946
2499.833674,268,1314.378261
1397.4597,150,1314.829671
1492.642989,160,1315.339135
1427.739109,153,1319.603009
1372.619418,147,1320.043409
1193.78232,128,1320.437768
1417.811645,152,1324.711651
1221.018387,131,1325.106009
2298.588752,246,1325.883715
2683.948232,288,1330.710101
1969.5215,211,1331.374705
1979.719071,212,1343.416646
1437.679094,154,1343.915099
2475.058979,265,1348.553314
2579.464701,276,1349.376061
4542.010646,486,1354.729926
838.498638,90,1355.013183
1681.343458,180,1359.384154
2886.797331,309,1360.378059
3420.714111,366,1365.419638
2925.516389,313,1366.450575
2850.835613,305,1379.072043
2074.732256,222,1383.6462
1642.786832,176,1384.200703
1764.766639,189,1384.761213
4085.638711,437,1389.87586
2420.824991,259,1394.492054
1681.243448,180,1395.046558
2140.072878,229,1395.72017
1362.781339,146,1399.993052
1896.45749,203,1400.631633
2880.578109,309,1413.61543
2290.510172,245,1414.383127
5171.467354,553,1419.923161
1858.695853,199,1424.325161
1615.625379,173,1424.854642
2195.175587,235,1425.571293
3702.529559,396,1430.626887
2167.821876,232,1435.166012
2146.872768,230,1435.859641
1276.420649,137,1436.272016
4396.409365,471,1450.009498
6062.507699,649,1459.676281
1381.872541,148,1460.115681
1322.518801,142,1460.551076
1662.031439,178,1461.114596
6763.225736,724,1470.956531
2445.355237,262,1471.745247
2411.737824,258,1484.30566
1745.844975,187,1484.970264
2503.488925,268,1489.593464
2719.522027,291,1490.477267
1590.94688,171,1494.888275
2147.437123,230,1495.576901
1343.342683,144,1496.003288
1811.030298,194,1500.432313
1578.183456,169,1500.951785
2269.483956,243,1505.525941
3990.850864,427,1506.793092
2533.036542,271,1519.878982
1512.267435,162,1520.358418
2224.495787,238,1524.887533
2355.29387,252,1525.642219
2588.618297,277,1530.261415
1642.583247,176,1530.785892
3225.138079,345,1535.618283
1709.305689,183,1536.162778
2233.709799,239,1540.730928
1802.996583,193,1541.298445
2950.705189,316,1554.400349
2214.842404,237,1555.228101
2161.511453,232,1559.769227
3225.268193,345,1560.850209
2317.405266,248,1565.459397
2018.166456,216,1566.139015
3337.215693,357,1571.058485
4020.542879,430,1576.243196
3711.797412,397,1577.492331
2445.961023,262,1590.857474
3412.658588,365,1595.806972
2513.961752,269,1596.727808
1352.255381,145,1597.190229
1400.952355,150,1601.443093
2541.553901,272,1602.270845
3318.408733,355,1607.188313
3412.173741,365,1612.108783
3571.466008,382,1613.35992
2916.090357,312,1627.132434
4020.964374,430,1632.255089
2470.639281,265,1633.095853
3628.297362,388,1638.118416
4889.943019,523,1643.504312
3904.713561,418,1648.608948
3982.413906,426,1663.788741
1892.406985,203,1664.421315
3385.193295,363,1669.320767
1809.239042,194,1669.899292
3689.07486,395,1674.949882
3335.215534,357,1679.939415
7136.397922,763,1686.118029
4515.810163,483,1701.795274
5078.281947,543,1707.291268
3737.987161,400,1712.304822
3280.220587,351,1717.192264
3355.488293,359,1718.26524
3992.323194,427,1723.475973
2026.192912,217,1737.474692
2464.708394,264,1738.26441
3327.783031,356,1743.27096
3307.17558,354,1748.206444
4002.954969,429,1749.59971
4291.316692,459,1754.824456
3176.653382,340,1759.652844
3531.607534,378,1775.898605
4729.556285,506,1781.234453
3784.797056,405,1786.323077
3617.529097,387,1787.532175
5741.280564,614,1793.292409
4159.386518,445,1798.458103
5281.909706,565,1815.201316
4017.838325,430,1820.360003
6818.517897,729,1830.203948
9355.635835,1000,1855.916311
7753.767935,829,1862.37618
6453.559104,690,1872.127039
9335.570642,1000,1893.891815
2664.050275,285,1894.757602
3771.019692,404,1899.831213
4541.4196,486,1905.249135
3974.518244,425,1910.336757
6993.621343,749,1916.451313
7548.430806,807,1938.706535
7388.590497,790,1945.041291
6089.097564,651,1954.826181
8502.030046,909,1975.760202
8275.785357,885,1986.253736
4562.927353,488,1991.635627
1614.533001,173,1992.181123
2522.965614,270,1996.819336
1624.533337,174,1997.379846
6893.828434,737,2023.564638
1849.833614,198,2024.178195
3477.718007,372,2029.137702
2710.6884,290,2030.043525
1391.129425,149,2034.332421
2297.307402,246,2035.096115
2317.931628,248,2039.761354
1943.474372,208,2040.424957
2146.01579,230,2041.114584
1438.162285,154,2052.669082
1260.451299,135,2053.075452
1961.319094,210,2053.782094
1269.397609,136,2058.057979
1924.520287,206,2058.67554
1550.073067,166,2059.211026
1249.036115,134,2063.450879
1231.54377,132,2063.844237
2355.197022,252,2064.620942
3169.873612,339,2069.481358
1296.277977,139,2069.906745
1634.660564,175,2074.316752
2018.239895,216,2075.005378
2230.230491,239,2086.814107
1522.27553,163,2087.296546
1922.90809,206,2087.91811
1512.767752,162,2092.319108
1550.41428,166,2092.897635
1475.210254,158,2093.374067
1503.135053,161,2097.682983
1877.586306,201,2098.277523
1306.18307,140,2098.695903
1258.769341,135,2103.010824
1287.615632,138,2103.496265
1746.714968,187,2104.080796
2720.51538,291,2108.844124
1984.685221,213,2109.505725
1522.384823,163,2110.022194
1267.501817,136,2121.996074
1353.503678,145,2122.432471
1998.497305,214,2123.075055
3244.437659,347,2128.008537
1877.113359,201,2128.624096
2260.424399,242,2133.172229
1315.365552,141,2133.619635
1437.54909,154,2137.91754
1578.515564,169,2138.429006
1961.385978,210,2139.119633
1840.398353,197,2143.61772
1211.588434,130,2144.001069
1559.80299,167,2144.505526
1803.119678,193,2156.20916
1325.549842,142,2156.655566
1456.132567,156,2157.16603
2607.943508,279,2161.836273
1690.367571,181,2162.376765
2035.966163,218,2166.937909
1643.533571,176,2167.538455
1362.179317,146,2167.992867
1867.518041,200,2172.442911
1784.05044,191,2173.016432
3056.64122,327,2177.921889
1034.589304,111,2178.251188
2514.656806,269,2179.113972
1287.85864,138,2190.412238
2130.070104,228,2191.137897
2186.310901,234,2191.838534
1146.424693,123,2196.086394
1333.975215,143,2196.518786
1353.280252,145,2196.957185
1652.476106,177,2201.32215
1484.557377,159,2201.79458
1212.763858,130,2202.226974
2111.495669,226,2206.785115
1297.177114,139,2207.197489
1024.953385,110,2207.5398
2252.17111,241,2212.177015
1278.254361,137,2212.626422
1774.453086,190,2213.230971
1126.894893,121,2213.595303
1399.788,150,2225.317954
2176.223836,233,2226.033604
2589.065745,277,2230.784921
1268.314798,136,2231.203302
2635.778511,282,2235.90157
3121.70838,334,2236.929504
2139.648295,229,2241.477636
3326.734313,356,2242.555616
3740.268813,400,2247.682274
3047.406776,326,2260.1476
1447.325078,155,2260.606016
1942.537114,208,2261.256608
1371.196725,147,2265.576533
2325.557085,249,2266.330218
1839.746039,197,2270.773255
1249.78988,134,2271.193637
3861.747058,413,2276.308284
1643.69785,176,2276.85378
1315.22434,141,2277.300186
3354.282451,359,2282.2687
1895.680291,203,2282.925297
2925.995947,313,2296.228384
2532.855286,271,2300.988709
8033.540893,859,2307.474602
2801.198528,300,2312.232926
6837.861486,731,2318.39052
2317.094687,248,2333.587328
4328.823796,463,2338.904159
