#{"t_start": 1603114076.9326236, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
92.0,92,1.638492
21.0,21,1.700549
16.0,16,1.749593
27.0,27,1.831667
25.0,25,1.907737
16.0,16,1.955781
36.0,36,2.06488
20.0,20,2.126936
42.0,42,2.252051
23.0,23,2.320112
22.0,22,2.392177
27.0,27,2.481259
19.0,19,2.539311
25.0,25,2.621386
30.0,30,2.71247
21.0,21,2.775526
23.0,23,2.849594
28.0,28,2.935673
12.0,12,2.973707
29.0,29,3.062788
26.0,26,3.147866
27.0,27,3.22994
25.0,25,3.30601
22.0,22,3.37207
22.0,22,3.439131
21.0,21,3.502188
32.0,32,3.598276
23.0,23,3.667338
17.0,17,3.718385
27.0,27,3.80046
17.0,17,3.853508
17.0,17,3.904555
18.0,18,3.968613
11.0,11,4.008649
32.0,32,4.112744
25.0,25,4.187812
25.0,25,4.265883
24.0,24,4.336948
20.0,20,4.398004
24.0,24,4.47007
22.0,22,4.534128
27.0,27,4.617203
28.0,28,4.707286
30.0,30,4.80037
14.0,14,4.843409
21.0,21,4.906466
20.0,20,4.97653
25.0,25,5.053601
22.0,22,5.120661
22.0,22,5.187722
67.0,67,5.405921
15.0,15,5.453965
36.0,36,5.567068
20.0,20,5.627123
20.0,20,5.687177
32.0,32,5.792274
9.0,9,5.8213
15.0,15,5.868343
16.0,16,5.918388
25.0,25,5.999461
25.0,25,6.076532
23.0,23,6.145595
14.0,14,6.186632
20.0,20,6.252692
28.0,28,6.335768
23.0,23,6.410837
22.0,22,6.485904
23.0,23,6.555968
16.0,16,6.604012
26.0,26,6.682083
48.0,48,6.824213
32.0,32,6.924304
20.0,20,6.98736
18.0,18,7.039408
29.0,29,7.125487
16.0,16,7.17353
30.0,30,7.268617
26.0,26,7.347689
15.0,15,7.39273
21.0,21,7.457789
21.0,21,7.519846
25.0,25,7.593913
16.0,16,7.641957
21.0,21,10.924946
19.0,19,10.986001
38.0,38,11.114118
22.0,22,11.183181
22.0,22,11.253245
30.0,30,11.348331
30.0,30,11.437412
15.0,15,11.484455
23.0,23,11.553518
24.0,24,11.626585
13.0,13,11.66662
20.0,20,11.727676
23.0,23,11.796739
33.0,33,11.901835
20.0,20,11.96289
35.0,35,12.068987
16.0,16,12.120034
22.0,22,12.186094
24.0,24,12.260161
19.0,19,12.317213
15.0,15,12.363256
15.0,15,12.409297
26.0,26,12.487368
19.0,19,12.54442
46.0,46,12.682546
14.0,14,12.725585
28.0,28,12.811663
20.0,20,12.872719
18.0,18,12.927769
47.0,47,13.09392
14.0,14,13.135958
60.0,60,13.315122
13.0,13,13.354157
26.0,26,13.432228
37.0,37,13.543329
16.0,16,13.592374
23.0,23,13.662438
17.0,17,13.713484
31.0,31,13.809572
21.0,21,13.87463
17.0,17,13.925677
14.0,14,13.97272
24.0,24,14.055796
31.0,31,14.166899
18.0,18,14.221947
36.0,36,14.331046
35.0,35,14.440146
21.0,21,14.507206
17.0,17,14.558253
23.0,23,14.636324
14.0,14,14.680364
45.0,45,14.823495
40.0,40,14.955615
17.0,17,15.006661
18.0,18,15.05971
20.0,20,15.118763
32.0,32,15.214851
25.0,25,15.290921
19.0,19,15.347972
22.0,22,15.416034
14.0,14,15.458072
31.0,31,15.552158
23.0,23,15.622222
23.0,23,15.691284
20.0,20,15.757345
21.0,21,15.821403
21.0,21,15.881458
36.0,36,15.988555
18.0,18,16.042604
20.0,20,16.102659
27.0,27,16.183733
21.0,21,16.248792
23.0,23,16.318856
60.0,60,16.502024
15.0,15,16.547064
26.0,26,16.626136
30.0,30,16.715217
14.0,14,16.757255
54.0,54,16.92741
25.0,25,17.002478
25.0,25,17.077547
21.0,21,17.140604
12.0,12,17.176637
20.0,20,17.236692
33.0,33,20.5407
60.0,60,20.725868
21.0,21,20.789926
52.0,52,20.953075
24.0,24,21.02414
45.0,45,21.157261
22.0,22,21.225323
28.0,28,21.316406
36.0,36,21.425505
18.0,18,21.479554
23.0,23,21.547616
53.0,53,21.705761
64.0,64,21.902939
53.0,53,22.062085
85.0,85,22.324323
24.0,24,22.396389
41.0,41,22.521502
29.0,29,22.611585
17.0,17,22.66163
60.0,60,22.850803
20.0,20,22.910857
33.0,33,23.010948
17.0,17,23.062995
24.0,24,23.135061
24.0,24,23.208128
10.0,10,23.237154
37.0,37,23.350257
38.0,38,23.464361
27.0,27,23.552441
19.0,19,23.609493
78.0,78,23.843706
40.0,40,23.966819
25.0,25,24.046891
47.0,47,24.192024
40.0,40,24.318138
50.0,50,24.470277
31.0,31,24.571369
33.0,33,24.67146
88.0,88,24.940705
83.0,83,25.189932
29.0,29,25.27601
19.0,19,25.331061
18.0,18,25.386111
32.0,32,25.4842
20.0,20,25.545256
15.0,15,25.591297
21.0,21,25.653354
29.0,29,25.752445
25.0,25,25.829515
44.0,44,25.963636
26.0,26,26.04371
42.0,42,26.169824
62.0,62,26.356995
17.0,17,26.410043
85.0,85,26.667277
17.0,17,29.957272
41.0,41,30.085389
105.0,105,30.401677
79.0,79,30.636891
70.0,70,30.85609
69.0,69,31.06428
43.0,43,31.192397
19.0,19,31.25045
68.0,68,31.461642
88.0,88,31.727884
45.0,45,31.874017
19.0,19,31.931069
87.0,87,32.195309
24.0,24,32.269377
32.0,32,32.369468
96.0,96,32.665738
71.0,71,32.896948
65.0,65,33.101134
42.0,42,33.230251
24.0,24,33.303319
31.0,31,33.403409
30.0,30,33.495494
36.0,36,33.606594
75.0,75,33.842809
88.0,88,34.139223
97.0,97,34.497406
146.0,146,34.98585
93.0,93,35.290127
20.0,20,35.368198
43.0,43,35.507324
31.0,31,35.617425
80.0,80,35.881665
78.0,78,36.16092
102.0,102,36.474205
87.0,87,39.955374
89.0,89,40.228622
84.0,84,40.481853
109.0,109,40.813155
114.0,114,41.171481
108.0,108,41.49978
29.0,29,41.588861
86.0,86,41.860108
112.0,112,42.216433
112.0,112,42.551738
119.0,119,42.91707
85.0,85,43.175305
95.0,95,43.46557
88.0,88,43.730811
94.0,94,44.029082
105.0,105,44.36639
136.0,136,44.797782
126.0,126,45.184134
108.0,108,45.514435
85.0,85,45.781678
85.0,85,49.236825
146.0,146,49.703248
115.0,115,50.071584
131.0,131,50.47395
152.0,152,50.974405
153.0,153,51.443833
194.0,194,52.059393
225.0,225,52.806073
186.0,186,53.40662
256.0,256,54.23037
113.0,113,54.5927
230.0,230,55.323364
134.0,134,55.73474
113.0,113,59.357037
141.0,141,59.827465
179.0,179,60.431014
134.0,134,60.880423
234.0,234,61.653127
320.0,320,62.690071
288.0,288,63.620919
390.0,390,64.858045
188.0,188,65.451585
204.0,204,69.338123
129.0,129,69.753501
182.0,182,70.318016
220.0,220,70.984622
182.0,182,71.539127
148.0,148,71.991539
156.0,156,72.461967
48.0,48,72.609101
119.0,119,72.973432
78.0,78,73.209648
119.0,119,73.588994
98.0,98,73.886264
100.0,100,74.190541
102.0,102,74.517839
72.0,72,74.745046
33.0,33,74.847138
93.0,93,75.130396
51.0,51,78.502466
157.0,157,78.984905
128.0,128,79.392276
153.0,153,79.880721
127.0,127,80.265071
110.0,110,80.596372
128.0,128,80.980723
169.0,169,81.509205
125.0,125,81.895555
113.0,113,82.239868
136.0,136,82.655247
96.0,96,82.948514
60.0,60,83.13168
146.0,146,83.575084
110.0,110,83.911391
85.0,85,84.165622
74.0,74,84.388825
103.0,103,84.706114
88.0,88,88.148247
188.0,188,88.72177
110.0,110,89.067084
114.0,114,89.413399
133.0,133,89.827776
122.0,122,90.210124
120.0,120,90.569452
115.0,115,90.917769
109.0,109,91.247069
107.0,107,91.565358
111.0,111,91.899662
46.0,46,92.038789
116.0,116,92.393112
86.0,86,92.661356
108.0,108,92.987653
83.0,83,93.237881
106.0,106,93.568182
114.0,114,93.932513
128.0,128,97.486749
135.0,135,97.892118
128.0,128,98.284476
113.0,113,98.622783
118.0,118,98.974104
133.0,133,99.375468
111.0,111,99.730792
92.0,92,100.015051
135.0,135,100.426426
111.0,111,100.759729
126.0,126,101.139074
116.0,116,101.498401
126.0,126,101.889758
107.0,107,102.216054
107.0,107,102.539349
101.0,101,102.845628
93.0,93,103.124882
144.0,144,103.555274
167.0,167,107.222612
139.0,139,107.643996
101.0,101,107.955279
167.0,167,108.459738
114.0,114,108.807054
92.0,92,109.08831
98.0,98,109.389585
117.0,117,109.755918
101.0,101,110.062198
102.0,102,110.376484
113.0,113,110.715792
115.0,115,111.067112
112.0,112,111.405421
127.0,127,111.786767
98.0,98,112.092045
88.0,88,112.365294
92.0,92,112.647551
126.0,126,116.175763
124.0,124,116.554107
141.0,141,116.979495
147.0,147,117.426902
148.0,148,117.872308
135.0,135,118.295693
117.0,117,118.649014
125.0,125,119.042373
166.0,166,119.548834
165.0,165,120.065304
110.0,110,120.407615
140.0,140,120.845014
118.0,118,121.204341
125.0,125,121.599701
101.0,101,121.905979
138.0,138,122.33437
80.0,80,125.767495
151.0,151,126.226913
118.0,118,126.588242
135.0,135,127.000618
166.0,166,127.498071
118.0,118,127.858398
147.0,147,128.2998
136.0,136,128.715178
117.0,117,129.0685
116.0,116,129.422823
109.0,109,129.773142
85.0,85,130.042387
163.0,163,130.542842
148.0,148,130.989249
146.0,146,131.427648
108.0,108,131.752944
123.0,123,135.325196
180.0,180,135.872694
172.0,172,136.39317
168.0,168,136.902632
198.0,198,137.510185
157.0,157,138.003634
132.0,132,138.395992
146.0,146,138.8444
102.0,102,139.158686
175.0,175,139.706184
154.0,154,140.187622
122.0,122,140.575976
162.0,162,141.055413
105.0,105,144.529576
159.0,159,145.022024
161.0,161,145.516474
218.0,218,146.176074
183.0,183,146.744592
147.0,147,147.189997
172.0,172,147.717478
170.0,170,148.227942
158.0,158,148.713384
172.0,172,149.256879
155.0,155,149.726306
175.0,175,150.263796
197.0,197,154.040234
291.0,291,154.919034
278.0,278,155.758798
184.0,184,156.340328
308.0,308,157.271175
530.0,530,158.873634
1000.0,1000,165.088291
235.0,235,165.849985
676.0,676,167.90986
1000.0,1000,174.125519
1000.0,1000,177.20232
1000.0,1000,183.488042
1000.0,1000,186.557837
1000.0,1000,192.796516
1000.0,1000,195.891334
1000.0,1000,202.117002
1000.0,1000,205.166778
1000.0,1000,211.44149
1000.0,1000,214.49427
1000.0,1000,220.754969
1000.0,1000,223.806747
1000.0,1000,229.998384
1000.0,1000,233.084193
1000.0,1000,239.26933
1000.0,1000,242.337122
1000.0,1000,248.621843
1000.0,1000,251.700152
1000.0,1000,254.746926
1000.0,1000,260.937562
1000.0,1000,264.005354
1000.0,1000,270.217009
1000.0,1000,273.280799
1000.0,1000,279.505465
1000.0,1000,282.574259
853.0,853,288.304476
680.0,680,290.366352
1000.0,1000,296.572002
614.0,614,298.442705
784.0,784,300.825875
721.0,721,306.210777
933.0,933,309.063374
748.0,748,314.498323
1000.0,1000,317.553103
1000.0,1000,320.621897
1000.0,1000,326.804525
1000.0,1000,329.850298
1000.0,1000,336.024919
1000.0,1000,339.0797
1000.0,1000,345.299362
1000.0,1000,348.358147
1000.0,1000,354.576808
1000.0,1000,357.625584
1000.0,1000,363.835238
1000.0,1000,366.880009
1000.0,1000,373.094666
1000.0,1000,376.112413
1000.0,1000,382.437171
1000.0,1000,385.472935
1000.0,1000,391.714617
1000.0,1000,394.813438
1000.0,1000,401.066131
1000.0,1000,404.1079
1000.0,1000,410.318554
1000.0,1000,413.402361
1000.0,1000,419.614524
1000.0,1000,422.703335
1000.0,1000,428.983052
1000.0,1000,432.03383
1000.0,1000,438.332564
1000.0,1000,441.378336
1000.0,1000,447.618017
1000.0,1000,450.647775
1000.0,1000,456.887456
1000.0,1000,459.98928
1000.0,1000,466.165903
1000.0,1000,469.204669
1000.0,1000,475.426333
1000.0,1000,478.475109
1000.0,1000,484.675753
1000.0,1000,487.727532
1000.0,1000,493.926174
1000.0,1000,496.979955
1000.0,1000,503.206624
1000.0,1000,506.218365
1000.0,1000,512.409001
1000.0,1000,515.485802
1000.0,1000,518.51556
1000.0,1000,524.7112
1000.0,1000,527.749967
1000.0,1000,533.983643
1000.0,1000,537.021407
1000.0,1000,543.244073
1000.0,1000,546.287843
1000.0,1000,552.51251
1000.0,1000,555.581304
1000.0,1000,561.761931
1000.0,1000,564.803699
1000.0,1000,571.002343
1000.0,1000,574.122183
1000.0,1000,580.304811
1000.0,1000,583.426654
1000.0,1000,589.665333
1000.0,1000,592.706101
16.0,16,592.758149
1000.0,1000,598.959794
1000.0,1000,602.030591
1000.0,1000,608.26927
1000.0,1000,611.428146
1000.0,1000,617.727881
1000.0,1000,620.852725
1000.0,1000,627.078393
1000.0,1000,630.182219
1000.0,1000,636.492964
1000.0,1000,639.569764
535.0,535,641.21226
19.0,19,641.27832
1000.0,1000,647.47396
1000.0,1000,650.49371
1000.0,1000,656.72238
1000.0,1000,659.777162
1000.0,1000,665.968798
1000.0,1000,669.045599
1000.0,1000,675.304297
1000.0,1000,678.416129
1000.0,1000,684.586747
1000.0,1000,687.6115
1000.0,1000,693.793128
1000.0,1000,696.85992
1000.0,1000,703.048554
1000.0,1000,706.111342
1000.0,1000,712.280959
1000.0,1000,715.382783
1000.0,1000,721.565411
1000.0,1000,724.667235
1000.0,1000,730.870883
1000.0,1000,733.913653
751.0,751,739.362613
563.0,563,741.08318
369.0,369,742.200197
297.0,297,743.09401
22.0,22,743.16007
23.0,23,743.228132
14.0,14,743.270171
1000.0,1000,749.504846
1000.0,1000,752.599664
1000.0,1000,758.790299
1000.0,1000,761.837073
392.0,392,763.032161
1000.0,1000,769.297867
1000.0,1000,772.346641
1000.0,1000,778.547286
1000.0,1000,781.586052
1000.0,1000,787.794704
1000.0,1000,790.840477
1000.0,1000,797.035116
1000.0,1000,800.10391
1000.0,1000,806.336584
1000.0,1000,809.454422
1000.0,1000,815.624039
1000.0,1000,818.680822
1000.0,1000,824.89548
1000.0,1000,827.989296
1000.0,1000,834.170924
1000.0,1000,837.236715
1000.0,1000,843.422346
1000.0,1000,846.530176
1000.0,1000,852.780866
1000.0,1000,855.87168
1000.0,1000,862.058312
1000.0,1000,865.11009
1000.0,1000,871.342765
501.0,501,872.874158
1000.0,1000,875.981987
1000.0,1000,882.22367
1000.0,1000,885.297468
1000.0,1000,891.537149
1000.0,1000,894.589928
1000.0,1000,900.752538
1000.0,1000,903.796309
1000.0,1000,910.016972
1000.0,1000,913.097777
1000.0,1000,919.284409
1000.0,1000,922.443285
1000.0,1000,928.693975
1000.0,1000,931.740749
1000.0,1000,937.9474
1000.0,1000,941.007185
1000.0,1000,947.257875
863.0,863,949.878261
1000.0,1000,956.118942
1000.0,1000,959.149701
1000.0,1000,965.37637
113.0,113,965.725687
1000.0,1000,968.782471
1000.0,1000,974.990122
1000.0,1000,978.045904
1000.0,1000,984.225529
1000.0,1000,987.293322
1000.0,1000,993.508981
1000.0,1000,996.557757
1000.0,1000,1002.830467
1000.0,1000,1005.869233
1000.0,1000,1008.935024
180.0,180,1012.631389
738.0,738,1014.899454
1000.0,1000,1017.962242
1000.0,1000,1024.180903
1000.0,1000,1027.211663
1000.0,1000,1033.429323
1000.0,1000,1036.469091
1000.0,1000,1042.69676
151.0,151,1043.154176
1000.0,1000,1046.199949
1000.0,1000,1052.388583
1000.0,1000,1055.458378
1000.0,1000,1061.683045
1000.0,1000,1064.758845
1000.0,1000,1070.95949
1000.0,1000,1073.983242
1000.0,1000,1080.124834
1000.0,1000,1083.168604
1000.0,1000,1089.405283
1000.0,1000,1092.432038
1000.0,1000,1098.643692
1000.0,1000,1101.714488
1000.0,1000,1107.988199
1000.0,1000,1111.049987
1000.0,1000,1117.25964
1000.0,1000,1120.340445
1000.0,1000,1126.532081
1000.0,1000,1129.610884
1000.0,1000,1135.783503
1000.0,1000,1138.858303
1000.0,1000,1145.072961
1000.0,1000,1148.098715
1000.0,1000,1154.297358
1000.0,1000,1157.305096
1000.0,1000,1163.582811
445.0,445,1164.942049
856.0,856,1167.578449
1000.0,1000,1173.821132
940.0,940,1176.656713
1000.0,1000,1182.85936
846.0,846,1185.455724
756.0,756,1187.746809
1000.0,1000,1193.98649
1000.0,1000,1197.066293
836.0,836,1202.792506
554.0,554,1204.494056
1000.0,1000,1210.751753
1000.0,1000,1213.804531
1000.0,1000,1220.091255
1000.0,1000,1223.138029
1000.0,1000,1229.368701
1000.0,1000,1232.377439
1000.0,1000,1238.614118
1000.0,1000,1241.71294
1000.0,1000,1247.921591
1000.0,1000,1250.949347
1000.0,1000,1257.215051
1000.0,1000,1260.274839
1000.0,1000,1263.35364
1000.0,1000,1269.592319
1000.0,1000,1272.620076
1000.0,1000,1278.77568
1000.0,1000,1281.849478
1000.0,1000,1288.049122
1000.0,1000,1291.132929
1000.0,1000,1297.351591
1000.0,1000,1300.394361
1000.0,1000,1306.608017
1000.0,1000,1309.670806
1000.0,1000,1315.863443
441.0,441,1317.185648
64.0,64,1317.384828
1000.0,1000,1323.617502
1000.0,1000,1326.651264
964.0,964,1332.760826
1000.0,1000,1335.800594
1000.0,1000,1341.984223
1000.0,1000,1345.036001
1000.0,1000,1351.208621
1000.0,1000,1354.264402
1000.0,1000,1357.31618
1000.0,1000,1363.503814
1000.0,1000,1366.550587
1000.0,1000,1372.73722
1000.0,1000,1375.788998
1000.0,1000,1381.990644
1000.0,1000,1385.034415
1000.0,1000,1391.29111
1000.0,1000,1394.363908
1000.0,1000,1400.575563
1000.0,1000,1403.653364
1000.0,1000,1409.895047
1000.0,1000,1412.944823
1000.0,1000,1419.13646
1000.0,1000,1422.227274
1000.0,1000,1428.420912
1000.0,1000,1431.494711
1000.0,1000,1437.719378
1000.0,1000,1440.774158
1000.0,1000,1446.961792
1000.0,1000,1450.060613
1000.0,1000,1456.303296
1000.0,1000,1459.536239
1000.0,1000,1465.748895
1000.0,1000,1468.755632
1000.0,1000,1474.972291
1000.0,1000,1477.995043
1000.0,1000,1484.254742
1000.0,1000,1487.289505
1000.0,1000,1493.449112
1000.0,1000,1496.504894
1000.0,1000,1502.689524
1000.0,1000,1505.741303
1000.0,1000,1512.013012
1000.0,1000,1515.168885
1000.0,1000,1521.483634
1000.0,1000,1524.535413
1000.0,1000,1530.778095
1000.0,1000,1533.842885
1000.0,1000,1540.09858
784.0,784,1542.490758
599.0,599,1544.303408
611.0,611,1546.153092
1000.0,1000,1552.314702
759.0,759,1554.605787
536.0,536,1559.348105
1000.0,1000,1562.383869
1000.0,1000,1568.567498
1000.0,1000,1571.651305
1000.0,1000,1577.850949
1000.0,1000,1580.855685
1000.0,1000,1587.099369
1000.0,1000,1590.150146
1000.0,1000,1596.380818
1000.0,1000,1599.435599
1000.0,1000,1605.681285
1000.0,1000,1608.741071
1000.0,1000,1611.792849
1000.0,1000,1618.053549
1000.0,1000,1621.08631
1000.0,1000,1627.385043
1000.0,1000,1630.447832
1000.0,1000,1636.642471
1000.0,1000,1639.665223
1000.0,1000,1645.940936
1000.0,1000,1648.978702
1000.0,1000,1655.126298
1000.0,1000,1658.166066
1000.0,1000,1664.360705
1000.0,1000,1667.410482
1000.0,1000,1673.677187
1000.0,1000,1676.912133
1000.0,1000,1683.183841
1000.0,1000,1686.22461
1000.0,1000,1692.440268
1000.0,1000,1695.500053
1000.0,1000,1701.695694
1000.0,1000,1704.772495
1000.0,1000,1710.97414
1000.0,1000,1714.019914
1000.0,1000,1720.265599
1000.0,1000,1723.395449
1000.0,1000,1729.568068
1000.0,1000,1732.603832
1000.0,1000,1738.858526
1000.0,1000,1741.93933
1000.0,1000,1748.186017
1000.0,1000,1751.261818
1000.0,1000,1757.461462
1000.0,1000,1760.492221
1000.0,1000,1766.668844
1000.0,1000,1769.682587
1000.0,1000,1775.889238
1000.0,1000,1778.916994
1000.0,1000,1785.306811
1000.0,1000,1788.362593
1000.0,1000,1794.593265
1000.0,1000,1797.677073
1000.0,1000,1800.717841
1000.0,1000,1806.892462
1000.0,1000,1809.941237
1000.0,1000,1816.247979
1000.0,1000,1819.30276
1000.0,1000,1825.503405
1000.0,1000,1828.557185
1000.0,1000,1834.770842
1000.0,1000,1837.834631
1000.0,1000,1844.021263
1000.0,1000,1847.088055
1000.0,1000,1853.262676
1000.0,1000,1856.304446
1000.0,1000,1862.508094
1000.0,1000,1865.552865
1000.0,1000,1871.784538
1000.0,1000,1874.877354
1000.0,1000,1881.065987
1000.0,1000,1884.079731
1000.0,1000,1890.24034
1000.0,1000,1893.289115
1000.0,1000,1899.526794
1000.0,1000,1902.62061
1000.0,1000,1908.790227
1000.0,1000,1911.818984
1000.0,1000,1918.002615
1000.0,1000,1921.060398
1000.0,1000,1927.264045
1000.0,1000,1930.316824
1000.0,1000,1936.499452
1000.0,1000,1939.559238
1000.0,1000,1945.758882
1000.0,1000,1948.776629
1000.0,1000,1954.963261
1000.0,1000,1957.995022
1000.0,1000,1964.212682
1000.0,1000,1967.272467
1000.0,1000,1973.480119
1000.0,1000,1976.555919
1000.0,1000,1982.788593
1000.0,1000,1985.840371
1000.0,1000,1992.037012
1000.0,1000,1995.105806
1000.0,1000,1998.14157
1000.0,1000,2004.333206
1000.0,1000,2007.453047
1000.0,1000,2013.708742
1000.0,1000,2016.77153
1000.0,1000,2022.950155
1000.0,1000,2025.996928
1000.0,1000,2032.18256
1000.0,1000,2035.252357
1000.0,1000,2041.456002
1000.0,1000,2044.504777
1000.0,1000,2050.754467
1000.0,1000,2053.816254
1000.0,1000,2060.21608
1000.0,1000,2063.326912
1000.0,1000,2069.548577
1000.0,1000,2072.608362
1000.0,1000,2078.864057
1000.0,1000,2081.905827
1000.0,1000,2088.080447
754.0,754,2090.383545
628.0,628,2092.305294
1000.0,1000,2098.510943
1000.0,1000,2101.575733
1000.0,1000,2107.810409
1000.0,1000,2110.83216
1000.0,1000,2117.028801
1000.0,1000,2120.122618
1000.0,1000,2126.386321
1000.0,1000,2129.410073
1000.0,1000,2135.650754
1000.0,1000,2138.716545
1000.0,1000,2144.910184
1000.0,1000,2147.951953
1000.0,1000,2154.090542
1000.0,1000,2157.143321
1000.0,1000,2163.31594
1000.0,1000,2166.349702
1000.0,1000,2172.511311
1000.0,1000,2175.561087
1000.0,1000,2181.840804
1000.0,1000,2184.882574
1000.0,1000,2191.114247
1000.0,1000,2194.186043
1000.0,1000,2200.5098
1000.0,1000,2203.538558
1000.0,1000,2209.712178
1000.0,1000,2212.769961
1000.0,1000,2219.01865
1000.0,1000,2222.05041
1000.0,1000,2228.314112
1000.0,1000,2231.327856
1000.0,1000,2237.58255
1000.0,1000,2240.578277
1000.0,1000,2246.816957
1000.0,1000,2249.88475
1000.0,1000,2256.063374
1000.0,1000,2259.081122
1000.0,1000,2265.310793
1000.0,1000,2268.407612
1000.0,1000,2271.473403
1000.0,1000,2277.664039
1000.0,1000,2280.698802
1000.0,1000,2286.888437
1000.0,1000,2289.98926
1000.0,1000,2296.156874
1000.0,1000,2299.215659
