#{"t_start": 1602277967.7152638, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
41.0,41,1.518596
20.0,20,1.585004
15.0,15,1.63481
12.0,12,1.67778
13.0,13,1.726609
23.0,23,1.804736
56.0,56,1.991266
26.0,26,2.075252
30.0,30,2.17584
25.0,25,2.257874
32.0,32,2.364322
16.0,16,2.422917
17.0,17,2.47956
15.0,15,2.52839
17.0,17,2.583078
42.0,42,2.7198
24.0,24,2.797928
9.0,9,2.827225
17.0,17,2.890703
10.0,10,2.921954
26.0,26,3.012777
13.0,13,3.064536
24.0,24,3.151453
28.0,28,3.243253
34.0,34,3.363373
16.0,16,3.421968
14.0,14,3.470798
22.0,22,3.541111
11.0,11,3.577245
26.0,26,3.672951
31.0,31,3.77354
16.0,16,3.828228
18.0,18,3.903426
55.0,55,4.086048
18.0,18,4.146597
8.0,8,4.172965
15.0,15,4.220818
24.0,24,4.298945
16.0,16,4.350704
17.0,17,4.406369
21.0,21,4.472777
17.0,17,4.528443
13.0,13,4.57239
27.0,27,4.659306
23.0,23,4.73255
7.0,7,4.755988
18.0,18,4.814584
32.0,32,4.919079
18.0,18,4.976697
17.0,17,5.032365
41.0,41,5.180804
13.0,13,5.222798
8.0,8,5.249166
23.0,23,5.32534
15.0,15,5.376123
54.0,54,5.563627
25.0,25,5.657381
7.0,7,5.680818
25.0,25,5.758947
15.0,15,5.807775
28.0,28,5.897621
18.0,18,5.959146
27.0,27,6.049968
24.0,24,6.131026
12.0,12,6.171066
26.0,26,6.256029
22.0,22,6.33025
18.0,18,6.390799
18.0,18,6.449394
30.0,30,6.548029
50.0,50,6.724792
33.0,33,6.841982
17.0,17,6.91425
25.0,25,7.007026
63.0,63,7.254103
28.0,28,7.354692
25.0,25,7.435749
20.0,20,7.506063
11.0,11,7.545126
14.0,14,7.59298
16.0,16,7.644739
8.0,8,7.674036
19.0,19,7.738491
16.0,16,7.803922
14.0,14,7.856659
18.0,18,7.921113
16.0,16,7.973849
15.0,15,8.022678
20.0,20,8.089087
12.0,12,8.127174
15.0,15,8.176003
13.0,13,8.217997
55.0,55,11.936848
18.0,18,12.005208
34.0,34,12.115563
14.0,14,12.160486
41.0,41,12.293303
20.0,20,12.375336
80.0,80,12.639014
14.0,14,12.684916
25.0,25,12.764019
27.0,27,12.851911
17.0,17,12.9066
16.0,16,12.959336
28.0,28,13.052112
50.0,50,13.255242
39.0,39,13.382199
22.0,22,13.452513
40.0,40,13.584353
22.0,22,13.65662
50.0,50,13.82557
32.0,32,13.929089
20.0,20,13.994521
10.0,10,14.027724
44.0,44,14.178119
50.0,50,14.347069
55.0,55,14.529691
18.0,18,14.589263
27.0,27,14.679109
55.0,55,14.861732
13.0,13,14.902748
11.0,11,14.942788
53.0,53,15.127363
12.0,12,15.167404
12.0,12,15.207444
52.0,52,15.376393
54.0,54,15.545343
36.0,36,15.670347
34.0,34,15.779725
15.0,15,15.830508
24.0,24,15.907658
30.0,30,16.01313
45.0,45,16.172314
17.0,17,16.237745
19.0,19,16.313919
26.0,26,16.403765
47.0,47,16.558066
21.0,21,16.627404
60.0,60,16.832488
44.0,44,16.974093
65.0,65,17.186013
26.0,26,17.272929
47.0,47,17.440902
9.0,9,17.470201
17.0,17,17.524889
36.0,36,17.64208
29.0,29,17.744622
67.0,67,17.972168
16.0,16,18.030762
18.0,18,18.101077
27.0,27,18.199713
28.0,28,18.290536
10.0,10,18.32374
13.0,13,18.370616
21.0,21,18.452649
12.0,12,18.495619
14.0,14,18.554214
62.0,62,18.766134
65.0,65,22.526978
38.0,38,22.649052
83.0,83,22.953748
30.0,30,23.052383
47.0,47,23.206684
14.0,14,23.251607
36.0,36,23.368798
93.0,93,23.703768
93.0,93,24.002604
41.0,41,24.13835
15.0,15,24.201828
18.0,18,24.260424
110.0,110,24.638364
31.0,31,24.736022
53.0,53,24.932317
18.0,18,24.990912
20.0,20,25.055367
95.0,95,25.373735
88.0,88,25.680384
79.0,79,25.961642
39.0,39,26.089575
85.0,85,26.378645
66.0,66,26.605214
96.0,96,26.920652
35.0,35,27.047608
18.0,18,27.106204
30.0,30,27.209723
67.0,67,27.446057
37.0,37,27.573014
71.0,71,27.819114
25.0,25,27.907007
59.0,59,28.122833
46.0,46,28.282017
12.0,12,28.32401
72.0,72,28.588666
22.0,22,28.674606
52.0,52,28.8709
45.0,45,29.04278
65.0,65,29.28302
77.0,77,33.023357
115.0,115,33.421805
140.0,140,33.928655
35.0,35,34.041939
37.0,37,34.175731
73.0,73,34.432575
84.0,84,34.707973
104.0,104,35.062475
