#{"t_start": 1602770483.4498599, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-598.426136,1000,6.963087
-984.025281,1000,14.903741
-986.800447,1000,22.712555
-265.015344,1000,30.606333
-466.283517,1000,38.519642
-123.758214,1000,46.36459
-303.653489,1000,54.196843
-175.120328,1000,62.306447
-154.650921,1000,70.432653
-101.18253,1000,78.33522
-62.184675,1000,86.181144
39.463766,1000,94.159886
-281.173346,1000,102.111282
-83.699025,1000,109.992363
67.188608,1000,117.829499
102.739162,1000,125.710581
63.253619,1000,133.637563
75.866205,1000,141.495206
42.538344,1000,149.522777
93.775625,1000,157.445852
128.334101,1000,165.439242
-5.53127,1000,170.953069
186.340173,1000,179.019704
105.320454,1000,186.911528
239.481574,1000,194.859019
190.978083,1000,202.701036
143.622374,1000,210.707122
160.998802,1000,218.581367
107.013456,1000,226.524951
195.943004,1000,234.408963
151.10886,1000,242.487316
190.942664,1000,250.421134
152.926768,1000,258.343233
178.450344,1000,266.295605
182.207903,1000,274.223564
133.180305,1000,282.384928
153.318335,1000,290.289447
212.677154,1000,298.214476
177.240243,1000,306.209819
131.104543,1000,314.108479
196.037313,1000,322.128237
82.386151,1000,330.077681
154.024808,1000,335.569084
192.836258,1000,343.3945
170.592884,1000,351.347379
201.654956,1000,359.283149
220.407818,1000,367.10466
185.977554,1000,375.058009
160.176894,1000,382.920536
192.494012,1000,390.900868
170.196971,1000,398.897188
264.650292,1000,406.822218
123.017242,1000,414.72869
188.752323,1000,422.608795
224.522733,1000,430.380499
216.052347,1000,438.329942
185.501837,1000,446.157311
107.572661,1000,454.0423
191.007558,1000,462.013228
-723.582979,1000,469.939234
232.5915,1000,477.759767
230.057903,1000,485.771712
231.541333,1000,493.648887
242.169768,1000,499.09533
233.77231,1000,506.960786
204.71874,1000,514.860423
227.888988,1000,522.727834
217.193479,1000,530.62454
223.1456,1000,538.524178
293.589181,1000,546.424792
210.81554,1000,554.231653
238.436515,1000,562.209417
273.808622,1000,570.025067
203.760897,1000,577.858296
156.109281,1000,585.744262
228.311375,1000,593.791363
252.448724,1000,601.674398
245.96909,1000,609.628725
228.278783,1000,617.460001
241.719788,1000,625.267838
256.306964,1000,633.170405
236.655092,1000,641.113012
254.93643,1000,649.034135
257.195409,1000,657.007016
218.086382,1000,664.94181
253.416767,1000,670.434152
250.53229,1000,678.315235
202.3689,1000,686.202176
153.350438,1000,694.214121
234.846953,1000,702.161611
194.65651,1000,710.071991
241.140998,1000,718.118116
224.356337,1000,726.031425
254.216471,1000,733.894929
253.628633,1000,741.850232
260.758013,1000,749.642592
248.60078,1000,757.505118
262.634373,1000,765.289518
301.814405,1000,773.053409
225.021477,1000,780.932538
288.238917,1000,788.811666
256.518014,1000,796.729388
276.604771,1000,804.627072
291.127542,1000,812.466161
255.958552,1000,820.340406
233.587269,1000,828.19805
