#{"t_start": 1596562565.284074, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
41.0,41,1.536396
20.0,20,1.598452
15.0,15,1.644494
12.0,12,1.681528
13.0,13,1.721564
23.0,23,1.79363
56.0,56,1.970791
26.0,26,2.052866
30.0,30,2.146951
25.0,25,2.239035
32.0,32,2.341127
16.0,16,2.393174
17.0,17,2.445222
15.0,15,2.492265
17.0,17,2.545313
42.0,42,2.676432
24.0,24,2.7515
9.0,9,2.780526
17.0,17,2.833575
10.0,10,2.864603
26.0,26,2.947678
13.0,13,2.988716
28.0,28,24.491255
76.0,76,24.744485
24.0,24,24.818552
44.0,44,24.955677
18.0,18,25.011728
37.0,37,25.128834
35.0,35,25.243939
36.0,36,25.361045
27.0,27,25.446123
47.0,47,25.593256
20.0,20,25.656313
14.0,14,25.702355
40.0,40,25.835476
11.0,11,25.873511
14.0,14,25.924557
59.0,59,41.802986
15.0,15,41.855033
54.0,54,42.053213
11.0,11,42.087244
51.0,51,42.288427
24.0,24,42.367499
22.0,22,42.441566
23.0,23,42.51063
30.0,30,42.603714
10.0,10,42.636744
52.0,52,42.804896
32.0,32,42.914997
17.0,17,42.969045
20.0,20,43.032103
87.0,87,43.306353
12.0,12,43.346389
66.0,66,59.227819
97.0,97,59.543107
133.0,133,60.021541
20.0,20,60.093607
16.0,16,60.144652
68.0,68,60.387874
18.0,18,60.454934
76.0,76,60.706163
110.0,110,76.662663
98.0,98,76.975947
62.0,62,77.193145
20.0,20,77.256202
26.0,26,77.338276
121.0,121,77.718622
93.0,93,78.04592
134.0,134,94.288679
115.0,115,94.676031
139.0,139,95.132446
88.0,88,95.459744
140.0,140,111.566379
97.0,97,111.876662
22.0,22,111.945724
92.0,92,112.233986
106.0,106,112.609327
119.0,119,112.978663
37.0,37,128.76801
140.0,140,129.205408
141.0,141,129.657819
233.0,233,146.127785
138.0,138,146.585201
144.0,144,147.030606
188.0,188,147.637156
295.0,295,164.207214
226.0,226,164.925866
149.0,149,181.153613
378.0,378,186.297287
1000.0,1000,193.219577
247.0,247,197.872806
196.0,196,198.508383
1000.0,1000,209.308197
1000.0,1000,220.027938
1000.0,1000,230.848771
1000.0,1000,241.619558
1000.0,1000,252.449399
1000.0,1000,263.255218
1000.0,1000,274.123094
1000.0,1000,284.883872
1000.0,1000,295.569582
1000.0,1000,306.322353
1000.0,1000,317.157198
1000.0,1000,328.013063
1000.0,1000,338.837901
1000.0,1000,349.779842
1000.0,1000,360.6287
1000.0,1000,371.590662
1000.0,1000,382.387473
1000.0,1000,389.357807
1000.0,1000,400.272725
1000.0,1000,428.214115
642.0,642,438.004011
444.0,444,443.231762
740.0,740,449.453415
956.0,956,460.152137
1000.0,1000,470.97297
1000.0,1000,481.81282
1000.0,1000,492.682697
474.0,474,498.101621
1000.0,1000,508.863401
889.0,889,515.50844
361.0,361,520.514989
1000.0,1000,531.248743
1000.0,1000,542.008519
954.0,954,552.696231
954.0,954,563.296864
902.0,902,569.941902
1000.0,1000,580.830796
1000.0,1000,591.661638
1000.0,1000,602.444437
352.0,352,607.366911
1000.0,1000,618.180737
1000.0,1000,629.012582
1000.0,1000,639.849427
1000.0,1000,650.675264
1000.0,1000,661.475078
1000.0,1000,672.421025
767.0,767,678.736763
590.0,590,684.382894
745.0,745,707.418826
414.0,414,712.586522
1000.0,1000,723.529466
403.0,403,724.791613
251.0,251,729.427826
1000.0,1000,740.295702
1000.0,1000,751.093514
820.0,820,757.489326
1000.0,1000,768.387228
1000.0,1000,779.217069
1000.0,1000,790.165017
1000.0,1000,801.069927
1000.0,1000,811.878748
1000.0,1000,822.899763
1000.0,1000,833.753626
1000.0,1000,844.54243
1000.0,1000,855.440333
1000.0,1000,866.237144
1000.0,1000,877.122035
1000.0,1000,887.999919
1000.0,1000,898.86279
1000.0,1000,909.857781
1000.0,1000,920.748678
1000.0,1000,931.668601
1000.0,1000,942.487432
1000.0,1000,949.500805
1000.0,1000,960.392702
1000.0,1000,971.292607
1000.0,1000,1000.004697
1000.0,1000,1010.770482
1000.0,1000,1021.63135
1000.0,1000,1032.529253
