#{"t_start": 1594828641.3209295, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
250.926939,27,1.531391
260.503628,28,1.608462
175.998173,19,1.658507
194.850701,21,1.719563
157.604949,17,1.765604
176.436693,19,1.817652
176.305116,19,1.869699
316.172207,34,1.960782
157.589549,17,2.01383
176.132742,19,2.066878
185.664148,20,2.120927
204.29946,22,2.182984
166.879333,18,2.232029
185.495631,20,2.28808
222.806684,24,2.357141
176.419713,19,2.407187
185.286819,20,2.460235
204.09954,22,2.539307
157.55246,17,2.58635
176.016655,19,2.637397
157.538478,17,2.684439
166.918732,18,2.736487
175.902207,19,2.788534
260.136242,28,2.864604
221.891126,24,11.916828
427.41904,46,12.048948
287.628351,31,12.132025
399.471948,43,12.248129
304.694168,33,12.339212
277.58037,30,12.426291
203.616219,22,12.486345
231.271551,25,12.553406
222.049854,24,12.621468
287.868855,31,12.704544
231.178774,25,12.771605
371.888449,40,12.877701
231.232523,25,12.945763
259.737128,28,13.020831
306.267357,33,13.109912
203.638614,22,13.170968
222.081627,24,13.235026
277.981445,30,16.604087
446.304156,48,16.733204
222.361376,24,16.798264
240.726507,26,16.869327
277.861271,30,16.950402
296.213542,32,17.035479
427.429675,46,17.162595
277.434042,30,17.244669
277.683768,30,17.331748
398.675508,43,17.450856
240.901428,26,17.52092
250.046522,27,17.604996
400.581581,43,17.721102
343.525812,37,17.824195
296.572676,32,17.915278
212.607795,23,17.979336
231.287234,25,21.36241
297.218646,32,21.45049
399.614857,43,21.567597
352.431812,38,21.671691
287.499136,31,21.75777
324.736203,35,21.853857
286.605899,31,21.938934
286.880515,31,22.024011
324.41397,35,22.120098
258.864565,28,22.196185
343.70193,37,22.301263
306.282816,33,22.390344
362.360855,39,22.496441
315.497892,34,22.587523
539.196161,58,26.049669
418.422238,45,26.169779
334.44883,36,26.267868
268.977047,29,26.351944
371.733516,40,26.461043
306.667478,33,26.550124
231.151892,25,26.636202
240.693745,26,26.715275
472.90683,51,26.8524
334.189433,36,26.95249
240.880919,26,27.025556
287.552061,31,27.110633
259.291502,28,27.190706
231.273937,25,27.258768
240.867351,26,27.333836
353.077183,38,30.718912
370.978453,40,30.829012
277.408422,30,30.909085
249.837212,27,30.98115
583.513531,63,31.151305
306.398621,33,31.240385
277.745646,30,31.326463
490.476683,53,31.473598
287.100044,31,31.556673
408.401492,44,31.676782
343.970026,37,31.776873
306.065999,33,31.864953
325.035794,35,31.959039
203.758079,22,32.018092
353.149553,38,35.468227
315.463045,34,35.561314
447.00887,48,35.699437
362.055399,39,35.803531
333.189782,36,35.901621
465.755781,50,36.036744
287.643722,31,36.12082
351.881192,38,36.223914
315.689508,34,36.332013
277.556034,30,36.419091
324.653226,35,36.520184
315.61031,34,36.613269
334.356992,36,36.712358
362.166373,39,36.817453
351.996678,38,40.235559
268.923536,29,40.316633
278.167065,30,40.397706
343.773337,37,40.503802
306.496627,33,40.592883
334.490847,36,40.690973
306.076345,33,40.784057
315.072493,34,40.875139
343.704574,37,40.973229
390.540826,42,41.087333
296.705082,32,41.174412
390.731598,42,41.290517
296.183506,32,41.377596
315.585674,34,41.470681
624.226716,67,44.958933
372.221214,40,45.069033
296.895254,32,45.155112
306.115133,33,45.248196
306.40516,33,45.342282
474.525749,51,45.481408
305.889595,33,45.57149
381.12625,41,45.68159
315.467627,34,45.774674
287.270241,31,45.858751
333.842698,36,45.958842
334.25851,36,46.05593
315.60586,34,46.148014
306.177517,33,46.239096
428.056188,46,49.680758
296.456516,32,49.767838
503.020498,54,49.911969
324.726068,35,50.009057
249.994139,27,50.083124
362.272814,39,50.185217
548.842119,59,50.349366
409.088609,44,50.468474
371.699416,40,50.576572
296.875195,32,50.661649
418.311428,45,50.784762
306.282752,33,50.873843
306.218973,33,50.963924
249.84934,27,54.316971
296.677581,32,54.405051
371.599669,40,54.513149
315.459443,34,54.605233
315.769718,34,54.697316
287.517735,31,54.781393
381.497185,41,54.891493
296.995019,32,54.977571
381.651412,41,55.089673
437.327966,47,55.21679
464.898138,50,55.355915
325.029676,35,55.451002
343.502423,37,55.553094
343.768728,37,55.654186
287.504158,31,59.009235
446.386088,48,59.140353
381.635518,41,59.250453
371.703659,40,59.359553
315.265663,34,59.452637
268.653916,29,59.530709
334.297327,36,59.6318
390.019595,42,59.747905
484.245186,52,59.891036
334.208263,36,60.003138
389.728826,42,60.125249
399.658282,43,60.239353
353.25592,38,60.344448
371.367951,40,63.73653
417.806987,45,63.869652
456.139477,49,63.999768
390.338837,42,64.112872
287.304063,31,64.195948
343.687599,37,64.297039
315.641801,34,64.394128
371.843423,40,64.504228
325.00704,35,64.599314
465.120434,50,64.735438
418.059887,45,64.85955
381.033857,41,64.96865
305.563513,33,65.059732
390.696297,42,68.521888
362.752984,39,68.63499
464.839354,50,68.771113
324.765353,35,68.864198
399.653268,43,68.983306
325.171227,35,69.080395
662.397194,71,69.302005
306.206494,33,69.400279
362.192516,39,69.514694
287.391786,31,69.609028
371.166049,40,69.724531
390.406222,42,69.843967
315.543022,34,73.314996
278.181356,30,73.407079
372.061155,40,73.513175
343.594511,37,73.613266
325.008315,35,73.711355
343.762467,37,73.810445
287.524281,31,73.89352
362.59671,39,74.00262
334.18494,36,74.10171
353.318647,38,74.214813
343.563458,37,74.316905
419.017644,45,74.439016
306.308,33,74.528097
324.762261,35,74.623183
306.058819,33,78.015265
334.284468,36,78.112354
324.93456,35,78.208441
520.33901,56,78.366585
436.286571,47,78.492699
286.777087,31,78.578777
409.506831,44,78.699888
343.009421,37,78.800979
324.890731,35,78.898068
362.372876,39,79.005165
838.376506,90,79.251389
371.660476,40,79.372499
315.603927,34,82.789604
371.591131,40,82.896701
287.213834,31,82.982779
380.868301,41,83.095882
306.629551,33,83.188966
521.000011,56,83.345109
381.140748,41,83.458211
474.66637,51,83.597337
436.884379,47,83.725455
343.506636,37,83.827547
296.990697,32,83.913624
390.141378,42,84.030731
381.111973,41,87.498033
362.068716,39,87.613137
315.665896,34,87.710225
380.617276,41,87.824329
343.2577,37,87.925421
287.63863,31,88.007495
297.050457,32,88.093573
296.829929,32,88.181654
400.380288,43,88.297759
529.667466,57,88.454902
400.018494,43,88.572008
577.190182,62,88.743164
362.62051,39,88.852263
462.502159,50,92.25035
455.799423,49,92.385473
324.759277,35,92.480559
361.93483,39,92.585655
418.383595,45,92.718776
315.641414,34,92.815864
324.986914,35,92.90995
334.504887,36,93.01004
437.074189,47,93.139158
240.557187,26,93.212224
278.284156,30,93.2953
418.412286,45,93.420414
352.589847,38,93.528512
332.931992,36,96.930603
334.777623,36,97.02669
306.735915,33,97.114771
306.172991,33,97.203852
605.746594,65,97.38902
240.885283,26,97.460084
296.859493,32,97.551167
492.605082,53,97.701303
324.655016,35,97.797392
446.918799,48,97.92851
482.793867,52,98.066636
325.06896,35,98.162723
437.410161,47,101.568817
315.656819,34,101.668908
493.000265,53,101.81404
445.843332,48,101.947161
362.416136,39,102.060265
315.600586,34,102.161356
493.593759,53,102.306488
773.413447,83,102.552712
325.202163,35,102.656806
371.809435,40,102.767907
492.870075,53,102.908035
343.866989,37,103.008125
446.818962,48,106.434238
418.516301,45,106.556349
315.552943,34,106.648433
315.476489,34,106.747523
362.426778,39,106.85462
334.468698,36,106.952709
446.421203,48,107.08583
