#{"t_start": 1603107874.3188567, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-356.846647,1000,6.71111
-979.437818,1000,14.579273
-108.201507,1000,22.35335
-223.625312,1000,30.18548
-488.63145,1000,37.961559
-184.2343,1000,45.70661
-308.091753,1000,53.509713
11.478529,1000,61.342845
-72.491746,1000,69.10391
163.63448,1000,76.904011
77.247529,1000,84.699107
47.859826,1000,92.498207
146.536232,1000,100.292303
46.488051,1000,108.148455
30.796983,1000,115.938547
32.768837,1000,123.72964
129.635338,1000,131.535746
95.110342,1000,139.320833
58.326464,1000,147.109925
128.329415,1000,154.913028
178.635001,1000,162.750163
22.959136,1000,168.126057
202.31579,1000,175.914147
38.455333,1000,183.714248
141.308821,1000,191.491329
131.946363,1000,199.310446
173.506691,1000,207.121557
169.969864,1000,214.888628
121.684782,1000,222.752788
105.928499,1000,230.592925
116.089203,1000,238.440069
130.688968,1000,246.285211
226.593187,1000,254.118342
203.807576,1000,261.931456
185.061152,1000,269.7796
-17.082449,1000,277.642758
158.247852,1000,285.457873
91.073107,1000,293.246964
109.91511,1000,301.099112
164.64318,1000,308.862179
137.175512,1000,316.638258
173.672645,1000,324.408332
130.237256,1000,329.847283
220.349819,1000,337.65339
153.514508,1000,345.484519
-16.742442,1000,353.221563
103.727217,1000,361.008652
168.707723,1000,368.803748
-2.01108,1000,376.575824
169.241861,1000,384.42597
107.233973,1000,392.212058
193.897179,1000,400.062205
260.951475,1000,407.864308
232.449175,1000,415.672418
185.707734,1000,423.445493
211.706553,1000,431.23058
273.032776,1000,439.00766
244.355467,1000,446.829781
211.193911,1000,454.670919
130.418693,1000,462.483031
256.04621,1000,470.342186
271.61954,1000,478.213352
84.889572,1000,486.029467
233.495698,1000,491.427382
192.561444,1000,499.300549
211.68371,1000,507.085636
220.512904,1000,514.896748
194.026584,1000,522.789933
209.603094,1000,530.587032
206.886289,1000,538.470208
129.65803,1000,546.240282
217.670483,1000,554.057398
216.088816,1000,561.834478
184.659592,1000,569.615561
204.503467,1000,577.499739
216.55058,1000,585.28883
167.680343,1000,593.052898
158.600644,1000,600.891034
174.723235,1000,608.742182
243.822832,1000,616.557297
213.737004,1000,624.328372
236.358655,1000,632.132475
234.546004,1000,639.963604
245.111813,1000,647.753696
209.938981,1000,655.563806
173.742421,1000,660.945706
253.662946,1000,668.766826
227.461965,1000,676.705053
222.747609,1000,684.638276
240.056635,1000,692.444382
210.744693,1000,700.335565
245.618813,1000,708.187714
212.690247,1000,716.017842
234.681826,1000,723.836961
211.089542,1000,731.641065
275.236451,1000,739.426153
231.05997,1000,747.251276
228.669285,1000,755.094416
264.94515,1000,762.914536
207.023817,1000,770.877785
248.339261,1000,778.739943
246.55449,1000,786.552054
289.702502,1000,794.355159
293.55332,1000,802.138243
277.321183,1000,809.957362
172.8703,1000,817.834533
229.255213,1000,823.247461
244.587776,1000,831.042557
258.04953,1000,838.858673
241.219731,1000,846.629747
283.200198,1000,854.483898
229.235062,1000,862.279995
195.024536,1000,870.108122
237.906439,1000,877.935247
253.817121,1000,885.743355
232.248611,1000,893.556468
255.204279,1000,901.360573
215.459214,1000,909.108627
267.445646,1000,916.907727
271.988036,1000,924.675798
270.610154,1000,932.533952
283.679354,1000,940.344063
311.425603,1000,948.16218
307.989044,1000,955.983302
263.649533,1000,963.825439
305.692068,1000,971.640553
227.861063,1000,979.477688
249.606865,1000,984.852582
270.413485,1000,992.611646
291.080749,1000,1000.43777
296.740273,1000,1008.252884
350.297845,1000,1016.071002
188.97323,1000,1023.843078
279.250668,1000,1031.829348
281.148926,1000,1039.783589
331.339137,1000,1047.73683
319.184663,1000,1055.664047
300.114565,1000,1063.458142
305.222923,1000,1071.50747
224.742208,1000,1079.507753
278.023795,1000,1087.650166
232.710358,1000,1095.50932
257.335404,1000,1103.303416
255.800007,1000,1111.16157
302.784636,1000,1118.914628
262.285893,1000,1126.853856
303.573523,1000,1134.655958
312.589001,1000,1142.451055
301.765069,1000,1150.219127
353.497609,1000,1155.640062
263.931999,1000,1163.480199
295.126298,1000,1171.282302
367.884805,1000,1179.183495
266.18738,1000,1186.997608
319.690163,1000,1194.820731
362.218086,1000,1202.974154
314.421601,1000,1210.809286
368.80477,1000,1218.620398
438.963774,1000,1226.419497
361.011142,1000,1234.263638
356.055144,1000,1242.104777
377.674846,1000,1249.898872
487.150893,1000,1257.699974
320.450891,1000,1265.562132
387.586215,1000,1273.380249
619.233593,1000,1281.20237
449.093107,1000,1288.970442
728.711997,1000,1296.78956
517.78965,1000,1304.579652
641.321046,1000,1312.372746
533.359047,1000,1317.803691
730.969608,1000,1325.67786
642.842927,1000,1333.463948
637.934712,1000,1341.270055
823.968178,1000,1349.017107
730.460905,1000,1356.774168
584.873065,1000,1364.540239
773.396183,1000,1372.331331
716.898954,1000,1380.111414
724.383239,1000,1387.977575
777.903646,1000,1395.761662
543.8494,1000,1403.64684
763.247223,1000,1411.483975
567.547564,1000,1419.340127
819.887314,1000,1427.191274
