#{"t_start": 1602170169.2079794, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-563.404931,1000,4.827278
-734.828587,1000,8.24534
-943.348491,1000,33.969671
-681.07381,1000,37.351598
-938.858708,1000,44.196511
-793.79695,1000,47.601876
-933.667816,1000,54.446789
-961.082822,1000,57.90489
-895.500109,1000,64.769334
-899.844605,1000,68.130754
-859.028552,1000,74.970783
-897.54995,1000,78.351734
-891.067816,1000,85.273796
-850.632217,1000,88.675256
-885.712216,1000,95.547513
-940.055548,1000,99.034912
-817.694152,1000,105.841737
-857.307107,1000,109.222688
-881.572063,1000,116.102757
-879.918305,1000,119.533516
-844.379142,1000,126.354012
-833.857434,1000,129.85606
-884.401083,1000,136.695113
-896.916324,1000,140.077041
-875.651378,1000,147.366301
-865.684708,1000,150.862489
-839.579068,1000,157.782599
-842.06233,1000,161.259255
-819.779787,1000,168.0778
-715.468328,1000,171.483165
-798.215538,1000,178.406205
-822.678555,1000,181.935597
-774.079203,1000,188.767814
-523.44301,1000,192.207361
-852.098243,1000,199.076689
-779.121322,1000,202.530882
-877.669291,1000,209.59748
-827.502867,1000,213.014565
-853.981372,1000,219.881939
-476.266013,1000,223.284375
-871.647189,1000,230.247455
-232.507122,1000,233.629382
-887.000639,1000,237.041584
-430.016352,1000,243.997827
-58.079283,1000,247.473508
-107.675999,1000,254.261778
-559.752731,1000,257.741364
-57.390538,1000,264.609715
-52.667165,1000,268.046331
-109.091392,1000,274.965464
-219.893537,1000,278.385479
42.715549,1000,285.245039
-92.521516,1000,288.666031
-35.239723,1000,295.654502
23.100345,1000,299.020804
-42.262435,1000,305.843255
35.324837,1000,309.244714
-56.972089,1000,316.191191
7.315217,1000,319.556517
65.10834,1000,326.50983
13.518454,1000,329.923986
33.839794,1000,336.784523
89.388232,1000,340.174264
1.337392,1000,347.030895
56.259264,1000,350.469465
64.270845,1000,357.423755
3.602636,1000,360.869161
70.00465,1000,367.822474
66.164362,1000,371.274717
33.902342,1000,378.140137
-24.554011,1000,381.599215
29.294983,1000,388.522255
38.696525,1000,392.050671
-8.5944,1000,398.978593
28.362501,1000,402.381029
44.507483,1000,409.338249
150.637837,1000,412.739709
-12.303156,1000,419.567042
22.473776,1000,423.009518
88.711253,1000,429.9433
98.185599,1000,433.400425
30.140871,1000,440.196508
61.165074,1000,443.674141
36.428385,1000,450.512217
57.989162,1000,453.854105
54.600884,1000,457.273143
56.948253,1000,464.178603
76.287934,1000,467.556625
79.188393,1000,474.503102
133.110874,1000,477.900655
58.275141,1000,484.733849
144.00305,1000,488.093314
71.850575,1000,495.011471
42.38354,1000,498.433439
81.488091,1000,505.226592
76.46598,1000,508.571409
36.859683,1000,515.424134
47.62361,1000,518.82657
60.472026,1000,525.699803
92.931025,1000,529.129584
78.024838,1000,536.048717
70.8622,1000,539.388651
66.413208,1000,546.178874
157.705098,1000,549.635999
155.865512,1000,575.514631
143.189294,1000,578.840892
46.345237,1000,585.798113
4.640187,1000,589.152696
88.075792,1000,596.099173
87.970224,1000,599.473288
99.298356,1000,606.315271
65.615163,1000,609.806576
138.502903,1000,616.635863
112.099555,1000,620.044158
126.566038,1000,626.836335
102.136148,1000,630.268069
98.386641,1000,637.113957
112.169871,1000,640.495885
