#{"t_start": 1602173481.0336924, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-563.404931,1000,4.898571
-734.828587,1000,8.507067
-878.56378,1000,68.030166
-216.042955,1000,71.6162
-388.592943,1000,111.782328
-232.1497,1000,115.410357
-340.222599,1000,155.676097
-447.470509,1000,159.234788
-391.332956,1000,199.480019
-599.20054,1000,203.093399
-936.823192,1000,243.585708
-125.272302,1000,247.153187
-939.031415,1000,287.388654
-925.059154,1000,290.952227
-953.008392,1000,331.14277
-303.179209,1000,334.613567
-908.244369,1000,374.868565
-829.677763,1000,378.435068
-959.54057,1000,418.742802
-929.633334,1000,422.335673
-277.30944,1000,462.419767
-629.098657,1000,465.99506
-162.340708,1000,476.916256
87.178612,1000,480.289393
-823.510378,1000,490.947885
-201.370349,1000,494.329813
-127.575256,1000,504.996118
-932.690707,1000,508.375116
-236.893691,1000,519.105875
-488.742252,1000,522.448739
-960.096346,1000,533.218563
-126.326742,1000,536.671781
-390.3073,1000,547.329298
85.76454,1000,550.764936
-305.963918,1000,561.507416
-294.554854,1000,564.916688
-245.842169,1000,575.58397
-104.66528,1000,578.983475
-72.502544,1000,589.696656
99.686558,1000,593.148898
150.696439,1000,603.766374
-46.205157,1000,607.25768
66.707238,1000,610.735313
-164.875417,1000,621.451424
-50.361764,1000,624.878275
54.0068,1000,635.599269
68.055467,1000,639.011471
-28.739406,1000,649.648479
59.325659,1000,653.027476
109.410704,1000,663.69964
149.048432,1000,667.162624
-8.692098,1000,677.870923
8.004272,1000,681.315352
57.271235,1000,692.028533
84.213722,1000,695.520816
133.202978,1000,706.220324
106.826656,1000,709.66866
104.587769,1000,720.457039
82.955619,1000,723.964946
147.141547,1000,734.712308
87.813193,1000,738.130369
156.939574,1000,748.836715
139.339904,1000,752.391498
152.016667,1000,763.060733
130.584094,1000,766.683878
162.342914,1000,777.507414
43.047441,1000,780.874693
109.355387,1000,791.504864
117.532118,1000,794.920972
117.299474,1000,805.71814
141.083248,1000,809.124482
159.966928,1000,819.813249
-0.145933,1000,823.254749
55.114895,1000,833.994298
65.523823,1000,837.490486
106.489952,1000,848.216364
77.484291,1000,851.611963
137.012412,1000,862.213813
60.179122,1000,865.68754
174.945318,1000,876.479825
102.257165,1000,879.908628
175.203493,1000,890.549542
172.161329,1000,893.983229
189.431445,1000,904.720825
170.022556,1000,908.115448
150.026519,1000,911.674138
142.178067,1000,922.365834
131.513724,1000,925.818076
136.822769,1000,936.518562
123.565258,1000,939.94639
180.98341,1000,950.749417
122.980818,1000,954.144041
129.151003,1000,964.854291
122.857194,1000,968.265517
131.909223,1000,979.04413
