#{"t_start": 1597088390.2976627, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-391.552439,1000,9.180335
64.708051,1000,18.698978
-33.325851,1000,28.197602
248.964663,1000,37.69923
97.710588,1000,47.245898
17.583218,1000,56.847616
166.913808,1000,66.434321
293.880683,1000,76.042044
291.352419,1000,85.736847
313.519739,1000,95.361586
40.969024,1000,105.029364
415.630305,1000,114.690136
336.127312,1000,124.290853
223.789385,1000,133.998667
289.385207,1000,143.615399
-35.944779,1000,153.304196
332.065563,1000,162.924932
268.223533,1000,172.508633
91.492303,1000,182.14138
238.733739,1000,191.742097
117.515062,1000,201.354825
104.094442,1000,207.600496
126.436337,1000,217.268274
183.099544,1000,226.914032
32.730935,1000,236.527761
207.137781,1000,246.225566
433.825424,1000,274.273033
339.318864,1000,284.167016
384.182074,1000,293.954903
214.418317,1000,303.525593
161.720553,1000,313.098285
222.495465,1000,322.697001
428.407554,1000,332.262686
317.541605,1000,341.82637
358.25615,1000,351.410071
734.789448,1000,360.959742
535.874125,1000,370.532434
533.674784,1000,380.083105
697.73325,1000,389.69183
318.991523,1000,399.230491
136.752821,1000,408.796176
390.57863,1000,418.426921
442.512505,1000,424.647569
416.227717,1000,434.300333
384.936764,1000,443.878031
569.106593,1000,453.484752
492.321766,1000,463.13952
558.955087,1000,473.131591
466.696892,1000,482.856421
426.578782,1000,492.473154
778.223028,1000,502.067864
379.716793,1000,529.803048
362.421119,1000,539.410771
716.464117,1000,549.065538
559.40251,1000,558.788367
716.73784,1000,568.401094
718.530383,1000,578.058863
449.374691,1000,587.817723
563.994385,1000,597.518531
712.539492,1000,607.20933
433.406715,1000,617.01023
236.832608,1000,626.561902
465.711475,1000,636.188642
440.789086,1000,642.409291
716.295518,1000,652.04504
549.716887,1000,661.678787
657.713189,1000,671.433644
657.262244,1000,681.041368
659.905675,1000,690.751184
501.463336,1000,700.453994
652.877281,1000,710.183828
621.664407,1000,719.828585
337.82166,1000,729.495363
511.43567,1000,739.180157
789.336186,1000,748.874959
650.750163,1000,758.590781
736.970601,1000,768.531806
556.109607,1000,796.202931
577.66398,1000,805.830673
416.104512,1000,815.492446
677.010391,1000,825.127194
602.102942,1000,834.794972
511.745708,1000,844.428719
492.014205,1000,854.128527
570.584334,1000,863.723238
622.416616,1000,869.961903
545.907286,1000,879.612666
673.368624,1000,889.251417
638.051466,1000,898.898176
662.754288,1000,908.661041
658.125662,1000,918.447927
558.317703,1000,928.044641
538.617655,1000,937.76847
554.525621,1000,947.476284
390.329223,1000,957.119039
397.877791,1000,966.770803
466.496421,1000,976.519654
673.94942,1000,986.153402
577.801504,1000,995.782144
830.975524,1000,1005.608066
634.74225,1000,1015.233807
660.887192,1000,1024.825515
519.604583,1000,1052.376532
780.899449,1000,1061.900178
520.322819,1000,1071.470867
697.214921,1000,1081.094606
578.850087,1000,1087.274216
747.68265,1000,1096.850912
494.963743,1000,1106.513685
614.056421,1000,1116.08938
701.070837,1000,1125.674083
742.777709,1000,1135.231761
124.150028,1000,1144.901541
44.892675,1000,1154.578326
497.000466,1000,1164.149017
109.503985,1000,1173.695685
674.184253,1000,1183.279388
629.793719,1000,1192.90913
573.219711,1000,1202.520857
670.774691,1000,1212.068526
838.045631,1000,1221.680254
773.795244,1000,1231.284975
196.796096,1000,1240.991788
565.437625,1000,1250.598511
891.262025,1000,1260.178209
349.046818,1000,1269.793941
836.689928,1000,1279.526778
336.048139,1000,1285.740419
421.439578,1000,1313.486612
564.586651,1000,1323.082325
416.277797,1000,1332.741094
459.182745,1000,1342.384851
887.949617,1000,1351.981564
673.361523,1000,1361.646339
830.084091,1000,1371.32813
838.478798,1000,1380.906828
622.819409,1000,1390.728745
837.790497,1000,1400.340473
830.895553,1000,1410.017259
825.305987,1000,1419.660016
888.386865,1000,1429.321787
579.752452,1000,1438.937517
830.640379,1000,1448.59829
463.740033,1000,1458.17999
887.149977,1000,1467.799724
886.834911,1000,1477.381424
830.334928,1000,1487.019175
640.232799,1000,1496.68395
480.069118,1000,1506.284667
631.083388,1000,1512.511321
886.10266,1000,1522.141065
627.512395,1000,1531.863893
233.000689,1000,1541.48763
593.931867,1000,1551.055317
122.269421,1000,1578.692412
521.223931,1000,1588.244084
678.165578,1000,1597.881835
884.523967,1000,1607.494563
607.593484,1000,1617.118301
683.742014,1000,1626.821111
609.418419,1000,1636.414822
255.196864,1000,1646.04957
569.436736,1000,1655.651289
880.352301,1000,1665.329076
120.990581,1000,1674.964825
882.643174,1000,1684.604577
