#{"t_start": 1596642117.8538282, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-391.552439,1000,7.701993
117.837067,1000,17.078507
-71.018201,1000,26.48805
21.651444,1000,35.911608
124.372019,1000,45.281114
187.846563,1000,54.662632
-200.240381,1000,64.025133
110.996971,1000,73.458699
-101.521736,1000,83.012373
235.222331,1000,92.419914
-33.094562,1000,101.79843
-130.925795,1000,111.152924
162.143682,1000,120.573478
-133.465055,1000,130.012047
-244.723609,1000,139.361538
-101.381745,1000,148.726039
160.174301,1000,158.16561
263.505522,1000,167.589167
177.046245,1000,176.985698
122.87283,1000,186.475315
-41.436592,1000,195.899872
-41.154842,1000,201.979392
225.145554,1000,211.365915
-179.045172,1000,220.88556
173.490604,1000,230.325129
-136.744275,1000,239.724664
-131.02851,1000,267.028455
-63.268904,1000,276.460018
-31.643395,1000,285.862555
-52.833867,1000,295.336158
304.68515,1000,304.769722
267.003313,1000,314.20529
368.457579,1000,323.70992
95.154703,1000,333.254586
326.57978,1000,342.933375
376.005244,1000,352.317895
517.829668,1000,362.096774
5.477805,1000,371.470285
334.703273,1000,380.986926
592.6486,1000,390.492557
99.626627,1000,399.950145
146.525329,1000,409.385711
401.791527,1000,415.446214
286.802356,1000,424.871772
552.92529,1000,434.29733
677.233514,1000,443.674845
353.477218,1000,453.135435
104.831464,1000,462.500939
112.116466,1000,471.933503
252.082847,1000,481.298006
130.915445,1000,490.729569
44.889511,1000,520.483585
231.820975,1000,529.918152
142.678464,1000,539.429788
251.319043,1000,548.885374
75.642936,1000,558.295918
33.610199,1000,567.727482
114.296927,1000,577.130019
232.104125,1000,586.564585
-58.522672,1000,595.995148
-8.877766,1000,605.439723
19.038589,1000,614.870286
186.610167,1000,624.321868
149.224304,1000,630.394382
397.981136,1000,639.815936
206.303742,1000,649.237491
146.163536,1000,658.725105
73.972429,1000,668.197706
301.826616,1000,677.667304
203.400116,1000,687.094864
101.59248,1000,696.52943
55.667572,1000,705.904943
405.906787,1000,715.291466
111.937436,1000,724.658972
286.152742,1000,734.091536
123.526901,1000,743.468049
279.171312,1000,752.869585
140.451603,1000,780.205406
51.665889,1000,789.623958
237.813166,1000,799.115576
151.181641,1000,808.551143
199.886896,1000,817.982707
277.057579,1000,827.484334
-5.357468,1000,836.88587
294.197175,1000,846.260382
254.236882,1000,852.305871
315.80075,1000,861.704405
55.938731,1000,871.143979
715.617374,1000,880.65261
751.330613,1000,890.32339
265.81881,1000,899.793989
257.453075,1000,909.262587
92.622751,1000,918.718172
126.264999,1000,928.131719
106.163864,1000,937.589307
142.512043,1000,946.999851
656.077791,1000,956.500477
264.794327,1000,965.914024
196.169463,1000,975.322567
294.301822,1000,984.744122
