#{"t_start": 1600113183.1906576, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-560.548885,1000,7.184537
-937.544471,1000,15.207837
-925.003909,1000,23.445332
-959.522143,1000,31.527687
-954.374746,1000,39.600032
-506.276345,1000,47.738437
-815.337123,1000,55.871838
-204.372256,1000,63.914155
-99.925606,1000,72.12963
-63.492862,1000,80.223995
-148.390952,1000,88.332373
-66.187539,1000,96.478785
34.324845,1000,104.461049
7.886524,1000,112.507369
40.711546,1000,120.638768
-41.283701,1000,128.708111
122.658495,1000,136.7194
-40.695758,1000,144.826777
-24.468786,1000,152.877102
9.953311,1000,160.969465
-884.731446,1000,169.114876
-885.294038,1000,174.692951
-184.732346,1000,182.715251
-396.049766,1000,190.954748
89.833346,1000,198.996065
23.755802,1000,207.095435
172.241199,1000,232.296365
144.337821,1000,240.553879
175.97497,1000,248.560163
127.544268,1000,256.763628
197.385265,1000,264.992114
112.539707,1000,273.077471
137.2963,1000,281.171836
207.061611,1000,289.116065
145.876263,1000,297.292504
158.236357,1000,305.359844
150.285418,1000,313.556302
172.067112,1000,321.597619
168.939462,1000,329.64394
188.984997,1000,337.744311
76.310747,1000,345.74459
197.07312,1000,353.746872
86.196182,1000,359.328951
166.422095,1000,367.495381
170.523704,1000,375.558718
221.89475,1000,383.72615
177.635693,1000,391.802498
169.912809,1000,399.829802
171.373123,1000,408.033266
196.541062,1000,416.032544
-897.106406,1000,424.15994
200.121657,1000,449.302817
206.493273,1000,457.27407
160.988892,1000,465.347416
246.990807,1000,473.3527
200.170129,1000,481.478093
170.101989,1000,489.454351
216.359562,1000,497.453629
188.520089,1000,505.564009
251.974422,1000,513.583306
128.850491,1000,521.701692
254.445694,1000,529.729997
205.349361,1000,537.859394
183.257709,1000,543.406441
213.873216,1000,551.467776
194.313042,1000,559.759321
233.476244,1000,567.883713
215.048775,1000,575.864975
223.396658,1000,583.862252
146.826704,1000,591.919583
198.166546,1000,599.896841
184.203015,1000,607.957175
199.470698,1000,615.950448
198.575353,1000,623.977752
214.793088,1000,632.019069
108.678759,1000,640.193507
235.277987,1000,648.141739
255.355423,1000,673.079429
212.919597,1000,681.044677
215.445929,1000,689.107013
226.1128,1000,697.197375
189.617788,1000,705.189646
231.196473,1000,713.332055
247.518192,1000,721.367366
221.083295,1000,729.452723
215.185762,1000,735.086849
236.827014,1000,743.113153
-20.704937,1000,751.077399
192.190406,1000,759.246833
227.196852,1000,767.26713
216.088324,1000,775.367501
242.233355,1000,783.415823
217.377013,1000,791.450135
182.618788,1000,799.404372
135.125585,1000,807.515752
270.05005,1000,815.559071
258.658452,1000,823.664446
168.080821,1000,831.662723
278.061084,1000,839.645988
236.756258,1000,847.661281
225.064808,1000,855.766655
159.802665,1000,863.776944
228.16536,1000,888.703624
161.540055,1000,896.82101
283.382798,1000,904.979434
232.173754,1000,913.050777
153.202473,1000,918.532766
260.842989,1000,926.523036
200.479478,1000,934.580367
249.388546,1000,942.654714
-813.66432,1000,950.684019
232.251763,1000,958.819422
222.106166,1000,966.854734
214.021827,1000,974.823985
101.643877,1000,982.919351
126.591666,1000,990.931641
224.049375,1000,999.00799
254.595602,1000,1006.98725
238.487118,1000,1014.982525
148.913054,1000,1023.045861
226.135861,1000,1031.152237
87.224322,1000,1039.109477
144.350214,1000,1047.107755
93.629295,1000,1055.057989
265.809811,1000,1063.141344
274.125519,1000,1071.245718
280.028692,1000,1079.21597
299.82837,1000,1084.750006
208.39868,1000,1109.954939
163.417863,1000,1117.962225
291.771053,1000,1126.096626
254.796738,1000,1134.27807
120.601191,1000,1142.387449
204.420621,1000,1150.580904
329.148676,1000,1158.755342
95.622044,1000,1166.949798
217.420119,1000,1175.105219
229.942589,1000,1183.640985
218.742119,1000,1191.852458
183.795524,1000,1200.302145
258.598351,1000,1208.554654
324.476953,1000,1216.656063
238.055588,1000,1224.744421
387.294873,1000,1232.903846
420.065793,1000,1241.000213
286.703809,1000,1248.962458
386.635564,1000,1256.91069
400.421731,1000,1265.160197
225.383427,1000,1273.110429
301.076741,1000,1278.71653
327.66602,1000,1286.818903
428.315805,1000,1294.892248
451.740636,1000,1302.989617
622.599203,1000,1310.929841
525.49556,1000,1335.96462
539.673417,1000,1343.974908
