#{"t_start": 1603160208.0713887, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
59.0,59,1.847682
12.0,12,1.890722
40.0,40,2.056873
50.0,50,2.256055
43.0,43,2.435217
16.0,16,2.495272
35.0,35,2.638402
32.0,32,2.770522
51.0,51,2.970704
26.0,26,3.081807
18.0,18,3.155874
15.0,15,3.209922
12.0,12,3.259968
14.0,14,3.316019
30.0,30,3.445137
43.0,43,3.608285
26.0,26,3.715384
18.0,18,3.784445
61.0,61,4.017678
20.0,20,4.100733
20.0,20,4.182808
14.0,14,4.23986
19.0,19,4.308923
25.0,25,4.409014
24.0,24,4.506102
40.0,40,4.673254
25.0,25,4.792363
38.0,38,4.982536
46.0,46,5.206742
12.0,12,5.269798
20.0,20,5.367887
18.0,18,5.446959
21.0,21,5.54605
53.0,53,5.780262
29.0,29,5.893365
28.0,28,6.000463
26.0,26,6.099553
42.0,42,6.268708
14.0,14,6.324758
35.0,35,6.493913
16.0,16,6.574986
44.0,44,6.75315
50.0,50,6.956333
27.0,27,7.062431
29.0,29,7.179536
19.0,19,7.260611
16.0,16,7.335678
14.0,14,7.394732
23.0,23,7.486816
42.0,42,7.661975
47.0,47,7.842139
41.0,41,8.008798
32.0,32,8.14192
64.0,64,8.39615
49.0,49,8.594331
34.0,34,8.73646
23.0,23,8.831547
42.0,42,8.993694
38.0,38,9.143831
21.0,21,9.2199
20.0,20,9.301007
32.0,32,9.424086
59.0,59,9.673313
28.0,28,9.787417
14.0,14,9.844469
11.0,11,9.885506
15.0,15,9.945561
28.0,28,10.055661
26.0,26,24.363193
43.0,43,24.520336
41.0,41,24.675477
18.0,18,24.742538
44.0,44,24.904686
24.0,24,25.002775
17.0,17,25.070837
44.0,44,25.242994
29.0,29,25.34909
32.0,32,25.471201
42.0,42,25.624342
21.0,21,25.705415
54.0,54,25.900593
25.0,25,25.988673
48.0,48,26.170839
17.0,17,26.233896
30.0,30,26.33699
27.0,27,26.43608
96.0,96,26.794406
100.0,100,27.177756
37.0,37,27.351914
32.0,32,27.477028
16.0,16,27.540086
28.0,28,27.651186
57.0,57,27.863379
97.0,97,28.23772
25.0,25,28.321797
11.0,11,28.366838
39.0,39,28.509968
32.0,32,28.631078
24.0,24,28.714154
13.0,13,28.7652
34.0,34,28.883308
42.0,42,29.049459
19.0,19,29.122526
42.0,42,29.283673
8.0,8,29.310697
19.0,19,29.383764
21.0,21,29.461835
49.0,49,29.640998
22.0,22,29.718068
28.0,28,29.820161
23.0,23,29.901235
29.0,29,30.009333
26.0,26,30.104419
41.0,41,30.253556
14.0,14,30.299597
29.0,29,30.406695
26.0,26,30.502783
47.0,47,30.681945
20.0,20,30.755012
81.0,81,31.056286
23.0,23,31.144367
45.0,45,31.315522
49.0,49,31.495687
42.0,42,31.654832
10.0,10,31.687861
45.0,45,31.860525
61.0,61,39.46745
53.0,53,39.657623
37.0,37,39.787741
35.0,35,39.924866
42.0,42,40.078006
15.0,15,40.136059
27.0,27,40.231145
39.0,39,40.376277
51.0,51,40.559444
53.0,53,40.747616
49.0,49,40.919772
57.0,57,41.120955
41.0,41,41.276096
63.0,63,41.496297
39.0,39,41.646434
48.0,48,41.833604
46.0,46,41.996752
96.0,96,42.368091
41.0,41,42.515224
47.0,47,42.689383
66.0,66,42.93961
60.0,60,43.170821
50.0,50,43.351988
70.0,70,43.598211
80.0,80,43.889982
40.0,40,44.032111
40.0,40,44.174241
60.0,60,44.39244
97.0,97,44.740757
32.0,32,44.85486
72.0,72,45.116101
79.0,79,45.402359
25.0,25,45.522468
61.0,61,45.749675
63.0,63,45.98589
55.0,55,46.177064
150.0,150,46.737574
58.0,58,54.183353
60.0,60,54.399549
99.0,99,54.756875
166.0,166,55.334401
66.0,66,55.56361
63.0,63,55.783825
73.0,73,56.057074
102.0,102,56.409394
79.0,79,56.690651
149.0,149,57.221134
100.0,100,57.606485
58.0,58,57.82068
38.0,38,57.964811
68.0,68,58.19402
134.0,134,58.663447
45.0,45,58.817587
54.0,54,59.00776
67.0,67,59.258989
97.0,97,59.594294
44.0,44,59.756442
79.0,79,60.033694
99.0,99,60.371003
91.0,91,60.691293
57.0,57,60.894478
95.0,95,61.245798
109.0,109,69.183532
112.0,112,69.606918
63.0,63,69.855144
88.0,88,70.194452
61.0,61,70.432669
140.0,140,70.983171
135.0,135,71.495638
83.0,83,71.806921
184.0,184,72.518568
67.0,67,72.779806
75.0,75,73.08008
102.0,102,73.503465
34.0,34,73.638589
188.0,188,74.392275
80.0,80,74.705559
38.0,38,74.846688
76.0,76,75.149964
225.0,225,76.004743
100.0,100,76.384087
116.0,116,76.825489
125.0,125,84.817336
90.0,90,85.159648
142.0,142,85.710149
74.0,74,85.992408
93.0,93,86.346729
117.0,117,86.797138
136.0,136,87.334628
116.0,116,87.785038
90.0,90,88.167386
172.0,172,88.86402
93.0,93,89.214341
115.0,115,89.658744
97.0,97,90.034085
171.0,171,90.696196
108.0,108,91.113576
136.0,136,91.65407
100.0,100,92.04042
114.0,114,100.098757
115.0,115,100.545163
98.0,98,100.911496
137.0,137,101.44398
73.0,73,101.721234
113.0,113,102.156629
144.0,144,102.703633
103.0,103,103.086984
136.0,136,103.619469
141.0,141,104.186983
148.0,148,104.798541
103.0,103,105.192899
136.0,136,105.71037
121.0,121,106.167787
138.0,138,106.717287
156.0,156,107.319836
130.0,130,107.822293
144.0,144,115.967216
192.0,192,116.694877
197.0,197,117.47859
156.0,156,118.080138
206.0,206,118.880867
174.0,174,119.569494
267.0,267,120.578412
148.0,148,121.128913
182.0,182,121.845565
171.0,171,122.492155
141.0,141,123.051664
168.0,168,131.247632
228.0,228,132.141445
358.0,358,133.528708
194.0,194,134.290402
203.0,203,135.109147
194.0,194,135.840813
246.0,246,136.777666
264.0,264,137.810609
236.0,236,138.757975
360.0,360,147.667086
458.0,458,149.445705
347.0,347,150.78543
669.0,669,153.327745
1000.0,1000,164.752652
1000.0,1000,168.66121
1000.0,1000,180.020058
1000.0,1000,183.82352
1000.0,1000,195.211392
1000.0,1000,199.064405
1000.0,1000,210.463293
1000.0,1000,214.297784
1000.0,1000,225.674647
1000.0,1000,229.618237
1000.0,1000,240.960069
1000.0,1000,244.811576
1000.0,1000,256.239488
1000.0,1000,260.082494
1000.0,1000,271.352258
1000.0,1000,275.207768
1000.0,1000,286.49155
1000.0,1000,290.448153
1000.0,1000,301.827016
1000.0,1000,305.659013
1000.0,1000,317.120447
1000.0,1000,321.036521
1000.0,1000,332.330306
1000.0,1000,336.191823
1000.0,1000,348.044123
1000.0,1000,352.207914
1000.0,1000,363.890055
1000.0,1000,367.918229
1000.0,1000,379.604374
1000.0,1000,383.677083
1000.0,1000,395.400261
1000.0,1000,399.409912
1000.0,1000,403.463109
1000.0,1000,415.974005
1000.0,1000,419.903582
1000.0,1000,431.684814
1000.0,1000,435.565346
1000.0,1000,447.305542
1000.0,1000,451.179577
1000.0,1000,462.878241
1000.0,1000,466.835844
1000.0,1000,478.589049
1000.0,1000,482.266397
1000.0,1000,493.407045
1000.0,1000,497.381169
1000.0,1000,509.097342
1000.0,1000,513.165045
1000.0,1000,524.726079
1000.0,1000,528.728721
1000.0,1000,540.177653
1000.0,1000,543.911558
1000.0,1000,554.943109
1000.0,1000,558.669501
1000.0,1000,569.64851
1000.0,1000,573.397923
1000.0,1000,584.350399
1000.0,1000,587.999722
1000.0,1000,598.984228
1000.0,1000,602.673092
1000.0,1000,613.723659
1000.0,1000,617.391999
1000.0,1000,628.495612
1000.0,1000,632.354125
1000.0,1000,644.257468
1000.0,1000,648.177036
1000.0,1000,660.030334
1000.0,1000,664.030482
1000.0,1000,675.956846
1000.0,1000,679.991519
1000.0,1000,691.821796
1000.0,1000,695.838453
1000.0,1000,707.488564
1000.0,1000,711.533754
1000.0,1000,723.337004
1000.0,1000,727.493788
1000.0,1000,731.512447
1000.0,1000,743.274662
1000.0,1000,747.303836
1000.0,1000,759.101085
1000.0,1000,763.221835
104.0,104,763.648223
1000.0,1000,775.76476
1000.0,1000,780.008131
1000.0,1000,792.25679
1000.0,1000,796.462618
1000.0,1000,831.181747
1000.0,1000,835.555729
790.0,790,846.853522
853.0,853,850.324681
156.0,156,850.967267
635.0,635,861.536902
996.0,996,865.794284
748.0,748,868.913124
1000.0,1000,880.989627
495.0,495,882.986444
1000.0,1000,894.842746
1000.0,1000,898.91496
1000.0,1000,910.674176
1000.0,1000,914.735873
1000.0,1000,926.458051
1000.0,1000,930.467701
1000.0,1000,942.128824
1000.0,1000,946.169012
1000.0,1000,958.006298
32.0,32,958.133413
1000.0,1000,962.158077
1000.0,1000,973.93831
1000.0,1000,978.017023
1000.0,1000,989.744205
1000.0,1000,993.832434
1000.0,1000,1005.528591
1000.0,1000,1009.544247
1000.0,1000,1013.54589
1000.0,1000,1025.411198
1000.0,1000,1029.472402
1000.0,1000,1041.097492
