#{"t_start": 1603375010.3713934, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-855.48834,1000,4.399002
-870.648809,1000,7.582899
-734.12764,1000,34.227135
-860.981068,1000,37.395016
-665.858742,1000,46.910673
-639.494065,1000,50.081557
-668.325466,1000,59.656266
-604.220896,1000,62.763093
-436.132439,1000,72.360823
-550.043751,1000,75.553727
-100.250587,1000,85.282577
-378.633287,1000,88.433444
-289.943476,1000,98.221347
43.754194,1000,101.338182
-222.205482,1000,111.062028
-93.809129,1000,114.166852
74.180872,1000,123.868677
76.84168,1000,126.859398
-171.967647,1000,136.570231
-118.732808,1000,139.752126
42.941544,1000,149.504997
-23.891221,1000,152.569785
61.737244,1000,162.233577
-60.093698,1000,165.384442
182.942023,1000,174.992184
135.143081,1000,178.044959
45.668588,1000,187.637685
109.528067,1000,190.651426
-32.87067,1000,200.368266
-4.790903,1000,203.417039
4.874877,1000,213.034787
116.596546,1000,216.128602
72.300785,1000,225.802402
238.860413,1000,228.972285
228.354234,1000,238.59604
61.247563,1000,241.6308
179.100685,1000,251.283581
47.216796,1000,254.336358
246.977418,1000,264.028174
78.510089,1000,267.16903
164.081382,1000,276.857844
232.937585,1000,280.033733
342.653024,1000,283.22964
310.945977,1000,292.961493
69.825927,1000,296.066317
350.146629,1000,305.994349
23.509943,1000,309.081156
237.921728,1000,318.776976
421.245485,1000,321.852774
348.039472,1000,331.525573
601.816923,1000,334.575347
566.821027,1000,344.254152
357.543851,1000,347.282907
455.812055,1000,356.983236
626.824315,1000,360.353301
551.181723,1000,370.126191
752.489279,1000,373.183973
770.265537,1000,382.848764
840.951814,1000,385.909549
640.04531,1000,395.523294
888.169989,1000,398.587081
887.084332,1000,408.171799
830.135491,1000,411.2506
485.172932,1000,420.894373
558.544103,1000,424.158342
887.888244,1000,433.811122
888.150326,1000,436.93096
732.045145,1000,446.622777
466.004459,1000,449.609494
887.164392,1000,459.249262
888.97876,1000,462.262003
833.141093,1000,471.917786
881.375025,1000,474.978571
883.365108,1000,484.792498
788.756972,1000,487.92835
884.953454,1000,497.59665
883.351607,1000,500.687462
889.413917,1000,510.369269
727.410462,1000,513.549161
736.301226,1000,523.284017
881.483745,1000,526.391844
825.772457,1000,535.927518
883.557818,1000,538.974289
888.784469,1000,548.675114
882.969177,1000,551.71588
885.438365,1000,554.762652
821.615995,1000,564.3804
891.078046,1000,567.532267
873.797779,1000,577.184047
881.700198,1000,580.246833
765.147545,1000,589.87359
609.158356,1000,592.941381
710.048461,1000,602.643206
824.139556,1000,605.676966
887.095866,1000,615.339756
890.349512,1000,618.358501
871.739452,1000,628.021291
884.90423,1000,631.03203
818.490283,1000,640.662791
707.598271,1000,643.709562
828.712344,1000,653.367347
823.996225,1000,656.499196
675.396765,1000,666.230048
828.851698,1000,669.251798
888.459384,1000,695.961092
887.489738,1000,699.021877
887.344233,1000,708.675659
832.51203,1000,711.71142
889.113263,1000,721.327167
888.25554,1000,724.325895
886.448921,1000,733.912616
888.663577,1000,737.030452
886.626327,1000,746.764306
883.301756,1000,749.878139
884.078171,1000,759.62
881.005033,1000,762.591704
886.884578,1000,772.193437
885.779888,1000,775.254222
879.901285,1000,784.923018
772.509177,1000,787.983801
872.472442,1000,797.62357
816.458838,1000,800.75642
821.488662,1000,810.439228
884.283834,1000,813.450968
878.566288,1000,823.060709
879.335914,1000,826.101475
888.173284,1000,835.834329
762.366255,1000,838.875095
525.292189,1000,841.949892
883.311428,1000,851.547622
879.115299,1000,854.613411
879.887609,1000,864.248175
886.174681,1000,867.271926
876.695084,1000,876.879666
815.933948,1000,879.902415
820.983942,1000,889.487134
882.316988,1000,892.636999
806.544745,1000,902.183684
463.676395,1000,905.253476
669.893092,1000,914.812171
675.587306,1000,918.011081
826.807343,1000,927.577785
739.821579,1000,930.657585
827.569322,1000,940.253314
771.997578,1000,943.330112
886.539292,1000,952.939854
889.829113,1000,956.04668
887.881171,1000,965.580352
879.421305,1000,968.637133
887.015573,1000,978.374992
885.77739,1000,981.463801
890.412917,1000,991.023497
788.84634,1000,994.00621
889.93602,1000,1003.688018
887.289449,1000,1006.829875
883.212255,1000,1016.456632
830.400283,1000,1019.500401
892.840635,1000,1029.084119
887.263104,1000,1032.257005
885.113371,1000,1041.865746
876.212784,1000,1044.931535
481.929396,1000,1054.553287
882.650653,1000,1057.69014
888.708325,1000,1067.290874
882.044586,1000,1070.343651
652.145565,1000,1079.88533
888.639416,1000,1082.9301
885.798757,1000,1092.536839
822.494806,1000,1095.630653
889.681873,1000,1105.188348
883.287317,1000,1108.212098
587.195238,1000,1111.257869
878.928173,1000,1120.926663
887.604378,1000,1123.945915
882.750497,1000,1133.683774
887.776989,1000,1136.744558
884.637811,1000,1146.504436
879.70706,1000,1149.603255
888.411872,1000,1159.439203
884.340692,1000,1162.611088
881.866322,1000,1172.790347
434.516242,1000,1176.07934
534.895905,1000,1185.671064
886.128,1000,1188.7889
273.285989,1000,1198.369616
881.501714,1000,1201.462429
828.462637,1000,1211.139232
887.328708,1000,1214.129952
882.625662,1000,1223.829775
885.345636,1000,1226.877549
729.630896,1000,1236.514314
887.670061,1000,1239.553078
868.48927,1000,1249.208862
603.966988,1000,1252.295669
886.619061,1000,1261.883392
884.592512,1000,1264.977206
886.281822,1000,1274.55792
889.060161,1000,1277.573664
888.14025,1000,1287.213433
889.756352,1000,1290.266209
336.442134,1000,1299.86294
886.346337,1000,1302.888692
883.634691,1000,1312.467405
891.451816,1000,1315.484149
890.6745,1000,1325.097894
889.355229,1000,1328.118642
891.771832,1000,1358.714473
890.770301,1000,1361.767251
888.673275,1000,1371.510113
890.330138,1000,1374.558887
305.822809,1000,1384.278728
890.25469,1000,1387.40257
888.535352,1000,1397.110401
890.817,1000,1400.277282
888.387266,1000,1403.287019
887.525416,1000,1412.895761
888.70749,1000,1415.983568
890.447804,1000,1425.696404
664.214294,1000,1428.810236
887.419451,1000,1438.363927
827.907002,1000,1441.462745
582.35589,1000,1451.125535
889.560729,1000,1454.1643
890.578265,1000,1463.77204
827.870632,1000,1466.746746
891.003789,1000,1476.29343
886.22425,1000,1479.408263
887.792566,1000,1488.984975
831.741014,1000,1492.10181
889.632806,1000,1501.670514
891.717719,1000,1504.856412
890.62596,1000,1514.420112
888.284761,1000,1517.475891
887.88761,1000,1527.095642
777.79307,1000,1530.141413
662.160468,1000,1539.815212
839.795273,1000,1542.793922
550.506603,1000,1552.398659
888.596335,1000,1555.416404
887.627167,1000,1565.050167
346.591996,1000,1568.059906
893.178469,1000,1577.79476
887.420602,1000,1580.803498
889.987583,1000,1590.367197
889.28723,1000,1593.408964
888.143277,1000,1602.997686
885.533048,1000,1606.06848
888.324739,1000,1615.713253
885.63004,1000,1618.748014
711.808616,1000,1628.321723
717.953536,1000,1631.311442
884.019243,1000,1638.450937
666.540999,1000,1641.524734
890.616274,1000,1648.626193
892.565991,1000,1651.682974
890.981399,1000,1654.754767
770.914622,1000,1661.871241
772.532921,1000,1664.923017
892.109586,1000,1672.057507
890.450997,1000,1675.247408
888.852984,1000,1682.379897
888.780376,1000,1685.41766
889.77389,1000,1692.536135
890.624687,1000,1695.702015
890.651243,1000,1702.76544
892.620869,1000,1705.933322
885.435613,1000,1713.122862
888.248359,1000,1716.40785
892.373696,1000,1723.602395
888.549772,1000,1726.633152
890.600584,1000,1733.712591
737.153015,1000,1736.91401
893.518323,1000,1744.060016
832.526062,1000,1747.105787
888.874957,1000,1754.175216
892.087785,1000,1757.303062
773.216487,1000,1764.357479
889.068924,1000,1767.39224
890.432662,1000,1774.46167
890.797459,1000,1777.453392
831.420615,1000,1784.661948
889.694678,1000,1787.75176
889.227301,1000,1794.875286
891.475382,1000,1798.052176
889.64252,1000,1805.121607
770.37683,1000,1808.141354
890.163419,1000,1815.254825
889.442656,1000,1818.329625
887.999107,1000,1825.373029
886.655837,1000,1828.47485
829.406437,1000,1835.614345
888.772354,1000,1838.737186
714.095043,1000,1845.963759
886.70472,1000,1849.053571
889.532957,1000,1856.182054
890.179518,1000,1859.268862
885.250525,1000,1866.499439
677.568469,1000,1869.56723
666.527651,1000,1872.657041
661.042698,1000,1879.914643
890.498372,1000,1882.917374
887.962375,1000,1890.05887
715.27346,1000,1893.135669
716.057508,1000,1900.275164
889.881314,1000,1903.319934
674.683246,1000,1910.365342
888.350092,1000,1913.40811
888.194297,1000,1920.486549
886.344414,1000,1923.530318
890.032212,1000,1947.638248
828.191777,1000,1950.70804
887.605039,1000,1957.792485
889.765989,1000,1960.915325
888.425426,1000,1968.036803
888.484895,1000,1971.057551
668.028541,1000,1978.18003
478.419961,1000,1981.232807
892.434034,1000,1988.444367
890.562004,1000,1991.473122
886.564406,1000,1998.621625
888.75935,1000,2001.913619
891.999242,1000,2009.106162
889.953088,1000,2012.241014
889.721376,1000,2019.441564
887.557621,1000,2022.502347
890.64949,1000,2029.635837
889.03318,1000,2032.694619
887.839865,1000,2039.728017
890.788949,1000,2042.83084
889.98748,1000,2049.936303
828.084929,1000,2053.15223
686.256986,1000,2060.221659
675.731116,1000,2063.280442
883.896986,1000,2070.518026
889.648081,1000,2073.635862
888.859045,1000,2080.882453
721.584037,1000,2083.937232
887.32588,1000,2091.121768
891.132127,1000,2094.226592
889.560107,1000,2100.759535
890.631624,1000,2103.798299
888.633383,1000,2106.904124
892.150571,1000,2113.435065
888.192951,1000,2116.49585
889.235252,1000,2122.923696
887.855473,1000,2125.942443
892.203603,1000,2132.338261
888.823986,1000,2135.351001
888.762439,1000,2141.690768
891.120587,1000,2144.720524
884.645474,1000,2151.074304
892.142928,1000,2154.161112
771.926676,1000,2160.470852
891.190516,1000,2163.545649
887.870174,1000,2169.886416
626.421311,1000,2173.009257
888.971189,1000,2179.385056
890.811819,1000,2182.383785
891.240467,1000,2188.691523
887.711551,1000,2191.764318
891.601535,1000,2198.081064
888.640262,1000,2201.133841
887.447555,1000,2207.606729
887.744179,1000,2210.713554
892.067492,1000,2217.077343
892.459482,1000,2220.070066
886.082159,1000,2226.467886
885.155382,1000,2229.541682
890.71511,1000,2235.931494
889.567888,1000,2239.028311
890.535703,1000,2245.430135
766.53025,1000,2248.533958
889.068197,1000,2254.94479
706.502694,1000,2257.973545
888.582574,1000,2264.374367
882.413151,1000,2267.421139
892.037286,1000,2273.84298
888.441578,1000,2276.866731
888.903632,1000,2283.193486
492.810311,1000,2286.332342
880.560492,1000,2292.738169
883.396566,1000,2295.794949
888.027806,1000,2302.197773
610.46839,1000,2305.308604
457.669082,1000,2308.499506
718.398867,1000,2314.904332
886.825654,1000,2317.997145
605.84925,1000,2324.418987
883.750894,1000,2327.508798
886.684843,1000,2333.845562
888.2413,1000,2336.915354
884.180783,1000,2343.283147
884.586576,1000,2346.294887
888.526039,1000,2352.660677
885.915737,1000,2355.772508
886.001111,1000,2362.128289
876.703125,1000,2365.262141
888.126615,1000,2371.69299
890.757019,1000,2374.675703
889.397914,1000,2381.002459
880.74287,1000,2384.010195
889.836242,1000,2390.366977
889.765279,1000,2393.395732
829.935692,1000,2399.815572
879.0004,1000,2403.052516
633.285958,1000,2409.34424
885.496793,1000,2412.357981
887.863864,1000,2418.810851
889.463509,1000,2421.823591
891.446086,1000,2428.159355
886.620456,1000,2431.150075
887.286082,1000,2454.661463
892.610869,1000,2457.815331
889.532207,1000,2464.131077
891.486405,1000,2467.175846
893.030146,1000,2473.553648
887.566896,1000,2476.626443
892.019049,1000,2482.975218
887.417439,1000,2486.000971
889.815097,1000,2492.305706
889.153865,1000,2495.310439
890.636035,1000,2501.712262
891.219304,1000,2504.842109
885.629245,1000,2511.211904
888.161089,1000,2514.288702
890.16041,1000,2520.688524
889.335907,1000,2523.750309
888.863619,1000,2526.896171
883.982069,1000,2533.234937
888.24435,1000,2536.285712
653.158372,1000,2542.603459
891.006283,1000,2545.604188
893.495838,1000,2552.261244
884.000759,1000,2555.430127
888.903328,1000,2561.806927
890.14523,1000,2564.93177
888.544853,1000,2571.375632
887.660773,1000,2574.480456
889.943298,1000,2580.851251
888.498311,1000,2583.882008
889.380738,1000,2590.252804
891.666732,1000,2593.285562
886.77023,1000,2599.61532
888.745815,1000,2602.637069
889.539435,1000,2608.960821
886.48513,1000,2612.096674
889.090397,1000,2618.419425
888.964574,1000,2621.445178
889.332484,1000,2627.770932
887.691455,1000,2630.907786
881.846611,1000,2637.302603
887.994709,1000,2640.40493
885.165341,1000,2646.757709
889.297407,1000,2649.870541
887.046624,1000,2656.209813
885.151144,1000,2659.267595
715.430872,1000,2665.549308
888.274957,1000,2668.591075
891.159743,1000,2674.896316
890.898707,1000,2678.070203
888.63154,1000,2684.555103
889.724898,1000,2687.596869
890.541124,1000,2694.012705
888.947947,1000,2697.140551
887.61393,1000,2703.644467
883.208894,1000,2706.644196
727.991333,1000,2713.060032
890.2897,1000,2716.072773
891.173813,1000,2722.393523
830.728954,1000,2725.425281
892.000425,1000,2728.549122
889.706723,1000,2734.924922
888.165561,1000,2737.970692
888.385903,1000,2744.370514
771.244402,1000,2747.592444
892.59445,1000,2753.98526
891.495308,1000,2757.050048
888.403636,1000,2763.349778
891.117004,1000,2766.348506
891.296128,1000,2772.777354
887.908224,1000,2775.74105
769.241657,1000,2782.080817
891.291476,1000,2785.145605
887.468784,1000,2791.497382
881.741013,1000,2794.74834
889.339165,1000,2801.076096
886.941896,1000,2804.198937
886.369854,1000,2810.508677
890.346842,1000,2813.595485
889.776911,1000,2819.993304
889.4651,1000,2823.072105
887.079169,1000,2829.434893
890.692727,1000,2832.531709
887.156145,1000,2839.044634
889.692434,1000,2842.202507
885.935991,1000,2848.553284
885.138358,1000,2851.577034
880.984814,1000,2857.929813
890.431099,1000,2861.044647
