#{"t_start": 1603167891.6361146, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
54.0,54,1.568428
19.0,19,1.629483
14.0,14,1.673524
15.0,15,1.721568
14.0,14,1.770612
13.0,13,1.811649
25.0,25,1.88972
20.0,20,1.953779
12.0,12,1.991813
14.0,14,2.036854
33.0,33,2.139948
21.0,21,2.205007
16.0,16,2.255053
35.0,35,2.369157
43.0,43,2.505787
27.0,27,2.601875
44.0,44,2.746006
24.0,24,2.820074
35.0,35,2.93718
30.0,30,3.048281
18.0,18,3.118345
29.0,29,3.209428
47.0,47,3.355561
26.0,26,3.438636
19.0,19,3.49669
18.0,18,3.555743
12.0,12,3.593778
21.0,21,3.660839
52.0,52,3.816981
31.0,31,3.930084
19.0,19,3.990139
15.0,15,4.037181
20.0,20,4.098237
16.0,16,4.148282
16.0,16,4.198328
40.0,40,4.322441
26.0,26,4.404516
45.0,45,4.545644
15.0,15,4.592687
29.0,29,4.689777
32.0,32,4.806882
35.0,35,4.915981
38.0,38,5.037091
21.0,21,5.102151
29.0,29,5.193234
27.0,27,5.275309
15.0,15,5.325354
74.0,74,5.555563
20.0,20,5.61762
15.0,15,5.664663
81.0,81,5.917893
28.0,28,6.017985
27.0,27,6.119077
17.0,17,6.17813
25.0,25,6.260205
32.0,32,6.358295
17.0,17,6.411343
15.0,15,6.457385
9.0,9,6.48541
18.0,18,6.54046
27.0,27,6.624537
26.0,26,6.70561
22.0,22,6.773672
22.0,22,6.840734
26.0,26,6.922808
39.0,39,7.044919
39.0,39,7.168032
22.0,22,7.237094
57.0,57,7.414256
35.0,35,7.519352
33.0,33,7.626449
21.0,21,7.714529
22.0,22,7.788596
34.0,34,7.896695
15.0,15,7.947742
16.0,16,20.926061
19.0,19,20.984114
28.0,28,21.0782
30.0,30,21.172286
87.0,87,21.456545
31.0,31,21.556636
37.0,37,21.669739
20.0,20,21.731795
33.0,33,21.839894
16.0,16,21.89094
74.0,74,22.125153
59.0,59,22.336345
29.0,29,22.425426
12.0,12,22.462461
16.0,16,22.513507
30.0,30,22.606592
183.0,183,23.19813
55.0,55,23.369286
16.0,16,23.421333
34.0,34,23.526429
9.0,9,23.556456
31.0,31,23.667558
43.0,43,23.807685
63.0,63,24.01087
23.0,23,24.081935
99.0,99,24.394219
39.0,39,24.52734
53.0,53,24.701499
64.0,64,24.920698
17.0,17,24.971745
57.0,57,25.158915
30.0,30,25.252
80.0,80,25.519243
13.0,13,25.561281
14.0,14,25.605321
99.0,99,25.913602
44.0,44,26.054731
48.0,48,26.206869
33.0,33,26.313967
68.0,68,26.533673
37.0,37,26.654783
10.0,10,26.685812
29.0,29,26.788905
