#{"t_start": 1600633366.226133, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-354.877071,1000,8.291537
-420.886998,1000,17.788169
-157.744999,1000,27.218742
-275.38351,1000,36.767422
-296.945192,1000,46.412189
-70.744761,1000,55.902816
-69.661838,1000,65.453498
-141.115801,1000,74.942123
-266.727804,1000,84.412732
61.954613,1000,93.848309
-4.616779,1000,103.361958
-39.720224,1000,112.898626
-180.936974,1000,122.350218
-143.309661,1000,131.840845
-21.605374,1000,141.276422
7.22366,1000,150.767049
-48.152855,1000,160.309724
73.655656,1000,169.823372
10.206263,1000,179.290977
178.18687,1000,188.839658
17.250747,1000,198.315271
168.132699,1000,204.628009
249.572475,1000,214.140656
140.266904,1000,223.735378
46.350264,1000,233.199982
266.188585,1000,242.676596
-194.330906,1000,269.838286
56.056007,1000,279.396976
58.076306,1000,288.838557
19.479569,1000,298.304162
32.081778,1000,307.832824
177.884038,1000,317.368492
285.728848,1000,327.181412
201.508307,1000,336.60698
161.013679,1000,346.098608
124.168862,1000,355.556206
144.586518,1000,364.98978
256.370247,1000,374.440372
90.858633,1000,383.894965
163.414772,1000,393.378586
167.438164,1000,402.84419
228.334044,1000,412.262752
132.833581,1000,418.513434
200.255527,1000,428.014071
140.919537,1000,437.461659
172.6829,1000,447.190501
120.698172,1000,456.651102
198.274143,1000,466.124714
96.609115,1000,475.610336
79.863339,1000,485.068934
7.367834,1000,494.441453
208.274609,1000,521.585128
209.868635,1000,531.049731
127.676933,1000,540.540359
288.113313,1000,550.092041
232.34711,1000,559.548638
208.084133,1000,569.010238
194.400032,1000,578.421793
99.700924,1000,587.950454
208.761558,1000,597.431072
277.716483,1000,606.912692
223.878893,1000,616.41533
231.666712,1000,625.862917
312.518217,1000,632.209687
331.961216,1000,641.694309
198.766703,1000,651.190941
192.574521,1000,660.62752
257.651963,1000,670.077109
233.75587,1000,679.567736
377.053385,1000,689.065369
122.972122,1000,698.546988
352.028486,1000,707.992575
363.728936,1000,717.475194
535.959903,1000,727.038888
556.662672,1000,736.50249
-26.819725,1000,746.034155
338.722781,1000,755.476738
321.990468,1000,782.407218
84.311281,1000,791.833787
572.260569,1000,801.3084
598.03184,1000,810.73697
537.82166,1000,820.193566
592.037236,1000,829.670181
363.212526,1000,839.14079
729.86928,1000,848.650434
723.857807,1000,854.908122
646.693314,1000,864.668996
750.610132,1000,874.165628
830.744035,1000,883.61822
602.419514,1000,893.062806
830.311018,1000,902.593469
145.828316,1000,912.064078
357.503713,1000,921.476634
441.237914,1000,930.99829
745.067185,1000,940.465895
876.540623,1000,949.881454
479.095936,1000,959.375085
776.412715,1000,968.903746
483.858515,1000,978.396375
762.587575,1000,987.87399
837.650937,1000,997.314572
889.111617,1000,1006.75215
825.37247,1000,1033.723669
888.344799,1000,1043.172257
879.622798,1000,1052.58181
890.900883,1000,1062.047415
883.07296,1000,1068.325121
891.094495,1000,1077.760698
891.367039,1000,1087.221298
885.233333,1000,1096.680897
889.143484,1000,1106.183535
886.276211,1000,1115.61711
880.415683,1000,1125.04368
890.632028,1000,1134.517292
882.140009,1000,1144.030939
887.498273,1000,1153.535579
885.689884,1000,1162.989172
882.831861,1000,1172.570882
889.300994,1000,1182.117561
409.28291,1000,1191.577159
697.289809,1000,1201.030754
889.420573,1000,1210.450315
890.565859,1000,1220.009004
889.985115,1000,1229.615736
470.937199,1000,1239.016282
174.671363,1000,1248.576973
203.499095,1000,1258.0666
165.665983,1000,1264.359319
888.12316,1000,1291.346851
405.895013,1000,1300.896532
240.341572,1000,1310.452218
889.462902,1000,1319.889797
678.911692,1000,1329.433472
890.653319,1000,1338.901078
884.553164,1000,1348.45076
890.431212,1000,1358.129557
889.947638,1000,1367.87942
280.112619,1000,1377.423095
888.443242,1000,1386.94926
886.692175,1000,1396.4539
835.484213,1000,1405.886474
886.075858,1000,1415.425145
833.25413,1000,1424.956809
888.763799,1000,1434.435426
886.513676,1000,1443.958082
888.806802,1000,1453.412676
542.509224,1000,1462.864268
886.285929,1000,1472.333876
834.287356,1000,1481.749435
46.931157,1000,1488.066176
689.485221,1000,1497.603846
702.229422,1000,1507.144519
280.948641,1000,1516.688195
887.883659,1000,1526.224864
888.455014,1000,1553.37154
877.611255,1000,1562.891194
890.329025,1000,1572.339782
891.638205,1000,1581.80839
885.16533,1000,1591.256978
831.095882,1000,1600.694557
549.538389,1000,1610.205203
888.269974,1000,1619.648787
824.678474,1000,1629.057339
887.678413,1000,1638.520942
829.332559,1000,1647.923489
356.563034,1000,1657.398101
888.59831,1000,1666.871713
662.006496,1000,1676.337318
830.361975,1000,1685.790911
887.0348,1000,1695.231493
675.4876,1000,1701.54323
886.6979,1000,1710.971801
706.876804,1000,1720.474439
632.770464,1000,1729.939042
559.587745,1000,1739.522754
614.421093,1000,1748.977349
187.730912,1000,1758.447958
884.211331,1000,1767.895545
334.12745,1000,1777.393179
122.78171,1000,1804.241584
104.156207,1000,1813.746224
575.647411,1000,1823.181801
818.359501,1000,1832.623384
837.154637,1000,1842.020926
889.500196,1000,1851.543582
833.867764,1000,1860.977158
891.33665,1000,1870.567875
887.881711,1000,1879.991441
606.708196,1000,1889.460049
636.912486,1000,1898.908638
835.055612,1000,1908.360229
834.830422,1000,1914.740029
709.252132,1000,1924.171602
886.472244,1000,1933.684249
887.619085,1000,1943.088798
621.43849,1000,1952.554403
363.240469,1000,1961.960953
740.320071,1000,1971.447577
891.16917,1000,1981.102354
893.300041,1000,1990.576966
889.733188,1000,2000.046574
888.689601,1000,2009.499166
888.843085,1000,2018.971777
892.726003,1000,2028.44639
790.84715,1000,2037.998072
540.080372,1000,2065.093702
891.014115,1000,2074.654393
245.825596,1000,2084.179052
496.33415,1000,2093.596612
163.065342,1000,2103.025182
676.263822,1000,2112.54884
887.366136,1000,2122.001432
832.353019,1000,2131.708256
889.694378,1000,2137.98296
831.836359,1000,2147.44456
890.393945,1000,2156.999245
830.053371,1000,2166.468854
887.743286,1000,2175.956481
890.281513,1000,2185.418079
698.905857,1000,2194.95675
893.149009,1000,2204.361298
891.009001,1000,2213.853927
620.058954,1000,2223.328542
890.476789,1000,2232.783134
889.343032,1000,2242.350831
834.134442,1000,2251.786408
891.501521,1000,2261.232996
656.554769,1000,2270.635542
888.053769,1000,2280.14819
594.306526,1000,2289.67585
835.350655,1000,2316.654374
888.82919,1000,2326.194046
669.905321,1000,2335.63763
892.274051,1000,2344.998139
701.830005,1000,2351.325891
827.514967,1000,2360.797501
890.252456,1000,2370.254097
889.993754,1000,2379.705689
892.978776,1000,2389.127253
833.058122,1000,2398.534805
391.965717,1000,2407.999408
583.204372,1000,2417.634168
841.828586,1000,2427.099771
832.688568,1000,2436.639442
555.59071,1000,2446.192126
557.562442,1000,2455.641715
891.35217,1000,2465.07429
655.464342,1000,2474.470832
889.685613,1000,2483.947446
836.680158,1000,2493.383023
889.566962,1000,2501.66355
888.747247,1000,2510.053177
833.395951,1000,2518.429792
724.266336,1000,2526.823421
891.225921,1000,2535.189025
889.852178,1000,2540.868187
893.536004,1000,2566.81177
584.148328,1000,2575.202398
450.900138,1000,2583.530969
886.86626,1000,2591.791477
889.086736,1000,2600.040976
889.50592,1000,2608.30649
890.58118,1000,2616.60103
890.88696,1000,2624.868545
889.782085,1000,2633.159081
889.202564,1000,2641.420591
834.978656,1000,2649.731146
893.913473,1000,2658.046704
889.535948,1000,2666.335238
891.27451,1000,2674.679824
886.03875,1000,2683.009396
893.186948,1000,2691.290924
715.03649,1000,2699.538421
889.397877,1000,2707.789922
890.505687,1000,2716.084461
891.44709,1000,2724.332959
891.015355,1000,2732.604479
835.693317,1000,2738.224587
887.480143,1000,2746.496106
891.331634,1000,2754.870718
889.669416,1000,2763.170263
888.02867,1000,2771.37372
826.168863,1000,2796.874901
886.658803,1000,2805.169441
889.829491,1000,2813.51803
889.353586,1000,2821.748512
885.528562,1000,2830.055062
884.616584,1000,2838.324579
891.765085,1000,2846.561066
891.869402,1000,2854.751512
891.269932,1000,2863.003012
889.096339,1000,2871.312566
777.234133,1000,2879.63413
891.675602,1000,2887.896641
887.78816,1000,2896.170161
890.923584,1000,2904.432673
887.544616,1000,2912.662153
732.055709,1000,2920.962698
556.867599,1000,2926.659877
722.336923,1000,2934.905372
891.369943,1000,2943.151869
662.594147,1000,2951.452414
672.316353,1000,2959.715925
891.219541,1000,2967.988446
889.908737,1000,2976.240947
889.164244,1000,2984.52748
892.587309,1000,2992.784986
835.851402,1000,3018.538396
834.094681,1000,3026.794902
837.740392,1000,3035.214555
833.553557,1000,3043.499085
885.738397,1000,3051.744581
886.54765,1000,3060.008093
890.536275,1000,3068.302632
888.257224,1000,3076.569147
772.984527,1000,3084.860684
890.686954,1000,3093.131202
830.091352,1000,3101.400719
834.43945,1000,3109.647215
890.925154,1000,3115.415458
889.222502,1000,3123.741026
888.930596,1000,3132.008542
889.636728,1000,3140.261044
889.525529,1000,3148.551579
889.394106,1000,3156.726011
888.652645,1000,3164.966501
706.703498,1000,3173.284062
768.27651,1000,3181.574598
833.278472,1000,3189.923187
889.211631,1000,3198.201713
886.563576,1000,3206.455215
886.098143,1000,3214.872867
886.88328,1000,3223.123367
833.155035,1000,3248.620544
891.307961,1000,3256.901071
711.279063,1000,3265.158577
830.2677,1000,3273.508167
563.106702,1000,3281.852752
891.482881,1000,3290.18933
834.516221,1000,3298.447838
888.923799,1000,3306.713351
891.637761,1000,3312.347472
889.843289,1000,3320.65102
886.461389,1000,3328.929546
889.94957,1000,3337.215077
890.720135,1000,3345.473584
832.014603,1000,3353.816168
886.736833,1000,3362.133729
888.808262,1000,3370.393237
891.095137,1000,3378.743827
892.548453,1000,3386.960296
892.429684,1000,3395.214799
889.243116,1000,3403.514344
889.021952,1000,3411.789867
888.730224,1000,3420.072395
663.227876,1000,3428.375944
-884.804718,1000,3436.674487
886.686042,1000,3444.901966
887.566577,1000,3470.519253
889.826717,1000,3478.806786
890.447672,1000,3487.174392
893.400417,1000,3495.414884
891.867226,1000,3501.053008
893.578976,1000,3509.37157
892.428084,1000,3517.675118
892.189832,1000,3525.953643
523.607717,1000,3534.296227
889.090031,1000,3542.535716
890.72798,1000,3550.77921
891.453532,1000,3559.08476
833.956575,1000,3567.35828
771.865946,1000,3575.713876
643.346787,1000,3583.944358
723.571065,1000,3592.277934
774.95954,1000,3600.539443
718.625424,1000,3608.820971
775.3272,1000,3617.165556
834.58254,1000,3625.428066
890.091401,1000,3633.697584
777.669529,1000,3641.940076
890.821183,1000,3650.25964
890.403984,1000,3658.477109
892.630664,1000,3666.765643
834.046831,1000,3672.434796
890.626003,1000,3698.281291
835.351704,1000,3706.566823
888.887683,1000,3714.900398
775.523132,1000,3723.151899
891.329254,1000,3731.421416
834.250954,1000,3739.689932
893.963884,1000,3747.933426
889.363824,1000,3756.266
890.291496,1000,3764.569548
891.413062,1000,3772.893114
891.415579,1000,3781.180648
891.872551,1000,3789.433149
886.929296,1000,3797.69566
891.969779,1000,3805.996206
891.650605,1000,3814.263721
890.476407,1000,3822.471181
892.248502,1000,3830.768724
893.148784,1000,3839.028232
886.254596,1000,3847.291743
893.655956,1000,3855.504209
885.915876,1000,3863.77773
614.006802,1000,3869.488921
641.345925,1000,3877.7164
886.843704,1000,3885.981914
758.56468,1000,3894.234415
890.804851,1000,3902.530957
890.668541,1000,3928.087187
891.157252,1000,3936.469807
891.796509,1000,3944.741327
889.429639,1000,3953.047878
668.52851,1000,3961.266348
891.653438,1000,3969.555883
889.696893,1000,3977.843417
827.235292,1000,3986.101924
718.715013,1000,3994.448511
886.286091,1000,4002.738046
829.749652,1000,4011.007563
890.437444,1000,4019.340138
890.64313,1000,4027.577626
778.976153,1000,4035.872166
887.161824,1000,4044.381901
888.752689,1000,4052.689453
