#{"t_start": 1600816914.1232758, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-947.533143,1000,7.992265
-929.277411,1000,17.343282
-891.13148,1000,26.761844
-824.76067,1000,36.102335
-888.172451,1000,45.389777
-849.857713,1000,54.68823
-854.605893,1000,64.021714
-772.223762,1000,73.31316
-870.73123,1000,82.640639
-858.880529,1000,91.945096
-498.232011,1000,101.230537
-492.960535,1000,110.526988
-245.64995,1000,119.888497
-173.144205,1000,129.189953
-483.510378,1000,138.531444
9.276212,1000,147.803873
-22.676227,1000,157.103327
-23.253174,1000,166.39177
55.077259,1000,175.665199
29.880206,1000,184.982669
105.979611,1000,194.271112
-9.369546,1000,200.455734
-50.471187,1000,209.740174
144.767134,1000,219.056643
-16.647134,1000,228.376114
84.294098,1000,237.691582
80.308341,1000,265.551412
145.309127,1000,274.859874
85.880104,1000,284.208371
130.629473,1000,293.684987
202.454794,1000,305.245494
-121.016659,1000,314.711099
-855.86801,1000,324.29481
125.960368,1000,334.210824
278.198136,1000,343.941176
8.664094,1000,353.72958
247.43072,1000,363.599058
325.30213,1000,375.399813
-345.160444,1000,385.677155
201.139988,1000,396.288306
148.614081,1000,406.782353
242.119179,1000,417.448142
150.184686,1000,424.597148
185.962295,1000,435.158761
220.253924,1000,445.138339
160.440018,1000,455.013821
158.289312,1000,464.791215
177.490241,1000,474.576616
305.206088,1000,484.296452
-98.766377,1000,494.369115
265.325376,1000,504.530859
-28.237118,1000,535.119183
20.314467,1000,546.726246
105.395022,1000,558.419382
171.759351,1000,570.262654
291.477813,1000,582.099428
-50.592495,1000,594.08485
88.677778,1000,605.755968
220.433248,1000,617.047242
48.082069,1000,628.315996
151.323424,1000,639.386572
42.902827,1000,650.578251
334.749671,1000,661.578762
60.189486,1000,669.165658
251.390278,1000,680.454427
244.96797,1000,691.590056
265.841458,1000,702.718683
141.078116,1000,713.664139
194.584386,1000,724.810779
494.176196,1000,735.792271
261.373507,1000,746.897871
238.050693,1000,757.63814
89.988754,1000,768.183726
254.341361,1000,779.179228
222.726494,1000,789.633731
14.621972,1000,800.726322
198.623401,1000,812.229287
244.033574,1000,845.467021
206.641415,1000,856.592643
256.406874,1000,867.762305
292.703652,1000,878.813857
247.074844,1000,889.933479
143.346642,1000,901.312329
25.063153,1000,912.394912
355.656419,1000,923.650143
139.373347,1000,930.657019
238.776232,1000,941.804152
368.876239,1000,952.856713
-57.288038,1000,963.515908
199.86965,1000,974.427333
17.20375,1000,985.530934
273.034641,1000,996.763164
-73.847957,1000,1008.023908
181.869278,1000,1019.279645
16.300421,1000,1030.735566
361.339799,1000,1040.875781
33.618549,1000,1051.898802
187.16168,1000,1063.064459
168.91387,1000,1074.047949
148.367666,1000,1084.632077
59.161618,1000,1094.548598
382.952727,1000,1104.669306
378.61677,1000,1137.52069
203.731721,1000,1148.997633
248.475686,1000,1160.437032
94.070037,1000,1171.751831
247.084221,1000,1179.507384
13.872886,1000,1190.896245
41.036018,1000,1201.979826
142.779521,1000,1212.747124
118.628887,1000,1222.932383
362.157101,1000,1232.731798
124.231346,1000,1242.425116
109.549414,1000,1252.240038
-85.739541,1000,1261.826257
14.497496,1000,1271.413478
537.150253,1000,1281.191874
432.708716,1000,1290.896201
153.326962,1000,1300.601022
348.120368,1000,1310.498526
159.394419,1000,1320.326966
414.975512,1000,1330.072331
786.583464,1000,1339.759136
137.790443,1000,1349.532526
103.955648,1000,1359.302913
743.731976,1000,1369.078305
273.384959,1000,1378.877718
194.205287,1000,1385.396645
27.88405,1000,1413.839512
250.398349,1000,1423.58888
376.918628,1000,1433.357265
-909.395367,1000,1443.111639
385.356396,1000,1452.857003
182.433836,1000,1462.626389
316.69629,1000,1472.421293
550.646908,1000,1482.418886
442.21004,1000,1492.484542
313.735052,1000,1502.403063
331.107741,1000,1512.027318
240.33699,1000,1521.678598
147.799283,1000,1531.604621
164.228259,1000,1541.337975
435.933187,1000,1550.978242
424.258591,1000,1560.608503
292.324007,1000,1570.201234
342.689466,1000,1579.893044
312.153358,1000,1589.546326
303.269637,1000,1599.336731
421.499779,1000,1609.690651
356.117624,1000,1617.903625
268.310563,1000,1628.568355
355.923997,1000,1639.137513
540.311164,1000,1649.261753
193.602285,1000,1659.261349
383.941185,1000,1687.094663
267.620426,1000,1697.15183
538.410582,1000,1706.990279
432.066511,1000,1716.876772
667.66395,1000,1726.800792
571.121757,1000,1736.605211
525.651443,1000,1746.431649
45.867523,1000,1756.459271
725.963472,1000,1766.351771
282.419922,1000,1775.946493
325.809858,1000,1785.991131
-921.877421,1000,1795.53682
890.60507,1000,1805.087006
105.635756,1000,1814.672224
-17.142724,1000,1824.288966
744.160149,1000,1833.805122
83.176136,1000,1840.086339
206.410115,1000,1849.611502
251.625661,1000,1859.120146
61.4331,1000,1868.692352
401.44923,1000,1878.170473
229.216126,1000,1887.957877
20.283936,1000,1897.55811
888.765026,1000,1907.04073
242.561571,1000,1916.585912
192.957375,1000,1943.827686
124.326102,1000,1953.67718
126.473546,1000,1963.389008
836.7057,1000,1973.081323
10.980923,1000,1982.807176
832.855182,1000,1992.391395
-178.500215,1000,2001.961599
-379.817419,1000,2011.520288
-920.538398,1000,2021.070478
237.686505,1000,2030.583629
245.843907,1000,2040.143824
136.582888,1000,2049.620945
48.858949,1000,2055.978724
117.375469,1000,2065.537919
-25.296637,1000,2075.351346
6.587249,1000,2084.965086
298.263422,1000,2094.516274
100.744536,1000,2104.051447
628.764305,1000,2113.558089
-182.284185,1000,2123.053226
31.477987,1000,2132.617426
223.274557,1000,2142.336767
93.898937,1000,2151.799875
191.668583,1000,2161.444642
206.870938,1000,2171.414211
264.60251,1000,2181.298704
508.180513,1000,2209.123529
-445.111461,1000,2218.649188
278.969495,1000,2228.165344
96.888531,1000,2237.75757
199.814305,1000,2247.350797
217.969127,1000,2256.97756
193.091287,1000,2266.633336
-861.971034,1000,2276.303633
155.689595,1000,2282.604866
257.318343,1000,2292.189085
40.280059,1000,2301.942951
127.953363,1000,2311.588731
300.967144,1000,2321.1189
24.884748,1000,2331.159534
410.534928,1000,2341.271233
-179.289483,1000,2350.998581
-239.39669,1000,2360.494213
-938.13322,1000,2370.052407
-592.436253,1000,2379.673152
-171.149799,1000,2389.188307
90.412501,1000,2398.708469
-871.497302,1000,2408.223624
182.798666,1000,2417.753286
-24.614989,1000,2427.247423
138.972166,1000,2436.76458
-827.036168,1000,2464.282606
76.435845,1000,2473.791755
-73.825859,1000,2483.305415
12.811318,1000,2492.881626
419.33631,1000,2499.182353
765.248537,1000,2508.847646
751.364819,1000,2518.748659
763.610909,1000,2528.581103
97.166753,1000,2538.093255
760.865001,1000,2547.595894
51.315287,1000,2557.1671
119.1078,1000,2566.740308
53.134606,1000,2576.478666
502.141028,1000,2586.244049
29.313288,1000,2596.038459
763.387588,1000,2605.516074
546.534851,1000,2615.073267
230.064346,1000,2624.947257
582.963738,1000,2634.731659
456.851127,1000,2644.557096
622.522062,1000,2653.425157
92.158701,1000,2662.14108
161.485933,1000,2670.643314
