#{"t_start": 1600797794.8642418, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-482.046753,1000,7.920199
226.992226,1000,17.381799
-47.422378,1000,26.837395
-7.956092,1000,36.245948
173.425724,1000,45.706547
81.516818,1000,55.451405
349.590596,1000,64.992078
398.477466,1000,74.48871
185.069333,1000,83.993351
143.067559,1000,93.451949
167.086431,1000,102.898535
38.134442,1000,112.655405
338.990248,1000,122.090982
220.611733,1000,131.518551
334.308038,1000,141.023191
408.664433,1000,150.466776
36.654721,1000,160.000443
42.873934,1000,169.385974
219.063329,1000,178.831559
252.618653,1000,188.35822
13.854042,1000,197.89689
394.857922,1000,204.151575
186.397734,1000,213.591156
166.842383,1000,223.076779
188.625743,1000,232.532374
527.32791,1000,242.010991
359.248801,1000,269.109623
359.561292,1000,279.501069
306.687226,1000,290.395984
561.233584,1000,300.434618
224.506597,1000,310.358639
311.970102,1000,320.593448
215.257019,1000,330.753229
430.54314,1000,341.09118
233.81741,1000,351.206882
193.622068,1000,361.404658
194.676914,1000,371.446812
28.431936,1000,381.485418
143.660576,1000,391.776278
555.296453,1000,401.898985
538.297174,1000,411.965643
153.593933,1000,422.097358
204.161079,1000,428.820469
413.077398,1000,438.847089
278.260702,1000,448.998823
89.413538,1000,459.075489
138.634372,1000,469.124624
253.786147,1000,479.353935
461.314384,1000,489.481648
276.553773,1000,499.668413
448.511227,1000,509.759093
442.605738,1000,539.645272
492.784457,1000,549.601829
501.154288,1000,559.650469
313.915026,1000,569.814214
560.979242,1000,579.960959
489.265289,1000,590.080666
423.652291,1000,600.214394
316.690633,1000,610.333098
360.166747,1000,620.443794
74.702594,1000,630.70363
211.342058,1000,640.755299
-62.898588,1000,650.783428
545.432144,1000,657.602626
411.504504,1000,667.603235
568.400977,1000,677.685906
390.971523,1000,687.850652
63.34447,1000,697.947336
-43.962945,1000,708.066041
663.926364,1000,718.259306
-135.370517,1000,728.452079
329.035602,1000,738.706906
462.543788,1000,749.073835
171.540671,1000,759.351687
176.562953,1000,769.437361
288.889216,1000,779.656155
70.208347,1000,789.773352
-47.98379,1000,819.204625
303.634032,1000,829.323331
453.503899,1000,839.526112
95.05196,1000,849.654825
429.860112,1000,859.702959
141.854058,1000,869.900735
40.057946,1000,879.869302
257.181434,1000,889.891919
64.146853,1000,896.770171
463.778347,1000,906.880869
505.243226,1000,916.957535
580.541176,1000,927.19635
391.769856,1000,937.302548
555.067384,1000,947.370205
559.629711,1000,957.558975
614.457829,1000,967.690185
646.442852,1000,977.750834
439.198386,1000,987.943113
674.252232,1000,997.99776
582.539615,1000,1008.11246
553.511802,1000,1018.330268
368.774154,1000,1028.439079
599.729516,1000,1038.613834
728.610016,1000,1048.677488
887.331297,1000,1058.695112
792.824272,1000,1088.044835
791.381299,1000,1098.154533
790.219407,1000,1108.269236
586.648914,1000,1118.398443
510.621752,1000,1125.195128
527.160134,1000,1135.363878
664.41479,1000,1145.560652
528.096914,1000,1155.668346
237.165178,1000,1165.825579
653.935826,1000,1175.889233
48.334695,1000,1185.903842
665.201284,1000,1196.122638
726.621237,1000,1206.268366
683.216689,1000,1216.368052
669.302583,1000,1226.484756
400.984113,1000,1236.601952
659.457038,1000,1246.710647
829.783558,1000,1256.945456
375.968485,1000,1267.061158
672.286314,1000,1277.06676
684.841609,1000,1287.189468
708.393035,1000,1297.277638
686.220474,1000,1307.289246
707.847737,1000,1317.494028
636.649093,1000,1327.552677
779.818378,1000,1334.311327
719.094372,1000,1363.78464
775.155955,1000,1373.83128
631.378877,1000,1383.942979
723.127093,1000,1394.019644
554.293621,1000,1404.20441
468.336268,1000,1414.307594
407.094789,1000,1424.389266
303.140153,1000,1434.484456
45.676348,1000,1444.561122
781.155386,1000,1454.573732
383.532991,1000,1464.72847
730.280374,1000,1474.763592
728.418578,1000,1484.790212
626.980067,1000,1494.908915
723.476565,1000,1505.069657
729.76973,1000,1515.130308
546.690465,1000,1525.253018
56.146036,1000,1535.380729
472.637831,1000,1545.422858
748.41684,1000,1555.499524
-46.56608,1000,1565.634243
562.819176,1000,1572.371875
342.032912,1000,1582.408504
304.182967,1000,1592.564736
673.09073,1000,1602.667425
-48.824726,1000,1612.72358
506.203804,1000,1642.15085
-974.945772,1000,1652.304078
241.3781,1000,1662.564911
689.766059,1000,1672.696629
664.993155,1000,1682.871383
638.517258,1000,1692.898004
488.304116,1000,1703.005697
501.64731,1000,1713.16744
685.904183,1000,1723.235592
314.263231,1000,1733.356805
731.817028,1000,1743.518548
593.813397,1000,1753.555178
724.83322,1000,1763.637849
517.16068,1000,1773.697499
835.229118,1000,1783.705596
570.548564,1000,1793.704193
722.010291,1000,1800.510044
-345.10403,1000,1810.547674
562.677703,1000,1820.596316
-95.878366,1000,1830.728527
486.337759,1000,1840.866247
570.926718,1000,1850.944914
410.023819,1000,1861.106658
-892.488203,1000,1871.186326
720.671848,1000,1881.290015
239.010929,1000,1910.808861
2.295215,1000,1920.984122
193.058638,1000,1931.072801
234.834518,1000,1941.178492
111.108982,1000,1951.418306
667.462272,1000,1961.435411
678.799709,1000,1971.438011
652.7327,1000,1981.586742
352.717791,1000,1991.656404
29.020035,1000,2001.732067
731.206157,1000,2011.916834
581.241549,1000,2021.904416
407.390983,1000,2028.569475
-32.623069,1000,2039.044511
533.811775,1000,2049.141198
238.666252,1000,2059.178826
384.504336,1000,2069.409631
140.145394,1000,2079.431741
317.881779,1000,2089.566007
464.206894,1000,2099.706731
-47.708854,1000,2109.755371
407.634476,1000,2119.885085
232.256862,1000,2129.999786
357.6974,1000,2140.00739
86.251682,1000,2150.002475
197.989566,1000,2160.020088
77.4682,1000,2189.457366
54.606637,1000,2199.582571
540.627145,1000,2209.648226
731.061366,1000,2219.800961
269.745236,1000,2229.849602
690.52951,1000,2239.941776
284.265838,1000,2250.063484
748.840857,1000,2260.216219
577.798369,1000,2266.972866
267.802793,1000,2277.143111
587.852454,1000,2287.205272
691.877613,1000,2297.243903
693.834252,1000,2307.380624
602.793572,1000,2317.540365
692.37803,1000,2327.628042
791.612514,1000,2337.793801
405.455108,1000,2347.859457
278.518037,1000,2358.057727
647.731038,1000,2368.289534
343.664782,1000,2378.430259
761.736925,1000,2388.495913
440.130019,1000,2398.743735
321.787561,1000,2408.800381
384.968692,1000,2418.955118
349.901225,1000,2429.148384
713.4095,1000,2458.49758
253.472871,1000,2468.605274
383.436407,1000,2478.616879
713.47679,1000,2488.786125
779.457769,1000,2495.563792
838.084626,1000,2505.625444
839.27251,1000,2515.776177
677.987528,1000,2525.86735
527.439577,1000,2535.985053
890.477727,1000,2546.101756
837.161029,1000,2556.16541
839.709353,1000,2566.286117
339.018159,1000,2576.391811
656.397977,1000,2586.472481
676.930499,1000,2596.527621
891.970943,1000,2606.637316
673.625581,1000,2616.735001
890.525759,1000,2626.760635
482.3655,1000,2636.91337
834.504141,1000,2647.05009
573.268824,1000,2655.970198
890.09197,1000,2664.900822
890.251487,1000,2673.797415
569.678296,1000,2682.71903
839.51295,1000,2691.675172
680.151227,1000,2697.961393
511.294116,1000,2725.957853
835.81317,1000,2734.874464
838.974696,1000,2743.820101
840.20774,1000,2752.710689
833.93504,1000,2761.747904
891.907574,1000,2770.68153
890.956762,1000,2779.637176
632.467012,1000,2788.561796
522.044461,1000,2797.582009
611.844527,1000,2806.504132
792.805293,1000,2815.467788
838.066744,1000,2824.517519
681.754656,1000,2833.431622
578.0498,1000,2842.458842
839.397882,1000,2851.475545
839.8773,1000,2860.351119
836.213261,1000,2869.28524
840.275416,1000,2878.297939
890.781918,1000,2887.215552
837.267661,1000,2896.222245
891.087731,1000,2905.212417
675.914099,1000,2911.44559
840.747844,1000,2920.388224
837.832187,1000,2929.39341
831.263175,1000,2938.49419
890.699294,1000,2947.362756
839.218472,1000,2975.424783
839.029092,1000,2984.350402
676.91285,1000,2993.175932
889.69172,1000,3002.237674
833.41896,1000,3011.111741
840.501487,1000,3020.047876
836.122937,1000,3029.093606
836.733067,1000,3038.106305
834.781854,1000,3047.033419
834.754647,1000,3056.029102
837.632611,1000,3064.998762
840.866242,1000,3073.93339
840.4498,1000,3082.837484
835.232268,1000,3091.789129
833.746927,1000,3100.726759
836.770443,1000,3109.64337
840.274533,1000,3115.898055
835.136211,1000,3124.880727
837.441795,1000,3133.829367
841.470184,1000,3142.960668
836.80283,1000,3151.843247
839.762996,1000,3160.671781
576.388003,1000,3169.570375
841.274331,1000,3178.614597
686.370718,1000,3187.512191
841.101768,1000,3215.669895
674.967871,1000,3224.559977
738.272227,1000,3233.465578
591.765215,1000,3242.443244
443.740609,1000,3251.410902
693.143469,1000,3260.361037
739.82197,1000,3269.444801
395.84161,1000,3278.316371
742.727523,1000,3287.32707
837.372257,1000,3296.317242
738.283295,1000,3305.243369
563.599357,1000,3314.180503
631.357361,1000,3320.344105
556.301591,1000,3329.197661
269.623866,1000,3338.15431
683.716777,1000,3347.143987
481.928187,1000,3356.020056
737.957897,1000,3364.968696
684.900031,1000,3373.862794
841.254828,1000,3382.849469
840.853609,1000,3391.830138
837.233375,1000,3400.790283
831.486708,1000,3409.635831
841.504481,1000,3418.657537
835.589889,1000,3427.50809
836.084428,1000,3436.433203
834.385446,1000,3464.633358
840.28951,1000,3473.555468
836.941398,1000,3482.509112
886.705882,1000,3491.415715
888.670545,1000,3500.39038
832.991735,1000,3509.358532
832.629636,1000,3518.264639
887.59306,1000,3527.068655
890.169004,1000,3533.214242
828.851645,1000,3542.19391
889.29885,1000,3551.125535
584.558568,1000,3560.110208
890.315273,1000,3569.139922
829.025234,1000,3578.063033
835.177559,1000,3586.984649
887.934932,1000,3595.989341
836.957115,1000,3604.937982
887.680534,1000,3613.764005
886.022436,1000,3622.866784
536.287339,1000,3631.953551
734.580302,1000,3640.927214
884.201495,1000,3649.792273
736.037839,1000,3658.860021
839.500677,1000,3667.792646
531.11108,1000,3676.733786
683.026061,1000,3704.998491
729.695562,1000,3713.957141
532.779642,1000,3723.004365
686.456985,1000,3731.909966
887.963411,1000,3738.159153
832.774417,1000,3747.112291
678.365948,1000,3755.964844
828.633721,1000,3764.817396
888.420977,1000,3773.756027
888.914691,1000,3782.797246
886.0482,1000,3791.653803
732.803902,1000,3800.555399
725.256825,1000,3809.530063
889.076434,1000,3818.380107
886.32364,1000,3827.263689
833.695241,1000,3836.256368
887.92937,1000,3845.178984
888.347331,1000,3854.102095
886.178688,1000,3863.052738
886.788868,1000,3872.080451
886.721271,1000,3881.054626
830.842363,1000,3889.915186
887.725997,1000,3898.9514
888.529907,1000,3907.857002
886.49377,1000,3916.742585
887.612702,1000,3922.79809
886.108338,1000,3951.08683
888.576808,1000,3960.108537
832.613653,1000,3969.076689
886.614872,1000,3978.040343
732.877066,1000,3987.036028
888.51253,1000,3995.97566
886.886181,1000,4004.818699
886.619345,1000,4013.716292
888.169063,1000,4022.760526
884.373986,1000,4031.721177
676.786346,1000,4040.743378
885.599886,1000,4049.824646
449.020769,1000,4058.745261
318.833658,1000,4067.598322
885.171948,1000,4076.541957
885.581364,1000,4085.481083
789.388576,1000,4094.452745
886.298105,1000,4103.487971
882.502471,1000,4112.508677
887.126412,1000,4121.398758
888.535368,1000,4130.321376
669.426717,1000,4136.54554
