#{"t_start": 1601252836.621967, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-503.27649,1000,8.315559
334.408498,1000,19.396631
180.894029,1000,30.475702
216.304361,1000,41.575792
329.554512,1000,52.734936
650.087282,1000,63.804999
15.297429,1000,74.802996
441.248086,1000,85.754952
235.736238,1000,96.812003
651.790162,1000,107.826015
123.185561,1000,118.818007
182.960854,1000,129.807997
190.948192,1000,140.921099
99.842346,1000,151.922099
187.416661,1000,162.958131
345.827589,1000,173.942115
394.576201,1000,184.923097
317.774311,1000,195.845025
165.181111,1000,206.794979
95.458565,1000,217.779966
194.294981,1000,228.781965
249.400365,1000,235.842384
20.109915,1000,246.862401
197.89734,1000,257.955484
271.043421,1000,268.902436
160.787078,1000,279.935464
190.616628,1000,308.760667
298.656111,1000,319.926817
238.00426,1000,331.074951
137.757121,1000,342.219081
167.018475,1000,353.251109
440.697004,1000,364.250108
551.308098,1000,375.285139
255.513227,1000,386.220079
651.832269,1000,397.140005
169.787674,1000,408.203061
299.761121,1000,419.430267
184.113874,1000,430.898692
195.560767,1000,441.911703
219.678755,1000,452.97576
550.27954,1000,464.029809
337.572076,1000,475.035813
90.471512,1000,482.114248
336.686353,1000,493.201326
391.020002,1000,504.266384
653.396217,1000,515.272389
259.421281,1000,526.371478
216.907927,1000,537.362469
277.089597,1000,548.51761
291.927103,1000,559.602685
561.799314,1000,570.753822
316.540473,1000,600.373747
651.866033,1000,611.457823
337.733079,1000,622.528886
202.529455,1000,633.51187
605.596187,1000,644.483844
184.735341,1000,655.520877
231.000402,1000,666.585935
76.300086,1000,677.543895
178.322043,1000,688.658999
339.276507,1000,699.664003
400.680694,1000,710.742075
217.395046,1000,721.852173
188.709589,1000,728.91159
250.182471,1000,739.91359
184.059575,1000,751.060723
192.539553,1000,762.051714
311.766195,1000,773.175826
239.837122,1000,784.176826
103.071926,1000,795.171821
403.044833,1000,806.18283
259.79554,1000,817.311947
258.048525,1000,828.376004
251.461822,1000,839.437059
283.313105,1000,850.418041
154.180535,1000,861.44106
243.630429,1000,872.51713
488.361095,1000,901.694652
600.317642,1000,912.863804
150.166578,1000,923.974905
202.649379,1000,935.015446
651.7951,1000,946.115536
144.033573,1000,957.140558
210.836684,1000,968.175589
325.00244,1000,979.196608
400.261939,1000,986.29506
605.053146,1000,997.391146
47.772709,1000,1008.436186
652.908034,1000,1019.493237
307.419369,1000,1030.510252
462.147378,1000,1041.579314
305.728763,1000,1052.590323
94.642606,1000,1063.644372
650.543556,1000,1074.738456
650.169071,1000,1085.868573
739.430782,1000,1096.825533
671.484301,1000,1107.768481
650.999809,1000,1118.784495
156.993236,1000,1130.08877
358.647396,1000,1141.138815
346.296731,1000,1152.063745
225.565692,1000,1163.042726
634.118672,1000,1191.943997
651.146316,1000,1202.912969
652.128818,1000,1214.0591
423.207324,1000,1225.240264
140.714075,1000,1232.38576
231.991896,1000,1243.415786
301.666605,1000,1254.516877
549.263837,1000,1265.558915
653.317587,1000,1276.717057
387.773544,1000,1287.713053
647.026178,1000,1298.892215
187.542293,1000,1310.022332
180.638527,1000,1321.154458
359.5644,1000,1332.221512
271.663196,1000,1343.509773
278.255144,1000,1354.858088
646.930905,1000,1366.120326
249.24819,1000,1377.612773
179.604225,1000,1388.949078
652.68396,1000,1400.080196
182.319954,1000,1411.590659
648.043032,1000,1422.851896
601.291954,1000,1433.982013
169.518807,1000,1445.068092
600.490333,1000,1456.087107
199.787811,1000,1463.197571
334.312765,1000,1492.01977
531.406452,1000,1503.000752
191.60054,1000,1514.042789
204.438264,1000,1525.047793
595.747207,1000,1536.083825
211.952356,1000,1547.115853
