#{"t_start": 1600782725.800867, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-324.619015,1000,7.662966
-299.330604,1000,16.988444
-118.453293,1000,26.386986
-404.861419,1000,35.70946
-56.263212,1000,45.051953
-456.180523,1000,54.409459
-438.645464,1000,63.784981
-180.571157,1000,73.237574
-63.14156,1000,82.627109
-18.822877,1000,91.963596
-64.856898,1000,101.351129
101.800982,1000,110.619555
-59.615903,1000,119.945031
30.115135,1000,129.229471
82.414241,1000,138.571964
28.650114,1000,147.882427
117.475302,1000,157.157859
-0.580562,1000,166.536384
30.604475,1000,175.820823
85.401181,1000,185.173325
132.95166,1000,194.615909
0.913157,1000,200.859584
36.069385,1000,210.212085
1.512829,1000,219.5786
62.361087,1000,229.060218
83.150498,1000,238.422729
40.900727,1000,265.026913
137.883826,1000,274.405439
204.658885,1000,283.740924
25.43554,1000,293.282598
135.933519,1000,302.607074
158.312735,1000,311.912532
28.622098,1000,321.300066
47.767409,1000,330.603523
7.50857,1000,339.920993
163.594217,1000,349.285505
114.874639,1000,358.601974
199.303409,1000,367.86139
199.87251,1000,377.300972
95.052449,1000,386.716531
204.052064,1000,396.083045
252.522962,1000,405.360478
90.86683,1000,411.558111
86.157229,1000,420.855563
216.999294,1000,430.137
145.345495,1000,439.540549
163.375848,1000,448.862021
173.454777,1000,458.243549
193.888783,1000,467.570027
245.412928,1000,476.895504
190.225055,1000,486.268024
278.036682,1000,512.901234
227.803666,1000,522.193681
221.939178,1000,531.603234
219.569326,1000,540.948729
300.833528,1000,550.33326
338.784359,1000,559.677754
340.239682,1000,569.093313
412.283068,1000,578.423795
285.935382,1000,587.798316
187.644905,1000,597.260917
250.920845,1000,606.627432
418.944965,1000,615.885849
354.972582,1000,622.095493
569.934733,1000,631.62916
222.91458,1000,640.943626
297.229696,1000,650.305135
577.172909,1000,659.707683
16.844474,1000,669.063187
672.881147,1000,678.38366
406.15133,1000,687.63607
461.742148,1000,696.971556
757.955765,1000,706.458179
10.283126,1000,715.788661
606.533568,1000,725.179198
44.971386,1000,734.492664
490.922156,1000,743.883199
99.306127,1000,770.662542
549.111863,1000,780.279284
-269.08669,1000,789.623779
659.239481,1000,799.00931
724.417314,1000,808.439882
545.871723,1000,817.834422
147.168682,1000,827.224958
303.870431,1000,836.630508
83.040129,1000,842.809125
179.927076,1000,852.212672
272.213032,1000,861.581189
137.837528,1000,870.959713
718.317534,1000,880.26217
889.001425,1000,889.539603
420.713296,1000,898.878092
438.008966,1000,908.213578
212.168417,1000,917.517036
661.451259,1000,926.827498
621.99967,1000,936.176997
578.904368,1000,945.526496
686.130634,1000,954.777906
677.234171,1000,964.148423
605.385581,1000,973.459887
885.886003,1000,982.898468
59.801183,1000,992.277994
821.794084,1000,1019.055335
678.828824,1000,1028.35779
888.124239,1000,1037.787362
825.407688,1000,1047.136861
883.212488,1000,1053.389545
643.999479,1000,1062.829126
566.279491,1000,1072.172619
781.493732,1000,1081.530125
582.306914,1000,1090.860606
630.018835,1000,1100.311198
576.852262,1000,1109.600641
825.850951,1000,1118.956146
889.469379,1000,1128.273615
335.608463,1000,1137.623114
783.906516,1000,1146.913559
889.499659,1000,1156.256052
885.815625,1000,1165.624568
886.889445,1000,1175.081164
677.754143,1000,1184.44968
425.89245,1000,1193.843219
882.870376,1000,1203.21674
820.643342,1000,1212.6333
713.657292,1000,1222.01683
885.736785,1000,1231.40136
829.463411,1000,1240.71983
833.535718,1000,1246.858413
882.985489,1000,1273.607726
782.093825,1000,1282.980246
821.352642,1000,1292.329744
669.049468,1000,1301.711273
880.147978,1000,1311.05877
154.218933,1000,1320.396258
620.30205,1000,1329.726739
781.456044,1000,1339.06723
886.868478,1000,1348.534835
831.139577,1000,1357.878329
395.624192,1000,1367.243842
890.047632,1000,1376.780511
508.214551,1000,1386.135015
156.947116,1000,1395.718727
833.149394,1000,1405.080236
396.714865,1000,1414.320636
888.403149,1000,1423.656122
881.521275,1000,1433.001617
888.389825,1000,1442.414174
387.723166,1000,1451.769678
887.522601,1000,1461.095155
884.053873,1000,1467.238739
628.210194,1000,1476.537191
889.770508,1000,1485.761576
886.354459,1000,1495.122085
780.650936,1000,1504.40152
888.759726,1000,1530.817533
775.56381,1000,1540.050926
887.6173,1000,1549.286321
886.103152,1000,1558.495693
880.818746,1000,1567.770124
885.216294,1000,1577.017529
886.167307,1000,1586.312979
890.237994,1000,1595.555381
689.185685,1000,1604.808792
889.037213,1000,1614.125261
889.080113,1000,1623.433723
828.894662,1000,1632.66111
626.622591,1000,1642.017616
557.862274,1000,1651.311063
546.464694,1000,1660.616522
616.069238,1000,1669.871935
669.171199,1000,1676.006512
714.784494,1000,1685.351006
888.808022,1000,1694.625436
890.274596,1000,1703.906874
878.271455,1000,1713.361468
891.456013,1000,1722.682942
885.19183,1000,1732.040447
884.846148,1000,1741.289855
887.880601,1000,1750.540264
887.470457,1000,1777.185485
892.401248,1000,1786.532982
764.127608,1000,1795.845447
829.526482,1000,1805.084846
888.428444,1000,1814.32925
829.814676,1000,1823.588666
826.824695,1000,1832.919147
832.834746,1000,1842.208592
771.821277,1000,1851.520056
776.621674,1000,1860.876562
722.349344,1000,1870.229063
619.858111,1000,1879.605586
890.242109,1000,1885.827241
709.154884,1000,1895.212773
488.679358,1000,1904.547259
729.188885,1000,1913.981339
889.120107,1000,1923.477972
892.187244,1000,1932.725378
889.598389,1000,1942.105905
887.62294,1000,1951.346304
713.289393,1000,1960.580699
566.191461,1000,1969.864137
834.845707,1000,1979.150579
645.538916,1000,1988.354946
739.605619,1000,1997.811543
630.834309,1000,2007.090977
450.568945,1000,2033.689156
599.344327,1000,2043.009628
523.597585,1000,2052.29707
833.414798,1000,2061.631555
830.12375,1000,2070.937014
724.932729,1000,2080.177414
887.474108,1000,2089.410807
885.951181,1000,2098.717267
883.017243,1000,2104.868859
883.507814,1000,2114.117265
830.081693,1000,2123.289603
649.618818,1000,2132.558029
738.967756,1000,2142.000612
891.969757,1000,2151.368127
773.036903,1000,2160.698609
602.819026,1000,2169.925997
890.432571,1000,2179.193421
886.066031,1000,2188.432819
889.448111,1000,2197.756294
767.404404,1000,2207.022718
890.3259,1000,2216.278131
890.192736,1000,2225.530541
832.565111,1000,2234.799968
889.702083,1000,2244.090413
833.484748,1000,2253.374852
886.467264,1000,2280.100146
891.956648,1000,2289.392593
886.580642,1000,2298.650008
887.492053,1000,2307.931445
888.134592,1000,2314.076031
594.249363,1000,2323.352463
343.735534,1000,2332.587858
875.003108,1000,2341.78522
720.900769,1000,2351.04964
887.002521,1000,2360.281031
883.079206,1000,2369.634534
890.050539,1000,2378.976026
568.459926,1000,2388.259465
632.451093,1000,2397.56092
887.12694,1000,2406.80232
858.160496,1000,2416.055732
395.607758,1000,2425.343174
886.654153,1000,2434.603592
593.171355,1000,2443.844992
480.289826,1000,2453.172472
838.104488,1000,2461.365919
571.129274,1000,2469.536346
780.201816,1000,2477.719785
602.28468,1000,2485.879202
890.493735,1000,2494.064643
611.327553,1000,2499.648719
784.021081,1000,2524.902675
887.928521,1000,2533.058089
826.764937,1000,2541.203492
683.180541,1000,2549.404948
888.380933,1000,2557.613412
544.040698,1000,2565.770825
577.562535,1000,2573.935246
736.646953,1000,2582.119686
720.988747,1000,2590.281105
606.591568,1000,2598.508584
691.924243,1000,2606.695026
207.816895,1000,2614.81941
519.32543,1000,2623.091931
687.220376,1000,2631.253349
650.708703,1000,2639.402757
733.433236,1000,2648.268817
891.970528,1000,2657.127869
892.86582,1000,2665.90083
555.925196,1000,2674.394551
648.398858,1000,2682.597007
888.171291,1000,2690.87253
819.575697,1000,2696.479627
613.424974,1000,2704.9213
832.473754,1000,2713.175804
718.336366,1000,2721.40128
660.961747,1000,2729.603737
887.215937,1000,2755.331123
548.429703,1000,2763.49054
892.055163,1000,2771.683988
486.509851,1000,2779.853415
718.072637,1000,2787.997818
733.490573,1000,2796.200274
888.311902,1000,2804.409736
887.485063,1000,2812.582165
727.943116,1000,2820.73858
502.781782,1000,2828.923019
647.102212,1000,2837.124474
886.542482,1000,2845.268878
888.318568,1000,2853.460324
889.331179,1000,2861.652771
890.305174,1000,2869.852225
829.61819,1000,2878.011641
580.429281,1000,2883.556682
768.900785,1000,2891.737118
830.377956,1000,2899.917554
888.353672,1000,2908.129019
814.826796,1000,2916.259409
885.534,1000,2924.387798
888.60962,1000,2932.538206
891.63144,1000,2940.703629
888.231988,1000,2948.854038
890.96462,1000,2974.040933
889.502026,1000,2982.290432
756.513555,1000,2990.452852
888.522916,1000,2998.710358
608.250426,1000,3006.911813
776.02955,1000,3015.081239
732.808443,1000,3023.268682
891.4859,1000,3031.401074
485.453002,1000,3039.523458
889.45201,1000,3047.709899
831.588237,1000,3056.021455
890.673693,1000,3064.182873
834.050874,1000,3069.808987
831.980349,1000,3077.986421
658.182926,1000,3086.161852
886.592891,1000,3094.369313
889.190066,1000,3102.57177
891.095503,1000,3110.718175
608.007881,1000,3118.869584
468.775327,1000,3127.07104
697.443779,1000,3135.279501
590.42418,1000,3143.48496
887.439542,1000,3151.637373
548.744821,1000,3159.838826
705.307698,1000,3168.009253
836.706675,1000,3176.225722
255.211281,1000,3201.853019
689.282545,1000,3210.02945
772.488426,1000,3218.176856
377.554828,1000,3226.368302
837.547308,1000,3234.564753
889.859098,1000,3242.756199
880.949838,1000,3250.944642
891.504138,1000,3259.130083
770.549187,1000,3264.68213
451.574646,1000,3272.885587
822.641051,1000,3281.057015
891.075152,1000,3289.222437
886.921852,1000,3297.415885
674.972582,1000,3305.543273
890.01865,1000,3313.720706
825.408618,1000,3321.841089
837.018264,1000,3329.987493
833.305255,1000,3338.229985
888.739011,1000,3346.392405
833.737631,1000,3354.532805
603.548113,1000,3362.64618
751.769756,1000,3370.840629
767.469942,1000,3378.964014
705.495289,1000,3387.100409
620.36525,1000,3395.28585
890.17652,1000,3420.713965
645.878807,1000,3428.867376
832.384592,1000,3437.073836
837.685447,1000,3445.251269
888.368867,1000,3450.837347
886.899587,1000,3458.999767
835.59068,1000,3467.188211
579.632472,1000,3475.370651
834.772331,1000,3483.589119
885.996741,1000,3491.743531
890.118747,1000,3499.895942
888.515449,1000,3508.026333
604.646202,1000,3516.261819
830.547717,1000,3524.428243
886.093162,1000,3532.629698
826.972122,1000,3540.800125
884.66564,1000,3548.952535
556.436806,1000,3557.09794
890.741666,1000,3565.291388
890.736717,1000,3573.545891
616.462107,1000,3581.728329
890.396394,1000,3589.902759
574.658817,1000,3598.048165
727.477855,1000,3606.169547
594.663426,1000,3614.325961
596.549286,1000,3619.874004
889.572836,1000,3644.985831
876.290752,1000,3653.212309
782.216597,1000,3661.371726
645.484159,1000,3669.515129
888.903262,1000,3677.673545
704.605147,1000,3685.892015
886.010422,1000,3694.017402
553.534058,1000,3702.155799
889.657754,1000,3710.287191
830.74142,1000,3718.414578
887.547991,1000,3726.546971
882.567797,1000,3734.800473
698.95412,1000,3742.929863
