#{"t_start": 1596738708.5947647, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-412.976779,1000,7.870146
-73.820995,1000,17.148571
58.114086,1000,26.495056
87.568718,1000,35.86056
-44.513655,1000,45.216056
315.984819,1000,54.573551
-144.325715,1000,63.807935
-51.264197,1000,73.110382
100.318684,1000,82.453866
165.841922,1000,91.746303
-200.308,1000,100.962672
4.196339,1000,110.270123
262.098334,1000,119.557557
176.258542,1000,128.815962
175.086055,1000,138.133422
165.2111,1000,147.401837
88.238229,1000,156.693273
18.309853,1000,165.978704
-218.335824,1000,175.271142
7.922761,1000,184.562578
87.644878,1000,193.806972
348.098823,1000,199.835446
296.829417,1000,209.117873
156.269171,1000,218.375279
234.678094,1000,227.712757
65.787579,1000,236.958152
112.463041,1000,263.785511
-11.077182,1000,273.037911
371.760026,1000,282.281304
92.744803,1000,291.507681
325.135107,1000,300.800119
243.586826,1000,310.079544
331.70042,1000,319.311927
-76.094908,1000,328.556321
-232.239993,1000,337.76368
-161.593126,1000,347.039103
-335.757873,1000,356.274488
-372.934021,1000,365.660009
-368.176232,1000,374.929426
-17.728755,1000,384.123775
-288.557551,1000,393.340143
-229.123103,1000,402.532491
125.33456,1000,408.462873
5.369002,1000,417.762317
-162.590038,1000,426.945656
137.9586,1000,436.156018
-289.703911,1000,445.40842
-72.72573,1000,454.743895
-248.245708,1000,463.9993
-255.905887,1000,473.304749
-37.573477,1000,482.645229
-121.005705,1000,509.245381
-304.202149,1000,518.534817
-236.975471,1000,527.791221
-158.746622,1000,537.080655
-382.80607,1000,546.350072
-327.953266,1000,555.59947
-59.113406,1000,564.859877
-299.852973,1000,574.08025
-76.29948,1000,583.3867
-72.842505,1000,592.710165
-210.109814,1000,602.083677
96.408811,1000,611.411145
-154.69269,1000,617.413595
25.831138,1000,626.657989
161.017542,1000,635.978452
-312.693188,1000,645.250871
-312.264465,1000,654.536302
-434.347439,1000,663.805718
-169.730611,1000,673.110167
-298.471954,1000,682.336544
-393.582413,1000,691.662011
-153.375747,1000,701.035522
-397.027196,1000,710.340971
-321.605277,1000,719.618395
-258.676345,1000,728.955874
-152.326375,1000,738.304361
-180.49763,1000,765.287861
-223.634627,1000,774.599316
-141.706865,1000,783.86573
-366.189245,1000,793.119131
179.32254,1000,802.361523
