#{"t_start": 1596725920.7473106, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-385.836509,1000,9.290435
15.715892,1000,18.776049
202.951376,1000,28.219622
52.931527,1000,37.810331
236.952539,1000,47.320966
85.937031,1000,56.814587
76.74877,1000,66.341236
131.890529,1000,75.831853
120.562474,1000,85.291442
184.234863,1000,94.850121
13.424757,1000,104.449837
160.515605,1000,113.941456
265.437758,1000,123.445084
27.118108,1000,133.005766
90.430508,1000,142.616492
419.211049,1000,152.162159
204.066412,1000,161.695815
294.034667,1000,171.272511
346.26841,1000,180.852209
299.104609,1000,190.358841
221.404256,1000,199.859467
74.040177,1000,205.955002
438.72184,1000,215.418594
292.036496,1000,224.926227
309.046223,1000,235.047419
-14.193583,1000,244.539035
170.020986,1000,272.196147
358.468093,1000,281.653734
431.397198,1000,291.051266
312.899352,1000,300.552894
111.90202,1000,310.029499
380.828188,1000,319.539133
448.163134,1000,329.070787
158.264305,1000,338.518366
500.484802,1000,347.982959
282.592038,1000,357.471575
570.431869,1000,366.942174
94.325654,1000,376.40977
196.885677,1000,385.960442
140.330668,1000,395.438047
254.012946,1000,404.875617
189.221882,1000,414.355224
455.446753,1000,420.377692
346.468634,1000,429.849292
96.682524,1000,439.288863
260.128783,1000,448.700408
178.82538,1000,458.069915
45.345467,1000,467.460441
413.231836,1000,476.891004
286.388557,1000,486.282532
191.213189,1000,495.725106
-121.310363,1000,523.039907
438.605562,1000,532.468467
447.337902,1000,541.957082
601.937798,1000,551.396654
325.761743,1000,560.850238
446.101389,1000,570.235759
411.331415,1000,579.705358
294.535606,1000,589.136921
376.237622,1000,598.781678
464.680089,1000,608.173205
296.484185,1000,617.601767
570.815516,1000,627.013311
371.40159,1000,633.063805
487.413238,1000,642.546415
418.676389,1000,651.958961
442.312474,1000,661.442572
435.289014,1000,670.845109
486.898643,1000,680.250649
441.099841,1000,689.633169
362.181453,1000,699.023695
130.116791,1000,708.407215
237.500119,1000,717.765712
391.458228,1000,727.107195
461.085916,1000,736.54076
547.675756,1000,745.916272
585.893088,1000,755.354842
355.884444,1000,782.613592
365.052742,1000,792.043154
388.948382,1000,801.466712
400.523781,1000,810.821204
614.545133,1000,820.145671
154.961561,1000,829.559218
440.133544,1000,838.962756
437.435237,1000,848.337268
478.954953,1000,854.402775
471.221164,1000,863.836341
434.692386,1000,873.281917
324.320463,1000,882.76753
504.63313,1000,892.201095
394.182731,1000,901.604634
610.731868,1000,911.063221
440.459176,1000,920.516805
379.189538,1000,929.950371
613.308171,1000,939.338895
457.456189,1000,948.874553
615.627615,1000,958.345152
423.584728,1000,967.724669
413.483865,1000,977.199271
169.722982,1000,986.737932
506.809641,1000,996.206529
391.040136,1000,1005.694144
668.780214,1000,1032.906853
412.560881,1000,1042.382456
516.464978,1000,1051.755966
526.894452,1000,1061.24258
548.719482,1000,1067.342118
427.969273,1000,1076.88078
488.851715,1000,1086.324354
389.451994,1000,1095.753915
595.223686,1000,1105.179474
778.400873,1000,1114.63606
819.797308,1000,1124.027588
598.773428,1000,1133.464156
828.027731,1000,1142.854683
654.560031,1000,1152.3453
543.840919,1000,1161.820903
762.56674,1000,1171.232448
525.027456,1000,1180.597952
735.212383,1000,1189.969461
578.175237,1000,1199.34097
626.370367,1000,1208.7355
683.103586,1000,1218.146045
603.349059,1000,1227.638664
516.234449,1000,1237.16031
548.806576,1000,1246.553838
456.386587,1000,1255.991408
614.84693,1000,1262.031892
518.938261,1000,1289.166531
460.921217,1000,1298.574071
426.004893,1000,1307.981613
447.298956,1000,1317.372139
476.999185,1000,1326.753657
509.359615,1000,1336.122164
322.000223,1000,1345.604774
378.23727,1000,1355.055355
469.33852,1000,1364.384826
388.198734,1000,1373.830402
417.838784,1000,1383.168881
-132.19957,1000,1392.532383
479.145249,1000,1401.974957
310.697176,1000,1411.339461
-226.385414,1000,1420.802051
110.415486,1000,1430.275653
227.022406,1000,1439.652167
254.508926,1000,1449.02868
189.514931,1000,1458.513292
-130.848539,1000,1467.8838
-138.117308,1000,1477.271324
348.833894,1000,1483.333828
-398.042297,1000,1492.777403
658.221771,1000,1502.306055
-197.770313,1000,1511.822696
-438.774572,1000,1521.231238
-468.197554,1000,1548.560052
-17.759936,1000,1557.980605
-67.980426,1000,1567.480231
292.75204,1000,1576.869757
-152.381438,1000,1586.329346
-37.688613,1000,1595.751904
172.311166,1000,1605.147432
-297.626593,1000,1614.563982
215.140394,1000,1623.992543
-131.482722,1000,1633.42711
166.473764,1000,1642.893704
-149.616535,1000,1652.293239
-46.333199,1000,1661.709789
178.011294,1000,1671.134346
-354.027562,1000,1680.573917
113.353671,1000,1689.974453
-175.422867,1000,1696.107021
20.324277,1000,1705.590631
219.447562,1000,1714.979156
363.035869,1000,1724.412722
232.076863,1000,1733.78323
107.95022,1000,1743.216796
-68.395714,1000,1752.680388
57.093396,1000,1762.177011
-158.240854,1000,1771.570539
135.914172,1000,1798.947397
-41.124888,1000,1808.32291
-260.992469,1000,1817.715438
41.940634,1000,1827.085947
657.167052,1000,1836.459457
-351.712124,1000,1845.878009
-359.56244,1000,1855.287553
-143.112618,1000,1864.751146
157.816163,1000,1874.165693
-422.04303,1000,1883.653308
43.244605,1000,1893.048839
778.879617,1000,1902.504424
278.819061,1000,1908.591951
704.250193,1000,1918.032523
-106.725905,1000,1927.509128
660.6786,1000,1936.892648
735.704085,1000,1946.340226
562.512268,1000,1955.776794
782.278197,1000,1965.238385
-321.867564,1000,1974.689968
284.18965,1000,1984.237636
36.177953,1000,1993.776297
672.48283,1000,2003.203857
-86.466126,1000,2012.594383
162.743688,1000,2022.072989
36.914274,1000,2031.491541
732.28026,1000,2058.52809
786.263897,1000,2068.001691
249.100961,1000,2077.421244
-54.69521,1000,2086.818778
556.014169,1000,2096.256346
611.819603,1000,2105.620849
626.620377,1000,2115.088445
342.638648,1000,2124.58707
