#{"t_start": 1603353469.301692, "env_id": "LunarLander-v2"}
r,l,t
-105.044695,68,1.68253
-35.969479,121,2.057872
-476.75,126,2.453231
-215.249422,71,2.664423
-356.826832,86,2.919658
-250.264085,125,5.571067
-59.849581,63,5.757236
-227.211445,113,6.103552
-142.20722,83,6.355781
-29.909412,113,6.721114
-336.641492,80,9.229395
-90.729895,73,9.450596
-116.450202,88,9.715837
-122.647681,111,10.054145
-192.762707,72,10.272344
-95.98849,85,10.537585
-84.479736,82,13.04887
-105.804983,86,13.308105
-245.340521,98,13.602373
-134.613782,118,13.985722
-334.248818,91,14.263975
-112.314911,127,16.950418
-73.792846,117,17.345778
-95.211754,85,17.609018
-99.365406,123,17.982358
-43.921605,60,18.164523
-89.737873,103,20.722851
-109.733335,79,20.971076
-90.509498,73,21.20629
-99.742856,118,21.578629
-96.557809,75,21.81084
-64.258986,133,22.231222
-60.955418,63,24.660432
-101.877034,95,24.948695
-46.10485,115,25.299013
-55.493336,97,25.59328
-52.33131,67,25.795466
-154.071926,81,26.046693
-84.514099,106,28.647058
-22.581444,75,28.873264
-55.85571,94,29.16553
-96.560441,94,29.454793
-60.033082,105,29.775084
-63.295956,75,32.283366
-38.155984,76,32.526587
-58.484977,68,32.750791
-83.766602,92,33.065077
-29.929516,125,33.516488
-22.206277,109,33.901839
-102.44649,94,36.502204
-18.240224,93,36.853524
-39.537169,101,37.225862
-57.349503,132,37.694288
-89.803414,91,37.976545
24.554793,96,40.52186
-30.5553,99,40.819131
-37.118886,111,41.162444
-2.722166,120,41.538785
-4.662371,152,44.279278
-323.119483,180,44.835785
42.903666,153,45.306212
-51.266592,148,48.042701
-8.915918,130,48.444067
-22.634321,109,48.784376
17.673809,162,49.290837
-12.610028,138,51.966271
-112.513901,155,52.45972
-167.516144,820,57.828603
-26.211879,257,61.008496
-143.984104,261,62.153538
-116.126743,1000,71.118693
-36.332611,1000,80.130891
-267.173038,342,83.829255
43.756971,1000,92.558195
109.125234,1000,101.205061
43.712426,1000,109.661753
-73.102557,535,114.203886
24.538386,1000,122.721633
140.491205,1000,131.200346
-20.529107,1000,139.371779
82.594456,1000,147.639301
132.845334,1000,156.17006
96.678485,1000,164.705825
120.644412,1000,173.152508
6.246428,475,177.115113
73.023032,1000,185.699922
79.070639,1000,191.923583
117.212559,1000,200.262168
222.813121,804,207.888106
249.106636,441,211.695569
248.003911,418,215.351895
205.716337,373,216.682105
206.923837,395,220.263363
224.041034,336,223.654448
-15.144981,242,224.433156
-8.835486,342,227.808226
246.777553,331,231.236344
-56.944867,346,232.433433
230.635793,317,235.77147
8.430962,246,236.577203
-44.714384,194,239.445812
-45.261206,353,240.58685
237.153383,396,244.285214
-22.744755,274,247.394042
177.28956,407,251.103416
234.40315,282,252.112334
220.478311,331,255.508423
17.960071,285,256.458287
229.070478,460,260.254741
224.126092,284,263.428628
117.310122,1000,271.38887
230.767147,292,272.406795
94.255819,1000,280.626272
230.865958,351,284.11945
193.086928,326,287.546567
194.811345,446,289.109989
128.164718,1000,297.392523
266.644045,309,300.92874
255.55345,358,304.406686
265.46218,302,305.6318
272.629347,300,309.141993
13.11987,236,309.952731
146.76658,1000,318.0541
244.370475,290,321.287041
279.574772,273,322.207879
231.744698,299,325.502876
229.315071,312,328.724807
201.488186,830,333.779405
-18.099619,208,336.876222
119.043998,1000,345.147746
8.068299,190,345.787328
236.384942,411,349.423635
38.873137,161,349.951115
252.006758,229,350.685784
54.334376,160,353.449297
110.012024,1000,361.519639
-10.774466,195,362.168229
21.3444,136,362.588611
5.31399,210,365.508267
241.077553,267,366.361042
9.938869,144,369.060498
237.787493,258,369.872236
17.30582,182,370.43675
186.297598,275,373.592621
2.239854,85,373.857862
39.462658,151,374.342303
239.474508,474,378.173788
2.543659,157,380.928294
-2.033748,139,381.403726
-19.670139,157,381.963237
256.130044,414,385.641582
238.183541,503,389.706279
-3.341342,128,390.097635
252.391161,287,393.336581
13.642256,159,393.846044
13.064213,168,396.646592
241.274474,821,401.804284
-9.874198,282,404.943139
-37.325499,110,405.324486
31.706148,126,405.709836
128.574849,1000,413.710114
229.859235,585,418.065075
68.236715,197,420.988735
133.901332,527,425.168537
139.453991,1000,433.547158
104.450404,1000,441.652532
82.980391,1000,449.809952
261.548352,387,451.200217
155.27493,477,455.228881
153.574259,1000,463.385301
236.638511,326,466.866468
203.929986,719,471.699864
168.643805,636,476.199958
275.219493,308,479.56702
287.566545,266,482.697868
280.060375,273,483.590681
167.677068,439,487.341093
228.154302,356,490.838274
265.367048,276,491.740094
199.312185,337,495.116165
64.800751,155,495.704701
39.744198,167,496.222171
261.057458,306,499.48614
242.410679,294,502.699063
268.281954,251,503.517808
114.539704,1000,511.78833
238.890747,438,515.57978
226.920814,257,516.429553
230.714138,354,519.852667
295.48756,233,522.87942
289.778564,278,523.795253
185.567454,663,528.282335
262.296548,254,531.456221
256.24651,241,532.336022
-8.892863,257,535.526924
101.473083,1000,543.555228
208.216839,340,547.050407
232.8619,284,548.024293
254.501177,249,551.42939
259.197105,354,552.966789
250.082866,296,556.231759
256.664309,295,557.206646
249.853614,255,560.341497
271.032175,246,561.149232
256.408448,272,564.328124
255.430443,260,565.17089
126.258696,1000,573.213206
262.9421,265,576.397102
279.092528,242,577.18582
285.995094,314,580.421763
267.451709,265,581.289553
303.299512,362,584.748699
270.298334,265,587.830503
264.00981,282,588.731322
254.635197,382,592.286556
-105.079781,380,595.831781
266.023099,268,596.735603
266.610986,230,599.741338
249.011461,225,600.471001
252.615122,321,603.761894
260.702556,263,604.739784
278.338623,260,607.820587
270.082118,316,608.838513
227.195973,229,611.809215
13.389737,103,612.128505
279.159379,238,615.119226
249.879069,282,616.066087
278.116874,246,619.1579
142.811309,1000,627.544528
111.948608,1000,633.248718
230.857646,250,636.346535
280.284311,230,637.071194
264.528416,217,639.988848
-73.758874,503,643.943446
259.448367,238,644.723155
-11.897164,1000,652.717427
61.04258,1000,660.930899
290.554028,364,664.357015
272.120893,260,665.25283
279.358683,209,668.215525
268.256094,287,669.141367
