#{"t_start": 1603349802.340032, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.976799
-200.0,200,2.555324
-200.0,200,5.405917
-200.0,200,5.974434
-200.0,200,6.543952
-200.0,200,9.359514
-200.0,200,9.935037
-200.0,200,12.748596
-200.0,200,13.356149
-200.0,200,13.933674
-200.0,200,16.783267
-200.0,200,17.357789
-200.0,200,20.193368
-200.0,200,20.760885
-200.0,200,21.34942
-200.0,200,24.203016
-200.0,200,24.771533
-200.0,200,27.610115
-200.0,200,28.216667
-200.0,200,28.832227
-200.0,200,31.645786
-200.0,200,32.215306
-200.0,200,32.785824
-200.0,200,35.645425
-200.0,200,36.214943
-200.0,200,39.022497
-200.0,200,39.59802
-200.0,200,40.198569
-200.0,200,43.011125
-200.0,200,43.629688
-200.0,200,46.456259
-200.0,200,47.025777
-200.0,200,47.596295
-200.0,200,50.417862
-200.0,200,50.985379
-200.0,200,53.807946
-200.0,200,54.38347
-200.0,200,54.958993
-200.0,200,57.799577
-168.0,168,58.278013
-181.0,181,58.810497
-200.0,200,61.634065
-181.0,181,62.207588
-139.0,139,62.622965
-165.0,165,65.418508
-167.0,167,65.949991
-148.0,148,66.374377
-182.0,182,69.184934
-133.0,133,69.569283
-162.0,162,70.030704
-134.0,134,72.637074
-200.0,200,73.208594
-124.0,124,73.572926
-159.0,159,76.338441
-145.0,145,76.751817
-177.0,177,77.26128
-160.0,160,77.756732
-158.0,158,80.430163
-200.0,200,81.00969
-158.0,158,81.461101
-155.0,155,84.171566
-175.0,175,84.701048
-158.0,158,85.152459
-200.0,200,87.963015
-170.0,170,88.47348
-155.0,155,88.929895
-154.0,154,91.610334
-153.0,153,92.044728
-158.0,158,92.496139
-200.0,200,95.319707
-200.0,200,95.902237
-158.0,158,96.362656
-155.0,155,99.041092
-148.0,148,99.468481
-153.0,153,99.947917
-152.0,152,102.613342
-154.0,154,103.098784
-137.0,137,103.517164
-156.0,156,103.973579
-87.0,87,106.443827
-170.0,170,106.928268
-173.0,173,107.416711
-161.0,161,110.111162
-148.0,148,110.530544
-152.0,152,111.005976
-163.0,163,113.707434
-87.0,87,113.980682
-151.0,151,114.41808
-155.0,155,114.863486
-126.0,126,117.485871
-158.0,158,117.933278
-156.0,156,118.374679
-157.0,157,118.844106
-149.0,149,121.505527
-85.0,85,121.746747
-149.0,149,122.191151
-159.0,159,124.912627
-151.0,151,125.375047
-89.0,89,125.628277
-152.0,152,126.077686
-156.0,156,128.740108
-149.0,149,129.199526
-150.0,150,129.662947
-94.0,94,129.965223
-179.0,179,132.734742
-95.0,95,133.019
-121.0,121,133.390338
-161.0,161,133.862768
-102.0,102,136.421096
-87.0,87,136.66832
-90.0,90,136.925554
-164.0,164,137.385973
-166.0,166,140.109451
-103.0,103,140.415729
-155.0,155,140.888159
-167.0,167,141.413637
-89.0,89,143.968961
-160.0,160,144.453402
-100.0,100,144.740664
-156.0,156,145.216096
-88.0,88,147.706361
-154.0,154,148.15577
-90.0,90,148.44203
-120.0,120,148.785343
-85.0,85,151.311641
-105.0,105,151.612915
-145.0,145,152.031295
-152.0,152,152.461687
-86.0,86,152.705909
-85.0,85,155.220196
-88.0,88,155.507457
-151.0,151,155.958868
-156.0,156,156.401271
-146.0,146,159.048679
-149.0,149,159.517105
-152.0,152,159.956505
-147.0,147,162.612921
-150.0,150,163.05232
-153.0,153,163.487716
-164.0,164,163.95314
-87.0,87,166.475434
-144.0,144,166.885808
-162.0,162,167.415289
-161.0,161,170.125755
-162.0,162,170.588176
-155.0,155,171.083626
-153.0,153,171.518022
-150.0,150,174.227486
-147.0,147,174.659879
-154.0,154,175.102282
-169.0,169,177.833766
-154.0,154,178.275168
-161.0,161,178.757607
-152.0,152,181.444051
-147.0,147,181.921484
-169.0,169,182.436954
-149.0,149,185.089367
-146.0,146,185.529768
-160.0,160,185.982178
-147.0,147,186.397557
-143.0,143,189.030952
-154.0,154,189.478359
-85.0,85,189.729588
-86.0,86,189.975811
-142.0,142,192.617214
-155.0,155,193.064621
-156.0,156,193.509025
-89.0,89,193.801291
-150.0,150,196.484732
-126.0,126,196.847062
-154.0,154,197.297472
-174.0,174,200.051977
-158.0,158,200.501386
-86.0,86,200.750613
-157.0,157,201.208029
-149.0,149,203.892471
-156.0,156,204.347886
-161.0,161,204.819314
-153.0,153,207.503756
-155.0,155,207.945157
-123.0,123,208.297478
-91.0,91,208.565722
-85.0,85,208.81695
-115.0,115,211.376278
-169.0,169,211.852712
-153.0,153,212.29011
-88.0,88,212.539336
-159.0,159,215.23679
-98.0,98,215.525054
-88.0,88,215.778283
-113.0,113,216.168638
-118.0,118,218.763999
-122.0,122,219.113317
-98.0,98,219.392571
-117.0,117,219.738885
-94.0,94,220.011133
-121.0,121,222.583473
-118.0,118,222.941799
-114.0,114,223.274101
-115.0,115,223.599397
-115.0,115,226.172738
-108.0,108,226.48302
-88.0,88,226.73525
-159.0,159,227.244713
-86.0,86,227.486934
-117.0,117,230.051266
-156.0,156,230.504678
-126.0,126,230.861003
-121.0,121,231.222332
-86.0,86,233.752633
-91.0,91,234.008867
-115.0,115,234.337165
-84.0,84,234.578384
