#{"t_start": 1603771709.6520026, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.22594
-200.0,200,9.388557
-200.0,200,15.356997
-200.0,200,21.324436
-200.0,200,21.925985
-200.0,200,27.919448
-200.0,200,33.95595
-200.0,200,39.950414
-200.0,200,45.987918
-200.0,200,46.588465
-173.0,173,52.516868
-200.0,200,58.534353
-200.0,200,64.54283
-183.0,183,65.097336
-182.0,182,68.304259
-178.0,178,71.50918
-179.0,179,72.043667
-176.0,176,75.23958
-192.0,192,78.460516
-178.0,178,81.667439
-176.0,176,82.191917
-181.0,181,85.383826
-200.0,200,88.593752
-180.0,180,89.115227
-170.0,170,92.232069
-124.0,124,95.210783
-185.0,185,95.768291
-178.0,178,98.950192
-200.0,200,102.196151
-166.0,166,102.679591
-178.0,178,105.893521
-172.0,172,109.040389
-180.0,180,109.555859
-177.0,177,112.747768
-166.0,166,115.933672
-179.0,179,116.466158
-172.0,172,119.676083
-162.0,162,122.79893
-177.0,177,123.316402
-179.0,179,126.559357
-200.0,200,129.81833
-166.0,166,132.943176
-139.0,139,133.336535
-163.0,163,136.478398
-104.0,104,136.780674
-92.0,92,139.681318
-97.0,97,139.970582
-172.0,172,143.130462
-111.0,111,143.447751
-177.0,177,146.703719
-164.0,164,147.201173
-100.0,100,150.122835
-91.0,91,150.386075
-165.0,165,153.596002
-168.0,168,154.070434
-97.0,97,157.020122
-94.0,94,157.315392
-90.0,90,160.230048
-155.0,155,160.700477
-93.0,93,160.973727
-158.0,158,164.099575
-160.0,160,167.317508
-159.0,159,167.830976
-93.0,93,170.724614
-86.0,86,170.980848
-92.0,92,171.243086
-160.0,160,174.389955
-159.0,159,177.526814
-159.0,159,177.995242
-161.0,161,181.124093
-155.0,155,184.200897
-156.0,156,184.664319
-93.0,93,184.966596
-160.0,160,188.167513
-178.0,178,191.30237
-157.0,157,191.75178
-168.0,168,194.94469
-158.0,158,198.063533
-91.0,91,198.330776
-94.0,94,198.608029
-156.0,156,201.699848
-86.0,86,201.940067
-160.0,160,205.10395
-157.0,157,208.214786
-180.0,180,208.728254
-92.0,92,211.725986
-92.0,92,211.995231
-182.0,182,215.18614
-85.0,85,215.442373
-141.0,141,218.535193
-157.0,157,218.975594
-87.0,87,221.848212
-144.0,144,222.267595
-84.0,84,222.521826
-96.0,96,225.514555
-149.0,149,225.942945
-147.0,147,229.041769
-159.0,159,232.183633
-167.0,167,232.676082
-92.0,92,235.612758
-157.0,157,236.067172
-85.0,85,238.941793
-151.0,151,239.378191
-158.0,158,242.568098
-155.0,155,243.029519
-148.0,148,246.194404
-146.0,146,249.287223
-99.0,99,249.575485
-149.0,149,250.012887
-92.0,92,252.923537
-106.0,106,253.232819
-164.0,164,256.38269
-162.0,162,259.576601
-112.0,112,259.906902
-114.0,114,260.226193
-98.0,98,263.189895
-85.0,85,263.457138
-146.0,146,266.608517
-162.0,162,267.076944
-87.0,87,270.002611
-92.0,92,270.259846
-88.0,88,270.522084
-95.0,95,273.464767
-149.0,149,273.952211
-88.0,88,276.876877
-150.0,150,277.333292
-94.0,94,280.304001
-87.0,87,280.562742
-176.0,176,283.760162
-90.0,90,284.015395
-162.0,162,287.180279
-86.0,86,287.440517
-100.0,100,287.725777
-90.0,90,290.661453
-103.0,103,290.953719
-168.0,168,294.137621
