#{"t_start": 1603814958.9172723, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.01884
-200.0,200,11.222229
-200.0,200,20.199412
-200.0,200,29.126549
-200.0,200,29.746113
-200.0,200,38.69527
-200.0,200,47.628413
-200.0,200,56.585577
-200.0,200,65.590785
-200.0,200,66.195336
-200.0,200,75.297633
-192.0,192,84.198746
-200.0,200,93.082844
-156.0,156,93.565284
-153.0,153,96.827257
-148.0,148,97.245639
-155.0,155,100.524627
-150.0,150,103.786601
-151.0,151,104.226001
-187.0,187,107.561041
-156.0,156,110.801995
-146.0,146,111.236391
-190.0,190,114.599456
-151.0,151,115.092906
-151.0,151,118.297827
-154.0,154,121.539782
-120.0,120,121.952158
-155.0,155,125.279191
-154.0,154,125.730602
-158.0,158,128.988572
-151.0,151,132.272565
-148.0,148,132.725978
-153.0,153,135.962929
-159.0,159,136.433357
-153.0,153,139.685322
-157.0,157,142.932281
-150.0,150,143.403711
-157.0,157,146.688705
-158.0,158,147.140117
-153.0,153,150.362053
-150.0,150,153.657057
-158.0,158,154.117476
-170.0,170,157.413481
-148.0,148,157.833864
-152.0,152,161.06581
-152.0,152,164.320778
-158.0,158,164.813226
-160.0,160,168.119239
-164.0,164,168.597675
-151.0,151,171.887674
-165.0,165,175.157655
-152.0,152,175.628083
-148.0,148,178.825998
-161.0,161,179.298428
-162.0,162,182.587427
-152.0,152,185.803358
-104.0,104,186.119646
-160.0,160,189.378617
-187.0,187,189.94213
-151.0,151,193.206106
-151.0,151,196.440053
-156.0,156,196.892465
-167.0,167,200.151436
-157.0,157,203.445438
-151.0,151,203.900853
-146.0,146,207.157822
-151.0,151,207.598224
-150.0,150,210.829169
-87.0,87,211.103418
-161.0,161,214.414437
-155.0,155,214.881863
-152.0,152,218.141834
-150.0,150,221.372779
-88.0,88,221.660042
-161.0,161,224.91701
-153.0,153,225.380432
-91.0,91,228.453233
-152.0,152,228.89964
-107.0,107,232.019484
-148.0,148,232.46489
-155.0,155,235.737873
-152.0,152,236.170267
-171.0,171,239.390203
-123.0,123,239.754534
-150.0,150,242.974469
-153.0,153,246.231437
-156.0,156,246.680847
-180.0,180,250.011883
-119.0,119,250.405242
-150.0,150,253.715259
-153.0,153,257.00826
-154.0,154,257.493703
-151.0,151,260.72665
-169.0,169,261.197078
-148.0,148,264.414011
-153.0,153,267.596913
-153.0,153,268.038314
-144.0,144,271.199195
-148.0,148,271.639596
-193.0,193,275.006666
-154.0,154,278.249621
-98.0,98,278.524873
-156.0,156,281.807865
-173.0,173,282.385392
-147.0,147,285.641363
-181.0,181,288.960385
-146.0,146,289.390777
-154.0,154,292.589692
-164.0,164,295.914724
-143.0,143,296.330102
-146.0,146,299.554041
-148.0,148,299.984433
-153.0,153,303.269427
-156.0,156,303.729847
-151.0,151,307.019846
-149.0,149,310.222765
-152.0,152,310.673176
-152.0,152,313.898115
-98.0,98,314.180373
-159.0,159,317.739618
-95.0,95,318.085932
-152.0,152,321.444994
-156.0,156,321.902411
-150.0,150,325.178397
-150.0,150,328.388323
-158.0,158,328.841736
-154.0,154,332.066675
-156.0,156,332.536103
-147.0,147,335.740024
-152.0,152,338.985983
-151.0,151,339.4444
-153.0,153,342.664335
-148.0,148,343.082716
-92.0,92,346.188548
-154.0,154,346.62995
-153.0,153,349.888921
-155.0,155,350.358349
-154.0,154,353.592296
-149.0,149,356.84426
-158.0,158,357.308683
-149.0,149,360.562649
-154.0,154,361.020066
-98.0,98,364.10688
-161.0,161,364.587318
-150.0,150,367.822267
-100.0,100,368.112531
-162.0,162,371.343476
-160.0,160,374.648489
-168.0,168,375.153949
-170.0,170,378.459963
-163.0,163,381.740953
-152.0,152,382.166341
-154.0,154,385.449333
-170.0,170,385.934776
-158.0,158,389.233783
-150.0,150,392.41168
-161.0,161,392.891117
-173.0,173,396.194127
-150.0,150,399.412061
-150.0,150,399.840451
-102.0,102,402.902242
-150.0,150,403.335637
-153.0,153,406.65266
-153.0,153,407.122088
-152.0,152,410.38306
-170.0,170,413.648037
-151.0,151,414.138483
-170.0,170,417.553596
-151.0,151,417.981987
-150.0,150,421.199919
-162.0,162,424.555979
-154.0,154,425.042422
-150.0,150,428.299391
-154.0,154,428.742795
-151.0,151,431.954723
-150.0,150,435.196677
-191.0,191,435.798227
-156.0,156,439.082219
-99.0,99,439.390501
