#{"t_start": 1603814438.8962786, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.114927
-200.0,200,4.90547
-200.0,200,7.69201
-200.0,200,10.459533
-200.0,200,11.080098
-200.0,200,13.836612
-200.0,200,16.651176
-200.0,200,19.396679
-200.0,200,22.15119
-200.0,200,22.793776
-200.0,200,25.559296
-200.0,200,28.411897
-200.0,200,31.14739
-200.0,200,31.775963
-200.0,200,34.51546
-200.0,200,37.298997
-200.0,200,40.119568
-200.0,200,42.858065
-200.0,200,43.45661
-200.0,200,46.269173
-200.0,200,49.074731
-200.0,200,51.841252
-200.0,200,52.466823
-200.0,200,55.224336
-200.0,200,57.97184
-200.0,200,60.855469
-200.0,200,63.630999
-200.0,200,64.246559
-200.0,200,67.086149
-200.0,200,69.857674
-200.0,200,72.60718
-200.0,200,73.242759
-200.0,200,75.978253
-200.0,200,78.778806
-200.0,200,81.52631
-200.0,200,84.269811
-200.0,200,84.881367
-200.0,200,87.684924
-200.0,200,90.45645
-200.0,200,93.236984
-200.0,200,96.001504
-200.0,200,96.617065
-200.0,200,99.403605
-200.0,200,102.162119
-200.0,200,104.940652
-200.0,200,105.577234
-200.0,200,108.379786
-200.0,200,111.183342
-200.0,200,113.932848
-200.0,200,116.668341
-200.0,200,117.297915
-200.0,200,120.080451
-200.0,200,122.796928
-200.0,200,125.550437
-200.0,200,126.174006
-200.0,200,128.958544
-200.0,200,131.7621
-200.0,200,134.530623
-200.0,200,137.304151
-200.0,200,137.930722
-200.0,200,140.648199
-200.0,200,143.411718
-200.0,200,146.127193
-200.0,200,146.757768
-200.0,200,149.704453
-200.0,200,152.566062
-200.0,200,155.29555
-200.0,200,158.049059
-200.0,200,158.699653
-200.0,200,161.453162
-200.0,200,164.163633
-200.0,200,166.897125
-200.0,200,169.637622
-200.0,200,170.274203
-200.0,200,172.992681
-200.0,200,175.720167
-200.0,200,178.520719
-200.0,200,179.125271
-200.0,200,181.891792
-200.0,200,184.608268
-200.0,200,187.392806
-200.0,200,190.202367
-200.0,200,190.821932
-200.0,200,193.542412
-164.0,164,196.155794
-180.0,180,196.709298
-169.0,169,199.397749
-200.0,200,202.209311
-169.0,169,204.852721
-176.0,176,205.3782
-200.0,200,208.112692
-167.0,167,210.813154
-200.0,200,211.409697
-164.0,164,214.086137
-187.0,187,216.801612
-200.0,200,219.600163
-200.0,200,220.240747
-157.0,157,222.884156
-200.0,200,225.670696
-154.0,154,226.122108
-163.0,163,228.784534
-154.0,154,231.420937
-200.0,200,232.030493
-158.0,158,234.640872
-152.0,152,237.335328
-126.0,126,237.711671
