#{"t_start": 1594138986.4252927, "env_id": "MountainCarContinuous-v0"}
r,l,t
25.250886,950,152.21217
82.003379,268,158.833196
90.108045,151,162.454493
85.242505,238,179.88536
81.212844,362,189.757347
85.23334,280,207.563993
83.336116,284,214.174323
86.832642,274,232.193726
87.088579,212,238.808748
83.260274,244,245.640967
90.799395,152,260.338346
86.457164,187,266.760191
87.21177,191,270.272388
89.589393,193,287.898433
88.15456,239,294.479424
84.985695,259,301.095447
84.545277,216,315.537593
86.787925,181,321.845335
78.860271,367,329.052896
88.059165,180,345.994318
91.634099,181,349.395414
91.423517,183,355.822264
93.302666,178,370.129288
89.900932,183,376.451042
92.882547,268,383.049048
91.320585,283,400.611035
93.894766,179,404.038155
93.436676,217,410.628153
94.409279,154,424.638908
90.363467,308,434.271675
93.579439,261,451.620468
93.946951,247,458.20246
87.275103,253,464.736408
89.197917,218,479.418772
91.176278,312,489.167647
94.217987,286,507.493329
91.49093,247,514.364584
93.302457,204,517.909812
92.09188,293,538.652693
91.781866,295,545.266714
93.534907,249,562.864733
93.644751,278,569.399683
92.571103,216,575.866569
92.292429,250,592.810992
91.350313,302,599.385978
92.458465,327,619.669442
95.383033,211,623.130593
96.546891,188,629.542429
96.123179,224,646.859192
96.3554,215,650.32735
96.38795,154,653.640365
94.73964,225,670.655854
94.554245,302,680.09745
96.580145,158,683.498545
94.603565,241,700.580094
95.607346,218,704.047252
95.121248,152,710.251899
95.93193,154,724.331715
96.823492,161,727.678762
96.416494,196,733.972491
95.321218,191,737.682868
94.490157,237,754.537211
96.20448,157,757.88726
94.85778,234,764.508287
96.395616,227,781.405669
95.367793,278,787.977651
96.318575,265,805.167298
95.342695,322,811.812348
95.244345,151,818.035012
95.059045,253,835.486898
95.216859,288,842.078899
95.972041,232,859.121413
93.844111,310,865.733432
95.182559,151,869.062462
96.260442,153,872.753823
97.011234,177,889.375953
95.515931,154,892.679962
95.148477,225,899.287976
96.439528,152,913.124572
96.506299,254,919.594461
94.222502,236,926.114396
94.454346,230,943.28903
95.552568,148,946.592037
96.521641,189,950.007146
94.683372,222,967.044655
95.83549,188,970.442747
96.694887,152,976.752491
96.063702,152,980.187619
96.454657,155,993.97617
96.603678,190,1000.252883
95.200435,224,1003.758074
97.199097,161,1020.52834
95.20325,147,1023.850364
95.714158,150,1027.137356
97.076169,197,1030.566478
96.826564,201,1047.525917
94.30966,235,1054.006816
96.438554,194,1057.43994
95.752559,186,1074.435412
94.863882,148,1077.81749
95.07699,185,1081.219587
94.172367,150,1087.412224
93.735741,189,1101.416972
93.876161,149,1104.72098
96.872398,120,1107.951921
93.95477,149,1111.239914
94.720845,182,1128.081244
93.662247,145,1131.370239
93.206198,155,1134.719287
92.495111,204,1141.240224
95.808511,177,1155.225954
96.580332,120,1158.51695
94.352674,143,1161.781922
94.719423,146,1165.079924
94.258778,177,1181.98231
93.547275,184,1185.399421
92.079841,193,1191.681139
94.689388,145,1195.037194
93.45844,154,1208.87379
92.718961,152,1212.187807
92.247068,154,1215.49882
93.496013,142,1218.80483
93.546672,146,1235.62414
93.497004,143,1238.927147
94.845608,154,1242.220144
92.472372,144,1245.492123
92.036236,149,1249.046358
92.225793,143,1262.690778
94.082187,152,1265.997789
90.922822,197,1272.317542
91.804773,145,1275.816727
92.233112,146,1289.196907
92.580945,144,1292.52894
95.934385,79,1295.623757
91.644334,146,1298.918757
90.962989,149,1302.513029
91.108305,152,1318.65272
91.512738,145,1321.955727
92.237758,177,1325.370837
91.012744,153,1328.998354
