#{"t_start": 1604053067.7583158, "env_id": "SparseMountainCar-v0"}
r,l,t
0,200,1.790632
0,200,2.376166
0,200,13.186018
0,200,13.811589
0,200,14.444165
0,200,18.853184
0,200,19.485761
0,200,23.864752
0,200,24.494327
0,200,25.114892
0,200,29.496886
0,200,30.143475
0,200,34.607544
0,200,35.227109
0,200,35.823653
0,200,40.221662
0,200,40.829215
0,200,45.288279
0,200,45.891829
0,200,46.487373
0,200,50.89539
0,200,51.522962
0,200,52.118505
0,200,56.569562
5.6,160,57.059008
2.54,194,61.48204
2.99,189,62.062569
0,200,62.66712
0,200,67.056121
3.26,186,67.615631
0,200,68.212175
0,200,72.636207
3.08,188,73.193715
0,200,77.60974
0,200,78.207285
0,200,78.801827
3.44,184,83.139781
3.08,188,83.718308
0,200,88.144342
2.63,193,88.717865
0,200,89.329423
0,200,93.771472
0,200,94.398042
2.9,190,94.990582
2.45,195,99.390593
5.78,158,99.894053
4.25,175,100.438549
0,200,104.831553
0,200,105.452118
5.87,157,109.738025
2.81,191,110.340574
2.54,194,110.92711
6.23,153,115.182988
0,200,115.809559
6.41,151,116.263973
3.08,188,120.603929
3.35,185,121.172447
6.77,147,121.608845
0,200,126.036881
2.27,197,126.628421
0,200,127.224964
2.9,190,131.588942
0,200,132.188488
2.99,189,136.597507
5.6,160,137.075943
4.7,170,137.586409
3.8,180,141.949385
3.71,181,142.516902
7.04,144,142.944292
7.22,142,147.159134
6.59,149,147.609545
6.77,147,148.047945
0,200,148.647491
3.62,182,152.964426
6.32,152,153.424845
3.44,184,153.985355
5.42,162,158.278269
2.27,197,158.867806
6.95,145,159.298198
6.95,145,163.54507
6.32,152,164.001486
6.95,145,164.446892
5.87,157,168.704772
6.41,151,169.150178
9.83,113,169.491489
6.68,148,169.951909
7.04,144,174.202784
6.5,150,174.677216
0,200,175.293778
6.41,151,179.577683
6.32,152,180.041105
0,200,180.674683
0,200,185.02665
6.5,150,185.487069
5.42,162,185.993531
3.53,183,190.351503
6.14,154,190.844953
9.47,117,191.206282
7.13,143,195.418121
9.2,120,195.785456
0,200,196.391008
9.74,114,196.734321
4.25,175,201.042248
6.23,153,201.506671
6.86,146,201.950075
5.15,165,206.23398
8.12,132,206.65036
6.5,150,207.095766
9.47,117,207.446084
6.14,154,211.761018
7.13,143,212.192411
3.53,183,212.743913
6.77,147,217.032823
6.5,150,217.483234
6.23,153,217.941651
6.05,155,222.190524
5.96,156,222.65795
6.86,146,223.115367
6.59,149,223.559773
9.11,121,227.694541
9.38,118,228.047863
5.42,162,228.531304
6.77,147,232.754153
5.87,157,233.248605
6.77,147,233.690006
9.47,117,234.040326
6.68,148,238.254166
6.41,151,238.702575
9.92,112,239.04889
9.83,113,239.386198
6.68,148,243.642077
6.59,149,244.083479
5.69,159,244.56692
5.51,161,248.843818
5.78,158,249.333265
7.31,141,249.753648
6.32,152,250.200054
6.95,145,254.469947
5.96,156,254.936372
6.86,146,255.41681
9.29,119,259.551579
7.4,140,259.96996
7.31,141,260.394347
4.79,169,260.933839
8.3,130,265.10464
5.24,164,265.593085
9.74,114,265.951412
9.29,119,266.322751
2.9,190,270.692733
5.96,156,271.170169
6.32,152,271.679633
9.65,115,275.962537
6.86,146,276.417952
9.56,116,276.77728
6.23,153,277.257717
6.77,147,287.679217
6.86,146,288.111611
10.01,111,288.446916
4.16,176,292.800885
9.38,118,293.151204
6.59,149,293.624636
9.47,117,293.975956
8.39,129,298.139751
9.11,121,298.497077
9.65,115,298.845394
9.65,115,299.189708
5.96,156,303.477617
9.74,114,303.831939
6.05,155,304.310376
9.83,113,304.649685
5.33,163,308.930587
11.27,97,309.219851
6.14,154,309.683273
9.83,113,310.021581
4.07,177,314.361537
5.15,165,314.852985
6.5,150,315.302395
10.55,105,319.42215
9.38,118,319.78448
9.38,118,320.132797
12.26,86,320.394036
9.29,119,320.755365
4.88,168,325.066295
5.15,165,325.561747
10.01,111,325.899053
8.84,124,330.120902
10.01,111,330.451203
9.74,114,330.78851
9.47,117,331.148839
9.2,120,331.520177
5.15,165,335.839114
5.78,158,336.314548
9.47,117,336.680881
4.88,168,341.04486
9.47,117,341.44122
5.51,161,341.969702
9.38,118,342.367064
12.08,88,346.467802
9.47,117,346.821124
5.51,161,347.326585
9.29,119,347.688915
8.93,123,351.861718
9.56,116,352.223048
9.74,114,352.572366
8.84,124,352.954715
9.56,116,353.31204
9.47,117,357.453816
3.44,184,358.011324
9.38,118,358.364646
5.24,164,362.652554
12.08,88,362.921799
8.48,128,363.320163
9.11,121,363.685496
3.8,180,368.025451
11.45,95,368.304706
9.38,118,368.659029
9.38,118,369.010349
9.47,117,369.355664
