#{"t_start": 1604030333.4722183, "env_id": "SparseMountainCar-v0"}
r,l,t
0,200,1.972797
0,200,2.585355
0,200,13.633427
0,200,14.241981
0,200,14.863547
0,200,19.220519
0,200,19.815061
0,200,24.209066
0,200,24.835637
0,200,25.437185
0,200,29.786149
0,200,30.384695
0,200,34.825743
0,200,35.457318
0,200,36.109913
0,200,40.454873
0,200,41.057422
0,200,45.462438
0,200,46.061984
0,200,46.67154
0,200,51.089567
0,200,51.70713
0,200,52.319688
0,200,56.659644
0,200,57.265196
0,200,61.618164
0,200,62.230722
0,200,62.829268
0,200,67.225274
0,200,67.854849
0,200,72.261865
0,200,72.867417
0,200,73.482978
3.8,180,77.803917
0,200,78.437494
0,200,82.896558
4.7,170,83.423038
0,200,84.042603
2.99,189,88.366544
3.08,188,88.966091
3.8,180,89.552625
5.24,164,93.786485
9.11,121,94.16583
0,200,94.784394
5.6,160,99.021257
2.09,199,99.638819
5.42,162,100.139275
5.78,158,104.296065
0,200,104.936648
0,200,105.566222
2.18,198,109.959226
0,200,110.569783
5.42,162,111.063232
0,200,115.436218
0,200,116.048777
0,200,120.369715
5.87,157,120.844147
5.51,161,121.341601
4.79,169,125.578463
0,200,126.180011
6.05,155,126.647437
3.17,187,130.979386
0,200,131.583937
7.13,143,132.022336
7.04,144,136.198144
5.33,163,136.690592
5.6,160,137.18304
6.32,152,141.359848
5.15,165,141.853297
6.77,147,142.304709
7.58,138,142.730097
6.32,152,146.952945
0,200,147.579516
5.69,159,148.056952
6.5,150,152.262785
5.69,159,152.755234
5.87,157,153.223661
5.96,156,157.487548
6.59,149,157.93996
6.14,154,158.40038
7.76,136,158.830772
6.86,146,163.062629
2.81,191,163.638154
2.36,196,168.100221
0,200,168.719786
6.41,151,169.188213
6.59,149,173.477122
5.96,156,173.949553
5.33,163,174.469026
0,200,178.882049
4.07,177,179.428547
3.8,180,179.988056
8.57,127,180.379413
6.05,155,184.609269
6.05,155,185.106722
6.32,152,185.572146
6.86,146,189.747953
6.68,148,190.220384
6.77,147,190.662787
3.71,181,194.962706
9.56,116,195.323034
7.49,139,195.742418
5.51,161,196.250881
6.23,153,200.458715
8.75,125,200.844067
5.78,158,201.322503
6.77,147,205.55336
8.3,130,205.956727
3.89,179,206.522242
5.33,163,207.058731
