#{"t_start": 1602777485.9253113, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-769.611904,1000,8.387932
-867.374998,1000,19.19976
-225.000301,1000,30.13464
-59.71245,1000,40.937679
-217.730873,1000,51.64306
-807.890801,1000,62.596494
8.657982,1000,73.40051
-129.970179,1000,84.19769
91.279582,1000,95.033933
149.575018,1000,105.83795
-755.128201,1000,116.728882
-89.707301,1000,127.612979
41.05883,1000,138.480473
91.926658,1000,149.53059
-880.691672,1000,160.415663
-912.100543,1000,171.195264
-849.257999,1000,182.031508
-859.321035,1000,192.881423
-867.856022,1000,203.744035
-876.333817,1000,214.599813
-336.519212,1000,225.428241
97.107911,1000,232.444064
-849.182495,1000,243.284214
-836.995038,1000,254.122411
-208.227516,1000,264.981116
-873.203829,1000,275.849586
-705.027797,1000,304.154096
-890.469432,1000,315.151478
189.290161,1000,326.069755
-871.334097,1000,336.911858
-864.972419,1000,347.72857
191.033627,1000,358.513054
-271.103439,1000,369.368829
-859.595072,1000,380.075186
98.251297,1000,391.23468
-878.71199,1000,402.46742
-213.597191,1000,413.39351
70.603261,1000,424.09889
-885.855398,1000,434.974197
-869.707837,1000,445.981344
-833.781248,1000,456.976772
-833.89349,1000,467.792507
-884.25789,1000,474.874738
-863.257453,1000,485.747116
-876.364884,1000,496.586289
-835.839269,1000,507.346358
9.898585,1000,518.366201
-866.434031,1000,529.18682
158.572754,1000,539.88341
-874.763449,1000,550.700121
-911.969222,1000,561.619375
-825.085809,1000,589.757865
98.799702,1000,600.587273
250.872572,1000,611.361991
-616.766801,1000,622.212883
-898.68609,1000,633.036431
-870.564582,1000,643.80529
-881.875983,1000,654.566335
-858.425094,1000,665.206285
-867.878189,1000,675.978073
-788.054753,1000,686.826036
-753.376817,1000,697.746266
-869.46288,1000,708.562978
-876.870212,1000,715.489931
-867.566122,1000,726.190429
-846.161528,1000,736.899716
-843.599661,1000,747.72717
-747.389127,1000,758.492122
-845.488113,1000,769.348874
-863.298646,1000,780.196836
-8.518673,1000,790.949094
184.912733,1000,801.706233
115.801144,1000,812.562009
113.585772,1000,823.452941
65.322163,1000,834.253051
189.130973,1000,845.129334
194.647109,1000,855.865966
174.656985,1000,884.093327
206.949118,1000,895.029181
193.341469,1000,905.777532
256.312422,1000,916.631353
111.436902,1000,927.407049
183.492728,1000,938.273566
84.525019,1000,949.224071
69.439772,1000,959.965585
-276.380005,1000,966.990198
-238.81618,1000,977.777611
225.551421,1000,988.587487
199.490176,1000,999.39541
152.766345,1000,1010.262904
262.03023,1000,1021.071803
74.923536,1000,1031.816247
133.923409,1000,1042.561667
127.560852,1000,1053.351035
225.925056,1000,1064.102315
-79.494407,1000,1074.888752
230.698574,1000,1085.613665
54.002834,1000,1096.525105
168.3695,1000,1107.208025
202.483534,1000,1118.030595
126.548502,1000,1128.77211
151.56557,1000,1139.585892
202.540479,1000,1167.53297
123.280863,1000,1178.518632
115.636613,1000,1189.307024
140.4624,1000,1200.067092
190.995903,1000,1207.183504
215.414684,1000,1218.101781
104.690146,1000,1228.908726
189.634014,1000,1239.778174
71.003488,1000,1250.543127
128.60602,1000,1261.328587
166.859416,1000,1272.140416
189.914003,1000,1283.221783
217.636602,1000,1294.028729
201.37287,1000,1304.943101
208.346944,1000,1315.747117
82.947255,1000,1326.444685
232.399406,1000,1337.222332
236.033997,1000,1347.978495
215.746761,1000,1358.810832
214.20909,1000,1369.651959
298.684524,1000,1380.47453
177.351535,1000,1391.353744
212.026117,1000,1402.185104
260.140356,1000,1412.934431
221.20957,1000,1423.722823
283.095544,1000,1430.750364
189.160381,1000,1458.964051
197.469669,1000,1469.883305
194.535472,1000,1480.810372
197.482691,1000,1491.583137
216.399038,1000,1502.340277
221.153037,1000,1513.238045
245.69188,1000,1524.058663
196.897105,1000,1534.994519
205.738448,1000,1545.881545
213.875574,1000,1556.729507
221.668042,1000,1567.507156
244.317077,1000,1578.389299
72.38525,1000,1589.168901
246.151278,1000,1600.10085
199.976395,1000,1610.842364
254.274849,1000,1621.621979
226.261179,1000,1632.363479
303.900383,1000,1643.336446
250.006214,1000,1654.220542
273.602383,1000,1665.077294
248.059766,1000,1676.061002
273.987771,1000,1682.971354
184.1331,1000,1693.627905
219.329889,1000,1704.386022
307.145316,1000,1715.292579
355.817233,1000,1726.141518
409.281925,1000,1754.439193
320.881016,1000,1765.30278
514.550135,1000,1776.080428
395.302052,1000,1786.946946
544.111394,1000,1797.938468
377.937103,1000,1808.702443
376.870523,1000,1819.58068
461.369431,1000,1830.333915
344.114632,1000,1841.146719
510.68706,1000,1851.949758
662.361056,1000,1862.675647
614.497234,1000,1873.513844
765.819515,1000,1884.298328
709.030647,1000,1895.087695
552.827263,1000,1905.96691
715.325322,1000,1916.873467
660.733158,1000,1923.724246
754.803982,1000,1934.581975
757.4631,1000,1945.464118
720.743403,1000,1956.202703
764.411943,1000,1966.995976
763.548066,1000,1977.907418
783.493351,1000,1988.608891
693.907338,1000,1999.452947
328.905557,1000,2010.337045
775.017728,1000,2038.546825
782.758913,1000,2049.352794
747.106638,1000,2060.1197
762.709067,1000,2070.963755
677.128073,1000,2081.910354
713.831811,1000,2092.816911
205.283341,1000,2103.641436
784.397304,1000,2114.44057
465.096293,1000,2125.276813
759.206122,1000,2135.990983
768.008272,1000,2146.778396
424.359441,1000,2157.707416
764.754594,1000,2164.84629
354.779246,1000,2175.778239
817.79568,1000,2186.60374
689.915002,1000,2197.362833
738.197494,1000,2208.411973
695.900668,1000,2219.1613
680.460275,1000,2229.976058
648.893082,1000,2240.784958
743.583325,1000,2251.622177
778.857139,1000,2262.330488
890.487664,1000,2273.153059
886.943094,1000,2283.866252
889.867988,1000,2294.60093
535.091128,1000,2305.408853
884.742243,1000,2333.703598
885.515345,1000,2344.484175
889.300398,1000,2355.349716
882.425668,1000,2366.184983
885.231985,1000,2377.004625
887.107927,1000,2387.43949
652.072069,1000,2396.7044
881.340216,1000,2405.913644
891.222475,1000,2412.144288
886.308951,1000,2421.417011
883.527194,1000,2430.789346
886.240381,1000,2440.089414
402.508594,1000,2449.309401
891.057562,1000,2458.646578
888.712792,1000,2467.966178
886.879358,1000,2477.239877
879.818326,1000,2486.454005
700.826755,1000,2495.772627
889.165869,1000,2505.025818
887.60444,1000,2514.407919
888.310177,1000,2523.648415
888.580554,1000,2532.990474
889.422617,1000,2542.219251
888.556672,1000,2551.454864
887.637424,1000,2560.665085
576.930336,1000,2587.433419
883.877338,1000,2596.708094
827.722508,1000,2606.070663
885.775896,1000,2615.335574
888.871357,1000,2621.532038
646.506337,1000,2630.858473
890.341564,1000,2640.188814
882.905261,1000,2649.415638
887.54686,1000,2658.772347
888.418898,1000,2668.150542
890.769185,1000,2677.475024
672.219636,1000,2686.670596
885.989372,1000,2695.845659
887.898474,1000,2705.211159
674.671594,1000,2714.572751
889.129389,1000,2723.905046
681.778777,1000,2733.264685
885.737903,1000,2742.610652
888.122918,1000,2752.049395
883.196164,1000,2761.486185
573.052277,1000,2769.507896
881.578744,1000,2777.507145
502.133289,1000,2785.509325
249.972291,1000,2793.560333
475.786854,1000,2801.549816
597.448246,1000,2807.107591
698.810197,1000,2832.290919
430.761795,1000,2840.3097
885.998793,1000,2848.286488
886.974076,1000,2856.278901
717.575132,1000,2864.331863
882.54233,1000,2872.266657
887.680755,1000,2880.234656
450.831781,1000,2888.337424
504.764623,1000,2896.475349
247.111522,1000,2904.502919
726.816898,1000,2912.456269
411.382228,1000,2920.591264
579.010991,1000,2928.504573
887.010449,1000,2936.538003
715.183547,1000,2944.644678
829.954408,1000,2952.670295
888.001915,1000,2960.714467
888.467139,1000,2968.840674
532.874501,1000,2976.825274
885.487315,1000,2984.869448
882.453229,1000,2992.799358
890.419486,1000,2998.357132
885.440501,1000,3006.372983
889.289079,1000,3014.401531
888.353765,1000,3022.390037
884.570948,1000,3030.420177
885.241646,1000,3056.138677
887.079545,1000,3064.067611
891.733079,1000,3071.993617
888.008536,1000,3080.092479
888.00658,1000,3088.103447
888.459944,1000,3096.18473
882.449254,1000,3104.177143
586.929043,1000,3112.31214
511.193462,1000,3120.322131
889.138928,1000,3128.329192
886.395592,1000,3136.422194
883.192189,1000,3144.357965
888.817675,1000,3152.393348
765.78401,1000,3160.345721
884.366106,1000,3168.410403
891.331533,1000,3176.329572
762.725115,1000,3181.810195
889.497935,1000,3189.953003
626.667277,1000,3197.93272
887.465805,1000,3205.88021
603.45338,1000,3213.803285
638.617341,1000,3221.795699
881.642923,1000,3229.7803
888.027165,1000,3237.817636
883.910083,1000,3245.843253
882.995273,1000,3271.014862
882.110647,1000,3279.03755
878.717883,1000,3287.074886
880.378492,1000,3295.207928
888.238016,1000,3303.206201
882.576295,1000,3311.180059
880.857724,1000,3319.138292
878.90073,1000,3327.129728
700.595531,1000,3335.194409
489.928831,1000,3343.260067
220.827028,1000,3351.305216
884.825803,1000,3359.378686
724.60782,1000,3364.894466
877.41439,1000,3372.987468
877.281003,1000,3381.00039
880.188753,1000,3388.906863
887.275867,1000,3396.8065
884.495377,1000,3404.817469
826.662161,1000,3412.815742
561.320737,1000,3420.785694
884.345308,1000,3428.999793
883.888738,1000,3436.954118
883.155726,1000,3445.031495
886.477385,1000,3453.058089
885.766979,1000,3461.065152
