#{"t_start": 1602691920.8182132, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-978.980356,1000,8.002276
-733.615234,1000,18.486616
-969.681826,1000,28.907091
-959.001417,1000,39.321809
-934.469799,1000,49.689236
-898.402829,1000,60.158292
-815.846479,1000,70.640515
-906.747437,1000,81.172254
-844.246418,1000,91.591418
-820.727756,1000,102.020942
-830.933365,1000,112.434673
-881.049929,1000,122.877168
-884.824217,1000,133.382497
-849.488209,1000,143.826993
192.540304,1000,154.270218
80.92351,1000,164.758755
-870.042322,1000,175.23436
-594.749001,1000,185.788957
-670.176114,1000,196.217769
-849.998391,1000,206.580191
-893.770416,1000,217.043802
-692.281229,1000,223.855996
60.468122,1000,234.308908
-863.357691,1000,244.775424
-887.200343,1000,255.194094
-752.885695,1000,265.707653
-869.150379,1000,293.016532
-857.525815,1000,303.650201
-596.986677,1000,314.13978
18.250853,1000,324.628318
-862.445224,1000,335.273344
-870.482344,1000,345.850961
-693.949039,1000,356.36928
-833.155588,1000,366.820783
-867.971299,1000,377.424584
-866.073286,1000,387.900108
191.623989,1000,398.517693
-848.924883,1000,409.040261
-871.349809,1000,419.687411
-883.525558,1000,430.146921
-504.313445,1000,440.672173
-860.837171,1000,451.276346
-333.856644,1000,458.104767
-900.098746,1000,468.693395
-873.90969,1000,479.196813
-505.43201,1000,489.747407
-901.184971,1000,500.314321
176.650504,1000,510.802344
-114.024949,1000,521.246442
-894.629447,1000,531.727766
-851.43176,1000,542.282364
-850.014043,1000,569.231511
-852.977072,1000,579.675703
-881.376271,1000,590.115196
-879.110275,1000,600.559433
-864.463493,1000,611.14525
-830.475339,1000,621.554951
-850.961087,1000,632.037989
-790.217932,1000,642.390402
-860.020993,1000,652.970254
-867.554053,1000,663.431767
-855.519531,1000,673.99651
-870.963334,1000,684.599488
-849.256633,1000,691.332225
-871.981823,1000,701.804005
-852.621962,1000,712.293115
-864.318719,1000,722.844709
-910.31212,1000,733.435636
-807.161936,1000,743.911161
-850.616979,1000,754.464176
-1.060154,1000,765.183923
123.603555,1000,775.724245
292.283175,1000,786.168742
67.233007,1000,796.593624
204.052819,1000,807.155228
144.415413,1000,817.733553
88.851073,1000,828.298158
66.481784,1000,855.452879
116.599157,1000,866.203655
118.217241,1000,876.770822
90.54909,1000,887.280378
-287.498831,1000,897.91475
48.752297,1000,908.391275
188.144107,1000,918.86117
118.296723,1000,929.228596
125.313137,1000,935.941515
249.625981,1000,946.407031
-285.061927,1000,957.156472
233.136828,1000,967.632999
150.741082,1000,978.268142
113.534174,1000,988.793711
246.449725,1000,999.199211
128.616663,1000,1009.634699
110.460492,1000,1020.02381
-122.167516,1000,1030.430273
130.920709,1000,1040.992932
206.087531,1000,1051.495847
250.394295,1000,1062.029424
186.965291,1000,1072.500687
110.14204,1000,1083.092317
229.769507,1000,1093.658018
171.596224,1000,1104.113525
226.247231,1000,1131.097691
243.370765,1000,1141.511004
262.127159,1000,1151.968837
208.321029,1000,1162.401324
191.09987,1000,1169.123434
197.21243,1000,1179.48858
190.610913,1000,1189.819974
98.670415,1000,1200.373938
169.790422,1000,1210.814432
147.466207,1000,1221.234402
221.943924,1000,1231.708073
160.939235,1000,1242.107529
154.341813,1000,1252.659092
104.060839,1000,1263.263735
161.261549,1000,1273.905162
134.664259,1000,1284.318142
123.552076,1000,1294.921013
251.338804,1000,1305.433571
340.712052,1000,1315.932798
172.39239,1000,1326.391307
362.186617,1000,1336.798853
282.36463,1000,1347.164278
213.00685,1000,1357.778286
285.342556,1000,1368.436977
252.365066,1000,1379.075421
245.985054,1000,1386.093802
233.074177,1000,1413.254888
262.330548,1000,1423.741423
258.537327,1000,1434.334144
375.820526,1000,1444.82168
246.822548,1000,1455.300942
445.675889,1000,1465.844529
362.411967,1000,1476.272989
282.037999,1000,1486.840598
372.801958,1000,1497.320993
315.150321,1000,1507.852568
512.01386,1000,1518.425177
430.341582,1000,1529.026817
774.39159,1000,1539.505114
770.828045,1000,1550.137781
766.534431,1000,1560.72209
661.206142,1000,1571.419573
415.508174,1000,1581.944558
498.446715,1000,1592.474878
464.666298,1000,1602.943397
617.388277,1000,1613.402205
370.305461,1000,1623.953799
655.128525,1000,1630.850069
195.834181,1000,1641.680716
714.587097,1000,1652.195915
291.277244,1000,1662.743505
635.10485,1000,1673.231767
445.045779,1000,1700.590398
535.141856,1000,1711.096951
610.632911,1000,1721.611258
558.138375,1000,1732.101486
337.567936,1000,1742.687111
668.09655,1000,1753.241443
567.025616,1000,1763.907141
734.359731,1000,1774.454486
523.142985,1000,1785.073141
733.311288,1000,1795.579372
880.64153,1000,1806.136971
889.805962,1000,1816.717342
326.638163,1000,1827.225898
319.901443,1000,1837.745192
884.11959,1000,1848.145648
886.534416,1000,1858.73557
624.403804,1000,1865.536754
887.810315,1000,1876.028527
188.80242,1000,1886.640567
686.799331,1000,1897.240723
735.798274,1000,1907.673209
