#{"t_start": 1602631662.0565655, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-121.689846,1000,9.094258
-266.677927,1000,21.097159
-219.409135,1000,33.006975
-67.39845,1000,45.00487
-121.441897,1000,57.017779
83.93726,1000,69.033692
-100.968618,1000,81.087638
-254.189181,1000,93.016471
113.658574,1000,104.954312
-1.473358,1000,116.93219
-848.812282,1000,128.95711
-240.021816,1000,140.944997
164.504388,1000,152.980927
192.34854,1000,164.96481
93.369612,1000,176.991732
73.931732,1000,188.962604
137.92938,1000,200.98352
8.604553,1000,213.049477
-19.050438,1000,225.092414
164.724692,1000,237.17839
34.17659,1000,249.319415
159.73526,1000,256.976369
-52.653777,1000,268.931226
63.537315,1000,280.830031
144.633623,1000,292.865962
156.365372,1000,304.849844
108.808511,1000,335.427613
32.274606,1000,347.460541
-10.176606,1000,359.348336
168.542988,1000,371.302192
3.219522,1000,383.318104
205.582756,1000,395.237929
7.550736,1000,407.245833
131.782929,1000,419.24473
56.109777,1000,431.163554
44.401065,1000,443.072369
35.266651,1000,454.914123
199.627643,1000,466.798916
32.578553,1000,478.649678
233.149608,1000,490.572505
217.201232,1000,502.522357
-811.805739,1000,514.469207
-529.122428,1000,522.166197
-390.164257,1000,534.131062
-131.452808,1000,546.015856
70.666927,1000,558.018756
308.615362,1000,570.085714
307.112193,1000,581.982518
74.44926,1000,593.984417
77.866156,1000,605.926262
-113.741014,1000,617.980208
132.907537,1000,648.511935
394.529158,1000,660.514836
-580.411301,1000,672.483705
2.553221,1000,684.398525
9.301556,1000,696.445466
187.803252,1000,708.365291
308.733648,1000,720.373195
353.647518,1000,732.35908
233.877814,1000,744.283909
-502.200656,1000,756.194726
486.369886,1000,768.032476
-393.079258,1000,779.999344
457.184103,1000,787.606251
480.307401,1000,799.545094
463.810576,1000,811.48794
334.103172,1000,823.407764
386.189791,1000,835.303568
749.488267,1000,847.256422
387.99985,1000,859.24631
443.565423,1000,871.187155
609.560855,1000,883.164031
548.51914,1000,895.240999
448.752035,1000,907.1348
436.313025,1000,919.032605
30.124602,1000,930.96444
393.262002,1000,942.907286
372.630482,1000,973.370951
82.871373,1000,985.342823
507.841261,1000,997.383758
704.928979,1000,1009.277559
463.63666,1000,1021.223407
611.101325,1000,1033.177263
554.762471,1000,1045.183166
769.056355,1000,1057.186067
257.720866,1000,1064.773958
338.043881,1000,1076.678768
320.701065,1000,1088.648638
438.83842,1000,1100.602494
645.103555,1000,1112.574367
5.377799,1000,1124.497194
80.582302,1000,1136.436036
752.959404,1000,1148.369873
761.467556,1000,1160.290699
507.132257,1000,1172.284591
580.817788,1000,1184.350549
765.215878,1000,1196.280382
720.422203,1000,1208.191199
708.828633,1000,1220.231133
597.416092,1000,1232.161968
767.110165,1000,1244.277971
760.74997,1000,1256.231827
622.036674,1000,1286.934709
492.213326,1000,1298.924597
708.830048,1000,1310.818398
711.129363,1000,1322.737222
630.143581,1000,1330.381164
711.599271,1000,1342.244938
757.059301,1000,1354.198793
224.603871,1000,1366.155652
271.060379,1000,1378.079481
593.827015,1000,1389.991298
213.014124,1000,1402.019221
617.948897,1000,1413.978081
213.938357,1000,1425.958962
721.249239,1000,1437.793709
679.054848,1000,1449.725545
415.374549,1000,1461.692412
342.575288,1000,1473.716333
212.23009,1000,1485.704218
356.745588,1000,1497.577
216.691293,1000,1509.437771
277.608795,1000,1521.349589
316.72184,1000,1533.08925
455.865338,1000,1545.076136
424.494939,1000,1557.021985
415.313986,1000,1569.049907
398.42514,1000,1576.642803
405.749455,1000,1606.66907
144.904079,1000,1618.526839
205.640563,1000,1630.384607
334.67035,1000,1642.340465
276.879123,1000,1654.155194
-359.694449,1000,1666.111052
402.41276,1000,1677.988838
124.672021,1000,1689.929682
285.643511,1000,1701.857514
592.33732,1000,1713.575156
669.020918,1000,1725.447938
260.806128,1000,1737.28869
771.780908,1000,1749.138452
826.025577,1000,1760.947176
573.303378,1000,1772.786928
725.71379,1000,1784.628681
534.112611,1000,1796.527488
885.219745,1000,1808.414284
883.244698,1000,1820.183971
712.621229,1000,1831.980684
831.701624,1000,1843.912519
715.783788,1000,1851.40132
885.688078,1000,1863.263092
571.832943,1000,1875.089833
827.419609,1000,1886.914571
508.837863,1000,1898.797362
495.154866,1000,1929.18696
778.420751,1000,1940.916612
888.149422,1000,1952.832433
773.822579,1000,1964.635152
886.327437,1000,1976.427861
667.789672,1000,1988.300643
671.545876,1000,2000.216464
885.609783,1000,2012.04821
763.48731,1000,2024.031091
873.107338,1000,2035.874847
888.156675,1000,2047.648539
882.669584,1000,2059.415225
886.263613,1000,2071.324039
593.548344,1000,2083.203827
564.439029,1000,2095.071605
884.424734,1000,2106.876326
744.414928,1000,2114.592333
882.523734,1000,2126.596234
630.826724,1000,2138.498043
888.467893,1000,2150.380834
678.305088,1000,2162.255617
880.711339,1000,2174.299555
886.567353,1000,2186.033211
890.144002,1000,2197.833927
884.722488,1000,2209.785781
883.973635,1000,2239.968191
886.388595,1000,2251.84798
884.858644,1000,2263.688732
885.167536,1000,2275.46843
885.710692,1000,2287.330202
879.613806,1000,2299.20899
888.479659,1000,2310.945648
877.616923,1000,2322.805418
469.495419,1000,2334.732249
273.022215,1000,2346.681101
285.98724,1000,2358.45279
512.537512,1000,2370.338585
496.757667,1000,2377.907458
717.198331,1000,2389.7362
822.610275,1000,2401.58496
