#{"t_start": 1602626945.0111191, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-503.252339,1000,4.724291
-766.308008,1000,8.041303
-619.67906,1000,37.204787
-472.493788,1000,40.498779
-503.013082,1000,51.143445
-328.493696,1000,54.422423
-125.450662,1000,65.073095
-176.225797,1000,68.37109
-565.2229,1000,79.020764
-373.390757,1000,82.345781
-269.488959,1000,93.011467
-195.172876,1000,96.320472
-95.553924,1000,107.064229
-94.799241,1000,110.429285
-69.367591,1000,121.117992
-21.121794,1000,124.433002
50.764968,1000,135.073666
-208.456622,1000,138.43672
40.722096,1000,149.169466
38.019976,1000,152.511501
9.413277,1000,163.198206
113.36802,1000,166.531233
52.491241,1000,177.335045
112.55453,1000,180.724123
138.294497,1000,191.420836
106.526682,1000,194.756866
81.589503,1000,205.467592
130.174778,1000,208.883695
191.754098,1000,219.59242
32.418326,1000,222.886411
204.102996,1000,233.69923
194.483564,1000,237.056279
276.918454,1000,247.780017
99.132588,1000,251.157084
196.299784,1000,261.858803
223.423699,1000,265.210847
119.17903,1000,275.936588
42.523552,1000,279.328668
228.530998,1000,290.088439
32.916615,1000,293.471512
160.792087,1000,304.22728
185.945815,1000,307.595338
172.229739,1000,310.932368
126.633229,1000,321.592049
165.276371,1000,324.900053
242.137658,1000,335.592763
180.351905,1000,338.921786
107.885314,1000,349.610493
240.302851,1000,353.002573
208.257177,1000,363.760343
4.265637,1000,367.089367
101.397551,1000,377.812105
147.35255,1000,381.170155
-461.132916,1000,391.844848
18.291621,1000,395.163862
230.058693,1000,405.980685
152.621368,1000,409.340736
-272.592759,1000,420.063474
337.72876,1000,423.41752
355.362617,1000,434.029157
312.439517,1000,437.399218
224.100114,1000,448.136969
158.888515,1000,451.57409
-69.632737,1000,1891.188189
295.157017,1000,1894.478177
288.387544,1000,1905.006739
290.144728,1000,1908.346772
67.499845,1000,1918.927381
177.776777,1000,1922.297441
168.565129,1000,1932.975137
254.919044,1000,1936.293151
358.711682,1000,1946.881767
229.815296,1000,1950.196777
-414.510875,1000,1960.885484
274.374696,1000,1964.198492
184.226193,1000,1974.815134
136.113233,1000,1978.133147
192.588108,1000,1988.776813
276.379181,1000,1992.103834
352.374909,1000,2002.825571
240.03973,1000,2006.158598
262.872562,1000,2016.742209
365.371654,1000,2020.056219
293.759612,1000,2030.770949
282.267284,1000,2034.081956
225.623001,1000,2037.435001
-597.568611,1000,2048.108695
228.862502,1000,2051.412695
-446.474175,1000,2062.189481
223.824261,1000,2065.527513
298.249266,1000,2076.248249
302.436239,1000,2079.576271
288.232573,1000,2090.188909
307.570991,1000,2093.531945
341.487682,1000,2104.248677
244.814704,1000,2107.574697
474.750503,1000,2118.185333
401.90948,1000,2121.521363
346.166541,1000,2132.230088
394.214451,1000,2135.539093
194.589142,1000,2146.242814
333.409154,1000,2149.590854
300.021158,1000,2160.241526
308.212815,1000,2163.60458
376.202111,1000,2192.817108
231.780567,1000,2196.086078
395.341039,1000,2206.794803
172.978953,1000,2210.228921
372.768436,1000,2220.925635
446.767565,1000,2224.279682
507.142999,1000,2234.946368
362.053218,1000,2238.243362
544.916031,1000,2248.917055
432.530074,1000,2252.300128
414.141905,1000,2263.108943
546.7799,1000,2266.391926
449.813304,1000,2277.043598
657.908972,1000,2280.336588
407.403987,1000,2291.07434
338.789913,1000,2294.409369
670.076354,1000,2305.171141
656.452304,1000,2308.48415
663.453129,1000,2319.195877
599.449678,1000,2322.517895
469.675968,1000,2333.153553
455.541287,1000,2336.494588
657.995987,1000,2347.161274
648.783017,1000,2350.48229
286.179782,1000,2353.915408
665.116844,1000,2364.591103
515.249026,1000,2368.120308
450.239361,1000,2378.96916
498.644953,1000,2382.356236
717.211836,1000,2393.070966
206.537918,1000,2396.426013
758.813267,1000,2407.201799
764.727863,1000,2410.576864
453.763199,1000,2421.155471
610.192571,1000,2424.489498
600.947737,1000,2435.146176
769.96282,1000,2438.494217
650.724888,1000,2449.197937
509.448669,1000,2452.547979
711.295476,1000,2463.214666
758.543237,1000,2466.564708
718.962578,1000,2477.231395
575.814814,1000,2480.560418
451.106255,1000,2491.292164
720.582753,1000,2494.644209
348.851543,1000,2505.372952
669.171039,1000,2508.694968
500.41926,1000,2519.279581
618.192848,1000,2522.59359
305.756568,1000,2533.284299
727.487038,1000,2536.717417
666.503795,1000,2547.373093
769.193952,1000,2550.67209
681.499674,1000,2561.345782
512.544108,1000,2564.648782
709.307253,1000,2575.442584
615.982448,1000,2578.747586
349.944967,1000,2589.371233
716.861816,1000,2592.670229
767.769441,1000,2603.342921
764.754072,1000,2606.703973
771.767792,1000,2617.288586
213.578125,1000,2620.743723
725.155741,1000,2631.38839
721.714738,1000,2634.704402
672.967848,1000,2645.381098
685.498569,1000,2648.746153
721.030172,1000,2652.131227
712.000563,1000,2662.744867
769.41694,1000,2666.105918
614.907733,1000,2676.800631
759.961419,1000,2680.144667
507.567111,1000,2690.798343
771.644078,1000,2694.129368
768.84997,1000,2704.752014
774.357104,1000,2708.110064
653.492923,1000,2718.717698
723.565887,1000,2722.063735
714.732651,1000,2732.712406
771.396528,1000,2736.090474
725.760215,1000,2746.778179
721.865952,1000,2750.157248
726.538229,1000,2760.809922
667.600978,1000,2764.166971
727.189151,1000,2774.907725
677.233407,1000,2778.253764
772.011073,1000,2788.826365
631.07274,1000,2792.211439
604.606964,1000,2802.834086
887.101957,1000,2806.144092
785.779442,1000,2816.897858
711.118851,1000,2820.224879
669.271064,1000,2830.815497
682.605249,1000,2834.107487
665.411965,1000,2844.63905
679.302058,1000,2848.000103
402.924778,1000,2858.632759
721.859327,1000,2861.942765
835.71976,1000,2872.560407
765.904268,1000,2875.909448
883.498878,1000,2886.483051
614.33936,1000,2889.853111
834.507298,1000,2919.413956
772.137125,1000,2922.764999
629.250372,1000,2933.429684
791.546389,1000,2936.79474
511.842604,1000,2947.67362
292.017723,1000,2951.053689
521.479466,1000,2961.850494
749.596502,1000,2965.147488
891.496126,1000,2968.528559
679.320043,1000,2979.229277
791.109148,1000,2982.540283
524.190612,1000,2993.225987
729.713691,1000,2996.573027
731.97363,1000,3007.229704
838.334236,1000,3010.600766
888.361911,1000,3021.25344
891.533532,1000,3024.64452
885.326179,1000,3035.297194
888.821202,1000,3038.644233
887.953309,1000,3049.355962
890.203177,1000,3052.670972
890.012417,1000,3063.333654
790.847516,1000,3066.706717
722.4891,1000,3077.364397
890.412868,1000,3080.68341
884.33446,1000,3091.354101
888.66255,1000,3094.70014
884.085837,1000,3105.377836
553.615189,1000,3108.757906
883.304411,1000,3119.451617
890.318545,1000,3122.795654
889.706894,1000,3133.458338
887.102178,1000,3136.779353
887.799429,1000,3147.530116
887.912634,1000,3150.935208
631.042167,1000,3161.539839
890.956144,1000,3164.885878
889.151209,1000,3175.590599
891.52737,1000,3178.915618
888.963217,1000,3189.619339
888.862627,1000,3192.986396
889.283108,1000,3203.645076
888.972108,1000,3206.95208
887.302631,1000,3217.640786
888.306557,1000,3220.960801
886.945851,1000,3228.809929
889.148552,1000,3232.4122
890.55241,1000,3240.498544
888.015612,1000,3243.856593
887.092255,1000,3247.165598
891.331796,1000,3254.993707
663.561739,1000,3258.292703
892.197464,1000,3266.202887
886.431012,1000,3269.5209
888.599753,1000,3277.387044
887.572015,1000,3280.770116
888.06754,1000,3288.591219
890.849408,1000,3291.901225
891.440804,1000,3299.738342
887.828854,1000,3303.080377
888.205937,1000,3311.000569
890.919002,1000,3314.464716
890.175198,1000,3322.351878
889.354493,1000,3325.688908
887.667629,1000,3333.544042
891.906483,1000,3336.843037
573.911266,1000,3344.674149
887.812863,1000,3348.025192
889.591037,1000,3355.913356
892.377737,1000,3359.217356
892.000667,1000,3367.113528
888.342472,1000,3370.448556
886.697063,1000,3378.352734
889.833903,1000,3381.760829
889.975644,1000,3389.730066
888.433054,1000,3393.11514
889.02719,1000,3401.044342
886.204834,1000,3404.398387
888.205912,1000,3412.340599
888.265852,1000,3415.637594
887.199971,1000,3423.481718
887.594446,1000,3426.827755
891.309927,1000,3434.729932
891.11938,1000,3438.055953
888.080247,1000,3445.99316
889.857598,1000,3449.267134
887.62433,1000,3457.160302
888.76755,1000,3460.514348
364.729593,1000,3468.449555
891.345924,1000,3471.782581
890.113718,1000,3479.674748
888.546953,1000,3483.014781
888.263543,1000,3486.376835
890.301224,1000,3494.288019
890.388695,1000,3497.652073
890.671236,1000,3505.59729
887.554827,1000,3508.894283
892.475521,1000,3516.855513
890.483307,1000,3520.157512
888.327746,1000,3527.986621
891.753941,1000,3531.501815
889.471644,1000,3539.369959
