#{"t_start": 1604686490.310552, "env_id": "CartPole-v1"}
r,l,t
26.0,26,1.664113
10.0,10,1.700247
28.0,28,1.78521
13.0,13,1.825251
48.0,48,1.989318
13.0,13,2.031312
19.0,19,2.086977
26.0,26,2.166081
21.0,21,2.228583
14.0,14,2.279366
15.0,15,2.340892
13.0,13,2.393627
21.0,21,2.453199
24.0,24,2.526444
17.0,17,2.57625
17.0,17,2.624103
52.0,52,2.798913
10.0,10,2.828211
27.0,27,2.906338
21.0,21,2.966887
17.0,17,3.01767
11.0,11,3.049897
19.0,19,3.10361
19.0,19,3.157322
74.0,74,5.674977
17.0,17,5.724784
58.0,58,5.918149
24.0,24,5.999206
21.0,21,6.061708
29.0,29,6.147648
15.0,15,6.195501
28.0,28,6.279487
12.0,12,6.318552
13.0,13,6.373241
20.0,20,6.428906
13.0,13,6.466995
31.0,31,6.557817
19.0,19,6.64083
15.0,15,6.707235
9.0,9,6.744345
13.0,13,6.782433
21.0,21,6.843958
27.0,27,6.921109
54.0,54,7.080294
80.0,80,9.66631
21.0,21,9.726858
55.0,55,9.897762
34.0,34,10.003234
11.0,11,10.036438
32.0,32,10.129215
57.0,57,10.301095
26.0,26,10.376292
52.0,52,10.530594
40.0,40,10.645832
54.0,54,10.80697
17.0,17,10.856776
20.0,20,10.914395
231.0,231,13.994569
75.0,75,14.216253
217.0,217,14.862757
42.0,42,17.244666
98.0,98,17.552293
108.0,108,17.889217
75.0,75,18.11774
36.0,36,18.23786
23.0,23,18.305245
87.0,87,18.554276
160.0,160,21.389324
88.0,88,21.73699
115.0,115,22.118838
65.0,65,22.308297
72.0,72,22.553421
66.0,66,22.749717
139.0,139,25.41972
104.0,104,25.718557
151.0,151,26.171696
94.0,94,26.448071
176.0,176,29.269446
133.0,133,29.681568
204.0,204,30.390574
219.0,219,33.437542
183.0,183,33.996153
227.0,227,36.921047
197.0,197,37.509933
335.0,335,40.892848
219.0,219,41.537399
220.0,220,44.591203
500.0,500,48.38917
