#{"t_start": 1604686603.1050854, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.548876
13.0,13,1.586962
19.0,19,1.649464
31.0,31,1.746147
33.0,33,1.847713
40.0,40,1.963927
42.0,42,2.088931
25.0,25,2.173895
13.0,13,2.218817
26.0,26,2.303782
19.0,19,2.35847
12.0,12,2.393628
16.0,16,2.440505
10.0,10,2.470778
21.0,21,2.531327
15.0,15,2.578205
30.0,30,2.664144
9.0,9,2.689536
13.0,13,2.726646
29.0,29,2.810632
39.0,39,2.92294
15.0,15,2.966887
18.0,18,3.021577
12.0,12,21.240882
23.0,23,21.306314
17.0,17,21.355144
53.0,53,21.513351
48.0,48,21.650074
67.0,67,21.844416
24.0,24,21.922543
33.0,33,22.023132
18.0,18,22.075868
20.0,20,22.140324
20.0,20,22.202826
55.0,55,22.37959
11.0,11,22.415723
53.0,53,22.58858
15.0,15,22.632526
28.0,28,22.712606
12.0,12,22.762413
38.0,38,41.053009
11.0,11,41.08426
67.0,67,41.333291
31.0,31,41.422162
16.0,16,41.46806
61.0,61,41.647754
69.0,69,41.846002
73.0,73,42.062805
18.0,18,42.124331
31.0,31,42.217107
24.0,24,42.287422
48.0,48,42.427074
36.0,36,42.540359
51.0,51,60.718648
75.0,75,61.034087
13.0,13,61.072174
183.0,183,61.617113
70.0,70,61.833916
89.0,89,62.091737
111.0,111,80.42042
112.0,112,80.761251
151.0,151,81.318885
55.0,55,81.513227
99.0,99,81.806205
69.0,69,99.97375
180.0,180,100.509899
71.0,71,100.730609
139.0,139,101.142731
90.0,90,119.446023
165.0,165,119.953851
87.0,87,120.217532
102.0,102,120.517345
108.0,108,120.828878
85.0,85,139.219087
116.0,116,139.559918
149.0,149,139.989618
247.0,247,158.841755
163.0,163,159.327122
127.0,127,159.717759
80.0,80,160.016596
131.0,131,178.4654
118.0,118,178.806231
243.0,243,179.544535
148.0,148,197.897633
86.0,86,198.177916
146.0,146,198.615429
263.0,263,203.120449
166.0,166,203.597026
276.0,276,204.49842
185.0,185,208.719253
130.0,130,209.094264
174.0,174,209.607951
167.0,167,213.825855
194.0,194,214.508491
128.0,128,214.867877
231.0,231,219.216642
296.0,296,220.092646
214.0,214,224.533211
119.0,119,224.863299
168.0,168,225.349642
184.0,184,229.66325
