#{"t_start": 1604698352.9207995, "env_id": "CartPole-v1"}
r,l,t
9.0,9,1.91861
18.0,18,1.981112
11.0,11,2.016269
23.0,23,2.091976
11.0,11,2.129086
29.0,29,2.22823
26.0,26,2.308819
21.0,21,2.376711
18.0,18,2.448979
17.0,17,2.521754
38.0,38,2.649219
16.0,16,2.71223
22.0,22,2.789888
11.0,11,2.823092
46.0,46,2.991574
13.0,13,3.036497
13.0,13,3.086305
10.0,10,3.121461
16.0,16,3.180056
43.0,43,3.327522
30.0,30,3.425181
10.0,10,3.456432
15.0,15,3.504285
37.0,37,3.622452
32.0,32,14.802505
20.0,20,14.866959
23.0,23,14.954853
25.0,25,15.042747
13.0,13,15.089622
47.0,47,15.247831
24.0,24,15.327911
43.0,43,15.479283
21.0,21,15.548621
18.0,18,15.611123
15.0,15,15.657529
42.0,42,15.802571
29.0,29,15.896324
34.0,34,16.006678
59.0,59,16.213716
24.0,24,16.310399
33.0,33,16.418331
68.0,68,20.833023
48.0,48,20.996622
105.0,105,21.33749
56.0,56,21.560153
46.0,46,21.727657
53.0,53,21.910786
55.0,55,22.091492
105.0,105,26.480605
67.0,67,26.696939
42.0,42,26.839052
64.0,64,27.05492
102.0,102,27.409423
138.0,138,27.858735
159.0,159,32.611732
231.0,231,33.397456
188.0,188,34.050907
237.0,237,38.92201
139.0,139,39.370774
346.0,346,44.612435
500.0,500,50.344546
204.0,204,51.063899
500.0,500,56.734966
500.0,500,62.555212
500.0,500,68.290785
500.0,500,74.192784
500.0,500,79.994497
491.0,491,85.623089
385.0,385,91.058393
500.0,500,96.688044
302.0,302,97.782917
500.0,500,103.577252
410.0,410,108.95989
500.0,500,114.843488
500.0,500,120.543735
500.0,500,126.156297
442.0,442,131.678402
500.0,500,137.362957
287.0,287,138.352901
315.0,315,143.605303
267.0,267,148.495694
262.0,262,149.34646
296.0,296,154.480292
343.0,343,155.610323
500.0,500,161.321654
500.0,500,166.998414
302.0,302,172.36228
381.0,381,177.608403
493.0,493,183.431444
500.0,500,189.101414
500.0,500,194.899181
484.0,484,200.478823
500.0,500,206.222632
500.0,500,207.948347
500.0,500,213.722116
500.0,500,219.438464
500.0,500,225.257935
347.0,347,230.436383
500.0,500,236.281108
500.0,500,241.93454
500.0,500,247.681733
500.0,500,253.435155
291.0,291,258.38651
500.0,500,264.124442
500.0,500,269.726169
500.0,500,275.526865
500.0,500,277.266838
500.0,500,282.869068
500.0,500,288.617521
500.0,500,294.356433
500.0,500,300.240851
500.0,500,317.809451
500.0,500,323.272991
500.0,500,328.898568
500.0,500,334.878675
500.0,500,340.433182
500.0,500,346.158512
500.0,500,351.931022
500.0,500,357.886993
500.0,500,363.491386
500.0,500,369.242639
489.0,489,374.839262
500.0,500,380.601246
500.0,500,386.243391
321.0,321,391.261033
71.0,71,391.483696
469.0,469,396.982464
320.0,320,398.040262
412.0,412,403.196497
500.0,500,408.795531
500.0,500,414.227232
500.0,500,419.852396
500.0,500,425.355826
500.0,500,430.909137
279.0,279,435.70208
13.0,13,435.747004
500.0,500,441.437639
500.0,500,447.312723
500.0,500,452.917438
500.0,500,458.556593
500.0,500,464.233548
500.0,500,465.969027
500.0,500,471.81755
500.0,500,477.592147
500.0,500,483.018849
500.0,500,488.692974
405.0,405,493.889247
500.0,500,499.487909
335.0,335,504.461308
223.0,223,505.194766
500.0,500,510.926555
500.0,500,516.522835
355.0,355,521.849845
313.0,313,526.763894
500.0,500,528.64254
500.0,500,534.390737
431.0,431,539.866324
500.0,500,545.502109
500.0,500,551.277247
500.0,500,556.90659
460.0,460,562.786106
351.0,351,567.962382
374.0,374,573.208629
488.0,488,578.686306
321.0,321,579.862954
500.0,500,585.53437
500.0,500,591.185852
500.0,500,596.841746
500.0,500,614.038148
500.0,500,619.746713
22.0,22,619.82191
17.0,17,619.877576
10.0,10,619.90785
208.0,208,624.654894
478.0,478,626.328922
292.0,292,631.46764
358.0,358,636.5531
320.0,320,637.692431
385.0,385,643.166422
500.0,500,648.702706
500.0,500,654.320398
500.0,500,659.962299
500.0,500,665.712413
500.0,500,671.529463
20.0,20,671.592941
348.0,348,676.841649
500.0,500,682.737004
500.0,500,688.480286
500.0,500,694.270403
500.0,500,699.958306
23.0,23,700.03155
375.0,375,701.401387
500.0,500,707.154971
500.0,500,712.955634
500.0,500,718.708722
500.0,500,724.422242
16.0,16,724.469118
500.0,500,730.172991
500.0,500,736.025263
500.0,500,741.66569
500.0,500,747.487846
500.0,500,753.239019
500.0,500,758.889386
500.0,500,764.670037
500.0,500,770.198
500.0,500,776.012917
19.0,19,776.070536
19.0,19,776.131086
14.0,14,776.172102
14.0,14,776.224838
500.0,500,781.809337
22.0,22,781.876722
500.0,500,787.66993
500.0,500,793.442816
21.0,21,793.512155
500.0,500,799.046447
297.0,297,804.064959
500.0,500,810.002702
36.0,36,810.134543
25.0,25,810.226342
40.0,40,810.360135
31.0,31,810.463654
13.0,13,810.503695
500.0,500,816.497347
500.0,500,822.464236
500.0,500,828.607983
500.0,500,834.985037
500.0,500,840.941226
500.0,500,847.082607
500.0,500,853.000235
500.0,500,859.028568
500.0,500,865.028027
500.0,500,870.89929
500.0,500,876.924501
500.0,500,882.829465
500.0,500,888.820989
11.0,11,888.860053
500.0,500,894.714744
65.0,65,894.934478
500.0,500,900.952003
500.0,500,918.954753
478.0,478,924.686716
500.0,500,930.699675
500.0,500,936.797993
500.0,500,942.61015
500.0,500,948.658713
500.0,500,954.528909
23.0,23,954.60606
19.0,19,954.671024
35.0,35,954.785793
17.0,17,954.845873
13.0,13,954.885913
20.0,20,954.960642
125.0,125,955.411828
11.0,11,955.449915
500.0,500,961.451699
500.0,500,967.430422
40.0,40,967.560308
500.0,500,973.415485
24.0,24,973.492166
500.0,500,979.551549
500.0,500,985.500389
500.0,500,991.798098
500.0,500,997.763115
500.0,500,1003.511332
500.0,500,1009.301089
500.0,500,1015.427117
224.0,224,1016.300274
500.0,500,1022.806956
500.0,500,1028.564412
127.0,127,1033.076684
500.0,500,1039.05037
500.0,500,1044.832834
500.0,500,1050.779998
500.0,500,1056.528564
500.0,500,1062.157082
500.0,500,1068.043485
500.0,500,1073.789302
17.0,17,1073.849851
154.0,154,1074.394321
500.0,500,1080.373941
176.0,176,1080.97661
25.0,25,1081.060126
500.0,500,1086.779528
500.0,500,1092.658955
500.0,500,1098.437831
500.0,500,1104.348751
500.0,500,1110.023173
500.0,500,1115.643398
500.0,500,1121.32302
500.0,500,1126.950342
500.0,500,1132.784718
378.0,378,1138.015177
500.0,500,1143.779608
500.0,500,1149.380266
500.0,500,1155.03906
500.0,500,1160.771357
44.0,44,1160.924681
144.0,144,1161.411531
500.0,500,1167.027817
500.0,500,1173.069911
500.0,500,1179.211315
46.0,46,1179.378312
500.0,500,1185.441112
500.0,500,1191.565565
178.0,178,1192.193045
500.0,500,1198.016022
500.0,500,1204.091965
500.0,500,1209.97984
500.0,500,1228.194438
500.0,500,1234.184113
500.0,500,1240.076306
389.0,389,1245.741638
500.0,500,1251.716084
196.0,196,1252.494937
500.0,500,1258.673545
500.0,500,1264.506753
45.0,45,1264.648866
500.0,500,1269.709836
459.0,459,1274.707583
500.0,500,1279.748665
500.0,500,1284.839161
57.0,57,1285.031587
500.0,500,1290.017626
500.0,500,1295.158364
500.0,500,1300.261775
500.0,500,1305.423118
500.0,500,1310.474833
373.0,373,1315.222408
37.0,37,1315.357684
500.0,500,1320.326963
43.0,43,1320.489586
500.0,500,1325.636681
500.0,500,1330.630446
