#{"t_start": 1603453525.8823173, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
185.560744,20,1.407282
176.183686,19,1.463333
222.688667,24,1.533397
157.371707,17,1.583445
176.045871,19,1.641495
176.100834,19,1.698547
204.113385,22,1.774617
204.129764,22,1.845682
176.132059,19,1.901733
400.333632,43,2.028849
185.167899,20,2.086901
203.900701,22,2.152963
316.271463,34,2.253053
203.826697,22,2.325118
203.909504,22,2.390178
222.738826,24,2.461243
223.102386,24,2.532307
175.996559,19,2.593363
222.660329,24,2.664428
259.960509,28,2.749505
185.43226,20,2.80956
157.271172,17,2.860607
222.546072,24,2.93067
166.656946,18,2.98472
194.911454,21,3.048779
157.116334,17,3.099825
260.027021,28,3.186904
185.299511,20,3.24796
147.967262,16,3.309015
138.852227,15,3.354057
288.114553,31,3.446141
157.490129,17,3.496186
185.455731,20,3.55524
315.755411,34,3.656333
166.734466,18,3.709381
381.757704,41,3.8405
176.433134,19,3.897552
166.704804,18,3.952602
148.052026,16,4.000646
381.407136,41,4.138772
278.788602,30,4.227853
316.193446,34,4.329946
306.288589,33,4.427034
213.607518,23,4.494096
213.246592,23,4.561157
194.998589,21,4.633222
185.291251,20,4.710293
194.68375,21,4.77335
176.310596,19,4.830402
232.146938,25,4.904469
166.663911,18,4.958519
306.826319,33,5.060612
251.059342,27,5.139684
166.502591,18,5.192733
185.129762,20,5.252787
185.413522,20,5.323852
185.40925,20,5.382906
204.073886,22,5.449967
138.639409,15,5.494008
147.970025,16,5.54105
185.546495,20,5.610113
176.173754,19,5.677174
166.502966,18,5.730223
157.255158,17,5.78227
259.67267,28,5.866347
288.175759,31,5.958431
287.933998,31,6.050515
194.617675,21,6.114573
250.900561,27,6.194646
260.094291,28,6.276721
166.758255,18,6.330771
194.570985,21,6.393827
371.773875,40,6.512936
269.432694,29,6.598013
194.555883,21,6.65907
269.312806,29,6.752154
157.541817,17,6.804201
232.235515,25,6.894283
185.358336,20,6.955339
250.737806,27,7.03341
157.369783,17,7.084457
353.23235,38,7.196559
166.765623,18,7.250609
194.642258,21,7.313666
