#{"t_start": 1603430936.7965791, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
231.911246,25,1.382259
232.120168,25,1.463333
223.123559,24,1.537401
324.853321,35,1.642496
213.305997,23,1.711559
222.35191,24,1.783625
250.814299,27,1.864699
194.713261,21,1.948776
241.435468,26,2.025846
185.482552,20,2.085901
250.701687,27,2.165974
241.080558,26,2.245048
353.753974,38,2.358149
241.641693,26,2.43622
185.314297,20,2.494272
250.776205,27,2.572344
175.918496,19,2.628396
241.507027,26,2.704465
194.583379,21,2.766521
269.290352,29,2.851599
241.196898,26,2.926667
213.131717,23,2.993728
232.204644,25,3.066795
260.247919,28,3.147869
194.567928,21,3.209925
250.521671,27,3.295003
251.060523,27,3.385085
250.92763,27,3.466159
241.476223,26,3.54423
213.021182,23,3.611291
222.360321,24,3.689362
288.166239,31,3.780445
371.864819,40,3.911565
213.071553,23,3.978626
166.75244,18,4.032675
278.892514,30,4.129764
232.302341,25,4.205833
250.712498,27,4.284905
148.214005,16,4.332949
232.16366,25,4.405015
241.67097,26,4.481084
287.888345,31,4.581175
231.903789,25,4.657245
259.645212,28,4.73932
250.835983,27,4.818392
306.643461,33,4.92649
185.290904,20,4.985544
241.174599,26,5.061613
194.583474,21,5.132678
316.281108,34,5.230767
259.931275,28,5.315844
353.117114,38,5.449967
176.208128,19,5.506018
250.397075,27,5.58509
232.255513,25,5.663161
194.446544,21,5.742233
428.290057,46,5.877357
259.985045,28,5.959431
278.470766,30,6.047512
166.546284,18,6.101561
185.471655,20,6.171625
194.8147,21,6.23268
204.030318,22,6.311753
306.826577,33,6.408841
324.600794,35,6.518942
288.187727,31,6.610025
213.485694,23,6.676084
325.677325,35,6.778178
203.97386,22,6.843236
260.003815,28,6.925312
260.301868,28,7.007387
175.805994,19,7.065439
334.957192,36,7.171536
269.311932,29,7.286641
222.614343,24,7.358706
334.934082,36,7.463803
231.719338,25,7.538871
222.355924,24,10.864903
250.476749,27,10.945976
194.380148,21,11.007032
204.074562,22,11.073092
456.635619,49,11.217224
240.971117,26,11.293293
194.497743,21,11.35435
344.232499,37,11.482466
241.525281,26,11.557534
259.953623,28,11.64061
203.968832,22,11.704668
175.711976,19,11.759719
315.053813,34,11.85981
380.510272,41,11.981921
343.872991,37,12.100028
250.640344,27,12.1791
194.603748,21,12.241157
269.051627,29,12.325234
259.727791,28,12.416317
175.849392,19,12.472368
166.527752,18,12.525416
269.4154,29,12.610494
185.357321,20,12.669548
166.781313,18,12.724598
213.291062,23,12.791659
241.125047,26,12.867728
316.033056,34,12.965817
296.739676,32,13.060904
241.559942,26,13.135973
222.629619,24,13.205036
157.309052,17,13.25408
232.241091,25,13.327147
260.375594,28,13.409222
185.094387,20,13.468276
213.577043,23,13.535336
213.046471,23,13.602398
362.210488,39,13.716502
334.731889,36,13.821597
194.386057,21,13.882653
269.348789,29,13.967731
315.553243,34,14.066821
250.641752,27,14.146894
194.72566,21,14.208951
222.658221,24,14.28502
232.08554,25,14.357086
361.879301,39,14.47119
222.743449,24,14.542255
232.08399,25,14.618324
241.138701,26,14.697396
287.84402,31,14.796486
222.929157,24,14.868552
334.062642,36,14.97565
194.357517,21,15.038707
278.49712,30,15.125787
194.387561,21,15.187843
185.466301,20,15.244895
240.778855,26,15.320965
297.184921,32,15.414049
194.528881,21,15.490119
231.708821,25,15.563185
194.936888,21,15.625242
157.228984,17,15.676288
288.017744,31,15.771375
232.065986,25,15.845442
166.68773,18,15.898491
241.254237,26,15.976562
241.360852,26,16.053632
241.353395,26,16.129701
231.856256,25,16.203769
157.493511,17,16.254816
166.672939,18,16.307863
250.586702,27,16.386936
297.57174,32,16.496035
241.319141,26,16.573106
260.236887,28,16.655181
418.510193,45,16.784298
213.433662,23,16.850358
203.927871,22,16.916419
222.558152,24,20.117336
212.97302,23,20.185399
427.422315,46,20.320521
222.522036,24,20.391586
353.177387,38,20.525708
371.812889,40,20.645818
445.738601,48,20.793953
231.769139,25,20.868021
371.774484,40,20.996137
222.406458,24,21.068203
194.706488,21,21.129259
241.08127,26,21.205328
203.61404,22,21.268385
306.205159,33,21.364473
259.840719,28,21.459559
222.55643,24,21.529624
296.944565,32,21.62471
279.190389,30,21.713792
232.014327,25,21.785857
259.689367,28,21.867932
306.36478,33,21.973027
213.303954,23,22.04209
671.230246,72,22.251282
269.061112,29,22.334357
241.16775,26,22.409425
213.110016,23,22.477487
268.767543,29,22.561564
231.78816,25,22.635632
241.310505,26,22.717706
259.725829,28,22.799781
241.325323,26,22.876852
353.229158,38,22.997962
250.142024,27,23.077035
259.905293,28,23.16011
232.063936,25,23.233176
260.088338,28,23.316252
185.442627,20,23.375306
278.270208,30,23.462385
166.638199,18,23.513432
259.719298,28,23.594507
259.298771,28,23.67658
278.971364,30,23.76466
175.803297,19,23.820712
241.284801,26,23.926809
316.117562,34,24.0279
241.22141,26,24.101968
185.470816,20,24.15902
269.167583,29,24.243097
269.217487,29,24.337183
334.302388,36,24.443279
353.024773,38,24.560386
176.366002,19,24.618439
278.007298,30,24.713527
250.667025,27,24.795601
231.694449,25,24.868667
278.613072,30,24.957748
222.569237,24,25.028813
278.818401,30,25.116893
297.210281,32,25.208977
213.423463,23,25.296057
306.479351,33,25.393147
250.526294,27,25.473219
203.992341,22,25.537276
324.935654,35,25.641371
278.829825,30,25.729452
362.203306,39,25.84856
213.471791,23,25.915621
241.358525,26,25.995695
278.595553,30,26.085777
260.002368,28,26.173856
148.009219,16,26.221901
390.386989,42,29.510898
213.228959,23,29.581964
306.581126,33,29.680053
296.639135,32,29.775139
381.544146,41,29.894248
231.760245,25,29.967314
334.885557,36,30.074412
305.970602,33,30.186514
380.874934,41,30.305623
240.860239,26,30.381692
306.333142,33,30.47778
315.549084,34,30.579873
361.878612,39,30.694978
408.628585,44,30.826097
203.780162,22,30.892157
363.079004,39,31.008263
446.116017,48,31.148391
306.2228,33,31.244478
343.957305,37,31.363587
380.835339,41,31.481695
231.925448,25,31.553761
288.077162,31,31.65185
361.823005,39,31.777965
342.987024,37,31.91509
194.566581,21,31.978147
390.184674,42,32.101259
343.514987,37,32.236383
418.167763,45,32.368502
325.116863,35,32.470596
391.434816,42,32.593709
176.131615,19,32.658767
269.671205,29,32.742844
316.015273,34,32.844937
241.65664,26,32.921006
324.769178,35,33.026103
250.870452,27,33.105175
250.482736,27,33.183246
380.351046,41,33.303355
288.039834,31,33.394438
278.529196,30,33.492528
399.821415,43,33.618643
222.47981,24,33.70372
352.943745,38,33.815823
250.397589,27,33.894895
343.906727,37,34.003994
305.944488,33,34.100081
278.547072,30,34.189163
204.032511,22,34.253221
315.64233,34,34.354313
352.989971,38,34.466415
222.106158,24,34.539482
269.746666,29,34.626561
306.461664,33,34.727654
278.833297,30,34.83375
306.62082,33,34.93284
232.084735,25,35.009911
409.712894,44,35.176062
297.22395,32,35.269147
213.252608,23,35.336208
185.4029,20,35.394261
222.021848,24,35.466326
231.434814,25,35.543397
391.014306,42,38.795361
306.440677,33,38.896454
306.087416,33,38.994543
287.948386,31,39.085625
306.301148,33,39.181713
390.261881,42,39.303824
334.322549,36,39.40892
268.724809,29,39.493997
241.448194,26,39.589085
493.272311,53,39.74823
213.401235,23,39.815291
399.815329,43,39.941406
352.416174,38,40.058512
278.664086,30,40.146593
324.893512,35,40.251689
381.447416,41,40.392817
306.266121,33,40.488905
521.594853,56,40.65906
400.053579,43,40.785174
352.857283,38,40.921299
297.032368,32,41.017387
240.886118,26,41.092455
315.713082,34,41.192546
596.086476,64,41.384721
287.445809,31,41.475805
277.9329,30,41.563885
269.278998,29,41.649963
362.462697,39,41.764068
203.992593,22,41.828125
408.814417,44,41.957242
213.214855,23,42.028308
352.931449,38,42.139409
