#{"t_start": 1603433252.0108745, "env_id": "InvertedDoublePendulumPyBulletEnv-v0"}
r,l,t
306.765031,33,1.414289
203.700605,22,1.479348
287.583692,31,1.572433
316.026811,34,1.672524
204.35144,22,1.738585
175.871579,19,1.794636
241.522624,26,1.873707
176.02868,19,1.929759
241.237105,26,2.005828
362.294954,39,2.126939
212.886666,23,2.195001
185.28736,20,2.254055
297.412891,32,2.347139
259.753449,28,2.429214
194.756042,21,2.495275
278.513041,30,2.587358
138.918843,15,2.641407
203.721987,22,2.732491
362.03187,39,2.852601
176.067341,19,2.909652
232.277718,25,2.98472
203.761932,22,3.04978
305.923501,33,3.146868
175.861426,19,3.203921
260.10871,28,3.287997
297.571373,32,3.387087
185.33971,20,3.45615
204.352809,22,3.534221
194.259331,21,3.602283
223.031092,24,3.687361
428.614858,46,3.826488
185.444196,20,3.885542
185.222852,20,3.944595
391.221114,42,4.084723
222.652128,24,4.155788
194.613011,21,4.217844
427.646061,46,4.371985
185.481504,20,4.44205
204.013036,22,4.507108
166.675806,18,4.559156
231.765245,25,4.632222
363.450327,39,4.747327
184.746718,20,4.804379
166.587602,18,4.85943
194.634021,21,4.920485
325.855002,35,5.022578
325.401257,35,5.128675
222.633201,24,5.198739
194.791343,21,5.262797
241.228634,26,5.357883
269.339613,29,5.471987
194.459838,21,5.533044
194.530684,21,5.5941
157.446512,17,5.646147
297.601931,32,5.740232
213.030558,23,5.834318
203.908053,22,5.917394
203.939829,22,5.981453
185.150006,20,6.039505
241.3085,26,6.115574
268.887937,29,6.200652
204.124675,22,6.267713
204.002381,22,6.342781
175.877874,19,6.398832
222.350613,24,6.48391
371.869482,40,6.600016
176.213513,19,6.656067
194.712237,21,6.718123
166.634214,18,6.77017
213.109872,23,6.839234
259.941301,28,6.920308
203.827372,22,6.984366
409.317333,44,7.123493
268.896859,29,7.20757
213.392839,23,7.274631
260.004552,28,7.356705
185.29648,20,7.41676
241.362766,26,7.497834
166.440423,18,7.552885
213.655994,23,7.619945
241.014637,26,40.240679
250.317401,27,40.322754
241.225298,26,40.41684
278.814407,30,40.50492
222.606838,24,40.574984
213.299377,23,40.642045
297.488449,32,40.734128
194.320094,21,40.797186
185.298735,20,40.85624
213.39148,23,40.93331
278.662613,30,41.02139
157.213876,17,41.071436
287.474661,31,41.16352
185.070352,20,41.220572
203.841129,22,41.285631
343.253173,37,41.39373
260.256775,28,41.475805
287.639143,31,41.566888
232.30175,25,41.647962
362.81168,39,41.763067
222.450765,24,41.834131
185.430213,20,41.892184
175.775179,19,41.947234
287.684151,31,42.036316
297.087488,32,42.129401
260.042808,28,42.212476
352.841146,38,42.325579
250.048829,27,42.416662
213.365615,23,42.495735
185.186763,20,42.552787
194.163021,21,42.614843
325.128523,35,42.722942
325.366893,35,42.827036
176.316925,19,42.882087
185.244682,20,42.941141
250.493406,27,43.038229
269.222858,29,43.125309
185.461389,20,43.208384
175.974938,19,43.267438
287.888034,31,43.35752
213.200019,23,43.422579
343.718806,37,43.530678
306.38542,33,43.633771
306.591836,33,43.731861
259.8211,28,43.81694
278.303881,30,43.919032
362.435949,39,44.037139
259.869104,28,44.120215
213.165189,23,44.189279
316.098316,34,44.29037
185.084038,20,44.350425
362.743575,39,44.464529
269.556712,29,44.548605
250.208234,27,44.627677
194.445942,21,44.689734
408.976623,44,44.819853
343.670925,37,44.92595
390.497918,42,45.048061
231.658599,25,45.121127
176.312426,19,45.17818
166.477613,18,45.232229
241.157761,26,45.309299
334.641375,36,45.416396
269.343338,29,45.501475
334.574792,36,45.60657
175.918101,19,45.666625
306.3828,33,45.776725
390.73706,42,45.908845
399.975141,43,46.03496
213.182753,23,46.107026
222.688146,24,46.186098
213.241473,23,46.25416
222.586948,24,46.324224
250.558991,27,79.066068
222.458393,24,79.137133
325.389379,35,79.239226
296.996487,32,79.338316
231.872286,25,79.411382
250.588167,27,79.490455
185.206394,20,79.549509
259.411455,28,79.632584
288.18361,31,79.723668
390.059309,42,79.847781
204.220443,22,79.91284
250.574598,27,80.007926
269.229963,29,80.092003
249.888276,27,80.170074
287.732917,31,80.261157
306.642535,33,80.359247
455.501702,49,80.501376
287.712287,31,80.591458
435.851419,47,80.730586
371.32899,40,80.847692
203.868803,22,80.913753
464.519073,50,81.06489
287.88951,31,81.155972
203.799667,22,81.222033
278.636831,30,81.310114
269.16084,29,81.395191
306.721191,33,81.491278
465.779322,50,81.638412
259.959045,28,81.735502
315.813966,34,81.836593
334.341475,36,81.940688
353.687294,38,82.05179
399.919282,43,82.179906
324.840038,35,82.283
437.083494,47,82.418123
287.755957,31,82.509206
372.167581,40,82.625312
371.844152,40,82.74342
521.417321,56,82.906569
259.881404,28,82.989645
250.514573,27,83.080728
194.493629,21,83.145787
241.500852,26,83.221856
203.791357,22,83.29192
287.951787,31,83.383003
