#{"t_start": 1604636076.0534587, "env_id": "InvertedPendulumPyBulletEnv-v0"}
r,l,t
26.0,26,1.621143
39.0,39,1.749077
66.0,66,1.955138
54.0,54,2.126042
26.0,26,2.210029
46.0,46,2.385815
20.0,20,2.451247
39.0,39,2.584063
17.0,17,2.642659
52.0,52,2.804773
55.0,55,2.996185
12.0,12,3.035249
34.0,34,3.142674
43.0,43,3.28721
49.0,49,3.458113
52.0,52,3.634876
45.0,45,3.780389
71.0,71,4.019654
15.0,15,4.07239
37.0,37,4.194464
47.0,47,4.354625
66.0,66,4.567522
26.0,26,4.649556
28.0,28,4.740379
12.0,12,4.777489
20.0,20,4.840968
18.0,18,4.902493
27.0,27,4.98941
28.0,28,5.079257
46.0,46,5.225745
49.0,49,5.386883
22.0,22,5.479659
39.0,39,5.616382
48.0,48,5.764824
49.0,49,5.927915
33.0,33,6.042176
28.0,28,6.141789
13.0,13,6.182806
48.0,48,6.352732
42.0,42,6.502152
65.0,65,6.726767
11.0,11,6.768761
27.0,27,6.856654
17.0,17,6.917203
33.0,33,7.027558
56.0,56,7.214087
11.0,11,7.249244
20.0,20,7.319559
40.0,40,7.445539
50.0,50,7.6057
33.0,33,7.716056
50.0,50,7.880123
39.0,39,8.036378
34.0,34,8.156499
13.0,13,8.198492
162.0,162,22.911831
48.0,48,23.068086
39.0,39,23.189183
14.0,14,23.23606
9.0,9,23.267321
46.0,46,23.418682
43.0,43,23.560288
18.0,18,23.618884
84.0,84,23.899168
23.0,23,23.97534
42.0,42,24.114993
36.0,36,24.231208
47.0,47,24.385509
31.0,31,24.514419
45.0,45,24.666769
36.0,36,24.779076
43.0,43,24.923611
57.0,57,25.103304
54.0,54,25.294716
66.0,66,25.506637
58.0,58,25.715628
16.0,16,25.76641
44.0,44,25.906063
71.0,71,26.142399
95.0,95,26.498855
28.0,28,26.594561
37.0,37,26.745933
55.0,55,26.972502
79.0,79,27.278176
67.0,67,27.532089
60.0,60,27.769401
47.0,47,27.943271
16.0,16,27.997491
20.0,20,28.063467
35.0,35,28.202181
48.0,48,28.406047
55.0,55,28.595036
39.0,39,28.726876
37.0,37,28.864576
51.0,51,29.046222
19.0,19,29.117513
29.0,29,29.218609
53.0,53,29.425683
62.0,62,29.647913
69.0,69,37.397506
43.0,43,37.559621
81.0,81,37.858457
21.0,21,37.937561
56.0,56,38.138739
67.0,67,38.380935
36.0,36,38.513751
31.0,31,38.619223
88.0,88,38.949311
45.0,45,39.121191
50.0,50,39.324322
110.0,110,39.702264
69.0,69,39.963014
63.0,63,40.196419
44.0,44,40.348768
56.0,56,40.553853
64.0,64,40.794094
67.0,67,41.033359
52.0,52,41.221842
55.0,55,41.422043
125.0,125,41.872252
154.0,154,42.429887
51.0,51,42.611532
132.0,132,43.090062
123.0,123,43.538318
112.0,112,43.90747
69.0,69,44.140875
53.0,53,44.328381
