#{"t_start": 1602192454.6113188, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-894.083286,1000,4.680791
-901.230254,1000,8.11936
-990.51721,1000,33.866153
-700.304151,1000,37.299839
-690.948419,1000,44.152565
-611.744912,1000,47.606759
-950.935427,1000,54.491713
-948.675429,1000,57.884383
-877.33712,1000,64.777147
-940.335113,1000,68.198139
-981.024827,1000,74.976642
-892.271122,1000,78.35564
-928.805309,1000,85.18395
-899.141294,1000,88.7026
-839.329581,1000,95.577787
-853.147309,1000,99.050537
-850.076339,1000,105.944279
-916.45057,1000,109.3682
-846.907149,1000,116.2053
-894.645732,1000,119.644846
-827.562287,1000,126.524915
-857.422888,1000,129.966415
-858.106894,1000,136.779099
-856.512238,1000,140.327048
-863.482461,1000,147.149498
-825.270958,1000,150.590998
-815.993172,1000,157.459348
-849.108074,1000,160.877409
-854.642368,1000,167.819004
-765.522834,1000,171.256597
-843.764017,1000,178.114205
-748.286367,1000,181.53715
-884.24932,1000,188.464095
-769.431828,1000,191.819655
-680.83471,1000,198.714373
-642.135961,1000,202.135364
-859.800955,1000,208.964651
-885.505164,1000,212.418846
-792.345601,1000,219.336026
-663.644745,1000,222.842957
-829.90291,1000,229.712284
-866.488186,1000,233.066867
-843.715885,1000,236.545477
-815.682861,1000,243.332771
-74.986929,1000,246.769387
-713.024551,1000,253.551797
-888.489733,1000,256.970835
-145.257222,1000,263.863601
-282.983789,1000,267.197676
-42.929283,1000,274.171497
-227.585732,1000,277.542683
-125.641808,1000,284.525294
51.696048,1000,287.965817
14.94895,1000,294.832215
11.143225,1000,298.232697
58.562023,1000,305.122532
-142.037637,1000,308.545477
41.47061,1000,315.452891
7.929833,1000,318.880718
40.103796,1000,325.730513
-129.117827,1000,329.202287
-324.510261,1000,336.059895
31.610545,1000,339.453542
2.339522,1000,346.381463
-32.66425,1000,349.77511
84.791979,1000,356.681548
50.735281,1000,360.086914
34.016233,1000,366.925967
-10.538559,1000,370.347934
-18.473176,1000,377.229957
39.54844,1000,380.582586
-54.640536,1000,387.481211
-61.083103,1000,390.940289
61.134551,1000,397.966847
39.514934,1000,401.379049
-89.954411,1000,408.207359
33.071731,1000,411.660578
-36.211283,1000,418.494748
18.365528,1000,421.931364
80.830165,1000,428.76651
58.263796,1000,432.135743
83.981986,1000,439.088079
102.330834,1000,442.572549
-60.784718,1000,449.510237
40.058322,1000,453.06795
25.121142,1000,456.508474
72.558152,1000,463.440303
2.747991,1000,466.892545
34.397027,1000,473.791169
55.18789,1000,477.194582
60.227512,1000,484.191842
102.10779,1000,487.660686
96.298536,1000,494.613999
35.209246,1000,497.999834
40.617422,1000,504.862324
62.698437,1000,508.233509
60.853922,1000,515.214168
32.532522,1000,518.615627
107.721188,1000,525.464446
88.469407,1000,528.820005
78.806013,1000,535.791874
152.283881,1000,539.170872
35.631846,1000,546.101724
104.498671,1000,549.474863
69.493724,1000,575.372049
103.163344,1000,578.767649
98.186327,1000,585.702407
96.909092,1000,589.132188
110.658325,1000,596.061086
98.561105,1000,599.487937
68.898966,1000,606.360194
38.538541,1000,609.723567
84.072551,1000,616.571409
83.063718,1000,619.996306
137.373869,1000,626.812897
150.514336,1000,630.233888
128.41798,1000,637.099308
113.481108,1000,640.463659
89.193297,1000,647.490216
125.247298,1000,650.874097
127.122663,1000,657.73561
145.503623,1000,661.174181
111.377788,1000,668.240778
135.014898,1000,671.707669
174.135924,1000,678.604341
129.960279,1000,682.03998
133.48219,1000,688.909308
111.190019,1000,692.295142
129.555318,1000,695.636053
176.994393,1000,702.428229
129.731292,1000,705.823829
147.679521,1000,712.689249
136.799157,1000,716.077037
145.77057,1000,722.9073
168.989813,1000,726.322432
172.48141,1000,733.270862
167.817171,1000,736.660603
150.925522,1000,743.553368
180.626635,1000,746.967523
157.102208,1000,753.907164
161.660905,1000,757.321319
205.255895,1000,764.151583
91.296901,1000,767.569644
227.522215,1000,774.440924
151.033087,1000,777.858985
140.055406,1000,784.780072
173.763768,1000,788.167859
186.58814,1000,795.016678
192.275772,1000,798.389815
217.330306,1000,805.296253
207.64443,1000,808.799278
146.410108,1000,815.683254
215.622437,1000,819.128659
230.262633,1000,826.012635
226.642583,1000,829.403352
200.16081,1000,836.234592
194.026071,1000,839.643864
159.312567,1000,846.513193
192.496831,1000,849.905861
258.185441,1000,856.792768
190.01225,1000,860.257706
233.713819,1000,867.177814
235.128293,1000,870.610524
206.590541,1000,877.527704
225.551204,1000,880.901819
237.532726,1000,887.782865
236.255726,1000,891.279053
240.433081,1000,898.144474
184.764658,1000,901.542027
201.834065,1000,908.392799
200.646996,1000,911.764961
196.413594,1000,915.244547
243.105733,1000,922.150985
302.134205,1000,925.64522
267.925764,1000,932.493062
198.879312,1000,935.879873
223.952311,1000,942.854671
265.079612,1000,946.277616
233.403557,1000,953.126434
202.461521,1000,956.499573
298.55244,1000,963.441167
257.1194,1000,966.87876
233.072238,1000,973.818402
275.308163,1000,977.27162
233.732256,1000,984.215168
167.309813,1000,987.607838
217.009197,1000,994.502556
302.390052,1000,997.947962
258.922091,1000,1004.720606
186.571621,1000,1008.224608
116.755558,1000,1015.130069
238.252357,1000,1018.489535
127.396065,1000,1025.504374
189.432244,1000,1028.935131
255.23191,1000,1035.779066
303.386961,1000,1039.248887
301.099841,1000,1046.201223
240.338986,1000,1049.552877
241.790685,1000,1056.292318
327.865581,1000,1059.679128
228.963942,1000,1066.529901
121.506063,1000,1069.936242
21.282354,1000,1076.847563
178.38525,1000,1080.257812
223.438718,1000,1087.252141
226.024274,1000,1090.718056
281.747302,1000,1116.498053
165.61604,1000,1119.91416
282.114158,1000,1126.898725
243.643246,1000,1130.323622
247.213935,1000,1137.085524
261.649948,1000,1140.566087
285.464148,1000,1147.474478
328.322348,1000,1150.853476
269.29678,1000,1154.311577
269.633096,1000,1161.156489
179.490251,1000,1164.5433
200.296277,1000,1171.430206
240.435888,1000,1174.821899
257.588265,1000,1181.843575
247.336429,1000,1185.258706
298.672828,1000,1192.229598
218.583249,1000,1195.654496
235.461285,1000,1202.579488
238.396941,1000,1205.99169
218.718946,1000,1212.869806
284.809433,1000,1216.232202
232.130125,1000,1223.12692
261.184246,1000,1226.546935
232.635665,1000,1233.497318
196.996918,1000,1237.014016
154.150552,1000,1243.891155
277.334075,1000,1247.340468
165.067975,1000,1254.153152
285.20511,1000,1257.572191
247.673056,1000,1264.432728
280.247392,1000,1267.834188
201.154738,1000,1274.746485
219.715021,1000,1278.190913
237.019321,1000,1285.102234
239.007902,1000,1288.5076
294.334966,1000,1295.372043
304.118775,1000,1299.019604
310.153403,1000,1305.89772
291.757242,1000,1309.277694
275.778346,1000,1316.107957
287.67863,1000,1319.639303
332.005914,1000,1326.628751
284.010551,1000,1330.06439
318.442893,1000,1336.938601
299.021139,1000,1340.364475
309.577409,1000,1347.264076
270.912466,1000,1350.64698
267.308947,1000,1357.66768
296.97099,1000,1361.064255
221.90356,1000,1364.4872
235.245603,1000,1371.332112
270.977794,1000,1374.766775
276.079748,1000,1381.744503
266.025764,1000,1385.094203
230.82345,1000,1392.045564
263.099413,1000,1395.452883
281.789089,1000,1402.307561
228.123641,1000,1405.700232
269.577319,1000,1412.566628
244.897035,1000,1415.959298
266.561741,1000,1422.816906
281.539475,1000,1426.124613
264.74732,1000,1433.098435
226.378201,1000,1436.519426
308.988906,1000,1443.448325
268.720691,1000,1446.895684
242.448437,1000,1453.719112
274.732419,1000,1457.151822
244.600723,1000,1464.08951
277.693847,1000,1467.527103
311.182454,1000,1474.334904
367.247762,1000,1477.868204
307.707016,1000,1484.74339
254.200004,1000,1488.169265
252.716718,1000,1495.095233
184.489609,1000,1498.545522
258.941261,1000,1505.494929
296.145259,1000,1509.041901
268.787646,1000,1515.933689
241.545448,1000,1519.441597
267.137608,1000,1526.283579
203.121382,1000,1529.659647
272.61295,1000,1536.603195
256.119772,1000,1539.991958
318.355217,1000,1546.935506
272.808185,1000,1550.359427
264.581324,1000,1557.382079
353.590893,1000,1560.788422
266.717072,1000,1567.695835
292.512055,1000,1571.097295
231.802211,1000,1577.87287
306.783496,1000,1581.347573
216.328548,1000,1584.719734
228.615248,1000,1591.662305
294.059071,1000,1595.16533
259.734926,1000,1602.107901
253.335183,1000,1605.508384
252.193925,1000,1612.421658
314.943494,1000,1615.809445
315.61392,1000,1622.67682
263.553348,1000,1626.08902
229.60312,1000,1632.97495
272.453492,1000,1636.32172
248.9048,1000,1662.374184
342.577031,1000,1665.850841
257.912651,1000,1672.761184
247.722787,1000,1676.160691
300.435887,1000,1683.012439
311.588216,1000,1686.423664
268.35632,1000,1693.282249
265.067882,1000,1696.661247
308.986309,1000,1703.554012
388.23626,1000,1706.938869
278.037051,1000,1713.870698
326.270641,1000,1717.375676
302.291313,1000,1724.290902
283.390689,1000,1727.812482
302.086839,1000,1734.764819
295.572615,1000,1738.261009
295.406613,1000,1745.330535
357.672334,1000,1748.808169
305.570473,1000,1755.605228
252.126731,1000,1759.02036
248.621198,1000,1765.974651
319.582043,1000,1769.433728
286.528155,1000,1776.433918
302.819238,1000,1779.893972
297.892848,1000,1786.782832
271.004963,1000,1790.232143
369.878666,1000,1797.283116
326.010896,1000,1800.698248
279.901487,1000,1807.555856
380.422652,1000,1811.076459
332.643487,1000,1818.097157
351.84018,1000,1821.559165
352.086386,1000,1824.985039
251.537388,1000,1831.846554
300.916309,1000,1835.222622
335.286153,1000,1842.278477
338.065412,1000,1845.8108
390.178918,1000,1852.772902
360.545872,1000,1856.404837
345.89436,1000,1863.219475
370.178011,1000,1866.637536
367.372131,1000,1873.604522
357.993392,1000,1877.071413
428.482401,1000,1883.993475
318.171447,1000,1887.445718
344.997074,1000,1894.451767
387.465479,1000,1897.814163
418.369404,1000,1904.666888
363.624904,1000,1908.042955
403.356243,1000,1914.982597
357.463447,1000,1918.42019
