#{"t_start": 1602256516.0864031, "env_id": "InvertedPendulumSwingupPyBulletEnv-v0"}
r,l,t
-894.083286,1000,4.87025
-901.230254,1000,8.201394
-405.357439,1000,65.963703
-263.219107,1000,69.339771
-374.449773,1000,107.930661
-294.809842,1000,111.285244
-632.170129,1000,150.052897
-448.288756,1000,153.405527
-816.16209,1000,192.189782
-919.875592,1000,195.601007
-891.014293,1000,234.382333
-481.194213,1000,237.757425
-449.743899,1000,276.456716
-198.869293,1000,279.905051
-134.431872,1000,318.827982
-80.871867,1000,322.336867
57.900577,1000,361.194365
-149.893556,1000,364.631959
-880.47617,1000,403.452348
-176.804458,1000,406.959279
-61.772701,1000,445.788457
77.917337,1000,449.250465
78.029649,1000,459.478281
-27.360562,1000,462.735205
-901.956998,1000,473.005016
-849.53008,1000,476.303933
-896.195541,1000,486.630385
67.31098,1000,489.825784
-71.645911,1000,499.96473
-143.321017,1000,503.259742
-895.971179,1000,513.439705
-6.904765,1000,516.69077
-229.569824,1000,526.906867
31.97997,1000,530.169651
47.31425,1000,540.275394
-35.251443,1000,543.486419
1.589141,1000,553.653687
38.5111,1000,556.904751
109.133452,1000,567.138427
120.722115,1000,570.440275
-7.116027,1000,580.686646
118.924802,1000,583.883022
-127.534877,1000,587.069632
-29.711709,1000,597.286706
12.28112,1000,600.508473
155.870319,1000,610.701133
-247.606824,1000,613.859421
43.069539,1000,623.967117
-129.313949,1000,627.184977
64.040995,1000,637.347363
98.208248,1000,640.556434
-325.261484,1000,650.62702
58.232537,1000,653.873201
-67.967669,1000,664.174262
-60.679742,1000,667.437045
91.168653,1000,677.703925
-15.246741,1000,681.035071
-24.965857,1000,691.295115
-7.033586,1000,694.554969
149.265015,1000,704.669501
219.918319,1000,707.897127
59.432721,1000,718.179634
151.866827,1000,721.40433
106.92704,1000,731.586246
150.91295,1000,734.822662
156.381469,1000,745.11005
75.127471,1000,748.364045
126.44534,1000,758.699286
209.163502,1000,761.960117
74.553758,1000,772.284615
67.411225,1000,775.502476
139.698836,1000,785.699042
43.766085,1000,789.051672
184.108863,1000,799.205268
111.396587,1000,802.495396
72.909456,1000,812.650946
22.620784,1000,815.829742
206.07084,1000,825.980408
79.142501,1000,829.30081
97.15241,1000,839.531557
96.68599,1000,842.761136
207.221917,1000,852.960632
199.206143,1000,856.211697
106.785897,1000,866.423888
156.997895,1000,869.686671
97.145231,1000,872.909415
128.959319,1000,883.056174
163.649296,1000,886.379508
176.172216,1000,896.637597
136.695294,1000,899.846668
211.22491,1000,910.073509
311.711459,1000,913.305042
150.839962,1000,923.559226
241.588782,1000,926.791735
192.607535,1000,936.912127
256.621811,1000,940.110456
192.382853,1000,950.385149
182.755365,1000,953.615705
209.103892,1000,963.836685
282.97208,1000,967.126814
197.777454,1000,977.226697
221.418721,1000,980.623274
172.769278,1000,990.843277
163.516983,1000,994.043559
